Date,Teams,DK Open,DynW%,Location,Spread,SpreadOdds,SpreadProbability,PredictedScore,PointsScored,Total,TotalOdds,TotalProbability,MoneyLine,Luck,AdjEM,AdjO,AdjD,AdjT,SOS,AvgPF,AvgPA,TOV,Pace,Ts%,eFG%,MatchupUncertainty,MLConfidence,SU_Correct,Cover_Correct,OU_Correct
11/6/2023,Georgia,160,43.96%,a,5.5,-110,69.18%,69.43,71,139.500,-110,49.40%,,0,12.58,105.5,92.9,70.6,0,68.531,71.531,12.500,69.313,0.519,0.471,,,1.000,0.000,0.000
11/6/2023,Oregon,-214,56.04%,h,-5.5,-110,30.82%,70.36,82,,-115,50.60%,,0,15.74,107.8,92,70.2,0,70.611,66.278,11.778,67.503,0.542,0.512,,,,,
11/6/2023,Northern Arizona,2500,15.59%,a,26,-110,90.41%,64.48,52,142.000,-110,58.73%,,0,-3.68,97.7,101.4,70.1,0,73.743,74.714,10.229,69.086,0.538,0.506,,,1.000,0.000,1.000
11/6/2023,Connecticut,-10000,84.41%,h,-26,-110,9.59%,74.81,95,,-111,41.27%,,0,25.53,111.8,86.3,70.4,0,78.564,64.128,12.231,69.541,0.574,0.540,,,,,
11/6/2023,Samford,1649,23.95%,a,19.5,-110,86.46%,66.42,45,144.500,-110,62.25%,,0,2.4,100.6,98.2,72.3,0,78.719,71.563,12.219,70.881,0.576,0.532,,,1.000,0.000,0.000
11/6/2023,Purdue,-4737,76.05%,h,-19.5,-110,13.54%,74.93,98,,-111,37.75%,,0,26.63,114.9,88.3,68.8,0,72.657,62.743,10.571,65.034,0.560,0.519,,,,,
11/6/2023,Tennessee Tech,4000,22.34%,a,29.5,-109,91.76%,61.97,42,134.500,-110,43.99%,,0,-12.75,91.6,104.4,70.8,0,73.697,73.364,11.939,70.224,0.543,0.513,,,1.000,0.000,1.000
11/6/2023,Tennessee,-20000,77.66%,h,-29.5,-111,8.24%,74.53,80,,-110,56.01%,,0,22.83,108,85.2,69.6,0,70.750,57.889,11.222,66.700,0.534,0.503,,,,,
11/6/2023,Missouri St.,220,41.77%,a,6,-110,60.23%,68.10,59,135.500,-114,35.11%,,0,2.04,100.9,98.8,68.2,0,65.563,63.156,11.656,63.872,0.524,0.506,,,1.000,0.000,1.000
11/6/2023,West Virginia,-275,58.23%,h,-6,-110,39.77%,71.39,67,,-107,64.89%,,0,11.48,105.4,94,71.6,0,75.971,70.912,12.353,70.306,0.558,0.516,,,,,
11/6/2023,Princeton,247,52.39%,a,5.5,-110,57.79%,67.49,68,137.500,-114,47.24%,,0,3.31,101.8,98.5,70.6,0,75.500,68.500,11.563,69.806,0.555,0.528,,,1.000,1.000,1.000
11/6/2023,Rutgers,-310,47.61%,h,-5.5,-110,42.21%,70.76,61,,-107,52.76%,,0,12.25,103.2,90.9,69.9,0,68.412,61.147,10.706,66.991,0.510,0.480,,,,,
11/6/2023,Niagara,252,52.91%,a,8.5,-110,74.01%,65.61,63,125.500,-110,18.63%,,0,-7.49,92.8,100.3,68.0,0,65.032,65.935,10.452,63.729,0.541,0.511,,,0.000,1.000,0.000
11/6/2023,Notre Dame,-322,47.09%,h,-8.5,-110,25.99%,68.25,70,,-110,81.37%,,0,0.52,99.9,99.3,68.5,0,69.594,72.094,8.250,66.138,0.549,0.522,,,,,
11/6/2023,The Citadel,1500,22.01%,a,20.5,-110,84.06%,67.01,59,145.500,-112,61.19%,,0,-10.24,93.9,104.2,70.6,0,67.438,74.188,11.781,68.891,0.532,0.496,,,1.000,1.000,0.000
11/6/2023,N.C. State,-4000,77.99%,h,-20.5,-110,15.94%,74.96,72,,-105,38.81%,,0,12.11,105.7,93.6,72.2,0,77.735,70.824,9.088,70.838,0.541,0.514,,,,,
11/6/2023,Tarleton St.,1000,26.63%,a,17.00,-110,78.31%,63.02,50,124.000,-110,23.01%,,0,-4.19,96.5,100.7,70.1,0,71.941,67.882,11.824,70.224,0.540,0.497,,,1.000,0.000,0.000
11/6/2023,Virginia,-2000,73.37%,h,-17.00,-110,21.69%,70.33,80,,-110,76.99%,-2000,0,17.14,106.6,89.4,65.7,0,67.788,60.485,8.121,63.230,0.545,0.513,,,,,
11/6/2023,North Carolina A&T,3000,21.10%,a,24.00,-110,85.84%,64.30,52,142.500,-110,58.73%,,0,-19.83,88.2,108.1,71.7,0,70.750,73.813,11.531,71.859,0.513,0.482,,,1.000,0.000,1.000
11/6/2023,Pittsburgh,-14925,78.90%,h,-24.00,-110,14.16%,75.66,100,,-110,41.27%,,0,11.93,104.8,92.8,70.6,0,75.111,69.722,10.583,69.131,0.563,0.526,,,,,
11/6/2023,Columbia,1400,22.70%,a,18.50,-110,78.33%,67.12,59,144.000,-110,56.92%,,0,-7.61,95.3,102.9,72.5,0,67.793,75.759,12.931,71.441,0.500,0.465,,,1.000,0.000,0.000
11/6/2023,Providence,-4000,77.30%,h,-18.50,-110,21.67%,74.54,78,,-110,43.08%,-4000,0,13.04,106.3,93.2,70.1,0,77.333,71.000,10.939,69.291,0.551,0.512,,,,,
11/6/2023,Georgia Southern,450,47.84%,a,10.50,-110,72.21%,67.94,62,142.000,-110,59.17%,,0,-5.43,94.5,100,71.0,0,68.394,66.697,10.818,68.324,0.517,0.490,,,1.000,0.000,1.000
11/6/2023,Georgia Tech,-600,52.16%,h,-10.50,-110,27.79%,71.15,84,,-110,40.83%,-600,0,3.46,102.2,98.8,69.8,0,69.727,70.758,9.970,68.715,0.513,0.488,,,,,
11/6/2023,Saint Peter's,1400,32.44%,a,17.50,-110,83.48%,62.94,59,126.500,-110,24.35%,,0,-9.56,89.8,99.4,68.1,0,62.063,65.094,10.813,63.981,0.483,0.450,,,1.000,1.000,0.000
11/6/2023,Seton Hall,-4000,67.56%,h,-17.50,-110,16.52%,70.73,70,,-110,75.65%,,0,12.71,105.3,92.5,70.0,0,68.364,65.121,12.879,68.485,0.530,0.494,,,,,
11/6/2023,Towson,900,46.66%,a,15.00,-110,81.63%,66.97,57,139.500,-110,50.34%,,0,2.45,100.4,97.9,68.9,0,71.758,66.727,11.515,66.833,0.540,0.510,,,1.000,0.000,0.000
11/6/2023,Colorado,-1600,53.34%,h,-15.00,-110,18.37%,72.35,75,,-110,49.66%,-1600,0,18.12,108.6,90.5,71.7,0,69.857,67.086,12.657,70.557,0.520,0.490,,,,,
11/6/2023,Arkansas St.,800,29.91%,a,14.50,-110,76.35%,64.47,76,138.500,-110,60.05%,,0,-0.06,98.8,98.9,69.9,0,65.727,67.636,10.879,65.018,0.521,0.490,,,1.000,0.000,1.000
11/6/2023,Wisconsin,-1400,70.09%,h,-14.50,-110,23.65%,71.32,105,,-110,39.95%,-1400,0,20.01,108.2,88.2,68.2,0,65.257,63.571,8.029,63.814,0.510,0.485,,,,,
11/6/2023,FIU,425,37.74%,a,10.00,-110,69.79%,67.89,62,139.000,-110,48.07%,,0,-0.83,98,98.8,73.6,0,73.094,75.125,14.250,72.009,0.552,0.525,,,1.000,0.000,0.000
11/6/2023,UCF,-550,62.26%,h,-10.00,-110,30.21%,71.75,85,,-110,51.93%,,0,9.87,101.9,92,69.4,0,71.529,65.529,12.324,67.029,0.540,0.503,,,,,
11/6/2023,Central Michigan,1500,27.27%,a,20.00,-110,84.33%,64.36,59,136.000,-110,43.14%,,0,-11.68,92.8,104.4,71.1,0,65.742,73.000,15.129,70.329,0.512,0.475,,,1.000,0.000,0.000
11/6/2023,Oklahoma,-4500,72.73%,h,-20.00,-110,15.67%,73.35,89,,-110,56.86%,,0,14.14,105,90.9,68.9,0,67.656,67.531,12.531,67.013,0.558,0.527,,,,,
11/6/2023,Fairfield,800,38.87%,a,14.00,-110,89.71%,66.83,70,131.500,-110,27.19%,,0,-6.13,94.4,100.6,68.8,0,64.903,65.968,10.710,65.374,0.511,0.467,,,1.000,0.000,0.000
11/6/2023,Boston College,-1400,61.13%,h,-14.00,-110,10.29%,69.89,89,,-110,72.81%,-1400,0,2.81,101.1,98.3,69.8,0,66.576,70.212,11.788,67.488,0.522,0.490,,,,,
11/6/2023,Eastern Michigan,950,30.82%,a,16.00,-110,77.04%,66.41,55,139.500,-110,50.16%,,0,-11.98,93.1,105.1,71.3,0,72.226,80.806,11.129,71.406,0.533,0.492,,,1.000,0.000,1.000
11/6/2023,Butler,-1800,69.18%,h,-16.00,-110,22.96%,72.96,94,,-110,49.84%,-1800,0,5.77,101.1,95.3,70.0,0,65.250,67.938,11.188,67.884,0.526,0.496,,,,,
11/6/2023,New Mexico St.,950,22.50%,a,16.00,-110,77.05%,66.66,46,141.500,-110,53.72%,,0,-0.3,99.3,99.6,70.3,0,73.708,71.667,12.292,72.113,0.535,0.506,,,1.000,0.000,0.000
11/6/2023,Kentucky,-1800,77.50%,h,-16.00,-110,22.95%,73.87,86,,-110,46.28%,-1800,0,20.3,111.2,90.9,70.1,0,74.471,67.794,10.941,67.679,0.540,0.509,,,,,
11/6/2023,Elon,1500,20.54%,a,19.50,-110,84.95%,66.59,78,142.000,-110,51.50%,,0,-13.89,92.1,106,69.8,0,65.438,71.594,11.688,67.713,0.517,0.488,,,1.000,0.000,1.000
11/6/2023,Wake Forest,-4500,79.46%,h,-19.50,-110,15.05%,74.91,101,,-110,48.50%,,0,9.68,105.3,95.6,72.2,0,76.606,73.788,11.545,70.906,0.576,0.544,,,,,
11/6/2023,Robert Morris,1000,22.81%,a,16.50,-110,71.09%,65.68,63,143.500,-110,57.51%,,0,-11.17,92.1,103.2,70.1,0,69.303,66.818,12.576,68.127,0.534,0.506,,,1.000,1.000,0.000
11/6/2023,Xavier,-2000,77.19%,h,-16.50,-110,28.91%,75.69,77,,-110,42.49%,-2000,0,16.9,108.8,91.9,72.7,0,80.946,74.081,12.162,73.146,0.579,0.554,,,,,
11/6/2023,Morehead St.,1500,25.95%,a,21.50,-110,79.61%,66.63,73,145.000,-110,56.79%,,0,-3.59,98,101.6,68.4,0,69.824,66.647,10.941,67.700,0.539,0.502,,,1.000,0.000,1.000
11/6/2023,Alabama,-4500,74.05%,h,-21.50,-110,20.39%,76.15,105,,-110,43.21%,,0,22.43,110.5,88,75.4,0,81.811,68.270,13.324,74.262,0.559,0.523,,,,,
11/6/2023,Green Bay,3500,10.28%,a,27.00,-110,91.66%,62.22,44,131.000,-110,29.92%,,0,-17.59,91.8,109.4,70.4,0,59.313,76.469,13.156,67.100,0.497,0.461,,,1.000,0.000,1.000
11/6/2023,Iowa St.,-17241,89.72%,h,-27.00,-110,8.34%,74.40,85,,-110,70.08%,,0,17.45,103.6,86.2,69.3,0,67.606,62.636,12.364,66.524,0.526,0.502,,,,,
11/6/2023,Lindenwood,2200,26.88%,a,22.00,-110,80.11%,65.12,52,142.500,-110,53.76%,,0,-18.57,88.6,107.2,70.7,0,69.563,73.813,12.438,69.869,0.524,0.491,,,1.000,0.000,0.000
11/6/2023,Nebraska,-8929,73.12%,h,-22.00,-110,19.89%,76.26,84,,-110,46.24%,,0,12.34,106.2,93.8,72.1,0,67.969,69.875,12.313,68.206,0.539,0.521,,,,,
11/6/2023,Louisiana Monroe,7467,12.06%,a,30.00,-110,89.87%,62.09,31,135.000,-110,45.09%,,0,-10.83,92.9,103.7,69.9,0,67.406,69.844,11.875,68.091,0.505,0.471,,,1.000,0.000,1.000
11/6/2023,Houston,-62501,87.94%,h,-30.00,-110,10.13%,74.63,84,,-110,54.91%,,0,26.1,112.7,86.6,68.3,0,74.865,57.459,9.459,66.032,0.554,0.523,,,,,
11/6/2023,Northern Illinois,2800,17.78%,a,23.50,-110,84.54%,66.62,70,149.000,-110,65.99%,,0,-6.55,96.1,102.7,72.1,0,72.000,75.031,13.688,72.128,0.548,0.526,,,1.000,1.000,1.000
11/6/2023,Marquette,-12500,82.22%,h,-23.50,-110,15.46%,77.01,92,,-110,34.01%,,0,22.17,112,89.9,71.4,0,79.333,70.278,10.528,70.144,0.583,0.560,,,,,
11/6/2023,James Madison,1000,45.37%,a,16.50,-110,73.45%,67.67,79,145.500,-110,58.67%,,0,2.5,101.1,98.6,73.7,0,80.545,68.061,12.697,73.012,0.558,0.524,,,0.000,1.000,1.000
11/6/2023,Michigan St.,-2000,54.63%,h,-16.50,-110,26.55%,74.51,76,,-110,41.33%,-2000,0,21.56,109.5,88,69.7,0,70.912,67.912,10.294,66.471,0.550,0.519,,,,,
