Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Oklahoma State,REG (Non-Conf),W,64.0,59.0,,26.0,57.0,0.456,5.0,18.0,0.278,21.0,39.0,0.538,0.5,7.0,11.0,0.636,7.0,25.0,32.0,13.0,4.0,1.0,15.0,18.0,23.0,56.0,0.411,5.0,23.0,0.217,18.0,33.0,0.545,0.455,8.0,20.0,0.4,6.0,26.0,32.0,13.0,9.0,2.0,12.0,16.0,90.3,83.3,70.9,0.193,0.316,0.514,50.0,50.0,5.6,3.0,0.5,19.4,21.2,0.123,0.455,15.5,19.4,0.143
2.0,2.0,2023-11-10,@,NC State,REG (Non-Conf),L,64.0,84.0,,20.0,57.0,0.351,5.0,17.0,0.294,15.0,40.0,0.375,0.395,19.0,27.0,0.704,14.0,20.0,34.0,12.0,4.0,3.0,11.0,19.0,29.0,62.0,0.468,6.0,22.0,0.273,23.0,40.0,0.575,0.516,20.0,24.0,0.833,12.0,22.0,34.0,12.0,4.0,3.0,7.0,20.0,94.7,124.2,67.6,0.474,0.298,0.458,50.0,60.0,5.9,7.5,0.395,13.6,38.9,0.333,0.516,8.7,37.5,0.323
3.0,3.0,2023-11-14,,Prairie View A&M,REG (Non-Conf),L,74.0,79.0,,23.0,60.0,0.383,5.0,19.0,0.263,18.0,41.0,0.439,0.425,23.0,29.0,0.793,13.0,21.0,34.0,9.0,8.0,1.0,14.0,25.0,21.0,49.0,0.429,4.0,10.0,0.4,17.0,39.0,0.436,0.469,33.0,34.0,0.971,8.0,26.0,34.0,7.0,8.0,5.0,14.0,23.0,101.4,108.3,73.0,0.483,0.317,0.502,50.0,39.1,11.0,2.6,0.425,15.9,33.3,0.383,0.469,17.7,27.6,0.673
4.0,4.0,2023-11-17,N,San Jose State,REG (Non-Conf),W,77.0,71.0,,25.0,59.0,0.424,7.0,15.0,0.467,18.0,44.0,0.409,0.483,20.0,26.0,0.769,7.0,20.0,27.0,13.0,1.0,3.0,5.0,14.0,28.0,61.0,0.459,8.0,25.0,0.32,20.0,36.0,0.556,0.525,7.0,12.0,0.583,9.0,26.0,35.0,13.0,4.0,3.0,6.0,18.0,115.7,106.7,66.5,0.441,0.254,0.54,43.5,52.0,1.5,8.3,0.483,6.5,21.2,0.339,0.525,8.3,31.0,0.115
5.0,5.0,2023-11-19,N,Fordham,REG (Non-Conf),W,59.0,45.0,,22.0,55.0,0.4,3.0,12.0,0.25,19.0,43.0,0.442,0.427,12.0,17.0,0.706,6.0,23.0,29.0,9.0,11.0,1.0,9.0,19.0,16.0,54.0,0.296,1.0,12.0,0.083,15.0,42.0,0.357,0.306,12.0,21.0,0.571,16.0,25.0,41.0,3.0,5.0,3.0,19.0,16.0,88.7,67.6,66.5,0.309,0.218,0.468,41.4,40.9,16.5,2.4,0.427,12.5,19.4,0.218,0.306,22.9,41.0,0.222
6.0,6.0,2023-11-20,N,Missouri State,REG (Non-Conf),L,69.0,87.0,,25.0,59.0,0.424,7.0,16.0,0.438,18.0,43.0,0.419,0.483,12.0,19.0,0.632,5.0,16.0,21.0,12.0,11.0,2.0,12.0,22.0,30.0,52.0,0.577,7.0,18.0,0.389,23.0,34.0,0.676,0.644,20.0,27.0,0.741,8.0,31.0,39.0,16.0,5.0,3.0,15.0,18.0,94.0,118.5,73.4,0.322,0.271,0.507,35.0,48.0,15.0,5.9,0.483,15.0,13.9,0.203,0.644,18.8,33.3,0.385
7.0,7.0,2023-11-29,@,UT Arlington,REG (Conf),L,71.0,86.0,,25.0,55.0,0.455,8.0,17.0,0.471,17.0,38.0,0.447,0.527,13.0,19.0,0.684,5.0,17.0,22.0,20.0,11.0,1.0,15.0,22.0,27.0,47.0,0.574,12.0,22.0,0.545,15.0,25.0,0.6,0.702,20.0,28.0,0.714,5.0,24.0,29.0,25.0,9.0,4.0,17.0,18.0,97.0,117.5,73.2,0.345,0.309,0.554,43.1,80.0,15.0,4.0,0.527,19.0,17.2,0.236,0.702,22.0,22.7,0.426
8.0,8.0,2023-12-02,,Stephen F. Austin,REG (Conf),L,74.0,79.0,OT,21.0,55.0,0.382,4.0,17.0,0.235,17.0,38.0,0.447,0.418,28.0,35.0,0.8,3.0,23.0,26.0,9.0,15.0,2.0,22.0,24.0,26.0,57.0,0.456,8.0,22.0,0.364,18.0,35.0,0.514,0.526,19.0,29.0,0.655,11.0,32.0,43.0,8.0,8.0,5.0,28.0,26.0,83.0,88.6,79.3,0.636,0.309,0.517,37.7,42.9,16.8,5.7,0.418,23.5,8.6,0.509,0.526,28.3,32.4,0.333
9.0,9.0,2023-12-06,,Northern Arizona,REG (Non-Conf),L,76.0,78.0,,23.0,60.0,0.383,5.0,19.0,0.263,18.0,41.0,0.439,0.425,25.0,31.0,0.806,9.0,19.0,28.0,9.0,12.0,1.0,10.0,18.0,28.0,57.0,0.491,6.0,18.0,0.333,22.0,39.0,0.564,0.544,16.0,20.0,0.8,10.0,31.0,41.0,13.0,5.0,4.0,21.0,26.0,99.2,101.8,76.6,0.517,0.317,0.509,40.6,39.1,15.7,2.6,0.425,11.8,22.5,0.417,0.544,24.0,34.5,0.281
10.0,10.0,2023-12-10,,Howard Payne,REG (Non-Conf),W,120.0,69.0,,46.0,76.0,0.605,8.0,25.0,0.32,38.0,51.0,0.745,0.658,20.0,32.0,0.625,16.0,41.0,57.0,32.0,8.0,0.0,17.0,24.0,24.0,66.0,0.364,8.0,25.0,0.32,16.0,41.0,0.39,0.424,13.0,25.0,0.52,5.0,18.0,23.0,9.0,9.0,1.0,18.0,23.0,131.1,75.4,91.5,0.421,0.329,0.658,71.3,69.6,8.7,0.0,0.658,15.7,47.1,0.263,0.424,18.8,10.9,0.197
11.0,11.0,2023-12-17,,UTEP,REG (Non-Conf),W,88.0,82.0,,24.0,42.0,0.571,6.0,13.0,0.462,18.0,29.0,0.621,0.643,34.0,48.0,0.708,5.0,25.0,30.0,13.0,5.0,1.0,23.0,25.0,26.0,62.0,0.419,5.0,15.0,0.333,21.0,47.0,0.447,0.46,25.0,36.0,0.694,14.0,18.0,32.0,12.0,15.0,0.0,15.0,33.0,108.0,100.7,81.5,1.143,0.31,0.679,48.4,54.2,6.1,2.1,0.643,26.2,21.7,0.81,0.46,15.9,35.9,0.403
12.0,12.0,2023-12-21,@,Arkansas,REG (Non-Conf),L,73.0,83.0,,28.0,72.0,0.389,4.0,16.0,0.25,24.0,56.0,0.429,0.417,13.0,20.0,0.65,9.0,21.0,30.0,15.0,10.0,1.0,8.0,21.0,27.0,52.0,0.519,7.0,15.0,0.467,20.0,37.0,0.541,0.587,22.0,28.0,0.786,7.0,38.0,45.0,9.0,2.0,6.0,17.0,17.0,93.7,106.5,77.9,0.278,0.222,0.448,40.0,53.6,12.8,2.7,0.417,8.9,19.1,0.181,0.587,20.7,25.0,0.423
13.0,13.0,2023-12-30,@,Western Kentucky,REG (Non-Conf),L,84.0,86.0,,32.0,75.0,0.427,11.0,22.0,0.5,21.0,53.0,0.396,0.5,9.0,9.0,1.0,7.0,24.0,31.0,18.0,6.0,0.0,9.0,16.0,35.0,69.0,0.507,7.0,20.0,0.35,28.0,49.0,0.571,0.558,9.0,15.0,0.6,10.0,30.0,40.0,13.0,7.0,4.0,11.0,13.0,106.1,108.6,79.2,0.12,0.293,0.53,43.7,56.3,7.6,0.0,0.5,10.2,18.9,0.12,0.558,12.6,29.4,0.13
14.0,14.0,2024-01-06,,Texas–Rio Grande Valley,REG (Conf),W,91.0,89.0,OT,31.0,58.0,0.534,4.0,12.0,0.333,27.0,46.0,0.587,0.569,25.0,39.0,0.641,5.0,26.0,31.0,17.0,8.0,4.0,15.0,22.0,32.0,62.0,0.516,6.0,19.0,0.316,26.0,43.0,0.605,0.565,19.0,28.0,0.679,8.0,26.0,34.0,18.0,9.0,2.0,21.0,28.0,104.1,101.8,77.7,0.672,0.207,0.595,47.7,54.8,9.2,9.3,0.569,16.4,16.1,0.431,0.565,21.8,23.5,0.306
15.0,15.0,2024-01-11,@,Grand Canyon,REG (Conf),L,64.0,74.0,,24.0,59.0,0.407,2.0,10.0,0.2,22.0,49.0,0.449,0.424,14.0,17.0,0.824,6.0,21.0,27.0,10.0,6.0,0.0,10.0,21.0,25.0,52.0,0.481,5.0,17.0,0.294,20.0,35.0,0.571,0.529,19.0,22.0,0.864,6.0,28.0,34.0,15.0,3.0,8.0,15.0,15.0,89.8,103.8,71.3,0.288,0.169,0.477,44.3,41.7,8.4,0.0,0.424,13.0,17.6,0.237,0.529,19.4,22.2,0.365
16.0,16.0,2024-01-13,@,California Baptist,REG (Conf),L,53.0,68.0,,20.0,56.0,0.357,1.0,12.0,0.083,19.0,44.0,0.432,0.366,12.0,17.0,0.706,9.0,18.0,27.0,7.0,7.0,2.0,11.0,20.0,23.0,57.0,0.404,5.0,17.0,0.294,18.0,40.0,0.45,0.447,17.0,22.0,0.773,13.0,27.0,40.0,10.0,4.0,6.0,11.0,15.0,80.6,103.4,65.8,0.304,0.214,0.414,40.3,35.0,10.6,5.0,0.366,14.7,25.0,0.214,0.447,14.0,41.9,0.298
17.0,17.0,2024-01-18,@,Tarleton State,REG (Conf),L,71.0,79.0,,24.0,61.0,0.393,9.0,18.0,0.5,15.0,43.0,0.349,0.467,14.0,17.0,0.824,8.0,22.0,30.0,13.0,6.0,3.0,9.0,21.0,30.0,57.0,0.526,6.0,15.0,0.4,24.0,42.0,0.571,0.579,13.0,24.0,0.542,10.0,26.0,36.0,16.0,5.0,5.0,9.0,19.0,103.3,114.9,68.7,0.279,0.295,0.514,45.5,54.2,8.7,7.1,0.467,11.5,23.5,0.23,0.579,11.6,31.3,0.228
