Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,,Portland State,REG (Non-Conf),L,55,62,,20,50,0.4,6,25,0.24,14,25,0.56,0.46,9,19,0.474,8,25,33,13,6,2,12,24,18,50,0.36,7,27,0.259,11,23,0.478,0.43,19,29,0.655,12,26,38,5,2,3,12,18,86.8,97.8,63.4,0.38,0.5,0.466,46.5,65.0,9.5,8.7,0.46,16.9,23.5,0.18,0.43,15.8,32.4,0.38
2,2,2023-11-10,@,LIU,REG (Non-Conf),W,82,67,,28,55,0.509,10,23,0.435,18,32,0.563,0.6,16,23,0.696,8,29,37,22,4,7,12,20,23,61,0.377,6,17,0.353,17,44,0.386,0.426,15,24,0.625,11,21,32,19,7,3,10,19,116.0,94.8,70.7,0.418,0.418,0.622,53.6,78.6,5.7,15.9,0.6,15.4,27.6,0.291,0.426,12.1,27.5,0.246
3,3,2023-11-12,@,Delaware,REG (Non-Conf),L,57,65,,23,49,0.469,6,21,0.286,17,28,0.607,0.531,5,7,0.714,5,18,23,14,2,5,11,14,22,49,0.449,6,18,0.333,16,31,0.516,0.51,15,20,0.75,5,20,25,12,8,2,6,10,96.8,110.3,58.9,0.143,0.429,0.545,47.9,60.9,3.4,16.1,0.531,17.4,20.0,0.102,0.51,9.3,21.7,0.306
4,4,2023-11-16,,Lindenwood,REG (Non-Conf),W,76,58,,20,44,0.455,8,17,0.471,12,27,0.444,0.545,28,39,0.718,5,27,32,14,11,7,12,22,16,50,0.32,6,20,0.3,10,30,0.333,0.38,20,23,0.87,8,21,29,8,3,3,16,29,109.8,83.8,69.2,0.886,0.386,0.608,52.5,70.0,15.9,23.3,0.545,16.1,19.2,0.636,0.38,20.8,22.9,0.4
5,5,2023-11-17,,William & Mary,REG (Non-Conf),W,80,71,OT,25,50,0.5,12,24,0.5,13,26,0.5,0.62,18,21,0.857,3,23,26,14,6,6,8,14,27,65,0.415,9,28,0.321,18,37,0.486,0.485,8,13,0.615,10,25,35,7,2,0,9,21,118.4,105.1,60.1,0.42,0.48,0.667,42.6,56.0,8.9,16.2,0.62,11.8,10.7,0.36,0.485,11.2,30.3,0.123
6,6,2023-11-19,,Omaha,REG (Non-Conf),W,58,56,,19,44,0.432,7,25,0.28,12,19,0.632,0.511,13,17,0.765,4,29,33,10,4,6,13,17,20,57,0.351,5,14,0.357,15,43,0.349,0.395,11,16,0.688,8,17,25,8,8,0,10,17,90.9,87.7,63.8,0.386,0.568,0.557,56.9,52.6,6.3,14.0,0.511,20.0,19.0,0.295,0.395,13.4,21.6,0.193
7,7,2023-11-22,,VMI,REG (Non-Conf),W,64,54,,25,56,0.446,8,29,0.276,17,27,0.63,0.518,6,14,0.429,8,24,32,16,8,4,10,9,24,57,0.421,3,16,0.188,21,41,0.512,0.447,3,8,0.375,7,26,33,7,4,3,13,17,97.4,82.2,65.7,0.25,0.518,0.511,49.2,64.0,12.2,9.8,0.518,13.8,23.5,0.107,0.447,17.6,22.6,0.053
8,8,2023-11-26,@,South Dakota,REG (Non-Conf),W,58,57,,21,59,0.356,6,22,0.273,15,37,0.405,0.407,10,18,0.556,8,27,35,14,13,4,6,13,22,56,0.393,6,18,0.333,16,38,0.421,0.446,7,10,0.7,6,26,32,7,3,1,17,15,84.5,83.0,68.7,0.305,0.373,0.429,52.2,66.7,18.9,10.5,0.407,8.2,23.5,0.169,0.446,21.9,18.2,0.125
9,9,2023-12-03,@,Portland,REG (Non-Conf),W,80,58,,31,57,0.544,9,25,0.36,22,32,0.688,0.623,9,14,0.643,6,26,32,19,12,5,12,14,22,52,0.423,7,24,0.292,15,28,0.536,0.49,7,13,0.538,5,18,23,14,7,4,18,11,113.6,82.4,70.4,0.246,0.439,0.628,58.2,61.3,17.0,17.9,0.623,15.9,25.0,0.158,0.49,23.6,16.1,0.135
10,10,2023-12-09,,Eastern Washington,REG (Non-Conf),L,68,73,,22,57,0.386,11,29,0.379,11,28,0.393,0.482,13,17,0.765,9,16,25,14,11,4,15,20,24,46,0.522,10,18,0.556,14,28,0.5,0.63,15,18,0.833,5,25,30,16,8,9,20,21,96.7,103.8,70.3,0.298,0.509,0.522,45.5,63.6,15.6,14.3,0.482,18.7,26.5,0.228,0.63,26.8,23.8,0.326
