Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,@,South Dakota State,REG (Non-Conf),W,81,75,,26,57,0.456,11,27,0.407,15,30,0.5,0.553,18,22,0.818,11,21,32,14,10,2,14,19,28,56,0.5,8,19,0.421,20,37,0.541,0.571,11,13,0.846,5,18,23,14,8,2,12,17,116.0,107.4,69.8,0.386,0.474,0.6,58.2,53.8,14.3,5.4,0.553,17.2,37.9,0.316,0.571,16.2,19.2,0.196
2,2,2023-11-10,,Southern Mississippi,REG (Non-Conf),W,72,54,,26,55,0.473,9,30,0.3,17,25,0.68,0.555,11,13,0.846,3,26,29,14,9,2,12,14,23,58,0.397,5,15,0.333,18,43,0.419,0.44,3,10,0.3,8,22,30,14,8,3,14,19,103.7,77.7,69.5,0.236,0.545,0.588,49.2,53.8,13.0,4.7,0.555,16.4,12.0,0.2,0.44,18.2,23.5,0.052
3,3,2023-11-14,,Heidelberg,REG (Non-Conf),W,114,56,,42,79,0.532,20,43,0.465,22,36,0.611,0.658,10,13,0.769,16,33,49,28,9,4,10,10,23,68,0.338,7,30,0.233,16,38,0.421,0.39,3,8,0.375,9,21,30,8,7,0,17,14,143.4,70.5,79.5,0.165,0.544,0.669,62.0,66.7,11.3,10.5,0.658,10.5,43.2,0.127,0.39,19.1,21.4,0.044
4,4,2023-11-19,N,Florida International,REG (Non-Conf),W,77,71,,26,54,0.481,10,25,0.4,16,29,0.552,0.574,15,25,0.6,8,22,30,16,6,2,19,21,23,53,0.434,8,20,0.4,15,33,0.455,0.509,17,23,0.739,4,16,20,15,14,4,17,24,100.1,92.3,76.9,0.463,0.463,0.584,60.0,61.5,7.8,6.1,0.574,22.4,33.3,0.278,0.509,21.0,15.4,0.321
5,5,2023-11-20,N,Utah State,REG (Non-Conf),L,62,65,,20,53,0.377,5,24,0.208,15,29,0.517,0.425,17,20,0.85,6,23,29,9,6,1,8,18,26,57,0.456,3,10,0.3,23,47,0.489,0.482,10,15,0.667,8,22,30,16,5,3,10,16,94.9,99.5,65.3,0.377,0.453,0.496,49.2,45.0,9.2,2.1,0.425,11.3,21.4,0.321,0.482,13.5,25.8,0.175
6,6,2023-11-21,N,Drake,REG (Non-Conf),L,59,79,,21,48,0.438,5,21,0.238,16,27,0.593,0.49,12,21,0.571,6,16,22,10,2,1,12,17,29,52,0.558,9,26,0.346,20,26,0.769,0.644,12,14,0.857,6,24,30,18,6,0,7,16,95.4,127.8,61.8,0.438,0.438,0.509,42.3,47.6,3.2,3.8,0.49,17.1,20.0,0.25,0.644,10.7,27.3,0.231
7,7,2023-11-28,@,UNLV,REG (Non-Conf),L,70,72,,25,54,0.463,8,18,0.444,17,36,0.472,0.537,12,12,1.0,5,24,29,19,7,6,16,13,30,62,0.484,9,20,0.45,21,42,0.5,0.556,3,6,0.5,6,19,25,20,12,7,14,13,97.5,100.3,71.8,0.222,0.333,0.586,53.7,76.0,9.8,14.3,0.537,21.1,20.8,0.222,0.556,17.8,20.0,0.048
8,8,2023-12-05,,Bradley,REG (Non-Conf),W,67,52,,25,59,0.424,9,24,0.375,16,35,0.457,0.5,8,17,0.471,14,24,38,12,7,5,14,13,21,52,0.404,5,18,0.278,16,34,0.471,0.452,5,12,0.417,7,21,28,10,6,1,12,19,103.3,80.1,64.9,0.288,0.407,0.499,57.6,48.0,10.8,14.7,0.5,17.3,40.0,0.136,0.452,17.2,22.6,0.096
9,9,2023-12-09,@,Northern Kentucky,REG (Non-Conf),W,77,76,,32,55,0.582,8,22,0.364,24,33,0.727,0.655,5,9,0.556,6,17,23,18,3,1,13,18,29,60,0.483,4,15,0.267,25,45,0.556,0.517,14,24,0.583,11,18,29,12,9,1,8,15,114.3,112.9,67.3,0.164,0.4,0.65,44.2,56.3,4.5,2.2,0.655,18.0,25.0,0.091,0.517,10.1,39.3,0.233
10,10,2023-12-17,,MU-Hamilton,REG (Non-Conf),W,88,45,,30,67,0.448,14,42,0.333,16,25,0.64,0.552,14,17,0.824,21,23,44,20,10,1,9,10,19,48,0.396,6,21,0.286,13,27,0.481,0.458,1,4,0.25,6,12,18,9,5,0,17,16,142.0,72.6,62.0,0.254,0.627,0.586,71.0,66.7,16.1,3.7,0.552,10.7,63.6,0.209,0.458,25.4,20.7,0.021
11,11,2023-12-21,,Gardner-Webb,REG (Non-Conf),W,94,90,OT,29,58,0.5,6,17,0.353,23,41,0.561,0.552,30,41,0.732,8,28,36,11,3,3,11,17,30,66,0.455,12,30,0.4,18,36,0.5,0.545,18,24,0.75,10,22,32,10,7,1,11,28,118.3,113.3,70.6,0.707,0.293,0.607,52.9,37.9,3.8,8.3,0.552,12.4,26.7,0.517,0.545,12.4,26.3,0.273
12,12,2023-12-30,N,St. Bonaventure,REG (Non-Conf),L,61,62,,21,48,0.438,7,21,0.333,14,27,0.519,0.51,12,19,0.632,7,23,30,12,3,3,12,13,24,63,0.381,4,15,0.267,20,48,0.417,0.413,10,13,0.769,15,20,35,7,10,4,7,19,99.0,100.6,61.6,0.396,0.438,0.535,46.2,57.1,4.9,6.3,0.51,17.4,25.9,0.25,0.413,9.2,39.5,0.159
13,13,2024-01-02,@,Northern Illinois,REG (Conf),W,73,51,,27,55,0.491,8,19,0.421,19,36,0.528,0.564,11,14,0.786,8,28,36,8,7,0,12,15,17,53,0.321,4,22,0.182,13,31,0.419,0.358,13,16,0.813,6,17,23,5,3,1,13,15,109.6,76.5,66.6,0.255,0.345,0.592,61.0,29.6,10.5,0.0,0.564,16.3,32.0,0.2,0.358,17.7,17.6,0.245
14,14,2024-01-05,,Bowling Green,REG (Conf),W,83,67,,28,56,0.5,10,24,0.417,18,32,0.563,0.589,17,25,0.68,9,23,32,22,7,4,9,22,24,55,0.436,6,23,0.261,18,32,0.563,0.491,13,24,0.542,10,17,27,10,5,0,10,21,123.6,99.8,67.1,0.446,0.429,0.611,54.2,78.6,10.4,12.5,0.589,11.7,34.6,0.304,0.491,13.1,30.3,0.236
15,15,2024-01-09,@,Ball State,REG (Conf),W,80,76,,26,60,0.433,10,28,0.357,16,32,0.5,0.517,18,26,0.692,11,19,30,9,8,2,4,21,24,53,0.453,10,23,0.435,14,30,0.467,0.547,18,23,0.783,10,28,38,15,2,4,13,17,121.0,114.9,66.1,0.433,0.467,0.553,44.1,34.6,12.1,6.7,0.517,5.2,28.2,0.3,0.547,16.9,34.5,0.34
16,16,2024-01-12,,Buffalo,REG (Conf),W,76,59,,31,65,0.477,5,22,0.227,26,43,0.605,0.515,9,12,0.75,6,24,30,16,7,3,5,13,22,60,0.367,6,30,0.2,16,30,0.533,0.417,9,14,0.643,7,26,33,11,2,5,15,11,105.3,81.7,72.2,0.185,0.338,0.537,47.6,51.6,9.7,10.0,0.515,6.6,18.8,0.138,0.417,18.4,22.6,0.15
17,17,2024-01-16,,Western Michigan,REG (Conf),W,77,66,,29,57,0.509,7,17,0.412,22,40,0.55,0.57,12,14,0.857,7,22,29,16,7,5,8,11,27,60,0.45,8,21,0.381,19,39,0.487,0.517,4,5,0.8,8,18,26,12,6,3,11,14,118.4,101.5,65.0,0.246,0.298,0.605,52.7,55.2,10.8,12.8,0.57,11.2,28.0,0.211,0.517,15.0,26.7,0.067
18,18,2024-01-19,@,Kent State,REG (Conf),W,77,71,,29,61,0.475,7,25,0.28,22,36,0.611,0.533,12,17,0.706,9,22,31,5,5,7,5,22,21,52,0.404,9,25,0.36,12,27,0.444,0.49,20,29,0.69,5,22,27,12,3,3,7,15,115.9,106.9,66.4,0.279,0.41,0.557,53.4,17.2,7.5,25.9,0.533,6.7,29.0,0.197,0.49,9.6,18.5,0.385
19,19,2024-01-23,,Ohio,REG (Conf),W,67,58,,18,43,0.419,8,18,0.444,10,25,0.4,0.512,23,29,0.793,3,26,29,11,6,4,13,17,21,54,0.389,6,21,0.286,15,33,0.455,0.444,10,13,0.769,8,23,31,7,6,2,13,22,101.6,87.9,66.0,0.674,0.419,0.59,48.3,61.1,9.1,12.1,0.512,18.6,11.5,0.535,0.444,17.8,23.5,0.185
20,20,2024-01-27,@,Miami (OH),REG (Conf),L,68,70,,19,51,0.373,10,25,0.4,9,26,0.346,0.471,20,25,0.8,8,23,31,7,7,1,8,21,24,47,0.511,7,17,0.412,17,30,0.567,0.585,15,22,0.682,5,28,33,16,7,3,9,20,109.4,112.6,62.2,0.49,0.49,0.541,48.4,36.8,11.3,3.3,0.471,11.3,22.2,0.392,0.585,13.5,17.9,0.319
21,21,2024-01-30,@,Eastern Michigan,REG (Conf),W,77,46,,32,64,0.5,6,25,0.24,26,39,0.667,0.547,7,8,0.875,9,29,38,14,11,0,10,16,18,50,0.36,2,19,0.105,16,31,0.516,0.38,8,14,0.571,3,18,21,4,3,2,14,10,112.9,67.4,68.2,0.125,0.391,0.568,64.4,43.8,16.1,0.0,0.547,12.9,33.3,0.109,0.38,19.8,9.4,0.16
