Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-09,@,North Alabama,REG (Non-Conf),L,67,83,,20,56,0.357,4,14,0.286,16,42,0.381,0.393,23,36,0.639,12,22,34,9,9,2,17,20,26,54,0.481,8,23,0.348,18,31,0.581,0.556,23,27,0.852,6,26,32,14,8,2,16,27,86.5,107.1,77.5,0.643,0.25,0.458,51.5,45.0,11.6,6.5,0.393,18.9,31.6,0.411,0.556,19.3,21.4,0.426
2,2,2023-11-18,@,Lipscomb,REG (Non-Conf),L,81,106,,29,69,0.42,6,21,0.286,23,48,0.479,0.464,17,27,0.63,16,21,37,12,10,4,15,16,36,64,0.563,18,32,0.563,18,32,0.563,0.703,16,19,0.842,6,24,30,26,10,7,14,18,100.1,131.0,80.9,0.391,0.304,0.495,55.2,41.4,12.4,12.5,0.464,15.5,40.0,0.246,0.703,16.1,22.2,0.25
3,3,2023-11-21,@,Auburn,REG (Non-Conf),L,54,84,,19,57,0.333,3,15,0.2,16,42,0.381,0.36,13,17,0.765,6,19,25,6,8,3,13,26,26,55,0.473,6,24,0.25,20,31,0.645,0.527,26,36,0.722,13,32,45,19,9,6,13,17,74.9,116.5,72.1,0.298,0.263,0.415,35.7,31.6,11.1,9.7,0.36,16.7,15.8,0.228,0.527,15.3,40.6,0.473
4,4,2023-11-24,N,East Tennessee State,REG (Non-Conf),L,71,82,,22,51,0.431,6,13,0.462,16,38,0.421,0.49,21,25,0.84,7,22,29,11,5,2,14,26,25,56,0.446,13,31,0.419,12,25,0.48,0.563,19,29,0.655,9,22,31,15,7,2,11,22,100.2,115.8,70.8,0.49,0.255,0.565,48.3,50.0,7.1,8.0,0.49,18.2,24.1,0.412,0.563,13.6,29.0,0.339
5,5,2023-11-25,@,Cleveland State,REG (Non-Conf),L,59,86,,20,55,0.364,1,14,0.071,19,41,0.463,0.373,18,31,0.581,14,12,26,14,10,1,20,20,28,50,0.56,8,19,0.421,20,31,0.645,0.64,22,26,0.846,10,21,31,16,14,6,16,21,81.9,119.4,72.0,0.564,0.255,0.423,45.6,70.0,13.9,3.2,0.373,22.3,40.0,0.327,0.64,20.4,45.5,0.44
6,6,2023-11-29,,Tennessee State,REG (Non-Conf),W,85,83,OT,25,58,0.431,4,13,0.308,21,45,0.467,0.466,31,39,0.795,12,27,39,10,7,7,15,19,29,70,0.414,8,24,0.333,21,46,0.457,0.471,17,26,0.654,12,21,33,19,10,2,15,24,103.1,100.7,73.3,0.672,0.224,0.555,54.2,40.0,8.5,15.2,0.466,16.4,36.4,0.534,0.471,15.4,30.8,0.243
7,7,2023-12-02,@,Vanderbilt,REG (Non-Conf),L,59,78,,18,63,0.286,4,21,0.19,14,42,0.333,0.317,19,20,0.95,10,27,37,8,4,0,12,26,23,53,0.434,8,25,0.32,15,28,0.536,0.509,24,34,0.706,9,31,40,16,5,2,9,15,82.1,108.6,71.8,0.317,0.333,0.407,48.1,44.4,5.6,0.0,0.317,14.2,24.4,0.302,0.509,11.5,25.0,0.453
8,8,2023-12-09,@,Georgia Tech,REG (Non-Conf),L,49,70,,16,58,0.276,2,20,0.1,14,38,0.368,0.293,15,20,0.75,7,16,23,4,12,4,7,20,24,56,0.429,8,28,0.286,16,28,0.571,0.5,14,22,0.636,19,32,51,15,3,2,19,14,73.2,104.5,67.0,0.345,0.345,0.363,31.1,25.0,17.9,14.3,0.293,9.4,17.9,0.259,0.5,22.2,54.3,0.25
9,9,2023-12-11,@,Samford,REG (Non-Conf),L,91,118,,31,61,0.508,2,7,0.286,29,54,0.537,0.525,27,39,0.692,10,21,31,9,18,3,27,25,36,66,0.545,18,30,0.6,18,36,0.5,0.682,28,33,0.848,9,22,31,25,19,5,26,28,93.2,120.9,97.6,0.639,0.115,0.572,50.0,29.0,18.4,8.3,0.525,25.3,31.3,0.443,0.682,24.1,30.0,0.424
10,10,2023-12-13,,UAB,REG (Non-Conf),L,82,93,,26,58,0.448,11,23,0.478,15,35,0.429,0.543,19,22,0.864,9,17,26,14,5,4,12,23,30,59,0.508,8,15,0.533,22,44,0.5,0.576,25,36,0.694,16,23,39,19,9,3,10,19,115.9,131.4,70.8,0.379,0.397,0.599,40.0,53.8,7.1,9.1,0.543,14.9,28.1,0.328,0.576,11.6,48.5,0.424
11,11,2023-12-16,,Chattanooga,REG (Non-Conf),L,72,88,,28,58,0.483,4,19,0.211,24,39,0.615,0.517,12,21,0.571,9,18,27,13,5,4,14,21,29,54,0.537,10,26,0.385,19,28,0.679,0.63,20,28,0.714,7,27,34,16,9,1,12,21,99.1,121.1,72.6,0.362,0.328,0.53,44.3,46.4,6.9,14.3,0.517,17.1,25.0,0.207,0.63,15.1,28.0,0.37
12,12,2023-12-21,@,South Alabama,REG (Non-Conf),L,67,83,,25,63,0.397,1,12,0.083,24,51,0.471,0.405,16,23,0.696,9,28,37,7,6,5,14,18,27,68,0.397,6,25,0.24,21,43,0.488,0.441,23,31,0.742,14,29,43,9,6,3,9,23,85.5,106.0,78.3,0.365,0.19,0.453,46.3,28.0,7.7,11.6,0.405,15.9,23.7,0.254,0.441,9.8,33.3,0.338
