Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1.0,2023-11-06,@,Ole Miss,REG (Non-Conf),L,59.0,69.0,,17.0,62.0,0.274,9.0,25.0,0.36,8.0,37.0,0.216,0.347,16.0,21.0,0.762,7.0,31.0,38.0,9.0,6.0,3.0,11.0,20.0,25.0,68.0,0.368,7.0,29.0,0.241,18.0,39.0,0.462,0.419,12.0,25.0,0.48,11.0,32.0,43.0,14.0,6.0,8.0,8.0,15.0,77.2,90.3,76.4,0.339,0.403,0.41,46.9,52.9,7.9,7.7,0.347,13.3,17.9,0.258,0.419,9.1,26.2,0.176
2,2.0,2023-11-10,@,Iowa,REG (Non-Conf),L,67.0,98.0,,23.0,65.0,0.354,6.0,22.0,0.273,17.0,43.0,0.395,0.4,15.0,20.0,0.75,12.0,27.0,39.0,7.0,5.0,3.0,15.0,29.0,33.0,72.0,0.458,9.0,29.0,0.31,24.0,43.0,0.558,0.521,23.0,35.0,0.657,17.0,27.0,44.0,27.0,6.0,3.0,6.0,15.0,86.4,126.3,77.6,0.308,0.338,0.45,47.0,30.4,6.4,7.0,0.4,16.8,30.8,0.231,0.521,6.3,38.6,0.319
3,3.0,2023-11-14,,Oglethorpe,REG (Non-Conf),W,115.0,51.0,,41.0,76.0,0.539,12.0,32.0,0.375,29.0,44.0,0.659,0.618,21.0,27.0,0.778,15.0,39.0,54.0,24.0,15.0,9.0,9.0,17.0,15.0,56.0,0.268,7.0,29.0,0.241,8.0,27.0,0.296,0.33,14.0,22.0,0.636,4.0,19.0,23.0,7.0,4.0,2.0,19.0,16.0,140.0,62.1,82.1,0.355,0.421,0.647,70.1,58.5,18.3,33.3,0.618,9.2,44.1,0.276,0.33,22.2,9.3,0.25
4,4.0,2023-11-17,@,Memphis,REG (Non-Conf),L,75.0,92.0,,27.0,86.0,0.314,10.0,26.0,0.385,17.0,60.0,0.283,0.372,11.0,15.0,0.733,22.0,15.0,37.0,11.0,12.0,3.0,8.0,22.0,32.0,61.0,0.525,11.0,25.0,0.44,21.0,36.0,0.583,0.615,17.0,23.0,0.739,12.0,34.0,46.0,12.0,7.0,7.0,17.0,14.0,96.1,117.9,78.0,0.174,0.302,0.403,44.6,40.7,15.4,8.3,0.372,7.9,39.3,0.128,0.615,19.1,44.4,0.279
5,5.0,2023-11-22,@,Samford,REG (Non-Conf),L,67.0,99.0,,24.0,69.0,0.348,7.0,29.0,0.241,17.0,40.0,0.425,0.399,12.0,19.0,0.632,11.0,18.0,29.0,10.0,8.0,2.0,10.0,16.0,36.0,62.0,0.581,16.0,35.0,0.457,20.0,27.0,0.741,0.71,11.0,15.0,0.733,6.0,32.0,38.0,26.0,5.0,1.0,13.0,15.0,87.5,129.3,76.6,0.275,0.42,0.429,43.3,41.7,10.4,7.4,0.399,11.4,25.6,0.174,0.71,15.8,25.0,0.177
6,6.0,2023-11-24,N,North Carolina A&T,REG (Non-Conf),W,88.0,73.0,,34.0,61.0,0.557,7.0,16.0,0.438,27.0,45.0,0.6,0.615,13.0,20.0,0.65,10.0,24.0,34.0,16.0,6.0,1.0,10.0,23.0,19.0,55.0,0.345,8.0,29.0,0.276,11.0,26.0,0.423,0.418,27.0,32.0,0.844,7.0,19.0,26.0,12.0,6.0,3.0,10.0,17.0,122.5,101.6,71.9,0.328,0.262,0.624,56.7,47.1,8.4,3.8,0.615,12.4,34.5,0.213,0.418,12.5,22.6,0.491
7,7.0,2023-11-25,N,Merrimack,REG (Non-Conf),W,66.0,60.0,OT,20.0,63.0,0.317,4.0,20.0,0.2,16.0,43.0,0.372,0.349,22.0,26.0,0.846,9.0,31.0,40.0,11.0,7.0,2.0,12.0,21.0,18.0,56.0,0.321,5.0,29.0,0.172,13.0,27.0,0.481,0.366,19.0,24.0,0.792,7.0,30.0,37.0,11.0,9.0,0.0,16.0,20.0,85.3,77.5,68.8,0.413,0.317,0.438,51.9,55.0,9.0,7.4,0.349,13.7,23.1,0.349,0.366,19.2,18.4,0.339
8,8.0,2023-12-03,,MUW,REG (Non-Conf),W,80.0,60.0,,28.0,66.0,0.424,10.0,27.0,0.37,18.0,39.0,0.462,0.5,14.0,19.0,0.737,13.0,23.0,36.0,16.0,8.0,5.0,9.0,11.0,22.0,58.0,0.379,10.0,27.0,0.37,12.0,31.0,0.387,0.466,6.0,10.0,0.6,9.0,24.0,33.0,13.0,5.0,4.0,16.0,18.0,113.7,85.2,70.4,0.288,0.409,0.533,52.2,57.1,11.4,16.1,0.5,10.7,35.1,0.212,0.466,20.3,28.1,0.103
9,9.0,2023-12-13,@,Louisiana State,REG (Non-Conf),L,56.0,74.0,,22.0,61.0,0.361,9.0,26.0,0.346,13.0,35.0,0.371,0.434,3.0,8.0,0.375,11.0,18.0,29.0,10.0,5.0,1.0,13.0,18.0,25.0,48.0,0.521,9.0,23.0,0.391,16.0,25.0,0.64,0.615,15.0,23.0,0.652,6.0,28.0,34.0,11.0,9.0,3.0,14.0,16.0,83.8,110.7,66.9,0.131,0.426,0.432,46.0,45.5,7.5,4.0,0.434,16.7,28.2,0.049,0.615,19.2,25.0,0.313
10,10.0,2023-12-19,,Southern California,REG (Non-Conf),L,59.0,79.0,,23.0,70.0,0.329,8.0,27.0,0.296,15.0,43.0,0.349,0.386,5.0,9.0,0.556,6.0,27.0,33.0,13.0,7.0,7.0,9.0,20.0,24.0,60.0,0.4,10.0,27.0,0.37,14.0,33.0,0.424,0.483,21.0,28.0,0.75,12.0,37.0,49.0,16.0,4.0,6.0,11.0,14.0,78.9,105.6,74.8,0.129,0.386,0.397,40.2,56.5,9.4,21.2,0.386,10.8,14.0,0.071,0.483,13.0,30.8,0.35
