Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,,Morehead State,REG (Non-Conf),W,105,73,,32,57,0.561,10,23,0.435,22,34,0.647,0.649,31,38,0.816,12,24,36,17,13,4,13,17,27,63,0.429,7,23,0.304,20,40,0.5,0.484,12,19,0.632,12,15,27,7,6,3,14,25,139.9,97.3,75.0,0.667,0.404,0.7,57.1,53.1,17.3,10.0,0.649,14.8,44.4,0.544,0.484,16.3,33.3,0.19
2,2,2023-11-10,,Indiana State,REG (Non-Conf),W,102,80,,33,64,0.516,13,23,0.565,20,41,0.488,0.617,23,27,0.852,13,25,38,14,6,7,11,18,27,53,0.509,10,26,0.385,17,27,0.63,0.604,16,26,0.615,4,20,24,10,8,2,13,24,136.8,107.3,74.6,0.422,0.359,0.664,61.3,42.4,8.0,25.9,0.617,12.5,39.4,0.359,0.604,16.6,13.8,0.302
3,3,2023-11-14,,South Alabama,REG (Non-Conf),W,102,46,,34,55,0.618,12,23,0.522,22,32,0.688,0.727,22,30,0.733,11,35,46,21,9,7,10,19,14,61,0.23,5,29,0.172,9,32,0.281,0.27,13,21,0.619,10,13,23,6,6,2,11,21,145.5,65.6,70.1,0.545,0.418,0.736,66.7,61.8,12.8,21.9,0.727,12.6,45.8,0.4,0.27,13.4,22.2,0.213
4,4,2023-11-17,,Mercer,REG (Non-Conf),W,98,67,,35,60,0.583,8,19,0.421,27,41,0.659,0.65,20,29,0.69,9,32,41,16,6,2,11,18,26,64,0.406,3,14,0.214,23,50,0.46,0.43,12,23,0.522,8,18,26,7,6,4,8,24,130.1,88.9,75.4,0.483,0.317,0.664,61.2,45.7,8.0,4.0,0.65,13.0,33.3,0.333,0.43,9.6,20.0,0.188
5,5,2023-11-24,N,Ohio State,REG (Non-Conf),L,81,92,,26,56,0.464,9,30,0.3,17,26,0.654,0.545,20,26,0.769,7,16,23,10,5,3,12,26,27,50,0.54,10,18,0.556,17,32,0.531,0.64,28,30,0.933,6,22,28,10,9,1,14,24,111.3,126.4,72.8,0.464,0.536,0.593,45.1,38.5,6.9,9.4,0.545,14.9,24.1,0.357,0.64,17.9,27.3,0.56
6,6,2023-11-25,N,Oregon,REG (Non-Conf),W,99,91,,32,64,0.5,9,24,0.375,23,40,0.575,0.57,26,28,0.929,14,24,38,15,8,6,16,16,36,69,0.522,7,20,0.35,29,49,0.592,0.572,12,15,0.8,8,16,24,20,9,5,12,24,124.2,114.2,79.7,0.438,0.375,0.64,61.3,46.9,10.0,12.2,0.57,17.1,46.7,0.406,0.572,13.6,25.0,0.174
7,7,2023-11-28,,Clemson,REG (Non-Conf),L,77,85,,23,67,0.343,11,35,0.314,12,32,0.375,0.425,20,26,0.769,12,23,35,12,7,3,7,15,32,60,0.533,11,21,0.524,21,39,0.538,0.625,10,15,0.667,8,33,41,12,4,7,11,22,106.6,117.7,72.2,0.388,0.522,0.485,46.1,52.2,9.7,7.7,0.425,8.1,26.7,0.299,0.625,14.1,25.8,0.167
8,8,2023-12-04,,Arkansas State,REG (Non-Conf),W,89,65,,28,64,0.438,13,31,0.419,15,33,0.455,0.539,20,24,0.833,10,27,37,17,10,8,14,17,22,65,0.338,6,30,0.2,16,35,0.457,0.385,15,21,0.714,11,25,36,10,5,7,14,19,113.1,82.6,78.7,0.375,0.484,0.59,50.7,60.7,12.7,22.9,0.539,15.7,28.6,0.313,0.385,15.7,28.9,0.231
9,9,2023-12-09,N,Purdue,REG (Non-Conf),L,86,92,,29,64,0.453,19,46,0.413,10,18,0.556,0.602,9,14,0.643,10,20,30,20,5,5,13,24,30,62,0.484,8,18,0.444,22,44,0.5,0.548,24,28,0.857,10,22,32,22,9,2,9,15,116.3,124.4,74.0,0.219,0.719,0.609,48.4,69.0,6.8,11.4,0.602,15.5,31.3,0.141,0.548,10.7,33.3,0.387
10,10,2023-12-16,@,Creighton,REG (Non-Conf),L,82,85,,35,75,0.467,4,22,0.182,31,53,0.585,0.493,8,13,0.615,16,19,35,10,5,1,4,25,29,52,0.558,6,18,0.333,23,34,0.676,0.615,21,29,0.724,5,23,28,14,1,5,10,16,117.2,121.5,70.0,0.173,0.293,0.505,55.6,28.6,7.1,2.9,0.493,4.7,41.0,0.107,0.615,13.2,20.8,0.404
