Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1.0,2023-11-06,@,Arkansas,REG (Non-Conf),L,59.0,93.0,,20.0,51.0,0.392,3.0,9.0,0.333,17.0,42.0,0.405,0.422,16.0,26.0,0.615,6.0,18.0,24.0,7.0,7.0,3.0,16.0,27.0,28.0,54.0,0.519,12.0,30.0,0.4,16.0,24.0,0.667,0.63,25.0,37.0,0.676,13.0,28.0,41.0,20.0,10.0,4.0,14.0,22.0,80.9,127.5,73.0,0.51,0.176,0.466,36.9,35.0,9.6,12.5,0.422,20.2,17.6,0.314,0.63,16.4,41.9,0.463
2,2.0,2023-11-08,,Xavier (LA),REG (Non-Conf),W,70.0,62.0,,24.0,60.0,0.4,3.0,15.0,0.2,21.0,45.0,0.467,0.425,19.0,30.0,0.633,13.0,26.0,39.0,10.0,10.0,0.0,7.0,18.0,21.0,53.0,0.396,8.0,20.0,0.4,13.0,33.0,0.394,0.472,12.0,20.0,0.6,8.0,21.0,29.0,8.0,5.0,3.0,12.0,24.0,103.9,92.0,67.4,0.5,0.25,0.471,57.4,41.7,14.8,0.0,0.425,8.6,38.2,0.317,0.472,16.1,23.5,0.226
3,3.0,2023-11-14,@,Arkansas State,REG (Non-Conf),L,86.0,100.0,,28.0,56.0,0.5,3.0,7.0,0.429,25.0,49.0,0.51,0.527,27.0,34.0,0.794,11.0,21.0,32.0,10.0,9.0,1.0,7.0,16.0,34.0,65.0,0.523,19.0,43.0,0.442,15.0,22.0,0.682,0.669,13.0,17.0,0.765,11.0,20.0,31.0,28.0,4.0,5.0,10.0,23.0,122.7,142.6,70.1,0.607,0.125,0.596,50.8,35.7,12.8,4.5,0.527,8.8,35.5,0.482,0.669,12.0,34.4,0.2
4,4.0,2023-11-16,@,UAB,REG (Non-Conf),L,77.0,80.0,,30.0,74.0,0.405,6.0,24.0,0.25,24.0,50.0,0.48,0.446,11.0,18.0,0.611,9.0,20.0,29.0,10.0,17.0,3.0,11.0,21.0,27.0,57.0,0.474,7.0,19.0,0.368,20.0,38.0,0.526,0.535,19.0,28.0,0.679,11.0,31.0,42.0,10.0,9.0,7.0,18.0,17.0,95.1,98.9,80.9,0.243,0.324,0.466,40.8,33.3,21.0,7.9,0.446,11.8,22.5,0.149,0.535,20.4,35.5,0.333
5,5.0,2023-11-19,@,Michigan State,REG (Non-Conf),L,49.0,81.0,,16.0,61.0,0.262,5.0,18.0,0.278,11.0,43.0,0.256,0.303,12.0,20.0,0.6,12.0,24.0,36.0,9.0,5.0,1.0,11.0,17.0,30.0,57.0,0.526,10.0,25.0,0.4,20.0,32.0,0.625,0.614,11.0,21.0,0.524,9.0,27.0,36.0,24.0,7.0,9.0,9.0,18.0,71.8,118.7,68.2,0.328,0.295,0.348,50.0,56.3,7.3,3.1,0.303,13.5,30.8,0.197,0.614,11.8,27.3,0.193
6,6.0,2023-11-21,@,TCU,REG (Non-Conf),L,74.0,93.0,,27.0,63.0,0.429,6.0,19.0,0.316,21.0,44.0,0.477,0.476,14.0,23.0,0.609,10.0,24.0,34.0,14.0,7.0,1.0,17.0,24.0,27.0,57.0,0.474,7.0,27.0,0.259,20.0,30.0,0.667,0.535,32.0,39.0,0.821,8.0,27.0,35.0,20.0,11.0,5.0,13.0,21.0,91.7,115.2,80.7,0.365,0.302,0.501,49.3,51.9,8.7,3.3,0.476,18.7,27.0,0.222,0.535,14.7,25.0,0.561
7,7.0,2023-11-22,@,UT Arlington,REG (Non-Conf),L,69.0,82.0,,25.0,63.0,0.397,9.0,21.0,0.429,16.0,42.0,0.381,0.468,10.0,13.0,0.769,4.0,16.0,20.0,14.0,4.0,0.0,1.0,18.0,29.0,61.0,0.475,13.0,38.0,0.342,16.0,23.0,0.696,0.582,11.0,15.0,0.733,15.0,29.0,44.0,24.0,1.0,4.0,10.0,17.0,106.7,126.8,64.7,0.206,0.333,0.499,31.3,56.0,6.2,0.0,0.468,1.4,12.1,0.159,0.582,12.8,48.4,0.18
8,8.0,2023-11-24,@,Clemson,REG (Non-Conf),L,69.0,90.0,,26.0,52.0,0.5,5.0,14.0,0.357,21.0,38.0,0.553,0.548,12.0,21.0,0.571,2.0,26.0,28.0,8.0,4.0,3.0,7.0,16.0,34.0,70.0,0.486,11.0,29.0,0.379,23.0,41.0,0.561,0.564,11.0,18.0,0.611,10.0,28.0,38.0,26.0,5.0,2.0,6.0,15.0,97.5,127.2,70.8,0.404,0.269,0.557,42.4,30.8,5.7,7.3,0.548,10.1,6.7,0.231,0.564,7.1,27.8,0.157
9,9.0,2023-12-10,@,VCU,REG (Non-Conf),L,58.0,86.0,,19.0,55.0,0.345,4.0,14.0,0.286,15.0,41.0,0.366,0.382,16.0,19.0,0.842,7.0,20.0,27.0,9.0,6.0,0.0,10.0,14.0,29.0,60.0,0.483,17.0,39.0,0.436,12.0,21.0,0.571,0.625,11.0,13.0,0.846,9.0,25.0,34.0,22.0,8.0,7.0,11.0,16.0,85.8,127.2,67.6,0.345,0.255,0.453,44.3,47.4,8.9,0.0,0.382,13.5,21.9,0.291,0.625,14.3,31.0,0.183
10,10.0,2023-12-12,@,Maryland,REG (Non-Conf),L,65.0,105.0,,26.0,59.0,0.441,5.0,9.0,0.556,21.0,50.0,0.42,0.483,8.0,16.0,0.5,10.0,16.0,26.0,9.0,6.0,2.0,17.0,24.0,30.0,57.0,0.526,14.0,30.0,0.467,16.0,27.0,0.593,0.649,31.0,40.0,0.775,11.0,22.0,33.0,20.0,9.0,5.0,8.0,14.0,88.7,143.2,73.3,0.271,0.153,0.488,44.1,34.6,8.2,7.4,0.483,20.3,31.3,0.136,0.649,9.5,40.7,0.544
