Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,@,Villanova,REG (Non-Conf),L,63,90,,21,62,0.339,9,30,0.3,12,32,0.375,0.411,12,16,0.75,8,17,25,15,6,2,9,17,32,59,0.542,10,27,0.37,22,32,0.688,0.627,16,19,0.842,8,29,37,19,5,2,7,19,91.6,130.8,68.8,0.258,0.484,0.453,40.3,71.4,8.7,6.3,0.411,11.5,21.6,0.194,0.627,9.3,32.0,0.271
2,2,2023-11-09,@,William & Mary,REG (Non-Conf),L,56,75,,22,60,0.367,5,27,0.185,17,33,0.515,0.408,7,10,0.7,9,22,31,10,7,1,9,26,22,45,0.489,7,20,0.35,15,25,0.6,0.567,24,32,0.75,6,24,30,11,5,0,12,16,85.5,114.5,65.5,0.167,0.45,0.432,50.8,45.5,10.7,4.0,0.408,12.2,27.3,0.117,0.567,16.6,21.4,0.533
3,3,2023-11-13,,Siena,REG (Non-Conf),W,78,58,,30,57,0.526,9,23,0.391,21,34,0.618,0.605,9,13,0.692,9,15,24,18,12,2,10,19,22,47,0.468,6,18,0.333,16,29,0.552,0.532,8,18,0.444,8,15,23,10,3,4,19,14,119.3,88.7,65.4,0.228,0.404,0.617,51.1,60.0,18.4,6.9,0.605,13.7,37.5,0.158,0.532,25.5,34.8,0.17
4,4,2023-11-16,,NJIT,REG (Non-Conf),W,87,73,,29,60,0.483,13,31,0.419,16,29,0.552,0.592,16,21,0.762,8,26,34,21,5,3,9,12,30,58,0.517,5,17,0.294,25,41,0.61,0.56,8,10,0.8,3,21,24,11,7,2,10,19,123.6,103.7,70.4,0.35,0.517,0.622,58.6,72.4,7.1,7.3,0.592,11.4,27.6,0.267,0.56,13.7,10.3,0.138
5,5,2023-11-19,@,Georgetown,REG (Non-Conf),L,83,88,OT,29,62,0.468,9,27,0.333,20,35,0.571,0.54,16,21,0.762,12,26,38,12,6,1,12,20,30,61,0.492,10,28,0.357,20,33,0.606,0.574,18,26,0.692,10,21,31,13,5,4,10,19,114.2,121.1,64.6,0.339,0.435,0.577,55.1,41.4,8.3,3.0,0.54,14.3,36.4,0.258,0.574,12.0,27.8,0.295
6,6,2023-11-22,,Mount St. Mary's,REG (Non-Conf),W,68,65,,23,58,0.397,11,28,0.393,12,30,0.4,0.491,11,17,0.647,12,20,32,14,9,2,12,18,25,59,0.424,4,18,0.222,21,41,0.512,0.458,11,17,0.647,11,22,33,9,5,5,14,19,99.9,95.5,68.1,0.293,0.483,0.515,49.2,60.9,13.2,4.9,0.491,15.4,35.3,0.19,0.458,17.3,35.5,0.186
7,7,2023-11-26,,Hood,REG (Non-Conf),W,103,74,,36,70,0.514,19,45,0.422,17,25,0.68,0.65,12,18,0.667,15,30,45,28,7,2,6,18,25,58,0.431,15,36,0.417,10,22,0.455,0.56,9,17,0.529,5,20,25,13,2,0,10,19,146.5,105.2,70.3,0.257,0.643,0.656,64.3,77.8,10.0,9.1,0.65,7.1,42.9,0.171,0.56,13.1,14.3,0.155
8,8,2023-11-29,@,Harvard,REG (Non-Conf),L,75,80,,27,61,0.443,9,27,0.333,18,34,0.529,0.516,12,16,0.75,9,24,33,13,2,1,13,17,28,53,0.528,10,19,0.526,18,34,0.529,0.623,14,22,0.636,3,19,22,12,6,3,7,15,107.1,114.2,70.0,0.262,0.443,0.547,60.0,48.1,2.9,2.9,0.516,15.9,32.1,0.197,0.623,9.9,11.1,0.264
9,9,2023-12-02,,Saint Francis (PA),REG (Non-Conf),L,73,75,,27,57,0.474,11,29,0.379,16,28,0.571,0.57,8,11,0.727,9,25,34,17,7,2,14,20,25,56,0.446,11,28,0.393,14,28,0.5,0.545,14,19,0.737,8,21,29,17,9,4,9,15,109.6,112.6,66.6,0.193,0.509,0.587,54.0,63.0,10.5,7.1,0.57,18.4,30.0,0.14,0.545,12.2,24.2,0.25
10,10,2023-12-06,@,Saint Joseph's,REG (Non-Conf),L,53,69,,19,51,0.373,3,24,0.125,16,27,0.593,0.402,12,17,0.706,11,11,22,8,5,2,7,10,26,55,0.473,12,31,0.387,14,24,0.583,0.582,5,6,0.833,11,24,35,14,3,2,9,13,95.6,124.4,55.5,0.333,0.471,0.449,38.6,42.1,9.0,8.3,0.402,10.6,31.4,0.235,0.582,13.5,50.0,0.091
