Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-07,,Oakland City,REG (Non-Conf),W,87,49,,32,71,0.451,9,27,0.333,23,44,0.523,0.514,14,29,0.483,16,32,48,18,11,7,7,10,17,60,0.283,6,27,0.222,11,33,0.333,0.333,9,14,0.643,9,28,37,5,4,3,18,20,114.9,64.7,75.7,0.408,0.38,0.513,56.5,56.3,14.5,21.2,0.514,7.6,36.4,0.197,0.333,21.3,22.0,0.15
2,2,2023-11-11,@,Northern Illinois,REG (Non-Conf),L,78,91,,32,77,0.416,5,19,0.263,27,58,0.466,0.448,9,16,0.563,18,22,40,10,7,2,12,22,29,58,0.5,9,23,0.391,20,35,0.571,0.578,24,29,0.828,6,27,33,15,3,3,14,14,98.5,114.9,79.2,0.208,0.247,0.461,54.8,31.3,8.8,5.7,0.448,12.4,40.0,0.117,0.578,16.3,21.4,0.414
3,3,2023-11-14,@,Oregon State,REG (Non-Conf),L,71,81,OT,26,63,0.413,9,27,0.333,17,36,0.472,0.484,10,17,0.588,10,28,38,13,3,8,13,18,26,64,0.406,13,34,0.382,13,30,0.433,0.508,16,21,0.762,9,30,39,14,8,3,11,17,94.6,108.0,66.7,0.27,0.429,0.499,49.4,50.0,4.0,26.7,0.484,15.5,25.0,0.159,0.508,12.9,24.3,0.25
4,4,2023-11-21,N,UNC Wilmington,REG (Non-Conf),W,86,56,,35,58,0.603,8,22,0.364,27,36,0.75,0.672,8,13,0.615,6,35,41,21,6,6,8,10,19,62,0.306,9,27,0.333,10,35,0.286,0.379,9,9,1.0,5,19,24,8,3,1,6,11,128.9,83.9,66.7,0.224,0.379,0.67,63.1,60.0,9.0,17.1,0.672,11.1,24.0,0.138,0.379,8.3,12.5,0.145
5,5,2023-11-22,N,Murray State,REG (Non-Conf),W,67,57,,24,61,0.393,7,26,0.269,17,35,0.486,0.451,12,16,0.75,9,28,37,13,5,7,10,14,22,58,0.379,3,18,0.167,19,40,0.475,0.405,10,16,0.625,7,26,33,6,5,2,10,17,97.0,82.5,69.1,0.262,0.426,0.488,52.9,54.2,7.2,17.5,0.451,12.7,25.7,0.197,0.405,13.2,20.0,0.172
6,6,2023-11-26,,Austin Peay,REG (Non-Conf),W,78,58,,29,57,0.509,9,23,0.391,20,34,0.588,0.588,11,12,0.917,9,25,34,15,7,7,11,11,24,66,0.364,5,16,0.313,19,50,0.38,0.402,5,7,0.714,10,19,29,9,9,2,11,14,115.5,85.9,67.5,0.211,0.404,0.622,54.0,51.7,10.4,14.0,0.588,14.9,32.1,0.193,0.402,13.7,28.6,0.076
7,7,2023-11-29,,East Tennessee State,REG (Non-Conf),W,72,61,,23,44,0.523,6,20,0.3,17,24,0.708,0.591,20,26,0.769,4,28,32,14,2,9,11,17,23,67,0.343,7,23,0.304,16,44,0.364,0.396,8,16,0.5,11,18,29,7,8,2,5,22,109.1,92.5,66.0,0.591,0.455,0.639,52.5,60.9,3.0,20.5,0.591,16.3,18.2,0.455,0.396,6.3,28.2,0.119
8,8,2023-12-03,,Auburn,REG (Non-Conf),W,69,64,,22,51,0.431,8,17,0.471,14,34,0.412,0.51,17,23,0.739,4,23,27,9,6,2,6,13,26,66,0.394,3,27,0.111,23,39,0.59,0.417,9,19,0.474,18,24,42,17,3,2,10,18,105.4,97.7,65.5,0.451,0.333,0.557,39.1,40.9,9.2,5.1,0.51,8.8,14.3,0.333,0.417,11.8,43.9,0.136
9,9,2023-12-05,,Central Penn,REG (Non-Conf),W,111,35,,44,87,0.506,12,36,0.333,32,51,0.627,0.575,11,14,0.786,24,52,76,31,9,16,15,21,10,75,0.133,1,22,0.045,9,53,0.17,0.14,14,25,0.56,10,15,25,3,10,2,12,11,127.9,40.3,86.8,0.161,0.414,0.593,75.2,70.5,10.4,30.2,0.575,13.8,61.5,0.126,0.14,12.1,16.1,0.187
10,10,2023-12-13,@,Queens (NC),REG (Non-Conf),W,93,81,,34,61,0.557,9,24,0.375,25,37,0.676,0.631,16,18,0.889,7,23,30,19,9,5,9,16,28,55,0.509,11,26,0.423,17,29,0.586,0.609,14,16,0.875,3,18,21,13,4,1,13,18,129.0,112.4,72.1,0.295,0.393,0.669,58.8,55.9,12.5,17.2,0.631,11.5,28.0,0.262,0.609,17.2,11.5,0.255
11,11,2023-12-16,N,Gardner-Webb,REG (Non-Conf),W,80,59,,34,67,0.507,6,23,0.261,28,44,0.636,0.552,6,17,0.353,7,28,35,19,9,6,4,11,21,60,0.35,6,24,0.25,15,36,0.417,0.4,11,17,0.647,8,31,39,6,3,2,13,14,110.2,81.3,72.6,0.254,0.343,0.533,47.3,55.9,12.4,16.7,0.552,5.1,18.4,0.09,0.4,16.0,22.2,0.183
12,12,2023-12-21,N,UNC Asheville,REG (Non-Conf),L,63,76,,23,64,0.359,3,24,0.125,20,40,0.5,0.383,14,22,0.636,9,26,35,10,9,7,7,14,28,62,0.452,14,25,0.56,14,37,0.378,0.565,6,11,0.545,9,34,43,17,3,3,13,18,87.7,105.8,71.8,0.344,0.375,0.423,44.9,43.5,12.5,18.9,0.383,8.6,20.9,0.219,0.565,16.2,25.7,0.097
13,13,2023-12-30,,Louisiana–Monroe,REG (Conf),W,67,55,,25,60,0.417,4,27,0.148,21,33,0.636,0.45,13,16,0.813,10,27,37,15,5,7,8,11,23,62,0.371,4,11,0.364,19,51,0.373,0.403,5,13,0.385,10,24,34,13,6,1,11,16,99.4,81.6,67.4,0.267,0.45,0.496,52.1,60.0,7.4,13.7,0.45,10.6,29.4,0.217,0.403,13.9,27.0,0.081
14,14,2024-01-04,@,South Alabama,REG (Conf),W,91,84,OT,36,64,0.563,5,14,0.357,31,50,0.62,0.602,14,22,0.636,7,29,36,18,6,4,11,13,33,74,0.446,7,23,0.304,26,51,0.51,0.493,11,12,0.917,9,21,30,11,8,2,9,17,115.1,106.2,70.3,0.344,0.219,0.611,54.5,50.0,7.6,7.8,0.602,12.9,25.0,0.219,0.493,10.1,23.7,0.149
15,15,2024-01-06,@,Troy,REG (Conf),L,62,66,,23,56,0.411,5,18,0.278,18,38,0.474,0.455,11,18,0.611,10,29,39,10,5,7,14,15,25,64,0.391,8,25,0.32,17,39,0.436,0.453,8,12,0.667,6,27,33,11,13,0,10,18,87.2,92.8,71.1,0.321,0.321,0.48,54.2,43.5,7.0,17.9,0.455,17.8,27.0,0.196,0.453,12.5,17.1,0.125
16,16,2024-01-11,@,Coastal Carolina,REG (Conf),W,70,45,,28,62,0.452,7,22,0.318,21,40,0.525,0.508,7,11,0.636,12,29,41,15,5,5,10,12,18,57,0.316,2,19,0.105,16,38,0.421,0.333,7,11,0.636,8,23,31,10,7,2,12,8,106.5,68.5,65.7,0.177,0.355,0.521,56.9,53.6,7.6,13.2,0.508,12.9,34.3,0.113,0.333,16.2,21.6,0.123
17,17,2024-01-13,@,James Madison,REG (Conf),W,59,55,,25,54,0.463,4,14,0.286,21,40,0.525,0.5,5,9,0.556,12,26,38,11,8,7,23,11,23,64,0.359,3,17,0.176,20,47,0.426,0.383,6,7,0.857,10,16,26,10,17,1,12,10,85.1,79.4,69.3,0.167,0.259,0.506,59.4,44.0,11.5,14.9,0.5,28.3,42.9,0.093,0.383,15.1,27.8,0.094
18,18,2024-01-17,,Georgia State,REG (Conf),W,76,68,,29,65,0.446,4,15,0.267,25,50,0.5,0.477,14,24,0.583,16,33,49,18,3,7,8,10,26,69,0.377,10,28,0.357,16,41,0.39,0.449,6,8,0.75,8,25,33,10,6,1,7,15,108.4,97.0,70.1,0.369,0.231,0.497,59.8,62.1,4.3,17.1,0.477,9.5,39.0,0.215,0.449,8.8,19.5,0.087
19,19,2024-01-20,,Coastal Carolina,REG (Conf),W,88,59,,36,64,0.563,8,20,0.4,28,44,0.636,0.625,8,13,0.615,10,29,39,19,9,8,9,9,25,69,0.362,4,16,0.25,21,53,0.396,0.391,5,5,1.0,12,20,32,8,6,5,12,11,125.2,84.0,70.3,0.203,0.313,0.627,54.9,52.8,12.8,15.1,0.625,11.4,33.3,0.125,0.391,14.4,29.3,0.072
20,20,2024-01-25,,Georgia Southern,REG (Conf),W,84,74,,28,60,0.467,7,20,0.35,21,40,0.525,0.525,21,36,0.583,15,26,41,12,6,9,11,18,27,61,0.443,3,14,0.214,24,47,0.511,0.467,17,23,0.739,6,23,29,5,9,1,10,25,112.7,99.3,74.5,0.6,0.333,0.545,58.6,42.9,8.1,19.1,0.525,12.5,39.5,0.35,0.467,12.2,18.8,0.279
21,21,2024-01-27,,James Madison,REG (Conf),W,82,76,,23,55,0.418,6,15,0.4,17,40,0.425,0.473,30,40,0.75,9,27,36,11,7,12,10,14,29,69,0.42,6,17,0.353,23,52,0.442,0.464,12,17,0.706,10,24,34,12,8,4,13,29,105.8,98.0,77.5,0.727,0.273,0.554,51.4,47.8,9.0,23.1,0.473,11.9,27.3,0.545,0.464,14.4,27.0,0.174
22,22,2024-02-01,@,Georgia State,REG (Conf),W,81,71,,29,66,0.439,6,18,0.333,23,48,0.479,0.485,17,26,0.654,8,34,42,17,4,9,6,9,29,76,0.382,8,19,0.421,21,57,0.368,0.434,5,9,0.556,13,24,37,16,5,6,6,16,108.3,94.9,74.8,0.394,0.273,0.517,53.2,58.6,5.3,15.8,0.485,7.1,25.0,0.258,0.434,7.0,27.7,0.066
23,23,2024-02-03,@,Georgia Southern,REG (Conf),W,85,84,OT,34,71,0.479,8,18,0.444,26,53,0.491,0.535,9,16,0.563,13,22,35,14,4,6,12,11,36,68,0.529,10,24,0.417,26,44,0.591,0.603,2,6,0.333,8,21,29,16,8,5,13,18,110.8,109.5,68.2,0.225,0.254,0.541,54.7,41.2,5.2,13.6,0.535,13.2,38.2,0.127,0.603,15.5,26.7,0.029
24,24,2024-02-07,@,Texas State,REG (Conf),L,56,63,,21,51,0.412,4,19,0.211,17,32,0.531,0.451,10,14,0.714,5,26,31,11,7,8,12,13,24,57,0.421,4,9,0.444,20,48,0.417,0.456,11,15,0.733,6,25,31,12,9,2,9,16,85.0,95.6,65.9,0.275,0.373,0.486,50.0,52.4,10.6,16.7,0.451,17.2,16.7,0.196,0.456,12.3,18.8,0.193
25,25,2024-02-10,,Toledo,REG (Non-Conf),W,109,104,2OT,40,66,0.606,8,18,0.444,32,48,0.667,0.667,21,29,0.724,2,31,33,16,12,11,15,12,40,81,0.494,11,24,0.458,29,57,0.509,0.562,13,17,0.765,10,24,34,15,14,3,14,19,117.3,111.9,74.3,0.439,0.273,0.683,49.3,40.0,12.9,19.3,0.667,15.8,7.7,0.318,0.562,13.6,24.4,0.16
26,26,2024-02-15,,Marshall,REG (Conf),W,73,58,,29,57,0.509,5,12,0.417,24,45,0.533,0.553,10,18,0.556,6,32,38,14,8,6,12,9,22,67,0.328,8,21,0.381,14,46,0.304,0.388,6,8,0.75,13,22,35,9,9,2,12,17,103.3,82.1,70.7,0.316,0.211,0.557,52.1,48.3,11.3,13.0,0.553,15.5,21.4,0.175,0.388,14.5,28.9,0.09
27,27,2024-02-17,,Louisiana,REG (Conf),W,85,73,,31,64,0.484,8,16,0.5,23,48,0.479,0.547,15,17,0.882,10,22,32,11,7,5,5,8,31,69,0.449,6,22,0.273,25,47,0.532,0.493,5,5,1.0,10,23,33,10,2,2,8,15,124.6,107.0,68.2,0.266,0.25,0.59,49.2,35.5,10.3,10.6,0.547,6.5,30.3,0.234,0.493,10.1,31.3,0.072
28,28,2024-02-22,@,Old Dominion,REG (Conf),W,82,67,,30,62,0.484,9,18,0.5,21,44,0.477,0.556,13,21,0.619,15,29,44,15,6,7,13,16,26,64,0.406,6,21,0.286,20,43,0.465,0.453,9,13,0.692,7,19,26,9,9,6,8,15,116.2,94.9,70.6,0.339,0.29,0.57,62.9,50.0,8.5,16.3,0.556,15.3,44.1,0.21,0.453,10.2,19.4,0.141
29,29,2024-02-24,@,Marshall,REG (Conf),W,65,58,,22,58,0.379,7,19,0.368,15,39,0.385,0.44,14,20,0.7,13,32,45,11,5,1,9,10,24,73,0.329,3,23,0.13,21,50,0.42,0.349,7,9,0.778,13,23,36,9,7,3,8,18,95.7,85.4,67.9,0.345,0.328,0.481,55.6,50.0,7.4,2.0,0.44,11.8,36.1,0.241,0.349,9.4,28.9,0.096
30,30,2024-02-28,,Old Dominion,REG (Conf),W,89,64,,32,63,0.508,7,17,0.412,25,46,0.543,0.563,18,24,0.75,11,33,44,15,5,2,8,13,23,61,0.377,11,23,0.478,12,38,0.316,0.467,7,10,0.7,2,20,22,7,3,3,7,17,125.2,90.0,71.1,0.381,0.27,0.598,66.7,46.9,7.0,5.3,0.563,9.7,35.5,0.286,0.467,9.6,5.7,0.115
31,31,2024-03-01,,Arkansas State,REG (Conf),W,80,57,,31,63,0.492,8,17,0.471,23,46,0.5,0.556,10,12,0.833,8,36,44,12,4,8,9,13,24,68,0.353,5,26,0.192,19,42,0.452,0.39,4,14,0.286,11,23,34,7,8,1,8,14,113.2,80.7,70.7,0.19,0.27,0.582,56.4,38.7,5.7,19.0,0.556,11.6,25.8,0.159,0.39,9.7,23.4,0.059
32,32,2024-03-09,N,Georgia Southern,CTOURN,W,85,80,OT,30,58,0.517,2,10,0.2,28,48,0.583,0.534,23,27,0.852,9,31,40,17,3,12,15,13,30,82,0.366,9,25,0.36,21,57,0.368,0.421,11,15,0.733,12,17,29,12,11,1,4,21,107.6,101.3,70.2,0.466,0.172,0.6,58.0,56.7,3.8,21.1,0.534,17.5,34.6,0.397,0.421,4.3,27.9,0.134
33,33,2024-03-10,N,Arkansas State,CTOURN,L,65,67,,26,53,0.491,4,12,0.333,22,41,0.537,0.528,9,13,0.692,6,16,22,10,3,3,4,12,26,59,0.441,5,15,0.333,21,44,0.477,0.483,10,12,0.833,9,21,30,8,3,1,7,14,108.4,111.8,59.9,0.245,0.226,0.549,42.3,38.5,5.0,6.8,0.528,6.3,22.2,0.17,0.483,9.8,36.0,0.169
34,34,2024-03-20,@,Wake Forest,NIT,L,76,87,,31,67,0.463,7,27,0.259,24,40,0.6,0.515,7,8,0.875,6,21,27,14,4,4,8,20,28,58,0.483,6,18,0.333,22,40,0.55,0.534,25,31,0.806,6,28,34,9,3,6,9,13,102.3,117.2,74.3,0.119,0.403,0.537,44.3,45.2,5.4,10.0,0.515,10.2,17.6,0.104,0.534,11.0,22.2,0.431
1,1,2024-11-04,,Miami (OH),REG (Non-Conf),L,63,77,,21,53,0.396,9,32,0.281,12,21,0.571,0.481,12,21,0.571,10,20,30,11,8,5,18,16,27,59,0.458,11,25,0.44,16,34,0.471,0.551,12,13,0.923,4,25,29,9,13,4,14,18,86.2,105.4,73.1,0.396,0.604,0.5,50.8,52.4,10.9,14.7,0.481,22.2,28.6,0.226,0.551,17.7,16.7,0.203
2,2,2024-11-06,,St. Andrews,REG (Non-Conf),W,108,54,,39,69,0.565,10,25,0.4,29,44,0.659,0.638,20,31,0.645,12,40,52,23,7,13,6,13,20,70,0.286,4,25,0.16,16,45,0.356,0.314,10,15,0.667,5,17,22,6,5,6,9,18,136.0,68.0,79.4,0.449,0.362,0.645,70.3,59.0,8.8,28.9,0.638,6.7,41.4,0.29,0.314,10.4,11.1,0.143
3,3,2024-11-10,@,Wisconsin,REG (Non-Conf),L,56,87,,21,56,0.375,7,24,0.292,14,32,0.438,0.438,7,13,0.538,9,22,31,11,2,2,18,19,33,70,0.471,8,28,0.286,25,42,0.595,0.529,13,16,0.813,13,27,40,17,14,1,6,18,79.0,122.7,70.9,0.232,0.429,0.45,43.7,52.4,2.8,4.8,0.438,22.5,25.0,0.125,0.529,7.2,37.1,0.186
4,4,2024-11-19,,Queens (NC),REG (Non-Conf),W,65,53,,22,47,0.468,5,14,0.357,17,33,0.515,0.521,16,30,0.533,9,31,40,8,10,5,14,17,21,66,0.318,6,37,0.162,15,29,0.517,0.364,5,13,0.385,15,17,32,12,9,7,12,24,96.0,78.3,67.7,0.638,0.298,0.531,55.6,36.4,14.8,17.2,0.521,18.6,34.6,0.34,0.364,14.3,32.6,0.076
5,5,2024-11-24,,William & Mary,REG (Non-Conf),W,79,76,,26,56,0.464,15,29,0.517,11,27,0.407,0.598,12,24,0.5,10,24,34,17,7,2,10,14,29,63,0.46,9,31,0.29,20,32,0.625,0.532,9,10,0.9,8,21,29,17,4,3,9,20,116.0,111.6,68.1,0.429,0.518,0.586,54.0,65.4,10.3,6.3,0.598,12.9,32.3,0.214,0.532,11.7,25.0,0.143
6,6,2024-11-27,N,Sam Houston State,REG (Non-Conf),W,66,63,,21,53,0.396,7,24,0.292,14,29,0.483,0.462,17,22,0.773,7,26,33,11,4,3,11,15,25,64,0.391,3,14,0.214,22,50,0.44,0.414,10,14,0.714,13,22,35,9,7,3,9,20,98.4,94.0,67.1,0.415,0.453,0.52,48.5,52.4,6.0,6.0,0.462,14.8,24.1,0.321,0.414,11.3,33.3,0.156
7,7,2024-11-29,N,Colgate,REG (Non-Conf),W,72,50,,30,56,0.536,10,26,0.385,20,30,0.667,0.625,2,5,0.4,8,27,35,18,5,2,7,10,20,53,0.377,8,27,0.296,12,26,0.462,0.453,2,5,0.4,7,18,25,13,4,0,10,13,124.4,86.4,57.9,0.089,0.464,0.617,58.3,60.0,8.6,7.7,0.625,10.7,30.8,0.036,0.453,15.3,20.6,0.038
8,8,2024-11-30,@,UNC Wilmington,REG (Non-Conf),L,61,76,,21,53,0.396,2,17,0.118,19,36,0.528,0.415,17,21,0.81,9,22,31,6,0,5,9,18,25,61,0.41,8,26,0.308,17,35,0.486,0.475,18,22,0.818,13,21,34,13,5,3,4,18,97.3,121.2,62.7,0.396,0.321,0.484,47.7,28.6,0.0,14.3,0.415,12.5,30.0,0.321,0.475,5.3,37.1,0.295
9,9,2024-12-03,,Mid-Atl Christian,REG (Non-Conf),W,85,43,,33,62,0.532,12,30,0.4,21,32,0.656,0.629,7,14,0.5,10,38,48,22,5,10,15,12,17,68,0.25,5,13,0.385,12,55,0.218,0.287,4,9,0.444,13,20,33,4,12,3,10,17,118.9,60.2,71.5,0.226,0.484,0.619,59.3,66.7,7.0,18.2,0.629,17.9,33.3,0.113,0.287,12.2,25.5,0.059
10,10,2024-12-14,N,High Point,REG (Non-Conf),L,59,65,,20,57,0.351,5,14,0.357,15,43,0.349,0.395,14,18,0.778,10,28,38,9,7,3,16,14,22,61,0.361,6,29,0.207,16,32,0.5,0.41,15,18,0.833,9,27,36,10,13,4,13,21,81.3,89.6,72.6,0.316,0.246,0.45,51.4,45.0,9.6,9.4,0.395,19.6,27.0,0.246,0.41,15.7,24.3,0.246
11,11,2024-12-18,@,Louisiana,REG (Conf),L,62,68,,20,48,0.417,4,18,0.222,16,30,0.533,0.458,18,29,0.621,4,23,27,8,9,2,11,18,23,55,0.418,9,24,0.375,14,31,0.452,0.5,13,17,0.765,7,26,33,12,4,3,12,21,90.6,99.4,68.4,0.604,0.375,0.502,45.0,40.0,13.2,6.5,0.458,15.1,13.3,0.375,0.5,16.0,23.3,0.236
12,12,2024-12-20,@,North Texas,REG (Non-Conf),L,64,68,,22,42,0.524,7,19,0.368,15,23,0.652,0.607,13,16,0.813,4,14,18,10,7,0,10,17,24,48,0.5,5,20,0.25,19,28,0.679,0.552,15,19,0.789,11,17,28,11,8,3,10,14,114.7,121.8,55.8,0.381,0.452,0.645,39.1,45.5,12.5,0.0,0.607,16.8,19.0,0.31,0.552,14.9,44.0,0.313
13,13,2025-01-02,,Troy,REG (Conf),L,61,69,,21,56,0.375,8,26,0.308,13,30,0.433,0.446,11,16,0.688,7,20,27,14,10,2,8,10,25,57,0.439,12,35,0.343,13,22,0.591,0.544,7,10,0.7,9,26,35,18,7,5,12,16,94.3,106.7,64.7,0.286,0.464,0.48,43.5,66.7,15.5,9.1,0.446,11.2,21.2,0.196,0.544,16.3,31.0,0.123
14,14,2025-01-04,,Texas State,REG (Conf),W,72,61,,27,51,0.529,12,22,0.545,15,29,0.517,0.647,6,9,0.667,4,28,32,15,5,3,11,10,23,61,0.377,8,22,0.364,15,39,0.385,0.443,7,7,1.0,4,19,23,11,7,1,8,12,110.3,93.4,65.3,0.176,0.431,0.651,58.2,55.6,7.7,7.7,0.647,16.6,17.4,0.118,0.443,11.1,12.5,0.115
