Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-08,N,Mississippi State,REG (Non-Conf),L,56,71,,17,53,0.321,5,21,0.238,12,32,0.375,0.368,17,26,0.654,6,21,27,11,7,1,10,19,22,55,0.4,10,26,0.385,12,29,0.414,0.491,17,22,0.773,10,32,42,11,7,3,14,18,80.7,102.3,69.4,0.491,0.396,0.428,39.1,64.7,10.1,3.4,0.368,13.3,15.8,0.321,0.491,17.6,32.3,0.309
2,2,2023-11-11,,Texas Southern,REG (Non-Conf),W,63,52,,21,57,0.368,6,18,0.333,15,39,0.385,0.421,15,28,0.536,12,28,40,12,11,5,14,12,22,68,0.324,5,29,0.172,17,39,0.436,0.36,3,7,0.429,12,32,44,13,5,1,18,22,84.2,69.5,74.8,0.491,0.316,0.448,47.6,57.1,14.7,12.8,0.421,16.6,27.3,0.263,0.36,20.2,30.0,0.044
3,3,2023-11-16,,UMass Lowell,REG (Non-Conf),W,71,69,,26,63,0.413,7,23,0.304,19,40,0.475,0.468,12,21,0.571,12,18,30,12,13,5,9,12,26,54,0.481,6,16,0.375,20,38,0.526,0.537,11,14,0.786,11,28,39,10,5,2,21,18,101.0,98.1,70.3,0.333,0.365,0.486,43.5,46.2,18.5,13.2,0.468,11.0,30.0,0.19,0.537,25.7,37.9,0.204
4,4,2023-11-24,N,Brigham Young,REG (Non-Conf),L,49,77,,19,57,0.333,2,20,0.1,17,37,0.459,0.351,9,18,0.5,7,22,29,7,6,0,9,17,27,66,0.409,14,33,0.424,13,33,0.394,0.515,9,12,0.75,17,32,49,18,6,0,13,16,72.5,113.9,67.6,0.316,0.351,0.374,37.2,36.8,8.9,0.0,0.351,12.1,17.9,0.158,0.515,15.3,43.6,0.136
5,4,2023-11-24,N,Vanderbilt,REG (Non-Conf),W,82,67,,29,56,0.518,10,22,0.455,19,34,0.559,0.607,14,17,0.824,6,29,35,14,5,5,10,20,24,64,0.375,5,29,0.172,19,35,0.543,0.414,14,20,0.7,10,20,30,14,6,1,5,20,120.1,98.1,68.3,0.304,0.393,0.64,53.8,48.3,7.3,14.3,0.607,13.5,23.1,0.25,0.414,6.4,25.6,0.219
6,6,2023-11-29,,Sam Houston State,REG (Non-Conf),W,78,61,,33,64,0.516,4,18,0.222,29,46,0.63,0.547,8,19,0.421,7,32,39,19,8,7,10,15,24,68,0.353,5,22,0.227,19,46,0.413,0.39,8,11,0.727,12,28,40,13,5,3,15,17,102.5,80.1,76.1,0.297,0.281,0.534,49.4,57.6,10.5,15.2,0.547,12.0,20.0,0.125,0.39,17.0,27.3,0.118
7,7,2023-12-03,,San Francisco,REG (Non-Conf),W,72,61,,27,58,0.466,5,15,0.333,22,43,0.512,0.509,13,21,0.619,6,30,36,12,7,2,13,15,23,63,0.365,5,30,0.167,18,33,0.545,0.405,10,14,0.714,9,26,35,10,6,3,14,18,96.2,81.5,74.8,0.362,0.259,0.53,50.7,44.4,9.4,6.1,0.509,16.1,18.8,0.224,0.405,16.7,23.1,0.159
8,8,2023-12-06,,SMU,REG (Non-Conf),W,76,74,,19,52,0.365,6,20,0.3,13,32,0.406,0.423,32,43,0.744,5,28,33,11,10,5,8,17,29,64,0.453,6,21,0.286,23,43,0.535,0.5,10,19,0.526,12,31,43,13,6,2,15,27,100.4,97.7,75.7,0.827,0.385,0.525,43.4,57.9,13.2,11.6,0.423,9.9,13.9,0.615,0.5,17.0,30.0,0.156
9,9,2023-12-09,@,San Diego,REG (Non-Conf),L,84,89,,29,61,0.475,12,29,0.414,17,32,0.531,0.574,14,24,0.583,7,26,33,19,13,5,12,12,33,71,0.465,12,29,0.414,21,42,0.5,0.549,11,15,0.733,10,31,41,21,7,2,14,17,105.3,111.6,79.8,0.393,0.475,0.58,44.6,65.5,16.3,11.9,0.574,14.2,18.4,0.23,0.549,15.2,27.8,0.155
10,10,2023-12-16,N,TCU,REG (Non-Conf),L,59,79,,20,52,0.385,5,20,0.25,15,32,0.469,0.433,14,21,0.667,4,25,29,11,7,6,19,14,31,68,0.456,6,18,0.333,25,50,0.5,0.5,11,15,0.733,12,28,40,24,13,4,12,19,77.6,103.9,76.1,0.404,0.385,0.476,42.0,55.0,9.2,12.0,0.433,23.5,12.5,0.269,0.5,13.8,32.4,0.162
