Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,,Morgan State,REG (Non-Conf),W,122,59,,42,76,0.553,12,27,0.444,30,49,0.612,0.632,26,32,0.813,20,27,47,26,16,7,7,16,22,56,0.393,7,22,0.318,15,34,0.441,0.455,8,15,0.533,6,17,23,10,3,6,25,25,152.2,73.6,80.2,0.421,0.355,0.669,67.1,61.9,20.0,20.6,0.632,7.1,54.1,0.342,0.455,28.4,18.2,0.143
2,2,2023-11-10,@,Duke,REG (Non-Conf),W,78,73,,30,65,0.462,6,17,0.353,24,48,0.5,0.508,12,18,0.667,12,29,41,17,8,5,17,17,28,65,0.431,8,23,0.348,20,42,0.476,0.492,9,12,0.75,5,22,27,14,9,3,11,17,100.5,94.0,77.6,0.277,0.262,0.53,60.3,56.7,10.3,11.9,0.508,18.8,35.3,0.185,0.492,13.5,14.7,0.138
3,3,2023-11-13,,Southern,REG (Non-Conf),W,97,59,,31,58,0.534,7,17,0.412,24,41,0.585,0.595,28,36,0.778,13,34,47,21,7,2,23,16,20,63,0.317,6,29,0.207,14,34,0.412,0.365,13,19,0.684,6,17,23,11,12,2,14,27,117.5,71.5,82.6,0.621,0.293,0.646,67.1,67.7,8.5,5.9,0.595,23.4,43.3,0.483,0.365,16.3,15.0,0.206
4,4,2023-11-17,,Belmont,REG (Non-Conf),W,100,68,,37,68,0.544,8,21,0.381,29,47,0.617,0.603,18,27,0.667,16,32,48,22,7,4,14,19,23,61,0.377,12,27,0.444,11,34,0.324,0.475,10,17,0.588,4,17,21,16,9,4,14,20,126.7,86.1,79.0,0.397,0.309,0.619,69.6,59.5,8.9,11.8,0.603,14.8,48.5,0.265,0.475,16.9,11.1,0.164
5,5,2023-11-19,,UT Arlington,REG (Non-Conf),W,101,56,,38,73,0.521,11,24,0.458,27,49,0.551,0.596,14,15,0.933,10,32,42,27,12,7,11,13,22,61,0.361,7,25,0.28,15,36,0.417,0.418,5,12,0.417,5,19,24,15,6,5,18,18,125.6,69.6,80.4,0.205,0.329,0.63,63.6,71.1,14.9,19.4,0.596,12.1,34.5,0.192,0.418,21.3,13.5,0.082
6,6,2023-11-23,N,Michigan State,REG (Non-Conf),W,74,68,,27,59,0.458,5,19,0.263,22,40,0.55,0.5,15,20,0.75,9,22,31,13,8,5,10,18,26,64,0.406,5,17,0.294,21,47,0.447,0.445,11,14,0.786,9,23,32,10,6,2,9,17,105.6,97.0,70.1,0.339,0.322,0.54,49.2,48.1,11.4,10.6,0.5,12.7,28.1,0.254,0.445,11.3,29.0,0.172
7,7,2023-12-02,,Colgate,REG (Non-Conf),W,82,55,,33,71,0.465,7,23,0.304,26,48,0.542,0.514,9,15,0.6,13,30,43,21,13,1,12,9,22,53,0.415,7,22,0.318,15,31,0.484,0.481,4,7,0.571,0,24,24,11,7,0,18,16,108.3,72.6,75.7,0.211,0.324,0.525,64.2,63.6,17.2,3.2,0.514,13.3,35.1,0.127,0.481,24.2,0.0,0.075
8,8,2023-12-09,,Wisconsin,REG (Non-Conf),W,98,73,,35,60,0.583,12,26,0.462,23,34,0.676,0.683,16,26,0.615,4,33,37,26,5,6,7,16,29,70,0.414,10,21,0.476,19,49,0.388,0.486,5,8,0.625,6,18,24,13,3,0,8,18,129.7,96.6,75.6,0.433,0.433,0.677,60.7,74.3,6.6,12.2,0.683,8.8,18.2,0.267,0.486,9.8,15.4,0.071
9,9,2023-12-16,N,Purdue,REG (Non-Conf),L,84,92,,32,62,0.516,6,16,0.375,26,46,0.565,0.565,14,16,0.875,5,21,26,24,8,1,13,19,35,65,0.538,10,24,0.417,25,41,0.61,0.615,12,19,0.632,11,20,31,22,10,3,12,14,110.1,120.6,76.3,0.258,0.258,0.603,45.6,75.0,10.5,2.4,0.565,15.7,20.0,0.226,0.615,13.9,34.4,0.185
10,10,2023-12-20,N,Alabama,REG (Non-Conf),W,87,74,,28,65,0.431,4,17,0.235,24,48,0.5,0.462,27,37,0.73,14,30,44,14,13,3,14,20,22,65,0.338,8,40,0.2,14,25,0.56,0.4,22,26,0.846,13,22,35,12,10,3,17,25,106.1,90.3,82.0,0.569,0.262,0.527,55.7,50.0,15.9,12.0,0.462,14.5,38.9,0.415,0.4,18.0,30.2,0.338
11,11,2023-12-23,N,Florida Atlantic,REG (Non-Conf),L,95,96,2OT,33,85,0.388,7,25,0.28,26,60,0.433,0.429,22,26,0.846,22,28,50,18,12,1,12,20,36,72,0.5,8,24,0.333,28,48,0.583,0.556,16,20,0.8,6,26,32,11,9,1,16,24,106.2,107.4,71.5,0.306,0.294,0.488,61.0,54.5,13.4,2.1,0.429,11.0,45.8,0.259,0.556,16.4,17.6,0.222
12,12,2023-12-29,@,California,REG (Conf),W,100,81,,35,59,0.593,6,13,0.462,29,46,0.63,0.644,24,36,0.667,8,33,41,17,7,2,15,19,28,68,0.412,9,31,0.29,19,37,0.514,0.478,16,27,0.593,7,22,29,14,7,4,12,22,118.4,95.9,84.5,0.61,0.22,0.657,58.6,48.6,8.3,5.4,0.644,16.5,26.7,0.407,0.478,12.9,17.5,0.235
13,13,2023-12-31,@,Stanford,REG (Conf),L,82,100,,32,73,0.438,7,26,0.269,25,47,0.532,0.486,11,15,0.733,11,21,32,12,8,1,8,14,36,62,0.581,16,25,0.64,20,37,0.541,0.71,12,14,0.857,5,26,31,25,3,6,12,17,107.3,130.9,76.4,0.205,0.356,0.512,50.8,37.5,10.5,2.7,0.486,9.1,29.7,0.151,0.71,14.9,19.2,0.194
14,14,2024-01-04,,Colorado,REG (Conf),W,97,50,,40,71,0.563,11,20,0.55,29,51,0.569,0.641,6,10,0.6,14,29,43,19,10,4,11,16,20,55,0.364,4,15,0.267,16,40,0.4,0.4,6,10,0.6,4,18,22,13,4,2,16,10,134.3,69.2,72.3,0.141,0.282,0.64,66.2,47.5,13.8,10.0,0.641,12.7,43.8,0.085,0.4,21.1,12.1,0.109
15,15,2024-01-06,,Utah,REG (Conf),W,92,73,,38,63,0.603,10,18,0.556,28,45,0.622,0.683,6,9,0.667,8,32,40,22,7,5,17,13,28,68,0.412,10,35,0.286,18,33,0.545,0.485,7,9,0.778,5,18,23,16,10,4,11,12,119.1,94.5,77.3,0.143,0.286,0.684,63.5,57.9,9.1,15.2,0.683,20.2,30.8,0.095,0.485,13.2,13.5,0.103
16,16,2024-01-13,@,Washington State,REG (Conf),L,70,73,,25,72,0.347,7,24,0.292,18,48,0.375,0.396,13,21,0.619,19,23,42,14,7,2,10,18,26,56,0.464,4,13,0.308,22,43,0.512,0.5,17,21,0.81,7,28,35,12,6,8,9,18,99.3,103.6,70.5,0.292,0.333,0.427,54.5,56.0,9.9,4.7,0.396,10.9,40.4,0.181,0.5,12.0,23.3,0.304
