Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,@,Missouri,REG (Non-Conf),L,79,101,,23,57,0.404,8,29,0.276,15,28,0.536,0.474,25,31,0.806,8,15,23,8,9,2,16,18,36,64,0.563,12,30,0.4,24,34,0.706,0.656,17,19,0.895,8,26,34,19,7,9,13,26,100.2,128.1,78.9,0.544,0.509,0.551,40.4,34.8,11.4,5.9,0.474,18.2,23.5,0.439,0.656,15.1,34.8,0.266
2,2,2023-11-09,,Champion Christian,REG (Non-Conf),W,116,73,,44,84,0.524,16,36,0.444,28,48,0.583,0.619,12,15,0.8,12,36,48,25,10,2,11,20,28,76,0.368,4,28,0.143,24,48,0.5,0.395,13,25,0.52,9,25,34,11,9,4,13,17,127.5,80.2,91.0,0.179,0.429,0.636,58.5,56.8,11.0,4.2,0.619,10.8,32.4,0.143,0.395,12.9,20.0,0.171
3,3,2023-11-11,,SW Christian,REG (Non-Conf),W,112,68,,44,73,0.603,16,31,0.516,28,42,0.667,0.712,8,10,0.8,7,35,42,24,12,3,14,14,28,66,0.424,7,24,0.292,21,42,0.5,0.477,5,10,0.5,5,21,26,16,8,2,18,12,132.9,80.7,84.3,0.137,0.425,0.72,61.8,54.5,14.2,7.1,0.712,15.3,25.0,0.11,0.477,20.3,12.5,0.076
4,4,2023-11-13,@,Central Arkansas,REG (Non-Conf),W,85,83,,25,56,0.446,12,25,0.48,13,31,0.419,0.554,23,28,0.821,5,19,24,10,9,0,14,19,29,67,0.433,8,31,0.258,21,36,0.583,0.493,17,21,0.81,12,25,37,19,7,4,18,22,105.4,102.9,80.6,0.5,0.446,0.613,39.3,40.0,11.2,0.0,0.554,16.8,16.7,0.411,0.493,19.0,38.7,0.254
5,5,2023-11-18,,Incarnate Word,REG (Non-Conf),L,81,100,,26,56,0.464,8,22,0.364,18,34,0.529,0.536,21,29,0.724,4,14,18,18,5,2,7,21,34,56,0.607,7,18,0.389,27,38,0.711,0.67,25,30,0.833,10,27,37,18,4,2,15,19,109.4,135.1,74.0,0.518,0.393,0.58,32.7,69.2,6.8,5.3,0.536,9.1,12.9,0.375,0.67,17.6,41.7,0.446
6,6,2023-11-21,@,Minnesota,REG (Non-Conf),L,67,86,,21,58,0.362,8,23,0.348,13,35,0.371,0.431,17,21,0.81,7,21,28,11,11,3,14,20,31,69,0.449,11,36,0.306,20,33,0.606,0.529,13,18,0.722,12,29,41,24,9,5,14,18,86.7,111.3,77.3,0.362,0.397,0.493,40.6,52.4,14.2,9.1,0.431,17.1,19.4,0.293,0.529,15.3,36.4,0.188
7,7,2023-11-24,@,Ball State,REG (Non-Conf),L,74,92,,25,59,0.424,13,29,0.448,12,30,0.4,0.534,11,15,0.733,10,14,24,15,4,2,12,21,33,54,0.611,12,22,0.545,21,32,0.656,0.722,14,22,0.636,6,22,28,23,7,0,14,12,105.3,130.9,70.3,0.254,0.492,0.56,46.2,60.0,5.7,6.3,0.534,15.4,31.3,0.186,0.722,17.8,30.0,0.259
8,8,2023-11-27,,Arkansas Baptist,REG (Non-Conf),W,85,60,,32,68,0.471,8,34,0.235,24,34,0.706,0.529,13,17,0.765,13,32,45,26,6,9,14,18,20,59,0.339,3,19,0.158,17,40,0.425,0.364,17,23,0.739,7,25,32,14,6,2,14,12,110.4,77.9,77.0,0.25,0.5,0.559,58.4,81.3,7.8,22.5,0.529,15.5,34.2,0.191,0.364,16.7,17.9,0.288
9,9,2023-11-30,@,Oklahoma,REG (Non-Conf),L,86,107,,28,65,0.431,8,23,0.348,20,42,0.476,0.492,22,27,0.815,9,19,28,7,5,0,12,19,40,70,0.571,13,30,0.433,27,40,0.675,0.664,14,17,0.824,11,25,36,26,8,7,12,19,107.6,133.8,80.0,0.415,0.354,0.553,43.8,25.0,6.3,0.0,0.492,13.4,26.5,0.338,0.664,13.3,36.7,0.2
10,10,2023-12-05,@,Gonzaga,REG (Non-Conf),L,71,111,,19,71,0.268,15,44,0.341,4,27,0.148,0.373,18,24,0.75,7,21,28,15,5,3,8,17,45,79,0.57,10,24,0.417,35,55,0.636,0.633,11,14,0.786,16,41,57,28,5,6,15,17,84.5,132.1,84.0,0.338,0.62,0.431,32.9,78.9,6.0,5.5,0.373,8.8,14.6,0.254,0.633,14.9,43.2,0.139
11,11,2023-12-09,@,Connecticut,REG (Non-Conf),L,63,101,,21,59,0.356,12,30,0.4,9,29,0.31,0.458,9,15,0.6,5,14,19,12,5,2,13,27,33,59,0.559,13,28,0.464,20,31,0.645,0.669,22,31,0.71,10,27,37,21,5,9,7,17,87.0,139.5,72.4,0.254,0.508,0.476,33.9,57.1,6.9,6.5,0.458,16.4,15.6,0.153,0.669,8.7,41.7,0.373
12,12,2023-12-12,@,South Florida,REG (Non-Conf),L,86,104,,33,56,0.589,10,22,0.455,23,34,0.676,0.679,10,15,0.667,4,21,25,14,4,0,16,22,36,67,0.537,10,27,0.37,26,40,0.65,0.612,22,29,0.759,16,20,36,27,8,4,9,16,115.5,139.7,74.5,0.268,0.393,0.681,41.0,42.4,5.4,0.0,0.679,20.2,16.7,0.179,0.612,10.0,43.2,0.328
13,13,2023-12-18,,Ecclesia,REG (Non-Conf),W,125,75,,42,65,0.646,21,40,0.525,21,25,0.84,0.808,20,24,0.833,8,33,41,33,9,4,16,21,23,57,0.404,9,25,0.36,14,32,0.438,0.482,20,30,0.667,1,13,14,15,9,1,12,16,150.0,90.0,83.3,0.369,0.615,0.818,74.5,78.6,10.8,12.5,0.808,17.3,38.1,0.308,0.482,14.4,2.9,0.351
