Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,@,Wisconsin,REG (Non-Conf),L,76,105,,24,59,0.407,4,21,0.19,20,38,0.526,0.441,24,33,0.727,8,18,26,7,7,0,17,21,39,60,0.65,6,12,0.5,33,48,0.688,0.7,21,30,0.7,6,24,30,17,7,3,14,24,91.6,126.6,83.0,0.559,0.356,0.509,46.4,29.2,8.4,0.0,0.441,18.5,25.0,0.407,0.7,15.9,25.0,0.35
2,2,2023-11-11,@,Bowling Green,REG (Non-Conf),L,75,81,,32,65,0.492,7,22,0.318,25,43,0.581,0.546,4,9,0.444,6,25,31,15,3,6,10,17,30,60,0.5,6,18,0.333,24,42,0.571,0.55,15,20,0.75,6,27,33,9,8,4,6,13,105.1,113.5,71.4,0.138,0.338,0.541,48.4,46.9,4.2,14.3,0.546,12.6,18.2,0.062,0.55,7.9,19.4,0.25
3,3,2023-11-14,,Alcorn State,REG (Non-Conf),W,100,86,,34,65,0.523,19,43,0.442,15,22,0.682,0.669,13,17,0.765,11,20,31,28,4,5,10,23,28,56,0.5,3,7,0.429,25,49,0.51,0.527,27,34,0.794,11,21,32,10,9,1,7,16,142.6,122.7,70.1,0.262,0.662,0.684,49.2,82.4,5.7,10.2,0.669,12.0,34.4,0.2,0.527,8.8,35.5,0.482
4,4,2023-11-17,@,Iowa,REG (Non-Conf),L,74,88,,28,68,0.412,10,24,0.417,18,44,0.409,0.485,8,17,0.471,15,27,42,16,5,4,18,30,27,58,0.466,2,12,0.167,25,46,0.543,0.483,32,46,0.696,10,28,38,14,11,8,7,17,94.9,112.9,78.0,0.25,0.353,0.486,52.5,57.1,6.4,8.7,0.485,19.1,34.9,0.118,0.483,8.1,27.0,0.552
5,5,2023-11-24,N,San Diego,REG (Non-Conf),L,57,71,,20,68,0.294,4,24,0.167,16,44,0.364,0.324,13,18,0.722,15,31,46,11,5,7,15,17,26,64,0.406,6,14,0.429,20,50,0.4,0.453,13,18,0.722,8,29,37,15,10,8,11,13,75.0,93.4,76.1,0.265,0.353,0.372,55.4,55.0,6.6,14.0,0.324,16.4,34.1,0.191,0.453,13.2,20.5,0.203
6,6,2023-11-25,N,Texas–Rio Grande Valley,REG (Non-Conf),W,75,58,,24,59,0.407,12,29,0.414,12,30,0.4,0.508,15,20,0.75,15,31,46,16,4,5,14,19,19,60,0.317,1,9,0.111,18,51,0.353,0.325,19,27,0.704,10,17,27,7,9,6,7,15,109.2,84.5,68.7,0.339,0.492,0.547,63.0,66.7,5.8,9.8,0.508,17.0,46.9,0.254,0.325,8.8,24.4,0.317
7,7,2023-11-28,,Jackson State,REG (Non-Conf),L,71,75,,21,54,0.389,14,34,0.412,7,20,0.35,0.519,15,25,0.6,8,20,28,14,5,2,12,23,24,57,0.421,4,15,0.267,20,42,0.476,0.456,23,29,0.793,13,28,41,12,8,6,13,20,101.0,106.6,70.3,0.463,0.63,0.539,40.6,66.7,7.1,4.8,0.519,15.4,22.2,0.278,0.456,15.5,39.4,0.404
8,8,2023-12-01,@,Little Rock,REG (Non-Conf),L,66,77,,22,61,0.361,7,26,0.269,15,35,0.429,0.418,15,24,0.625,13,18,31,7,7,5,20,19,26,57,0.456,7,22,0.318,19,35,0.543,0.518,18,25,0.72,11,23,34,12,12,5,14,20,87.3,101.8,75.6,0.393,0.426,0.456,47.7,31.8,9.3,14.3,0.418,21.6,36.1,0.246,0.518,16.9,37.9,0.316
9,9,2023-12-04,@,Alabama,REG (Non-Conf),L,65,89,,22,65,0.338,6,30,0.2,16,35,0.457,0.385,15,21,0.714,11,25,36,10,5,7,14,19,28,64,0.438,13,31,0.419,15,33,0.455,0.539,20,24,0.833,10,27,37,17,10,8,14,17,82.6,113.1,78.7,0.323,0.462,0.433,49.3,45.5,6.4,21.2,0.385,15.7,28.9,0.231,0.539,15.7,28.6,0.313
10,10,2023-12-09,,UAB,REG (Non-Conf),W,87,68,,33,65,0.508,13,30,0.433,20,35,0.571,0.608,8,11,0.727,8,23,31,21,10,3,5,14,25,57,0.439,6,24,0.25,19,33,0.576,0.491,12,16,0.75,9,26,35,14,5,5,13,13,128.1,100.1,67.9,0.169,0.462,0.619,47.0,63.6,14.7,9.1,0.608,6.6,23.5,0.123,0.491,16.8,28.1,0.211
