Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,,Alcorn State,REG (Non-Conf),W,93,59,,28,54,0.519,12,30,0.4,16,24,0.667,0.63,25,37,0.676,13,28,41,20,10,4,14,22,20,51,0.392,3,9,0.333,17,42,0.405,0.422,16,26,0.615,6,18,24,7,7,3,16,27,127.5,80.9,73.0,0.685,0.556,0.65,63.1,71.4,13.7,9.5,0.63,16.4,41.9,0.463,0.422,20.2,17.6,0.314
2,2,2023-11-10,,Gardner-Webb,REG (Non-Conf),W,86,68,,30,60,0.5,7,18,0.389,23,42,0.548,0.558,19,31,0.613,6,37,43,11,4,15,10,20,25,72,0.347,6,23,0.261,19,49,0.388,0.389,12,21,0.571,7,27,34,14,9,0,10,19,105.1,83.1,81.9,0.517,0.3,0.575,55.8,36.7,4.9,30.6,0.558,11.8,18.2,0.317,0.389,10.9,15.9,0.167
3,3,2023-11-13,,Old Dominion,REG (Non-Conf),W,86,77,,30,59,0.508,8,19,0.421,22,40,0.55,0.576,18,29,0.621,7,26,33,15,3,6,4,12,31,71,0.437,11,24,0.458,20,47,0.426,0.514,4,5,0.8,11,25,36,14,3,1,9,22,121.9,109.1,70.6,0.492,0.322,0.591,47.8,50.0,4.3,12.8,0.576,5.2,21.9,0.305,0.514,10.9,29.7,0.056
4,4,2023-11-17,,UNC Greensboro,REG (Non-Conf),L,72,78,,24,55,0.436,4,23,0.174,20,32,0.625,0.473,20,25,0.8,6,22,28,7,4,6,13,22,26,54,0.481,9,24,0.375,17,30,0.567,0.565,17,23,0.739,4,24,28,15,8,1,10,22,99.4,107.7,72.4,0.455,0.418,0.538,50.0,29.2,5.5,20.0,0.473,16.3,20.0,0.364,0.565,13.3,15.4,0.315
5,5,2023-11-22,N,Stanford,REG (Non-Conf),W,77,74,2OT,23,76,0.303,5,19,0.263,18,57,0.316,0.336,26,33,0.788,17,27,44,6,9,5,12,23,26,65,0.4,9,30,0.3,17,35,0.486,0.469,13,24,0.542,10,32,42,16,4,0,19,23,89.5,86.0,68.8,0.434,0.25,0.42,51.2,26.1,10.5,14.3,0.336,11.6,34.7,0.342,0.469,19.9,27.0,0.2
6,6,2023-11-23,N,Memphis,REG (Non-Conf),L,79,84,,26,55,0.473,7,18,0.389,19,37,0.514,0.536,20,27,0.741,11,14,25,7,4,2,15,25,26,53,0.491,8,24,0.333,18,29,0.621,0.566,24,30,0.8,5,12,17,14,10,7,13,20,107.4,114.2,73.5,0.491,0.327,0.582,59.5,26.9,5.4,6.9,0.536,18.1,47.8,0.364,0.566,16.2,26.3,0.453
7,7,2023-11-24,N,North Carolina,REG (Non-Conf),L,72,87,,26,55,0.473,5,17,0.294,21,38,0.553,0.518,15,20,0.75,3,19,22,6,4,6,11,27,28,57,0.491,6,14,0.429,22,43,0.512,0.544,25,35,0.714,9,23,32,11,3,0,9,24,98.5,119.1,73.1,0.364,0.309,0.558,40.7,23.1,5.5,14.0,0.518,14.6,11.5,0.273,0.544,10.9,32.1,0.439
8,8,2023-11-29,,Duke,REG (Non-Conf),W,80,75,,26,53,0.491,9,22,0.409,17,31,0.548,0.575,19,30,0.633,5,32,37,17,6,10,11,21,24,67,0.358,6,22,0.273,18,45,0.4,0.403,21,31,0.677,11,20,31,10,7,3,7,24,106.0,99.4,75.5,0.566,0.415,0.595,54.4,65.4,7.9,22.2,0.575,14.1,20.0,0.358,0.403,7.9,25.6,0.313
9,9,2023-12-04,,Furman,REG (Non-Conf),W,97,83,,37,61,0.607,8,19,0.421,29,42,0.69,0.672,15,21,0.714,6,28,34,21,7,10,11,19,28,73,0.384,12,32,0.375,16,41,0.39,0.466,15,20,0.75,10,18,28,15,7,1,11,20,121.6,104.1,79.7,0.344,0.311,0.683,54.8,56.8,8.8,24.4,0.672,13.4,25.0,0.246,0.466,11.8,26.3,0.205
10,10,2023-12-09,N,Oklahoma,REG (Non-Conf),L,70,79,,20,50,0.4,4,18,0.222,16,32,0.5,0.44,26,31,0.839,6,18,24,8,10,6,9,18,25,49,0.51,7,18,0.389,18,31,0.581,0.582,22,28,0.786,6,24,30,11,6,0,15,22,100.7,113.6,69.5,0.62,0.36,0.541,44.4,40.0,14.4,19.4,0.44,12.2,20.0,0.52,0.582,19.4,25.0,0.449
