Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,,Marist,REG (Non-Conf),L,55,71,,17,44,0.386,8,21,0.381,9,23,0.391,0.477,13,24,0.542,6,26,32,9,4,0,18,17,28,56,0.5,6,17,0.353,22,39,0.564,0.554,9,18,0.5,6,24,30,17,8,2,8,22,82.1,106.0,67.0,0.545,0.477,0.496,51.6,52.9,6.0,0.0,0.477,24.5,20.0,0.295,0.554,11.0,18.8,0.161
2,2,2023-11-09,@,Stonehill,REG (Non-Conf),L,44,57,,18,69,0.261,5,31,0.161,13,38,0.342,0.297,3,7,0.429,17,21,38,11,8,1,13,16,21,42,0.5,8,18,0.444,13,24,0.542,0.595,7,13,0.538,1,30,31,8,7,3,16,17,66.9,86.7,65.8,0.101,0.449,0.304,55.1,61.1,12.2,4.2,0.297,15.2,36.2,0.043,0.595,24.9,4.5,0.167
3,3,2023-11-12,@,Indiana,REG (Non-Conf),L,64,72,,24,61,0.393,13,38,0.342,11,23,0.478,0.5,3,9,0.333,7,15,22,16,12,0,8,22,25,43,0.581,4,11,0.364,21,32,0.656,0.628,18,22,0.818,5,20,25,16,5,5,17,14,97.2,109.3,65.9,0.148,0.623,0.49,46.8,66.7,18.2,0.0,0.5,10.9,25.9,0.049,0.628,24.1,25.0,0.419
4,4,2023-11-17,,Quinnipiac,REG (Non-Conf),L,58,67,,22,57,0.386,8,30,0.267,14,27,0.519,0.456,6,10,0.6,6,22,28,15,4,6,12,15,23,57,0.404,5,20,0.25,18,37,0.486,0.447,16,20,0.8,7,28,35,9,10,1,7,13,86.4,99.8,67.1,0.175,0.526,0.47,44.4,68.2,6.0,16.2,0.456,16.3,17.6,0.105,0.447,9.5,24.1,0.281
5,5,2023-11-21,@,Albany (NY),REG (Non-Conf),L,59,62,,22,62,0.355,4,18,0.222,18,44,0.409,0.387,11,17,0.647,12,19,31,7,7,3,7,10,22,53,0.415,7,21,0.333,15,32,0.469,0.481,11,14,0.786,6,25,31,8,5,4,11,17,91.0,95.6,64.9,0.274,0.29,0.421,50.0,31.8,10.8,9.4,0.387,9.1,32.4,0.177,0.481,15.6,24.0,0.208
6,6,2023-11-25,@,Binghamton,REG (Non-Conf),L,68,75,,24,60,0.4,10,31,0.323,14,29,0.483,0.483,10,23,0.435,7,21,28,12,5,3,13,27,23,48,0.479,5,16,0.313,18,32,0.563,0.531,24,36,0.667,8,29,37,13,8,4,13,22,92.5,102.0,73.5,0.383,0.517,0.479,43.1,50.0,6.8,9.4,0.483,15.5,19.4,0.167,0.531,16.6,27.6,0.5
7,7,2023-11-29,,Central Connecticut State,REG (Non-Conf),L,51,79,,21,54,0.389,5,20,0.25,16,34,0.471,0.435,4,11,0.364,10,18,28,13,5,1,14,10,30,59,0.508,10,24,0.417,20,35,0.571,0.593,9,12,0.75,10,23,33,17,7,8,6,12,82.3,127.5,62.0,0.204,0.37,0.431,45.9,61.9,8.1,2.9,0.435,19.1,30.3,0.074,0.593,8.5,35.7,0.153
8,8,2023-12-01,,SUNY Maritime,REG (Non-Conf),W,74,39,,29,54,0.537,8,24,0.333,21,30,0.7,0.611,8,12,0.667,4,29,33,17,10,4,8,11,14,53,0.264,6,29,0.207,8,24,0.333,0.321,5,7,0.714,6,17,23,9,6,1,16,13,113.8,60.0,65.0,0.222,0.444,0.62,58.9,58.6,15.4,16.7,0.611,11.8,19.0,0.148,0.321,22.1,17.1,0.094
9,9,2023-12-05,,Le Moyne,REG (Non-Conf),W,68,51,,26,57,0.456,10,29,0.345,16,28,0.571,0.544,6,10,0.6,9,31,40,13,8,8,16,7,21,61,0.344,5,22,0.227,16,39,0.41,0.385,4,6,0.667,5,21,26,13,10,2,11,12,98.1,73.6,69.3,0.175,0.509,0.551,60.6,50.0,11.5,20.5,0.544,20.6,30.0,0.105,0.385,14.7,13.9,0.066
10,10,2023-12-08,@,Harvard,REG (Non-Conf),L,64,70,,22,66,0.333,9,32,0.281,13,34,0.382,0.402,11,16,0.688,17,25,42,9,4,4,8,23,20,45,0.444,9,24,0.375,11,21,0.524,0.544,21,28,0.75,2,26,28,8,4,3,10,17,97.8,107.0,65.5,0.242,0.485,0.435,60.0,40.9,6.1,19.0,0.402,9.8,39.5,0.167,0.544,14.6,7.4,0.467
