Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1.0,2023-11-07,N,Baylor,REG (Non-Conf),L,82.0,88.0,,28.0,63.0,0.444,9.0,19.0,0.474,19.0,44.0,0.432,0.516,17.0,25.0,0.68,12.0,23.0,35.0,18.0,5.0,10.0,14.0,32.0,26.0,60.0,0.433,9.0,19.0,0.474,17.0,41.0,0.415,0.508,27.0,34.0,0.794,13.0,23.0,36.0,10.0,10.0,4.0,14.0,22.0,106.5,114.3,77.0,0.397,0.302,0.548,49.3,64.3,6.5,24.4,0.516,15.8,34.3,0.27,0.508,15.5,36.1,0.45
2,2.0,2023-11-10,,Southeastern Louisiana,REG (Non-Conf),W,86.0,71.0,,29.0,70.0,0.414,11.0,32.0,0.344,18.0,38.0,0.474,0.493,17.0,20.0,0.85,14.0,30.0,44.0,21.0,6.0,7.0,11.0,19.0,25.0,63.0,0.397,5.0,14.0,0.357,20.0,49.0,0.408,0.437,16.0,22.0,0.727,10.0,21.0,31.0,6.0,5.0,1.0,9.0,20.0,115.5,95.3,74.5,0.286,0.457,0.541,58.7,72.4,8.1,14.3,0.493,12.2,40.0,0.243,0.437,10.9,25.0,0.254
3,3.0,2023-11-16,N,Notre Dame,REG (Non-Conf),W,83.0,59.0,,31.0,58.0,0.534,9.0,20.0,0.45,22.0,38.0,0.579,0.612,12.0,16.0,0.75,9.0,25.0,34.0,22.0,6.0,5.0,13.0,18.0,21.0,62.0,0.339,2.0,26.0,0.077,19.0,36.0,0.528,0.355,15.0,19.0,0.789,12.0,21.0,33.0,9.0,9.0,2.0,9.0,16.0,120.6,85.7,68.8,0.276,0.345,0.633,50.7,71.0,8.7,13.9,0.612,16.5,30.0,0.207,0.355,11.2,32.4,0.242
4,4.0,2023-11-17,N,St. Bonaventure,REG (Non-Conf),W,77.0,60.0,,25.0,52.0,0.481,8.0,24.0,0.333,17.0,28.0,0.607,0.558,19.0,27.0,0.704,10.0,22.0,32.0,20.0,4.0,3.0,13.0,17.0,23.0,58.0,0.397,3.0,24.0,0.125,20.0,34.0,0.588,0.422,11.0,13.0,0.846,9.0,18.0,27.0,12.0,5.0,1.0,14.0,20.0,112.4,87.6,68.5,0.519,0.462,0.594,54.2,80.0,5.8,8.8,0.558,16.7,35.7,0.365,0.422,17.9,29.0,0.19
5,5.0,2023-11-21,,Alabama A&M,REG (Non-Conf),W,84.0,54.0,,26.0,55.0,0.473,6.0,24.0,0.25,20.0,31.0,0.645,0.527,26.0,36.0,0.722,13.0,32.0,45.0,19.0,9.0,6.0,13.0,17.0,19.0,57.0,0.333,3.0,15.0,0.2,16.0,42.0,0.381,0.36,13.0,17.0,0.765,6.0,19.0,25.0,6.0,8.0,3.0,13.0,26.0,116.5,74.9,72.1,0.655,0.436,0.583,64.3,73.1,12.5,14.3,0.527,15.3,40.6,0.473,0.36,16.7,15.8,0.228
6,6.0,2023-11-29,,Virginia Tech,REG (Non-Conf),W,74.0,57.0,,24.0,62.0,0.387,2.0,16.0,0.125,22.0,46.0,0.478,0.403,24.0,36.0,0.667,16.0,21.0,37.0,12.0,11.0,7.0,8.0,22.0,14.0,51.0,0.275,6.0,20.0,0.3,8.0,31.0,0.258,0.333,23.0,31.0,0.742,12.0,24.0,36.0,7.0,5.0,2.0,21.0,25.0,101.5,78.2,72.9,0.581,0.258,0.468,50.7,50.0,15.1,22.6,0.403,9.2,40.0,0.387,0.333,24.2,36.4,0.451
7,7.0,2023-12-03,@,Appalachian State,REG (Non-Conf),L,64.0,69.0,,26.0,66.0,0.394,3.0,27.0,0.111,23.0,39.0,0.59,0.417,9.0,19.0,0.474,18.0,24.0,42.0,17.0,3.0,2.0,10.0,18.0,22.0,51.0,0.431,8.0,17.0,0.471,14.0,34.0,0.412,0.51,17.0,23.0,0.739,4.0,23.0,27.0,9.0,6.0,2.0,6.0,13.0,97.7,105.4,65.5,0.288,0.409,0.427,60.9,65.4,4.6,5.9,0.417,11.8,43.9,0.136,0.51,8.8,14.3,0.333
8,8.0,2023-12-09,N,Indiana,REG (Non-Conf),W,104.0,76.0,,35.0,72.0,0.486,14.0,29.0,0.483,21.0,43.0,0.488,0.583,20.0,23.0,0.87,9.0,27.0,36.0,25.0,8.0,3.0,2.0,21.0,24.0,56.0,0.429,6.0,17.0,0.353,18.0,39.0,0.462,0.482,22.0,29.0,0.759,7.0,25.0,32.0,14.0,2.0,4.0,11.0,22.0,138.9,101.5,74.9,0.319,0.403,0.627,52.9,71.4,10.7,7.7,0.583,2.4,26.5,0.278,0.482,13.6,20.6,0.393
9,9.0,2023-12-13,N,UNC Asheville,REG (Non-Conf),W,87.0,62.0,,34.0,64.0,0.531,7.0,21.0,0.333,27.0,43.0,0.628,0.586,12.0,15.0,0.8,8.0,26.0,34.0,19.0,9.0,5.0,7.0,16.0,23.0,51.0,0.451,7.0,17.0,0.412,16.0,34.0,0.471,0.52,9.0,18.0,0.5,3.0,19.0,22.0,14.0,6.0,1.0,13.0,9.0,124.6,88.8,69.8,0.234,0.328,0.612,60.7,55.9,12.9,14.7,0.586,9.0,29.6,0.188,0.52,17.9,10.3,0.176
10,10.0,2023-12-17,,Southern California,REG (Non-Conf),W,91.0,75.0,,29.0,61.0,0.475,8.0,21.0,0.381,21.0,40.0,0.525,0.541,25.0,32.0,0.781,9.0,20.0,29.0,18.0,9.0,7.0,7.0,22.0,24.0,60.0,0.4,6.0,19.0,0.316,18.0,41.0,0.439,0.45,21.0,26.0,0.808,10.0,24.0,34.0,9.0,4.0,3.0,15.0,22.0,120.1,99.0,75.8,0.525,0.344,0.597,46.0,62.1,11.9,17.1,0.541,8.4,27.3,0.41,0.45,17.2,33.3,0.35
