Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1.0,2023-11-06,,Life,REG (Non-Conf),W,90.0,72.0,,31.0,66.0,0.47,17.0,41.0,0.415,14.0,25.0,0.56,0.598,11.0,22.0,0.5,7.0,24.0,31.0,17.0,11.0,2.0,5.0,17.0,28.0,61.0,0.459,7.0,27.0,0.259,21.0,34.0,0.618,0.516,9.0,15.0,0.6,9.0,33.0,42.0,12.0,0.0,1.0,15.0,17.0,121.2,96.9,74.3,0.333,0.621,0.589,42.5,54.8,14.8,5.9,0.598,6.1,17.5,0.167,0.516,18.0,27.3,0.148
2,2.0,2023-11-10,@,George Mason,REG (Non-Conf),L,45.0,67.0,,17.0,59.0,0.288,3.0,19.0,0.158,14.0,40.0,0.35,0.314,8.0,10.0,0.8,10.0,22.0,32.0,6.0,10.0,3.0,9.0,23.0,21.0,53.0,0.396,7.0,25.0,0.28,14.0,28.0,0.5,0.462,18.0,25.0,0.72,10.0,30.0,40.0,10.0,4.0,1.0,11.0,15.0,70.0,104.2,64.3,0.169,0.322,0.353,44.4,35.3,15.5,10.7,0.314,12.4,25.0,0.136,0.462,14.5,31.3,0.34
3,3.0,2023-11-14,,Fisk,REG (Non-Conf),W,79.0,52.0,,32.0,68.0,0.471,10.0,27.0,0.37,22.0,41.0,0.537,0.544,5.0,8.0,0.625,14.0,29.0,43.0,15.0,10.0,6.0,8.0,11.0,20.0,53.0,0.377,2.0,15.0,0.133,18.0,38.0,0.474,0.396,10.0,12.0,0.833,3.0,24.0,27.0,13.0,4.0,3.0,10.0,6.0,120.2,79.1,65.8,0.118,0.397,0.55,61.4,46.9,15.2,15.8,0.544,10.0,36.8,0.074,0.396,14.6,9.4,0.189
4,4.0,2023-11-17,@,UTEP,REG (Non-Conf),L,63.0,71.0,,22.0,55.0,0.4,6.0,20.0,0.3,16.0,35.0,0.457,0.455,13.0,20.0,0.65,10.0,19.0,29.0,13.0,15.0,2.0,14.0,25.0,26.0,47.0,0.553,5.0,18.0,0.278,21.0,29.0,0.724,0.606,14.0,31.0,0.452,8.0,26.0,34.0,21.0,9.0,2.0,20.0,19.0,88.6,99.8,71.1,0.364,0.364,0.488,46.0,59.1,21.1,6.9,0.455,17.8,27.8,0.236,0.606,24.5,29.6,0.298
5,5.0,2023-11-20,N,Tarleton State,REG (Non-Conf),L,59.0,66.0,,23.0,54.0,0.426,6.0,12.0,0.5,17.0,42.0,0.405,0.481,7.0,8.0,0.875,10.0,19.0,29.0,7.0,6.0,1.0,13.0,14.0,26.0,57.0,0.456,7.0,24.0,0.292,19.0,33.0,0.576,0.518,7.0,9.0,0.778,9.0,16.0,25.0,13.0,7.0,3.0,9.0,9.0,96.7,108.1,61.0,0.148,0.222,0.51,53.7,30.4,9.8,3.0,0.481,18.4,38.5,0.13,0.518,12.8,32.1,0.123
6,6.0,2023-11-22,N,Sacramento State,REG (Non-Conf),W,74.0,71.0,,23.0,54.0,0.426,4.0,15.0,0.267,19.0,39.0,0.487,0.463,24.0,32.0,0.75,13.0,23.0,36.0,4.0,7.0,6.0,11.0,23.0,20.0,52.0,0.385,10.0,29.0,0.345,10.0,23.0,0.435,0.481,21.0,32.0,0.656,10.0,20.0,30.0,11.0,6.0,2.0,14.0,23.0,106.9,102.6,69.2,0.593,0.278,0.535,54.5,17.4,10.1,26.1,0.463,13.7,39.4,0.444,0.481,17.2,30.3,0.404
7,7.0,2023-11-26,@,Appalachian State,REG (Non-Conf),L,58.0,78.0,,24.0,66.0,0.364,5.0,16.0,0.313,19.0,50.0,0.38,0.402,5.0,7.0,0.714,10.0,19.0,29.0,9.0,9.0,2.0,11.0,14.0,29.0,57.0,0.509,9.0,23.0,0.391,20.0,34.0,0.588,0.588,11.0,12.0,0.917,9.0,25.0,34.0,15.0,7.0,7.0,11.0,11.0,85.9,115.5,67.5,0.106,0.242,0.418,46.0,37.5,13.3,5.9,0.402,13.7,28.6,0.076,0.588,14.9,32.1,0.193
8,8.0,2023-11-29,,Morehead State,REG (Non-Conf),L,50.0,61.0,,19.0,50.0,0.38,6.0,17.0,0.353,13.0,33.0,0.394,0.44,6.0,11.0,0.545,4.0,13.0,17.0,7.0,7.0,3.0,9.0,20.0,21.0,41.0,0.512,7.0,21.0,0.333,14.0,20.0,0.7,0.598,12.0,19.0,0.632,8.0,29.0,37.0,11.0,3.0,1.0,18.0,12.0,83.2,101.5,60.1,0.22,0.34,0.453,31.5,36.8,11.6,15.0,0.44,14.0,12.1,0.12,0.598,26.5,38.1,0.293
9,9.0,2023-12-02,@,Tennessee State,REG (Non-Conf),L,65.0,69.0,,24.0,54.0,0.444,7.0,20.0,0.35,17.0,34.0,0.5,0.509,10.0,16.0,0.625,11.0,25.0,36.0,11.0,5.0,3.0,16.0,24.0,21.0,54.0,0.389,3.0,18.0,0.167,18.0,36.0,0.5,0.417,24.0,35.0,0.686,12.0,20.0,32.0,9.0,5.0,0.0,10.0,15.0,96.1,102.1,67.6,0.296,0.37,0.528,52.9,45.8,7.4,8.3,0.509,20.6,35.5,0.185,0.417,12.4,32.4,0.444
10,10.0,2023-12-05,,Midway,REG (Non-Conf),W,98.0,44.0,,37.0,66.0,0.561,13.0,32.0,0.406,24.0,34.0,0.706,0.659,11.0,15.0,0.733,13.0,29.0,42.0,21.0,11.0,4.0,10.0,13.0,16.0,56.0,0.286,3.0,29.0,0.103,13.0,27.0,0.481,0.313,9.0,13.0,0.692,7.0,16.0,23.0,10.0,5.0,1.0,17.0,16.0,137.7,61.8,71.2,0.227,0.485,0.67,64.6,56.8,15.5,14.8,0.659,12.0,44.8,0.167,0.313,21.5,19.4,0.161
