Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Houston Christian,REG (Non-Conf),W,110.0,63.0,,40.0,84.0,0.476,15.0,43.0,0.349,25.0,41.0,0.61,0.565,15.0,18.0,0.833,19.0,37.0,56.0,27.0,7.0,1.0,9.0,17.0,26.0,60.0,0.433,3.0,16.0,0.188,23.0,44.0,0.523,0.458,8.0,16.0,0.5,1.0,22.0,23.0,8.0,6.0,1.0,15.0,12.0,134.0,76.8,82.1,0.214,0.512,0.594,70.9,67.5,8.5,2.3,0.565,8.9,46.3,0.179,0.458,18.2,2.6,0.133
2.0,2.0,2023-11-10,,San Diego State,REG (Non-Conf),W,74.0,65.0,,26.0,61.0,0.426,10.0,27.0,0.37,16.0,34.0,0.471,0.508,12.0,16.0,0.75,7.0,28.0,35.0,13.0,6.0,2.0,14.0,19.0,26.0,58.0,0.448,5.0,18.0,0.278,21.0,40.0,0.525,0.491,8.0,13.0,0.615,4.0,21.0,25.0,10.0,11.0,3.0,13.0,18.0,99.5,87.4,74.4,0.262,0.443,0.539,58.3,50.0,8.1,5.0,0.508,16.9,25.0,0.197,0.491,16.8,12.5,0.138
3.0,3.0,2023-11-15,,Southeastern Louisiana,REG (Non-Conf),W,105.0,48.0,,37.0,73.0,0.507,15.0,36.0,0.417,22.0,37.0,0.595,0.61,16.0,20.0,0.8,13.0,34.0,47.0,28.0,7.0,5.0,5.0,20.0,16.0,56.0,0.286,2.0,18.0,0.111,14.0,38.0,0.368,0.304,14.0,24.0,0.583,6.0,20.0,26.0,8.0,1.0,1.0,15.0,20.0,139.2,63.6,75.5,0.274,0.493,0.636,64.4,75.7,9.3,13.2,0.61,5.7,39.4,0.219,0.304,18.2,15.0,0.25
4.0,4.0,2023-11-18,,Morgan State,REG (Non-Conf),W,93.0,50.0,,33.0,59.0,0.559,10.0,29.0,0.345,23.0,30.0,0.767,0.644,17.0,19.0,0.895,9.0,29.0,38.0,24.0,8.0,5.0,10.0,13.0,22.0,63.0,0.349,3.0,14.0,0.214,19.0,49.0,0.388,0.373,3.0,5.0,0.6,8.0,12.0,20.0,8.0,7.0,2.0,13.0,15.0,133.4,71.7,69.7,0.322,0.492,0.684,65.5,72.7,11.5,10.2,0.644,12.8,42.9,0.288,0.373,16.6,21.6,0.048
5.0,5.0,2023-11-24,N,Arizona State,REG (Non-Conf),W,77.0,49.0,,27.0,66.0,0.409,14.0,33.0,0.424,13.0,33.0,0.394,0.515,9.0,12.0,0.75,17.0,32.0,49.0,18.0,6.0,0.0,13.0,16.0,19.0,57.0,0.333,2.0,20.0,0.1,17.0,37.0,0.459,0.351,9.0,18.0,0.5,7.0,22.0,29.0,7.0,6.0,0.0,9.0,17.0,113.9,72.5,67.6,0.182,0.5,0.537,62.8,66.7,8.9,0.0,0.515,15.3,43.6,0.136,0.351,12.1,17.9,0.158
6.0,5.0,2023-11-24,N,NC State,REG (Non-Conf),W,95.0,86.0,,34.0,60.0,0.567,14.0,34.0,0.412,20.0,26.0,0.769,0.683,13.0,20.0,0.65,7.0,30.0,37.0,20.0,3.0,1.0,16.0,19.0,30.0,64.0,0.469,10.0,25.0,0.4,20.0,39.0,0.513,0.547,16.0,22.0,0.727,5.0,23.0,28.0,13.0,11.0,0.0,8.0,20.0,121.8,110.3,78.0,0.333,0.567,0.683,56.9,58.8,3.8,2.6,0.683,18.7,23.3,0.217,0.547,9.7,14.3,0.25
7.0,7.0,2023-12-01,N,Fresno State,REG (Non-Conf),W,85.0,56.0,,34.0,69.0,0.493,11.0,29.0,0.379,23.0,40.0,0.575,0.572,6.0,9.0,0.667,10.0,21.0,31.0,23.0,13.0,2.0,7.0,14.0,22.0,47.0,0.468,4.0,12.0,0.333,18.0,35.0,0.514,0.511,8.0,9.0,0.889,2.0,20.0,22.0,12.0,4.0,0.0,21.0,8.0,121.0,79.7,70.3,0.13,0.42,0.58,58.5,67.6,18.5,5.7,0.572,8.7,33.3,0.087,0.511,29.1,8.7,0.17
8.0,8.0,2023-12-05,,Evansville,REG (Non-Conf),W,96.0,55.0,,36.0,68.0,0.529,14.0,32.0,0.438,22.0,36.0,0.611,0.632,10.0,17.0,0.588,11.0,32.0,43.0,26.0,5.0,5.0,7.0,15.0,22.0,66.0,0.333,5.0,29.0,0.172,17.0,37.0,0.459,0.371,6.0,10.0,0.6,8.0,20.0,28.0,16.0,4.0,3.0,7.0,14.0,135.4,77.6,70.9,0.25,0.471,0.631,60.6,72.2,7.1,13.5,0.632,8.4,35.5,0.147,0.371,9.0,20.0,0.091
9.0,9.0,2023-12-09,@,Utah,REG (Non-Conf),L,69.0,73.0,,26.0,71.0,0.366,7.0,30.0,0.233,19.0,41.0,0.463,0.415,10.0,18.0,0.556,15.0,21.0,36.0,13.0,6.0,1.0,8.0,20.0,28.0,57.0,0.491,8.0,26.0,0.308,20.0,31.0,0.645,0.561,9.0,13.0,0.692,6.0,28.0,34.0,19.0,4.0,5.0,13.0,16.0,96.7,102.3,71.4,0.254,0.423,0.434,51.4,50.0,8.4,3.2,0.415,9.1,34.9,0.141,0.561,17.1,22.2,0.158
10.0,10.0,2023-12-13,,Denver,REG (Non-Conf),W,90.0,74.0,,34.0,68.0,0.5,12.0,37.0,0.324,22.0,31.0,0.71,0.588,10.0,11.0,0.909,10.0,31.0,41.0,22.0,6.0,7.0,12.0,16.0,29.0,68.0,0.426,5.0,23.0,0.217,24.0,45.0,0.533,0.463,11.0,16.0,0.688,6.0,19.0,25.0,14.0,8.0,0.0,11.0,11.0,115.5,95.0,77.9,0.162,0.544,0.615,62.1,64.7,7.7,15.6,0.588,14.1,34.5,0.147,0.463,12.7,16.2,0.162
