Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-07,,Goshen,REG (Non-Conf),W,101,40,,37,69,0.536,11,21,0.524,26,48,0.542,0.616,16,24,0.667,13,27,40,19,9,6,8,16,14,48,0.292,3,20,0.15,11,28,0.393,0.323,9,12,0.75,2,18,20,7,1,4,24,21,133.7,52.9,75.6,0.348,0.304,0.628,66.7,51.4,11.9,21.4,0.616,9.0,41.9,0.232,0.323,30.9,6.9,0.188
2,2,2023-11-11,,Old Dominion,REG (Non-Conf),W,73,68,,21,53,0.396,10,31,0.323,11,22,0.5,0.491,21,30,0.7,9,20,29,6,5,2,13,11,29,57,0.509,4,14,0.286,25,43,0.581,0.544,6,11,0.545,8,26,34,3,9,2,14,20,104.7,97.5,69.7,0.566,0.585,0.543,46.0,28.6,7.2,4.7,0.491,16.2,25.7,0.396,0.544,18.4,28.6,0.105
3,3,2023-11-14,,Oakland City,REG (Non-Conf),W,92,51,,33,65,0.508,3,16,0.188,30,49,0.612,0.531,23,33,0.697,11,29,40,6,12,2,4,17,19,49,0.388,4,17,0.235,15,32,0.469,0.429,9,17,0.529,3,22,25,7,3,1,21,25,123.7,68.6,74.4,0.508,0.246,0.57,61.5,18.2,16.1,6.3,0.531,4.7,33.3,0.354,0.429,26.9,9.4,0.184
4,4,2023-11-18,@,Evansville,REG (Non-Conf),L,50,74,,16,51,0.314,5,14,0.357,11,37,0.297,0.363,13,18,0.722,7,23,30,6,4,3,17,16,27,59,0.458,5,15,0.333,22,44,0.5,0.5,15,20,0.75,7,27,34,18,9,5,8,17,71.9,106.4,69.5,0.353,0.275,0.42,46.9,37.5,5.8,6.8,0.363,22.2,20.6,0.255,0.5,10.5,23.3,0.254
5,5,2023-11-21,,USC Upstate,REG (Non-Conf),W,75,58,,28,58,0.483,4,16,0.25,24,42,0.571,0.517,15,18,0.833,12,25,37,14,5,4,9,14,24,57,0.421,5,21,0.238,19,36,0.528,0.465,5,7,0.714,4,17,21,10,6,3,8,19,117.3,90.7,63.9,0.31,0.276,0.563,63.8,50.0,7.8,11.1,0.517,11.9,41.4,0.259,0.465,11.7,13.8,0.088
6,6,2023-11-24,,Arkansas–Pine Bluff,REG (Non-Conf),W,92,74,,33,54,0.611,12,22,0.545,21,32,0.656,0.722,14,22,0.636,6,22,28,23,7,0,14,12,25,59,0.424,13,29,0.448,12,30,0.4,0.534,11,15,0.733,10,14,24,15,4,2,12,21,130.9,105.3,70.3,0.407,0.407,0.714,53.8,69.7,10.0,0.0,0.722,17.8,30.0,0.259,0.534,15.4,31.3,0.186
7,7,2023-11-28,@,Little Rock,REG (Non-Conf),L,64,90,,26,53,0.491,4,20,0.2,22,33,0.667,0.528,8,16,0.5,9,14,23,11,4,2,13,7,37,58,0.638,12,20,0.6,25,38,0.658,0.741,4,7,0.571,8,19,27,22,5,4,13,17,97.8,137.5,65.5,0.302,0.377,0.528,46.0,42.3,6.1,5.3,0.528,17.7,32.1,0.151,0.741,17.5,36.4,0.069
8,8,2023-12-02,,Bellarmine,REG (Non-Conf),W,67,58,,22,55,0.4,7,17,0.412,15,38,0.395,0.464,16,18,0.889,9,25,34,14,6,3,10,10,23,55,0.418,3,16,0.188,20,39,0.513,0.445,9,10,0.9,5,21,26,15,4,2,11,18,102.8,89.0,65.2,0.327,0.309,0.527,56.7,63.6,9.2,7.7,0.464,13.6,30.0,0.291,0.445,15.5,16.7,0.164
9,9,2023-12-06,@,Detroit Mercy,REG (Non-Conf),W,68,65,,19,44,0.432,6,20,0.3,13,24,0.542,0.5,24,29,0.828,9,30,39,8,2,6,21,14,24,66,0.364,5,21,0.238,19,45,0.422,0.402,12,16,0.75,10,17,27,7,12,2,8,23,96.2,92.0,70.7,0.659,0.455,0.588,59.1,42.1,2.8,13.3,0.5,26.7,34.6,0.545,0.402,9.8,25.0,0.182
10,10,2023-12-10,,SIU Edwardsville,REG (Non-Conf),W,83,71,,25,55,0.455,11,21,0.524,14,34,0.412,0.555,22,26,0.846,9,23,32,15,4,3,6,16,25,58,0.431,7,19,0.368,18,39,0.462,0.491,14,21,0.667,8,24,32,9,4,3,7,18,126.4,108.1,65.7,0.473,0.382,0.616,50.0,60.0,6.1,7.7,0.555,8.2,27.3,0.4,0.491,9.3,25.8,0.241
11,11,2023-12-16,N,Indiana State,REG (Non-Conf),L,72,83,,26,60,0.433,11,24,0.458,15,36,0.417,0.525,9,12,0.75,7,22,29,14,8,4,13,15,28,54,0.519,9,24,0.375,19,30,0.633,0.602,18,23,0.783,4,26,30,17,7,1,10,17,101.0,116.4,71.3,0.2,0.4,0.548,49.2,53.8,11.2,13.3,0.525,16.5,21.2,0.15,0.602,13.3,15.4,0.333
12,12,2023-12-21,@,Minnesota,REG (Non-Conf),L,63,80,,24,53,0.453,8,21,0.381,16,32,0.5,0.528,7,11,0.636,6,19,25,11,2,1,14,16,30,57,0.526,8,18,0.444,22,39,0.564,0.596,12,22,0.545,8,23,31,22,7,3,6,15,95.7,121.5,65.8,0.208,0.396,0.541,44.6,45.8,3.0,2.6,0.528,19.4,20.7,0.132,0.596,8.2,29.6,0.211
13,13,2024-01-02,@,Kent State,REG (Conf),L,69,82,,24,60,0.4,6,18,0.333,18,42,0.429,0.45,15,16,0.938,7,18,25,6,6,1,11,20,28,53,0.528,5,13,0.385,23,40,0.575,0.575,21,24,0.875,7,24,31,15,4,6,11,16,98.6,117.1,70.0,0.267,0.3,0.51,44.6,25.0,8.6,2.5,0.45,14.0,22.6,0.25,0.575,14.6,28.0,0.396
14,14,2024-01-06,,Central Michigan,REG (Conf),L,65,71,,17,41,0.415,6,24,0.25,11,17,0.647,0.488,25,31,0.806,5,23,28,10,2,1,13,19,24,55,0.436,9,23,0.391,15,32,0.469,0.518,14,17,0.824,9,19,28,14,7,1,9,23,102.5,112.0,63.4,0.756,0.585,0.583,50.0,58.8,3.2,3.1,0.488,18.9,20.8,0.61,0.518,12.5,28.1,0.255
15,15,2024-01-09,,Akron,REG (Conf),L,76,80,,24,53,0.453,10,23,0.435,14,30,0.467,0.547,18,23,0.783,10,28,38,15,2,4,13,17,26,60,0.433,10,28,0.357,16,32,0.5,0.517,18,26,0.692,11,19,30,9,8,2,4,21,114.9,121.0,66.1,0.434,0.434,0.594,55.9,62.5,3.0,12.5,0.547,16.9,34.5,0.34,0.517,5.2,28.2,0.3
16,16,2024-01-13,@,Toledo,REG (Conf),L,72,77,,27,53,0.509,8,25,0.32,19,28,0.679,0.585,10,11,0.909,6,19,25,10,3,6,10,18,27,61,0.443,7,18,0.389,20,43,0.465,0.5,16,22,0.727,9,19,28,12,7,0,4,13,111.9,119.7,64.3,0.208,0.472,0.618,47.2,37.0,4.7,14.0,0.585,14.7,24.0,0.189,0.5,5.3,32.1,0.262
17,17,2024-01-16,@,Eastern Michigan,REG (Conf),W,76,62,,26,52,0.5,7,19,0.368,19,33,0.576,0.567,17,22,0.773,2,26,28,11,11,4,9,13,23,57,0.404,4,17,0.235,19,40,0.475,0.439,12,17,0.706,9,24,33,9,6,3,15,17,108.2,88.2,70.3,0.423,0.365,0.608,45.9,42.3,15.7,10.0,0.567,12.6,7.7,0.327,0.439,18.7,25.7,0.211
18,18,2024-01-20,,Miami (OH),REG (Conf),L,80,87,OT,26,64,0.406,10,25,0.4,16,39,0.41,0.484,18,23,0.783,7,27,34,17,8,3,12,19,32,63,0.508,8,21,0.381,24,42,0.571,0.571,15,20,0.75,8,31,39,13,6,3,14,22,101.0,109.8,70.4,0.359,0.391,0.534,46.6,65.4,10.1,7.1,0.484,13.8,18.4,0.281,0.571,16.2,22.9,0.238
19,19,2024-01-23,@,Buffalo,REG (Conf),W,87,59,,31,61,0.508,10,23,0.435,21,38,0.553,0.59,15,19,0.789,11,32,43,19,10,2,12,15,20,61,0.328,10,32,0.313,10,29,0.345,0.41,9,12,0.75,3,20,23,15,6,6,13,18,117.8,79.9,73.9,0.311,0.377,0.621,65.2,61.3,13.5,6.9,0.59,14.6,35.5,0.246,0.41,16.3,8.6,0.148
20,20,2024-01-27,,Northern Illinois,REG (Conf),W,81,71,,25,53,0.472,8,17,0.471,17,36,0.472,0.547,23,26,0.885,6,31,37,16,4,5,11,15,29,66,0.439,4,18,0.222,25,48,0.521,0.47,9,13,0.692,7,21,28,6,4,6,6,22,114.5,100.3,70.8,0.491,0.321,0.62,56.9,64.0,5.7,10.4,0.547,14.4,22.2,0.434,0.47,7.7,18.4,0.136
21,21,2024-01-30,,Bowling Green,REG (Conf),L,72,81,,24,52,0.462,6,14,0.429,18,38,0.474,0.519,18,22,0.818,7,16,23,10,2,3,13,16,29,56,0.518,8,16,0.5,21,40,0.525,0.589,15,20,0.75,9,22,31,11,8,3,12,18,105.1,118.3,68.5,0.423,0.269,0.576,42.6,41.7,2.9,7.5,0.519,17.2,24.1,0.346,0.589,15.5,36.0,0.268
22,22,2024-02-03,@,Western Michigan,REG (Conf),W,77,67,,24,50,0.48,8,21,0.381,16,29,0.552,0.56,21,31,0.677,4,22,26,13,8,1,6,18,25,57,0.439,9,27,0.333,16,30,0.533,0.518,8,17,0.471,11,27,38,9,5,1,15,25,113.4,98.7,67.9,0.62,0.42,0.595,40.6,54.2,11.8,3.3,0.56,8.5,12.9,0.42,0.518,18.7,33.3,0.14
23,23,2024-02-06,,Ohio,REG (Conf),L,79,84,OT,30,71,0.423,7,23,0.304,23,48,0.479,0.472,12,19,0.632,12,25,37,15,4,0,10,21,28,58,0.483,7,25,0.28,21,33,0.636,0.543,21,26,0.808,5,23,28,13,6,7,9,18,103.7,110.3,67.7,0.268,0.324,0.494,56.9,50.0,5.3,0.0,0.472,11.1,34.3,0.169,0.543,11.3,16.7,0.362
24,24,2024-02-10,@,Texas State,REG (Non-Conf),L,60,68,,19,49,0.388,7,16,0.438,12,33,0.364,0.459,15,20,0.75,6,23,29,11,5,4,13,14,27,58,0.466,5,13,0.385,22,45,0.489,0.509,9,16,0.563,8,24,32,15,13,5,9,17,90.8,103.0,66.1,0.408,0.327,0.513,47.5,57.9,7.6,8.9,0.459,18.2,20.0,0.306,0.509,12.1,25.8,0.155
25,25,2024-02-17,@,Miami (OH),REG (Conf),L,59,80,,23,56,0.411,7,20,0.35,16,36,0.444,0.473,6,8,0.75,6,22,28,10,2,3,15,11,31,60,0.517,11,23,0.478,20,37,0.541,0.608,7,10,0.7,6,25,31,21,12,2,9,14,86.4,117.2,68.3,0.143,0.357,0.493,47.5,43.5,2.9,8.1,0.473,20.1,19.4,0.107,0.608,12.2,21.4,0.117
26,26,2024-02-20,@,Northern Illinois,REG (Conf),W,70,63,,21,56,0.375,7,17,0.412,14,39,0.359,0.438,21,27,0.778,5,27,32,15,5,2,9,18,21,62,0.339,6,24,0.25,15,38,0.395,0.387,15,24,0.625,13,27,40,7,3,5,12,20,96.4,86.8,72.6,0.482,0.304,0.509,44.4,71.4,6.9,5.3,0.438,11.6,15.6,0.375,0.387,14.1,32.5,0.242
27,27,2024-02-24,,Eastern Michigan,REG (Conf),L,56,58,,19,55,0.345,5,25,0.2,14,30,0.467,0.391,13,16,0.813,7,27,34,14,7,3,10,13,23,58,0.397,5,18,0.278,18,40,0.45,0.44,7,11,0.636,10,26,36,12,7,2,11,18,86.3,89.4,64.9,0.291,0.455,0.447,48.6,73.7,10.8,7.5,0.391,13.8,21.2,0.236,0.44,14.8,27.0,0.121
28,28,2024-02-27,@,Central Michigan,REG (Conf),W,79,71,,28,57,0.491,10,23,0.435,18,34,0.529,0.579,13,16,0.813,10,24,34,14,6,4,13,15,25,60,0.417,10,25,0.4,15,35,0.429,0.5,11,15,0.733,11,16,27,11,5,2,14,16,114.7,103.1,68.9,0.281,0.404,0.611,55.7,50.0,8.7,11.4,0.579,16.8,38.5,0.228,0.5,17.3,31.4,0.183
29,29,2024-03-02,,Western Michigan,REG (Conf),L,76,78,OT,22,61,0.361,7,26,0.269,15,35,0.429,0.418,25,28,0.893,7,19,26,9,6,4,9,17,33,73,0.452,6,17,0.353,27,56,0.482,0.493,6,9,0.667,13,28,41,11,4,4,13,21,99.0,101.6,68.3,0.459,0.426,0.511,38.8,40.9,7.8,7.1,0.418,10.8,20.0,0.41,0.493,14.4,40.6,0.082
30,30,2024-03-05,,Kent State,REG (Conf),W,76,69,,25,58,0.431,6,20,0.3,19,38,0.5,0.483,20,27,0.741,10,25,35,11,5,6,12,11,27,66,0.409,9,29,0.31,18,37,0.486,0.477,6,7,0.857,7,23,30,15,6,3,11,21,104.0,94.4,73.1,0.466,0.345,0.537,53.8,44.0,6.8,16.2,0.483,14.5,30.3,0.345,0.477,13.7,21.9,0.091
31,31,2024-03-08,@,Bowling Green,REG (Conf),L,70,80,,24,54,0.444,5,19,0.263,19,35,0.543,0.491,17,23,0.739,6,24,30,12,6,4,14,15,28,60,0.467,9,22,0.409,19,38,0.5,0.542,15,18,0.833,8,22,30,13,8,2,14,20,94.9,108.5,73.7,0.426,0.352,0.539,50.0,50.0,8.1,10.5,0.491,17.7,21.4,0.315,0.542,17.0,25.0,0.25
1,1,2024-11-04,@,Georgia State,REG (Non-Conf),L,66,71,,22,68,0.324,8,33,0.242,14,35,0.4,0.382,14,24,0.583,14,27,41,11,1,0,6,16,27,65,0.415,2,11,0.182,25,54,0.463,0.431,15,22,0.682,14,34,48,14,3,3,6,18,95.1,102.3,69.4,0.353,0.485,0.416,46.1,50.0,1.4,0.0,0.382,7.0,29.2,0.206,0.431,7.4,34.1,0.231
2,2,2024-11-08,,Franklin,REG (Non-Conf),W,87,60,,29,55,0.527,4,16,0.25,25,39,0.641,0.564,25,37,0.676,12,31,43,17,11,3,19,16,22,60,0.367,6,20,0.3,16,40,0.4,0.417,10,14,0.714,5,16,21,9,12,1,16,26,110.7,76.3,78.6,0.673,0.291,0.599,67.2,58.6,14.0,7.5,0.564,20.7,42.9,0.455,0.417,19.4,13.9,0.167
3,3,2024-11-13,@,Dayton,REG (Non-Conf),L,69,77,,20,52,0.385,8,18,0.444,12,34,0.353,0.462,21,24,0.875,5,24,29,10,5,1,14,19,26,53,0.491,4,19,0.211,22,34,0.647,0.528,21,29,0.724,7,27,34,17,10,2,8,17,98.4,109.9,70.1,0.462,0.346,0.544,46.0,50.0,7.1,2.9,0.462,18.1,15.6,0.404,0.528,10.7,22.6,0.396
4,4,2024-11-16,,Indiana State,REG (Non-Conf),L,84,94,,22,57,0.386,7,24,0.292,15,33,0.455,0.447,33,46,0.717,4,24,28,11,4,3,8,22,28,56,0.5,12,27,0.444,16,29,0.552,0.607,26,29,0.897,4,38,42,21,4,2,13,29,103.9,116.3,80.8,0.807,0.421,0.533,40.0,50.0,4.9,10.3,0.447,9.2,9.5,0.579,0.607,15.7,14.3,0.464
5,5,2024-11-20,,Detroit Mercy,REG (Non-Conf),L,59,70,,17,44,0.386,5,25,0.2,12,19,0.632,0.443,20,30,0.667,6,21,27,11,11,3,15,19,25,55,0.455,9,17,0.529,16,38,0.421,0.536,11,18,0.611,11,24,35,14,9,2,16,22,86.9,103.1,67.9,0.682,0.568,0.506,43.5,64.7,16.2,7.9,0.443,20.5,20.0,0.455,0.536,20.1,34.4,0.2
6,6,2024-11-25,N,Eastern Kentucky,REG (Non-Conf),W,63,61,,22,45,0.489,6,17,0.353,16,28,0.571,0.556,13,19,0.684,4,23,27,8,6,3,15,17,19,61,0.311,6,24,0.25,13,37,0.351,0.361,17,26,0.654,20,21,41,10,13,2,11,16,97.4,94.3,64.7,0.422,0.378,0.583,39.7,36.4,9.3,8.1,0.556,21.7,16.0,0.289,0.361,13.0,46.5,0.279
