Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-07,N,Auburn,REG (Non-Conf),W,88,82,,26,60,0.433,9,19,0.474,17,41,0.415,0.508,27,34,0.794,13,23,36,10,10,4,14,22,28,63,0.444,9,19,0.474,19,44,0.432,0.516,17,25,0.68,12,23,35,18,5,10,14,32,114.3,106.5,77.0,0.567,0.317,0.578,50.7,38.5,13.0,9.1,0.508,15.5,36.1,0.45,0.516,15.8,34.3,0.27
2,2,2023-11-09,,John Brown,REG (Non-Conf),W,96,70,,41,73,0.562,5,23,0.217,36,50,0.72,0.596,9,16,0.563,20,18,38,20,18,6,13,8,29,62,0.468,10,26,0.385,19,36,0.528,0.548,2,2,1.0,5,12,17,15,7,3,20,16,126.7,92.4,75.8,0.219,0.315,0.596,69.1,48.8,23.8,16.7,0.596,13.9,62.5,0.123,0.548,24.1,21.7,0.032
3,3,2023-11-12,,Gardner-Webb,REG (Non-Conf),W,77,62,,26,58,0.448,0,9,0.0,26,49,0.531,0.448,25,32,0.781,15,30,45,7,6,7,13,16,25,67,0.373,2,17,0.118,23,50,0.46,0.388,10,15,0.667,8,18,26,10,6,3,9,24,105.2,84.7,73.2,0.552,0.155,0.526,63.4,26.9,8.2,14.0,0.448,15.1,45.5,0.431,0.388,10.8,21.1,0.149
4,4,2023-11-14,,Kansas City,REG (Non-Conf),W,99,61,,31,54,0.574,13,23,0.565,18,31,0.581,0.694,24,31,0.774,13,23,36,17,3,4,13,15,25,61,0.41,4,23,0.174,21,38,0.553,0.443,7,10,0.7,10,11,21,10,8,4,13,25,144.0,88.7,68.7,0.574,0.426,0.72,63.2,54.8,4.4,10.5,0.694,15.9,54.2,0.444,0.443,16.5,30.3,0.115
5,5,2023-11-22,N,Oregon State,REG (Non-Conf),W,88,72,,33,63,0.524,7,18,0.389,26,45,0.578,0.579,15,25,0.6,10,22,32,20,9,3,7,20,26,53,0.491,4,15,0.267,22,38,0.579,0.528,16,21,0.762,5,25,30,14,2,5,12,23,124.1,101.5,70.9,0.397,0.286,0.588,51.6,60.6,12.7,7.9,0.579,8.5,28.6,0.238,0.528,16.0,18.5,0.302
6,6,2023-11-24,N,Florida,REG (Non-Conf),W,95,91,,30,58,0.517,14,25,0.56,16,33,0.485,0.638,21,25,0.84,6,21,27,20,6,4,13,21,31,69,0.449,8,26,0.308,23,43,0.535,0.507,21,27,0.778,17,18,35,17,9,6,12,20,123.6,118.4,76.9,0.431,0.431,0.68,43.5,66.7,7.8,9.3,0.638,15.7,25.0,0.362,0.507,12.8,44.7,0.304
7,7,2023-11-28,,Nicholls State,REG (Non-Conf),W,108,70,,38,67,0.567,14,23,0.609,24,44,0.545,0.672,18,23,0.783,10,31,41,25,5,3,9,11,24,64,0.375,8,25,0.32,16,39,0.41,0.438,14,15,0.933,5,19,24,7,4,3,9,17,142.1,92.1,76.0,0.343,0.343,0.693,63.1,65.8,6.6,7.7,0.672,10.4,34.5,0.269,0.438,11.2,13.9,0.219
8,8,2023-12-02,,Northwestern State,REG (Non-Conf),W,91,40,,32,60,0.533,10,28,0.357,22,32,0.688,0.617,17,26,0.654,13,32,45,14,4,9,8,13,14,56,0.25,5,24,0.208,9,32,0.281,0.295,7,12,0.583,3,15,18,8,5,3,10,22,133.8,58.8,68.0,0.433,0.467,0.629,71.4,43.8,5.9,28.1,0.617,10.0,46.4,0.283,0.295,13.9,8.6,0.125
9,9,2023-12-05,,Seton Hall,REG (Non-Conf),W,78,60,,28,55,0.509,10,22,0.455,18,33,0.545,0.6,12,15,0.8,11,17,28,17,5,6,12,13,23,54,0.426,4,13,0.308,19,41,0.463,0.463,10,11,0.909,8,18,26,13,7,4,11,18,124.5,95.7,62.7,0.273,0.4,0.628,51.9,60.7,8.0,14.6,0.6,16.2,37.9,0.218,0.463,15.7,32.0,0.185
10,10,2023-12-16,N,Michigan State,REG (Non-Conf),L,64,88,,23,48,0.479,6,19,0.316,17,29,0.586,0.542,12,19,0.632,4,10,14,13,8,0,18,24,31,49,0.633,8,12,0.667,23,37,0.622,0.714,18,28,0.643,7,20,27,18,15,6,14,21,91.2,125.4,70.2,0.396,0.396,0.561,34.1,56.5,11.4,0.0,0.542,24.0,16.7,0.25,0.714,18.3,41.2,0.367
11,11,2023-12-20,N,Duke,REG (Non-Conf),L,70,78,,25,58,0.431,8,18,0.444,17,40,0.425,0.5,12,16,0.75,11,19,30,10,3,7,12,20,25,51,0.49,4,12,0.333,21,39,0.538,0.529,24,29,0.828,6,20,26,14,7,0,8,13,105.0,117.0,66.7,0.276,0.31,0.534,53.6,40.0,4.5,17.9,0.5,15.5,35.5,0.207,0.529,11.0,24.0,0.471
12,12,2023-12-22,,Mississippi Valley State,REG (Non-Conf),W,107,48,,41,61,0.672,19,30,0.633,22,31,0.71,0.828,6,8,0.75,4,22,26,27,12,3,9,12,20,48,0.417,4,12,0.333,16,36,0.444,0.458,4,8,0.5,6,14,20,7,7,0,19,11,159.0,71.3,67.3,0.131,0.492,0.826,56.5,65.9,17.8,8.3,0.828,12.2,22.2,0.098,0.458,26.8,21.4,0.083
13,13,2024-01-02,,Cornell,REG (Non-Conf),W,98,79,,36,65,0.554,14,31,0.452,22,34,0.647,0.662,12,18,0.667,9,23,32,21,4,2,8,21,30,61,0.492,8,24,0.333,22,37,0.595,0.557,11,17,0.647,9,20,29,15,6,0,11,18,136.5,110.0,71.8,0.277,0.477,0.666,52.5,58.3,5.6,5.4,0.662,9.8,31.0,0.185,0.557,13.7,28.1,0.18
14,14,2024-01-06,@,Oklahoma State,REG (Conf),W,75,70,OT,31,73,0.425,2,15,0.133,29,58,0.5,0.438,11,14,0.786,15,24,39,8,9,1,7,20,25,53,0.472,4,20,0.2,21,33,0.636,0.509,16,20,0.8,5,26,31,9,2,6,12,14,106.3,99.2,62.7,0.192,0.205,0.471,55.7,25.8,12.8,3.0,0.438,8.1,36.6,0.151,0.509,16.1,17.2,0.302
15,15,2024-01-09,,Brigham Young,REG (Conf),W,81,72,,25,58,0.431,10,23,0.435,15,35,0.429,0.517,21,28,0.75,4,17,21,10,7,1,5,15,26,53,0.491,9,24,0.375,17,29,0.586,0.575,11,14,0.786,4,24,28,15,4,2,14,23,114.1,101.4,71.0,0.483,0.397,0.568,42.9,40.0,9.9,3.4,0.517,6.6,14.3,0.362,0.575,19.0,19.0,0.208
16,16,2024-01-13,,Cincinnati,REG (Conf),W,62,59,,22,48,0.458,5,20,0.25,17,28,0.607,0.51,13,18,0.722,6,24,30,13,4,2,12,14,24,61,0.393,4,21,0.19,20,40,0.5,0.426,7,12,0.583,8,18,26,11,7,1,7,16,96.7,92.0,64.1,0.375,0.417,0.548,53.6,59.1,6.2,5.0,0.51,17.5,25.0,0.271,0.426,9.5,25.0,0.115
