Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1.0,2023-11-06,@,Washington,REG (Non-Conf),L,57.0,91.0,,21.0,61.0,0.344,7.0,23.0,0.304,14.0,38.0,0.368,0.402,8.0,11.0,0.727,9.0,16.0,25.0,12.0,7.0,0.0,19.0,16.0,36.0,58.0,0.621,10.0,20.0,0.5,26.0,38.0,0.684,0.707,9.0,13.0,0.692,6.0,28.0,34.0,19.0,10.0,5.0,16.0,13.0,75.8,121.0,75.2,0.18,0.377,0.43,42.4,57.1,9.3,0.0,0.402,22.3,24.3,0.131,0.707,20.0,27.3,0.155
2,2.0,2023-11-10,@,Kansas State,REG (Non-Conf),L,75.0,83.0,,30.0,62.0,0.484,8.0,19.0,0.421,22.0,43.0,0.512,0.548,7.0,8.0,0.875,8.0,21.0,29.0,18.0,9.0,2.0,14.0,18.0,28.0,63.0,0.444,12.0,31.0,0.387,16.0,32.0,0.5,0.54,15.0,22.0,0.682,13.0,20.0,33.0,18.0,10.0,1.0,13.0,11.0,103.3,114.3,72.6,0.129,0.306,0.57,46.8,60.0,12.4,6.3,0.548,17.5,28.6,0.113,0.54,15.0,38.2,0.238
3,3.0,2023-11-14,@,Chattanooga,REG (Non-Conf),L,64.0,72.0,,25.0,60.0,0.417,8.0,26.0,0.308,17.0,34.0,0.5,0.483,6.0,8.0,0.75,1.0,19.0,20.0,10.0,9.0,0.0,5.0,18.0,26.0,55.0,0.473,6.0,28.0,0.214,20.0,27.0,0.741,0.527,14.0,15.0,0.933,7.0,31.0,38.0,11.0,3.0,0.0,12.0,12.0,94.9,106.7,67.5,0.133,0.433,0.502,34.5,40.0,13.3,0.0,0.483,7.3,3.1,0.1,0.527,16.2,26.9,0.255
4,4.0,2023-11-17,@,Bowling Green,REG (Non-Conf),W,85.0,67.0,,28.0,48.0,0.583,11.0,17.0,0.647,17.0,31.0,0.548,0.698,18.0,23.0,0.783,3.0,26.0,29.0,12.0,3.0,1.0,11.0,22.0,23.0,61.0,0.377,9.0,32.0,0.281,14.0,29.0,0.483,0.451,12.0,24.0,0.5,14.0,14.0,28.0,14.0,4.0,1.0,8.0,21.0,127.5,100.5,66.7,0.479,0.354,0.721,50.9,42.9,4.5,3.4,0.698,15.7,17.6,0.375,0.451,10.0,35.0,0.197
5,5.0,2023-11-20,,Morehead State,REG (Non-Conf),L,51.0,64.0,,18.0,52.0,0.346,5.0,21.0,0.238,13.0,31.0,0.419,0.394,10.0,13.0,0.769,4.0,18.0,22.0,9.0,4.0,1.0,8.0,12.0,25.0,59.0,0.424,9.0,26.0,0.346,16.0,33.0,0.485,0.5,5.0,7.0,0.714,11.0,28.0,39.0,14.0,5.0,6.0,7.0,15.0,84.6,106.2,60.3,0.25,0.404,0.438,36.1,50.0,6.6,3.0,0.394,12.1,12.5,0.192,0.5,10.1,37.9,0.085
6,6.0,2023-11-21,,Midway,REG (Non-Conf),W,77.0,56.0,,25.0,61.0,0.41,8.0,27.0,0.296,17.0,34.0,0.5,0.475,19.0,25.0,0.76,8.0,27.0,35.0,19.0,13.0,3.0,9.0,7.0,21.0,55.0,0.382,10.0,31.0,0.323,11.0,24.0,0.458,0.473,4.0,8.0,0.5,6.0,29.0,35.0,13.0,5.0,4.0,19.0,20.0,105.7,76.9,72.8,0.41,0.443,0.528,50.0,76.0,17.8,12.5,0.475,11.0,21.6,0.311,0.473,24.4,18.2,0.073
7,7.0,2023-11-26,@,West Virginia,REG (Non-Conf),L,58.0,62.0,,22.0,65.0,0.338,9.0,30.0,0.3,13.0,35.0,0.371,0.408,5.0,8.0,0.625,11.0,22.0,33.0,15.0,8.0,2.0,7.0,15.0,21.0,51.0,0.412,3.0,16.0,0.188,18.0,35.0,0.514,0.441,17.0,21.0,0.81,7.0,31.0,38.0,9.0,3.0,6.0,13.0,8.0,88.0,94.1,65.9,0.123,0.462,0.422,46.5,68.2,12.1,5.7,0.408,9.2,26.2,0.077,0.441,17.6,24.1,0.333
8,8.0,2023-11-29,@,Louisville,REG (Non-Conf),L,68.0,73.0,,22.0,58.0,0.379,6.0,20.0,0.3,16.0,38.0,0.421,0.431,18.0,19.0,0.947,6.0,24.0,30.0,13.0,7.0,2.0,12.0,21.0,25.0,58.0,0.431,7.0,24.0,0.292,18.0,34.0,0.529,0.491,16.0,22.0,0.727,9.0,28.0,37.0,13.0,1.0,4.0,14.0,19.0,92.8,99.7,73.2,0.328,0.345,0.507,44.8,59.1,9.6,5.9,0.431,15.2,17.6,0.31,0.491,17.0,27.3,0.276
9,9.0,2023-12-02,@,Ball State,REG (Non-Conf),L,58.0,67.0,,23.0,55.0,0.418,3.0,16.0,0.188,20.0,39.0,0.513,0.445,9.0,10.0,0.9,5.0,21.0,26.0,15.0,4.0,2.0,11.0,18.0,22.0,55.0,0.4,7.0,17.0,0.412,15.0,38.0,0.395,0.464,16.0,18.0,0.889,9.0,25.0,34.0,14.0,6.0,3.0,10.0,10.0,89.0,102.8,65.2,0.182,0.291,0.485,43.3,65.2,6.1,5.3,0.445,15.5,16.7,0.164,0.464,13.6,30.0,0.291
10,10.0,2023-12-04,,Boyce,REG (Non-Conf),W,88.0,54.0,,34.0,66.0,0.515,11.0,26.0,0.423,23.0,40.0,0.575,0.598,9.0,12.0,0.75,11.0,37.0,48.0,20.0,5.0,8.0,10.0,14.0,20.0,63.0,0.317,6.0,20.0,0.3,14.0,43.0,0.326,0.365,8.0,15.0,0.533,6.0,21.0,27.0,8.0,5.0,3.0,8.0,12.0,123.2,75.6,71.4,0.182,0.394,0.614,64.0,58.8,7.0,18.6,0.598,12.2,34.4,0.136,0.365,10.2,14.0,0.127
11,11.0,2023-12-07,,Berea,REG (Non-Conf),W,98.0,59.0,,33.0,62.0,0.532,13.0,31.0,0.419,20.0,31.0,0.645,0.637,19.0,22.0,0.864,6.0,30.0,36.0,27.0,8.0,7.0,6.0,8.0,23.0,61.0,0.377,9.0,23.0,0.391,14.0,38.0,0.368,0.451,4.0,7.0,0.571,8.0,19.0,27.0,8.0,1.0,2.0,14.0,19.0,137.3,82.6,71.4,0.355,0.5,0.676,57.1,81.8,11.2,18.4,0.637,7.6,24.0,0.306,0.451,17.9,21.1,0.066
12,12.0,2023-12-16,,Evansville,REG (Non-Conf),L,61.0,70.0,,24.0,70.0,0.343,5.0,31.0,0.161,19.0,39.0,0.487,0.379,8.0,8.0,1.0,13.0,22.0,35.0,10.0,3.0,3.0,5.0,16.0,27.0,57.0,0.474,4.0,16.0,0.25,23.0,41.0,0.561,0.509,12.0,15.0,0.8,8.0,31.0,39.0,9.0,2.0,4.0,10.0,10.0,92.5,106.1,66.0,0.114,0.443,0.413,47.3,41.7,4.5,7.3,0.379,6.3,29.5,0.114,0.509,13.5,26.7,0.211
13,13.0,2023-12-20,@,Utah,REG (Non-Conf),L,43.0,85.0,,18.0,55.0,0.327,5.0,17.0,0.294,13.0,38.0,0.342,0.373,2.0,4.0,0.5,5.0,24.0,29.0,8.0,4.0,1.0,23.0,10.0,35.0,70.0,0.5,11.0,27.0,0.407,24.0,43.0,0.558,0.579,4.0,6.0,0.667,9.0,32.0,41.0,17.0,14.0,8.0,10.0,8.0,57.8,114.3,74.4,0.073,0.309,0.378,41.4,44.4,5.4,2.3,0.373,28.8,13.5,0.036,0.579,12.1,27.3,0.057
