Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,,Georgia State,REG (Non-Conf),W,89,87,,32,60,0.533,8,20,0.4,24,40,0.6,0.6,17,22,0.773,5,26,31,19,3,4,12,13,36,76,0.474,7,19,0.368,29,57,0.509,0.52,8,14,0.571,9,25,34,14,6,1,6,19,113.3,110.8,78.6,0.367,0.333,0.632,47.7,59.4,3.8,7.0,0.6,14.6,16.7,0.283,0.52,6.8,25.7,0.105
2,2,2023-11-10,@,Furman,REG (Non-Conf),L,76,99,,30,69,0.435,3,21,0.143,27,48,0.563,0.457,13,20,0.65,5,27,32,9,10,5,8,14,38,73,0.521,12,29,0.414,26,44,0.591,0.603,11,18,0.611,12,36,48,25,6,5,14,16,92.1,120.0,82.5,0.29,0.304,0.484,40.0,30.0,12.1,11.4,0.457,9.2,12.2,0.188,0.603,14.7,30.8,0.151
3,3,2023-11-14,,Berry,REG (Non-Conf),W,93,59,,37,65,0.569,9,26,0.346,28,39,0.718,0.638,10,21,0.476,14,30,44,15,16,6,16,12,23,66,0.348,6,30,0.2,17,36,0.472,0.394,7,9,0.778,9,20,29,8,11,3,19,16,118.3,75.0,78.6,0.323,0.4,0.62,60.3,40.5,20.3,16.7,0.638,17.6,41.2,0.154,0.394,21.3,23.1,0.106
4,4,2023-11-17,@,Arizona,REG (Non-Conf),L,68,100,,23,61,0.377,12,27,0.444,11,34,0.324,0.475,10,17,0.588,4,17,21,16,9,4,14,20,37,68,0.544,8,21,0.381,29,47,0.617,0.603,18,27,0.667,16,32,48,22,7,4,14,19,86.1,126.7,79.0,0.279,0.443,0.492,30.4,69.6,11.4,8.5,0.475,16.9,11.1,0.164,0.603,14.8,48.5,0.265
5,5,2023-11-24,N,Monmouth,REG (Non-Conf),L,84,93,,34,62,0.548,10,26,0.385,24,36,0.667,0.629,6,10,0.6,6,17,23,24,9,3,12,23,30,59,0.508,9,21,0.429,21,38,0.553,0.585,24,31,0.774,13,22,35,17,6,1,13,14,114.7,127.0,73.2,0.161,0.419,0.629,39.7,70.6,12.3,7.9,0.629,15.2,21.4,0.097,0.585,15.0,43.3,0.407
6,6,2023-11-25,@,Pennsylvania,REG (Non-Conf),W,84,79,OT,31,61,0.508,11,29,0.379,20,32,0.625,0.598,11,19,0.579,7,25,32,16,6,3,11,18,31,67,0.463,5,18,0.278,26,49,0.531,0.5,12,20,0.6,9,22,31,15,8,1,7,19,113.1,106.4,65.7,0.311,0.475,0.6,50.8,51.6,8.1,6.1,0.598,13.6,24.1,0.18,0.5,8.4,26.5,0.179
7,7,2023-11-26,N,Lafayette,REG (Non-Conf),W,79,69,,25,58,0.431,9,22,0.409,16,36,0.444,0.509,20,24,0.833,9,24,33,15,6,2,16,15,24,62,0.387,10,33,0.303,14,29,0.483,0.468,11,14,0.786,8,18,26,11,9,3,12,21,106.0,92.6,74.5,0.414,0.379,0.569,55.9,60.0,8.1,6.9,0.509,18.7,33.3,0.345,0.468,14.9,25.0,0.177
8,8,2023-11-29,@,Northern Iowa,REG (Conf),W,90,70,,30,57,0.526,11,22,0.5,19,35,0.543,0.623,19,22,0.864,5,29,34,9,5,2,11,12,28,63,0.444,8,26,0.308,20,37,0.541,0.508,6,10,0.6,3,21,24,15,4,0,9,16,122.3,95.1,73.6,0.386,0.386,0.667,58.6,30.0,6.8,5.4,0.623,14.0,19.2,0.333,0.508,11.7,9.4,0.095
9,9,2023-12-02,,Valparaiso,REG (Conf),W,77,68,,30,58,0.517,8,22,0.364,22,36,0.611,0.586,9,16,0.563,11,28,39,17,9,3,18,9,30,72,0.417,7,23,0.304,23,49,0.469,0.465,1,2,0.5,11,18,29,14,11,3,11,14,105.8,93.4,72.8,0.276,0.379,0.587,57.4,56.7,12.4,6.1,0.586,21.5,37.9,0.155,0.465,13.1,28.2,0.014
10,10,2023-12-06,,Lipscomb,REG (Non-Conf),W,72,71,,28,59,0.475,7,21,0.333,21,38,0.553,0.534,9,12,0.75,7,23,30,12,7,4,15,15,26,62,0.419,6,29,0.207,20,33,0.606,0.468,13,15,0.867,9,24,33,11,7,1,14,13,98.1,96.7,73.4,0.203,0.356,0.556,47.6,42.9,9.5,12.1,0.534,18.8,22.6,0.153,0.468,16.8,28.1,0.21
11,11,2023-12-09,@,Middle Tennessee,REG (Non-Conf),W,75,65,,29,54,0.537,6,12,0.5,23,42,0.548,0.593,11,16,0.688,5,23,28,13,9,1,9,18,22,55,0.4,7,23,0.304,15,32,0.469,0.464,14,23,0.609,8,19,27,12,6,5,12,14,110.7,95.9,67.8,0.296,0.222,0.609,50.9,44.8,13.3,3.1,0.593,12.7,20.8,0.204,0.464,15.4,25.8,0.255
12,12,2023-12-16,@,Samford,REG (Non-Conf),L,93,99,,28,56,0.5,13,30,0.433,15,26,0.577,0.616,24,30,0.8,7,21,28,19,8,2,16,19,39,67,0.582,10,23,0.435,29,44,0.659,0.657,11,16,0.688,9,22,31,25,8,6,12,21,118.6,126.2,78.4,0.536,0.536,0.662,47.5,67.9,10.2,4.5,0.616,18.6,24.1,0.429,0.657,13.9,30.0,0.164
13,13,2023-12-20,,Arkansas State,REG (Non-Conf),W,74,70,,28,58,0.483,4,18,0.222,24,40,0.6,0.517,14,20,0.7,4,24,28,12,12,2,8,14,26,65,0.4,12,39,0.308,14,26,0.538,0.492,6,9,0.667,13,29,42,17,7,6,15,20,103.7,98.1,71.4,0.345,0.31,0.548,40.0,42.9,16.8,7.7,0.517,10.6,12.1,0.241,0.492,17.8,35.1,0.092
14,14,2024-01-02,@,Southern Illinois,REG (Conf),L,63,73,,22,60,0.367,6,28,0.214,16,32,0.5,0.417,13,18,0.722,7,25,32,15,8,2,10,14,23,57,0.404,4,21,0.19,19,36,0.528,0.439,23,24,0.958,6,29,35,14,7,3,12,14,86.3,100.0,73.0,0.3,0.467,0.46,47.8,68.2,11.0,5.6,0.417,12.7,19.4,0.217,0.439,14.9,19.4,0.404
15,15,2024-01-07,,Drake,REG (Conf),W,87,65,,28,49,0.571,12,22,0.545,16,27,0.593,0.694,19,24,0.792,7,20,27,13,8,1,13,11,26,52,0.5,5,23,0.217,21,29,0.724,0.548,8,13,0.615,5,16,21,13,7,2,14,20,130.3,97.3,66.8,0.49,0.449,0.72,56.3,46.4,12.0,3.4,0.694,17.7,30.4,0.388,0.548,19.4,20.0,0.154
16,16,2024-01-10,,Illinois State,REG (Conf),W,67,60,,24,51,0.471,5,15,0.333,19,36,0.528,0.52,14,21,0.667,3,27,30,13,5,3,13,18,20,54,0.37,5,23,0.217,15,31,0.484,0.417,15,21,0.714,7,27,34,11,6,4,16,19,93.1,83.4,72.0,0.412,0.294,0.549,46.9,54.2,6.9,9.7,0.52,17.6,10.0,0.275,0.417,20.0,20.6,0.278
17,17,2024-01-13,@,Indiana State,REG (Conf),L,64,94,,20,55,0.364,10,26,0.385,10,29,0.345,0.455,14,16,0.875,5,20,25,11,10,1,15,13,33,60,0.55,16,33,0.485,17,27,0.63,0.683,12,13,0.923,7,26,33,22,9,1,14,15,87.8,129.0,72.9,0.291,0.473,0.511,43.1,55.0,13.7,3.7,0.455,19.3,16.1,0.255,0.683,17.5,25.9,0.2
18,18,2024-01-17,,Northern Iowa,REG (Conf),L,72,83,,29,61,0.475,10,25,0.4,19,36,0.528,0.557,4,6,0.667,3,29,32,18,5,2,10,16,29,56,0.518,10,21,0.476,19,35,0.543,0.607,15,20,0.75,1,26,27,23,6,4,6,10,101.9,117.4,70.7,0.098,0.41,0.564,54.2,62.1,7.1,5.7,0.557,13.5,10.3,0.066,0.607,8.4,3.3,0.268
19,19,2024-01-20,@,Bradley,REG (Conf),L,72,95,,26,54,0.481,11,24,0.458,15,30,0.5,0.583,9,10,0.9,6,18,24,17,4,2,14,13,36,59,0.61,18,31,0.581,18,28,0.643,0.763,5,6,0.833,5,22,27,21,8,5,9,14,108.6,143.3,66.3,0.185,0.444,0.613,47.1,65.4,6.0,7.1,0.583,19.2,21.4,0.167,0.763,12.7,21.7,0.085
20,20,2024-01-23,@,Illinois State,REG (Conf),L,67,77,,22,54,0.407,6,24,0.25,16,30,0.533,0.463,17,21,0.81,7,24,31,16,3,6,9,20,26,57,0.456,8,22,0.364,18,35,0.514,0.526,17,23,0.739,9,24,33,18,6,1,6,20,102.4,117.6,65.5,0.389,0.444,0.524,48.4,72.7,4.6,17.1,0.463,12.3,22.6,0.315,0.526,8.1,27.3,0.298
21,21,2024-01-27,,Illinois–Chicago,REG (Conf),W,74,65,,23,59,0.39,9,26,0.346,14,33,0.424,0.466,19,24,0.792,6,27,33,13,13,4,12,13,24,56,0.429,10,27,0.37,14,29,0.483,0.518,7,14,0.5,4,30,34,12,7,5,23,22,93.6,82.3,79.0,0.407,0.441,0.526,49.3,56.5,16.5,13.8,0.466,14.6,16.7,0.322,0.518,26.9,12.9,0.125
22,22,2024-01-31,,Indiana State,REG (Conf),L,72,78,,29,61,0.475,10,32,0.313,19,29,0.655,0.557,4,5,0.8,3,21,24,17,11,2,7,16,25,52,0.481,10,30,0.333,15,22,0.682,0.577,18,21,0.857,8,28,36,14,3,0,15,10,105.6,114.4,68.2,0.082,0.525,0.568,40.0,58.6,16.1,9.1,0.557,9.9,9.7,0.066,0.577,19.5,27.6,0.346
23,23,2024-02-03,@,Missouri State,REG (Conf),L,80,87,,30,66,0.455,11,25,0.44,19,41,0.463,0.538,9,14,0.643,4,22,26,14,9,3,7,20,31,62,0.5,7,21,0.333,24,41,0.585,0.556,18,22,0.818,12,31,43,10,1,4,14,13,106.6,115.9,75.1,0.212,0.379,0.551,37.7,46.7,12.0,7.3,0.538,8.8,11.4,0.136,0.556,16.2,35.3,0.29
24,24,2024-02-07,,Murray State,REG (Conf),W,69,64,,24,56,0.429,8,29,0.276,16,27,0.593,0.5,13,16,0.813,7,27,34,14,7,4,12,15,22,61,0.361,6,23,0.261,16,38,0.421,0.41,14,19,0.737,9,24,33,14,9,0,11,16,98.1,91.0,70.3,0.286,0.518,0.542,50.7,58.3,10.0,10.5,0.5,15.9,22.6,0.232,0.41,13.6,25.0,0.23
25,25,2024-02-10,@,Valparaiso,REG (Conf),W,96,78,,30,49,0.612,12,21,0.571,18,28,0.643,0.735,24,36,0.667,5,28,33,19,5,1,16,22,28,62,0.452,9,25,0.36,19,37,0.514,0.524,13,19,0.684,8,12,20,15,8,4,9,24,128.8,104.6,74.6,0.735,0.429,0.726,62.3,63.3,6.7,2.7,0.735,19.5,29.4,0.49,0.524,11.2,22.2,0.21
26,26,2024-02-14,,Southern Illinois,REG (Conf),W,82,68,,29,58,0.5,7,24,0.292,22,34,0.647,0.56,17,22,0.773,6,29,35,15,3,5,7,15,25,67,0.373,8,32,0.25,17,35,0.486,0.433,10,15,0.667,15,23,38,13,4,1,11,20,117.5,97.4,69.8,0.379,0.414,0.599,47.9,51.7,4.3,14.3,0.56,9.3,20.7,0.293,0.433,12.9,34.1,0.149
27,27,2024-02-18,@,Illinois–Chicago,REG (Conf),W,75,60,,27,57,0.474,9,19,0.474,18,38,0.474,0.553,12,15,0.8,8,35,43,14,6,4,14,10,24,71,0.338,8,29,0.276,16,42,0.381,0.394,4,7,0.571,8,18,26,14,9,6,8,12,103.8,83.1,72.2,0.263,0.333,0.585,62.3,51.9,8.3,9.5,0.553,17.9,30.8,0.211,0.394,9.7,18.6,0.056
28,28,2024-02-21,@,Drake,REG (Conf),L,69,84,,26,63,0.413,7,29,0.241,19,34,0.559,0.468,10,14,0.714,13,21,34,7,3,1,10,16,30,58,0.517,10,21,0.476,20,37,0.541,0.603,14,16,0.875,4,23,27,16,5,1,6,13,102.8,125.1,67.1,0.222,0.46,0.495,55.7,26.9,4.5,2.7,0.468,12.6,36.1,0.159,0.603,8.4,16.0,0.241
29,29,2024-02-24,,Missouri State,REG (Conf),W,93,78,,32,68,0.471,16,38,0.421,16,30,0.533,0.588,13,14,0.929,8,26,34,21,8,5,9,18,30,61,0.492,7,16,0.438,23,45,0.511,0.549,11,17,0.647,4,27,31,13,5,4,12,16,121.8,102.1,76.4,0.206,0.559,0.623,52.3,65.6,10.5,11.1,0.588,10.8,22.9,0.191,0.549,14.8,13.3,0.18
30,30,2024-02-28,@,Murray State,REG (Conf),W,83,61,,32,60,0.533,12,26,0.462,20,34,0.588,0.633,7,9,0.778,7,25,32,19,6,4,7,13,24,56,0.429,4,16,0.25,20,40,0.5,0.464,9,15,0.6,8,23,31,10,4,1,9,13,129.3,95.0,64.2,0.15,0.433,0.646,50.8,59.4,9.3,10.0,0.633,9.8,23.3,0.117,0.464,12.5,24.2,0.161
31,31,2024-03-03,,Evansville,REG (Conf),W,83,66,,28,56,0.5,11,27,0.407,17,29,0.586,0.598,16,23,0.696,5,32,37,18,7,3,10,11,25,68,0.368,7,28,0.25,18,40,0.45,0.419,9,10,0.9,11,25,36,11,5,2,10,18,115.5,91.9,71.8,0.411,0.482,0.62,50.7,64.3,9.7,7.5,0.598,13.0,16.7,0.286,0.419,12.1,25.6,0.132
32,32,2024-03-07,N,Valparaiso,CTOURN,W,86,61,,33,63,0.524,10,28,0.357,23,35,0.657,0.603,10,17,0.588,4,38,42,24,9,4,11,15,22,80,0.275,6,33,0.182,16,47,0.34,0.313,11,17,0.647,18,27,45,10,10,5,10,15,108.8,77.1,79.1,0.27,0.444,0.605,48.3,72.7,11.4,8.5,0.603,13.4,12.9,0.159,0.313,10.2,32.1,0.138
33,33,2024-03-08,N,Northern Iowa,CTOURN,L,62,67,,23,61,0.377,8,27,0.296,15,34,0.441,0.443,8,14,0.571,3,31,34,10,9,3,12,20,21,63,0.333,4,18,0.222,17,45,0.378,0.365,21,29,0.724,12,33,45,12,7,5,11,15,81.4,87.9,76.2,0.23,0.443,0.458,43.0,43.5,11.8,6.7,0.443,15.1,8.3,0.131,0.365,12.5,27.9,0.333
1,1,2024-11-04,,Maryville (TN),REG (Non-Conf),W,93,70,,33,64,0.516,12,26,0.462,21,38,0.553,0.609,15,17,0.882,9,30,39,20,4,4,10,15,24,61,0.393,5,25,0.2,19,36,0.528,0.434,17,21,0.81,5,22,27,9,8,4,11,13,124.0,93.3,75.0,0.266,0.406,0.645,59.1,60.6,5.3,11.1,0.609,12.2,29.0,0.234,0.434,13.4,14.3,0.279
2,2,2024-11-08,,Furman,REG (Non-Conf),L,74,76,,32,59,0.542,5,16,0.313,27,43,0.628,0.585,5,10,0.5,4,21,25,14,9,1,10,11,28,59,0.475,16,35,0.457,12,24,0.5,0.61,4,5,0.8,6,26,32,18,6,5,15,17,105.6,108.5,70.1,0.169,0.271,0.58,43.9,43.8,12.8,4.2,0.585,13.6,13.3,0.085,0.61,19.6,22.2,0.068
3,3,2024-11-12,@,Lipscomb,REG (Non-Conf),W,80,79,,33,64,0.516,11,28,0.393,22,36,0.611,0.602,3,6,0.5,12,25,37,15,3,5,14,14,31,66,0.47,11,29,0.379,20,37,0.541,0.553,6,8,0.75,7,18,25,19,11,3,7,11,115.4,114.0,69.3,0.094,0.438,0.598,59.7,45.5,4.3,13.5,0.602,17.3,40.0,0.047,0.553,9.1,21.9,0.091
4,4,2024-11-15,@,Air Force,REG (Non-Conf),W,79,71,,24,55,0.436,13,31,0.419,11,24,0.458,0.555,18,24,0.75,12,24,36,18,2,2,7,23,25,54,0.463,7,25,0.28,18,29,0.621,0.528,14,22,0.636,8,20,28,22,4,1,8,21,125.5,112.8,62.9,0.436,0.564,0.595,56.3,75.0,3.2,6.9,0.555,9.5,37.5,0.327,0.528,11.0,25.0,0.259
5,5,2024-11-19,,Oral Roberts,REG (Non-Conf),W,90,80,,31,59,0.525,9,26,0.346,22,33,0.667,0.602,19,27,0.704,7,28,35,17,4,4,14,16,29,63,0.46,9,25,0.36,20,38,0.526,0.532,13,15,0.867,5,22,27,13,8,2,13,19,114.7,101.9,78.5,0.458,0.441,0.627,56.5,54.8,5.1,10.5,0.602,16.3,24.1,0.322,0.532,15.6,15.2,0.206
6,6,2024-11-26,N,Loyola Marymount,REG (Non-Conf),L,63,77,,23,63,0.365,9,29,0.31,14,34,0.412,0.437,8,11,0.727,7,29,36,13,2,3,13,14,31,70,0.443,10,28,0.357,21,42,0.5,0.514,5,12,0.417,10,31,41,13,8,5,7,15,85.8,104.8,73.5,0.175,0.46,0.462,46.8,56.5,2.7,7.1,0.437,16.0,18.4,0.127,0.514,8.5,25.6,0.071
7,7,2024-11-27,N,Tulane,REG (Non-Conf),W,89,66,,31,66,0.47,18,42,0.429,13,24,0.542,0.606,9,12,0.75,9,23,32,24,5,6,5,15,23,59,0.39,6,22,0.273,17,37,0.459,0.441,14,18,0.778,12,23,35,11,3,4,15,15,128.8,95.5,69.1,0.182,0.636,0.621,47.8,77.4,7.2,16.2,0.606,6.5,28.1,0.136,0.441,18.2,34.3,0.237
8,8,2024-11-29,,Gardner-Webb,REG (Non-Conf),W,83,74,,31,68,0.456,8,33,0.242,23,35,0.657,0.515,13,16,0.813,9,25,34,16,13,6,12,15,28,64,0.438,7,23,0.304,21,41,0.512,0.492,11,14,0.786,9,27,36,12,7,4,16,14,106.2,94.7,78.1,0.235,0.485,0.549,48.6,51.6,16.6,14.6,0.515,13.7,25.0,0.191,0.492,18.5,26.5,0.172
