Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1.0,2023-11-06,@,Minnesota,REG (Non-Conf),L,60.0,80.0,,23.0,70.0,0.329,4.0,18.0,0.222,19.0,52.0,0.365,0.357,10.0,14.0,0.714,18.0,15.0,33.0,9.0,13.0,3.0,13.0,29.0,24.0,46.0,0.522,5.0,17.0,0.294,19.0,29.0,0.655,0.576,27.0,35.0,0.771,7.0,26.0,33.0,17.0,9.0,4.0,17.0,16.0,83.2,110.9,72.1,0.2,0.257,0.391,50.0,39.1,18.0,10.3,0.357,14.5,40.9,0.143,0.576,21.4,31.8,0.587
2,2.0,2023-11-10,,Trinity (FL),REG (Non-Conf),W,113.0,46.0,,40.0,79.0,0.506,13.0,40.0,0.325,27.0,39.0,0.692,0.589,20.0,26.0,0.769,17.0,36.0,53.0,23.0,23.0,8.0,13.0,16.0,14.0,63.0,0.222,5.0,25.0,0.2,9.0,38.0,0.237,0.262,13.0,17.0,0.765,11.0,20.0,31.0,5.0,7.0,0.0,31.0,19.0,126.7,51.6,89.2,0.329,0.506,0.619,63.1,57.5,25.8,21.1,0.589,12.5,45.9,0.253,0.262,30.4,23.4,0.206
3,3.0,2023-11-15,,Trinity Baptist,REG (Non-Conf),W,104.0,63.0,,41.0,85.0,0.482,12.0,36.0,0.333,29.0,49.0,0.592,0.553,10.0,17.0,0.588,14.0,30.0,44.0,21.0,23.0,2.0,12.0,14.0,23.0,61.0,0.377,10.0,29.0,0.345,13.0,32.0,0.406,0.459,7.0,10.0,0.7,6.0,29.0,35.0,9.0,7.0,1.0,29.0,16.0,115.7,70.1,89.9,0.2,0.424,0.559,55.7,51.2,25.6,6.3,0.553,11.4,32.6,0.118,0.459,30.6,16.7,0.115
4,4.0,2023-11-20,,Charleston Southern,REG (Non-Conf),W,79.0,73.0,,30.0,61.0,0.492,4.0,14.0,0.286,26.0,47.0,0.553,0.525,15.0,21.0,0.714,13.0,19.0,32.0,14.0,10.0,2.0,9.0,18.0,25.0,50.0,0.5,10.0,22.0,0.455,15.0,28.0,0.536,0.6,13.0,19.0,0.684,9.0,17.0,26.0,16.0,3.0,1.0,17.0,17.0,117.9,109.0,67.0,0.344,0.23,0.557,55.2,46.7,14.9,7.1,0.525,11.3,43.3,0.246,0.6,22.4,32.1,0.26
5,5.0,2023-11-24,N,Lamar,REG (Non-Conf),L,65.0,83.0,,21.0,59.0,0.356,8.0,25.0,0.32,13.0,34.0,0.382,0.424,15.0,23.0,0.652,8.0,19.0,27.0,6.0,13.0,1.0,17.0,22.0,26.0,52.0,0.5,10.0,17.0,0.588,16.0,35.0,0.457,0.596,21.0,31.0,0.677,10.0,28.0,38.0,11.0,7.0,3.0,21.0,17.0,83.0,106.0,78.3,0.39,0.424,0.465,41.5,28.6,16.6,2.9,0.424,19.6,22.2,0.254,0.596,23.9,34.5,0.404
6,6.0,2023-11-25,N,Delaware State,REG (Non-Conf),L,64.0,72.0,,24.0,56.0,0.429,8.0,22.0,0.364,16.0,34.0,0.471,0.5,8.0,12.0,0.667,7.0,19.0,26.0,10.0,11.0,1.0,16.0,23.0,26.0,53.0,0.491,4.0,14.0,0.286,22.0,39.0,0.564,0.528,16.0,21.0,0.762,7.0,25.0,32.0,11.0,11.0,2.0,15.0,15.0,90.3,101.6,70.8,0.214,0.393,0.519,44.8,41.7,15.5,2.6,0.5,20.6,21.9,0.143,0.528,19.2,26.9,0.302
7,7.0,2023-11-26,@,Longwood,REG (Non-Conf),L,48.0,69.0,,15.0,45.0,0.333,2.0,13.0,0.154,13.0,32.0,0.406,0.356,16.0,24.0,0.667,5.0,21.0,26.0,5.0,7.0,2.0,21.0,29.0,20.0,49.0,0.408,7.0,17.0,0.412,13.0,32.0,0.406,0.48,22.0,38.0,0.579,11.0,28.0,39.0,9.0,13.0,3.0,17.0,23.0,66.0,94.9,72.7,0.533,0.289,0.426,40.0,33.3,9.6,6.3,0.356,27.1,15.2,0.356,0.48,20.2,34.4,0.449
8,8.0,2023-12-01,,Incarnate Word,REG (Non-Conf),W,96.0,82.0,,31.0,65.0,0.477,3.0,18.0,0.167,28.0,47.0,0.596,0.5,31.0,37.0,0.838,11.0,24.0,35.0,15.0,17.0,4.0,12.0,23.0,22.0,53.0,0.415,9.0,26.0,0.346,13.0,27.0,0.481,0.5,29.0,33.0,0.879,7.0,27.0,34.0,17.0,7.0,1.0,24.0,26.0,113.4,96.9,84.6,0.569,0.277,0.581,50.7,48.4,20.1,14.8,0.5,12.7,28.9,0.477,0.5,25.9,22.6,0.547
9,9.0,2023-12-09,@,South Carolina State,REG (Non-Conf),W,80.0,71.0,,29.0,67.0,0.433,7.0,22.0,0.318,22.0,45.0,0.489,0.485,15.0,21.0,0.714,9.0,21.0,30.0,14.0,13.0,3.0,8.0,22.0,22.0,64.0,0.344,3.0,16.0,0.188,19.0,48.0,0.396,0.367,24.0,34.0,0.706,19.0,28.0,47.0,12.0,3.0,7.0,18.0,19.0,103.1,91.5,77.6,0.313,0.328,0.52,39.0,48.3,16.8,6.3,0.485,9.4,24.3,0.224,0.367,18.3,47.5,0.375
11,11.0,2023-12-16,@,Purdue Fort Wayne,REG (Non-Conf),L,63.0,86.0,,21.0,54.0,0.389,3.0,13.0,0.231,18.0,41.0,0.439,0.417,18.0,28.0,0.643,11.0,25.0,36.0,11.0,4.0,3.0,17.0,23.0,30.0,64.0,0.469,12.0,34.0,0.353,18.0,30.0,0.6,0.563,14.0,24.0,0.583,9.0,25.0,34.0,15.0,13.0,2.0,7.0,21.0,85.9,117.2,73.4,0.519,0.241,0.468,51.4,52.4,5.5,10.0,0.417,20.2,30.6,0.333,0.563,8.5,26.5,0.219
12,12.0,2023-12-20,@,Chicago State,REG (Non-Conf),L,54.0,55.0,,21.0,51.0,0.412,3.0,14.0,0.214,18.0,37.0,0.486,0.441,9.0,11.0,0.818,8.0,18.0,26.0,8.0,11.0,4.0,18.0,20.0,18.0,50.0,0.36,6.0,19.0,0.316,12.0,31.0,0.387,0.42,13.0,19.0,0.684,15.0,16.0,31.0,8.0,11.0,3.0,19.0,16.0,83.6,85.1,64.6,0.216,0.275,0.48,45.6,38.1,17.0,12.9,0.441,24.3,33.3,0.176,0.42,24.4,45.5,0.26
13,13.0,2023-12-29,@,UCF,REG (Non-Conf),L,54.0,98.0,,18.0,59.0,0.305,4.0,16.0,0.25,14.0,43.0,0.326,0.339,14.0,15.0,0.933,9.0,16.0,25.0,6.0,14.0,3.0,24.0,22.0,32.0,67.0,0.478,8.0,23.0,0.348,24.0,44.0,0.545,0.537,26.0,33.0,0.788,14.0,27.0,41.0,22.0,14.0,3.0,18.0,11.0,64.4,116.8,83.9,0.254,0.271,0.408,37.9,33.3,16.7,6.8,0.339,26.6,25.0,0.237,0.537,17.9,46.7,0.388
14,14.0,2023-12-31,@,Mississippi State,REG (Non-Conf),L,62.0,85.0,,27.0,64.0,0.422,4.0,16.0,0.25,23.0,48.0,0.479,0.453,4.0,10.0,0.4,8.0,20.0,28.0,11.0,8.0,1.0,15.0,19.0,27.0,51.0,0.529,12.0,27.0,0.444,15.0,24.0,0.625,0.647,19.0,24.0,0.792,5.0,26.0,31.0,17.0,15.0,5.0,16.0,11.0,83.1,114.0,74.6,0.156,0.25,0.451,47.5,40.7,10.7,4.2,0.453,17.9,23.5,0.063,0.647,20.4,20.0,0.373
