Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,@,Northwestern,REG (Non-Conf),L,61,72,,22,53,0.415,7,23,0.304,15,30,0.5,0.481,10,12,0.833,8,19,27,16,4,9,19,19,25,59,0.424,5,18,0.278,20,41,0.488,0.466,17,21,0.81,10,22,32,13,12,9,12,16,86.7,102.4,70.3,0.226,0.434,0.52,45.8,72.7,5.7,22.0,0.481,24.5,26.7,0.189,0.466,14.8,34.5,0.288
2,2,2023-11-10,@,Pittsburgh,REG (Non-Conf),L,60,89,,21,61,0.344,8,25,0.32,13,36,0.361,0.41,10,18,0.556,8,21,29,11,4,2,14,20,30,65,0.462,10,27,0.37,20,38,0.526,0.538,19,27,0.704,16,32,48,13,11,7,12,16,80.3,119.2,74.7,0.295,0.41,0.431,37.7,52.4,5.4,5.3,0.41,16.8,20.0,0.164,0.538,13.4,43.2,0.292
3,3,2023-11-12,,Keystone,REG (Non-Conf),W,104,50,,37,63,0.587,9,24,0.375,28,39,0.718,0.659,21,31,0.677,13,44,57,19,8,8,10,14,20,75,0.267,6,25,0.24,14,50,0.28,0.307,4,8,0.5,11,16,27,5,7,1,10,20,136.4,65.6,76.3,0.492,0.381,0.669,67.9,51.4,10.5,16.0,0.659,11.4,44.8,0.333,0.307,11.3,20.0,0.053
4,4,2023-11-15,@,Loyola (MD),REG (Non-Conf),W,63,57,,26,60,0.433,3,18,0.167,23,42,0.548,0.458,8,13,0.615,5,26,31,13,5,6,8,22,17,51,0.333,5,19,0.263,12,32,0.375,0.382,18,24,0.75,4,28,32,10,5,2,13,13,89.6,81.1,70.3,0.217,0.3,0.476,49.2,50.0,7.1,18.8,0.458,10.8,15.2,0.133,0.382,17.2,13.3,0.353
5,5,2023-11-18,,Marist,REG (Non-Conf),W,82,59,,28,48,0.583,8,16,0.5,20,32,0.625,0.667,18,24,0.75,6,34,40,14,3,3,15,19,21,55,0.382,5,19,0.263,16,36,0.444,0.427,12,27,0.444,7,15,22,6,8,1,8,20,119.5,86.0,68.6,0.5,0.333,0.69,64.5,50.0,4.4,8.3,0.667,20.2,28.6,0.375,0.427,10.6,17.1,0.218
6,6,2023-11-21,@,Sacred Heart,REG (Non-Conf),L,75,89,,28,67,0.418,4,20,0.2,24,47,0.511,0.448,15,25,0.6,11,19,30,15,6,2,7,15,33,59,0.559,7,17,0.412,26,42,0.619,0.619,16,20,0.8,7,23,30,13,3,10,7,20,104.6,124.1,71.7,0.373,0.299,0.475,50.0,53.6,8.4,4.8,0.448,8.2,32.4,0.224,0.619,9.3,26.9,0.271
7,7,2023-11-25,,Army,REG (Non-Conf),W,75,68,,23,48,0.479,5,16,0.313,18,32,0.563,0.531,24,36,0.667,8,29,37,13,8,4,13,22,24,60,0.4,10,31,0.323,14,29,0.483,0.483,10,23,0.435,7,21,28,12,5,3,13,27,102.0,92.5,73.5,0.75,0.333,0.576,56.9,56.5,10.9,13.8,0.531,16.6,27.6,0.5,0.483,15.5,19.4,0.167
8,8,2023-11-29,@,Colgate,REG (Non-Conf),L,49,84,,20,54,0.37,3,17,0.176,17,37,0.459,0.398,6,13,0.462,1,21,22,13,6,3,16,13,32,62,0.516,12,25,0.48,20,37,0.541,0.613,8,11,0.727,7,32,39,20,10,4,13,13,66.0,113.2,74.2,0.241,0.315,0.407,36.1,65.0,8.1,8.1,0.398,21.0,3.0,0.111,0.613,16.2,25.0,0.129
9,9,2023-12-02,@,Stonehill,REG (Non-Conf),W,79,64,,28,61,0.459,6,16,0.375,22,45,0.489,0.508,17,22,0.773,10,30,40,13,5,7,12,15,23,62,0.371,8,23,0.348,15,39,0.385,0.435,10,12,0.833,6,22,28,8,6,5,7,21,111.2,90.0,71.1,0.361,0.262,0.553,58.8,46.4,7.0,17.9,0.508,14.4,31.3,0.279,0.435,9.4,16.7,0.161
10,10,2023-12-09,,Le Moyne,REG (Non-Conf),W,91,79,,32,63,0.508,12,24,0.5,20,39,0.513,0.603,15,18,0.833,12,26,38,23,3,6,8,16,25,63,0.397,12,29,0.414,13,34,0.382,0.492,17,21,0.81,9,16,25,15,4,4,6,16,132.3,114.9,68.8,0.286,0.381,0.636,60.3,71.9,4.4,17.6,0.603,10.1,42.9,0.238,0.492,7.6,25.7,0.27
