Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-07,,Vanguard,REG (Non-Conf),W,89,55,,31,69,0.449,3,26,0.115,28,43,0.651,0.471,24,32,0.75,19,40,59,15,4,3,14,12,22,69,0.319,6,22,0.273,16,47,0.34,0.362,5,9,0.556,5,20,25,10,8,3,12,23,111.6,69.0,79.7,0.464,0.377,0.529,70.2,48.4,5.0,6.4,0.471,14.3,48.7,0.348,0.362,14.1,11.1,0.072
2,2,2023-11-12,,San Francisco,REG (Non-Conf),W,63,58,,23,54,0.426,5,13,0.385,18,41,0.439,0.472,12,23,0.522,8,24,32,9,10,1,12,14,23,52,0.442,4,19,0.211,19,33,0.576,0.481,8,12,0.667,7,21,28,9,4,6,16,21,92.9,85.5,67.8,0.426,0.241,0.485,53.3,39.1,14.7,3.0,0.472,15.6,27.6,0.222,0.481,21.7,22.6,0.154
3,3,2023-11-19,@,Clemson,REG (Non-Conf),L,68,85,,22,56,0.393,7,23,0.304,15,33,0.455,0.455,17,22,0.773,5,18,23,9,9,1,10,18,31,61,0.508,8,15,0.533,23,46,0.5,0.574,15,16,0.938,10,27,37,15,3,6,12,18,95.7,119.7,71.0,0.393,0.411,0.512,38.3,40.9,12.7,2.2,0.455,13.1,15.6,0.304,0.574,14.9,35.7,0.246
4,4,2023-11-23,N,Virginia Tech,REG (Non-Conf),L,75,82,,27,57,0.474,8,21,0.381,19,36,0.528,0.544,13,16,0.813,7,27,34,10,3,3,14,20,26,55,0.473,7,18,0.389,19,37,0.514,0.536,23,27,0.852,4,23,27,14,6,4,8,19,104.6,114.3,71.7,0.281,0.368,0.58,55.7,37.0,4.2,8.1,0.544,17.8,23.3,0.228,0.536,10.6,12.9,0.418
5,5,2023-11-24,N,VCU,REG (Non-Conf),W,65,61,,21,51,0.412,6,16,0.375,15,35,0.429,0.471,17,21,0.81,4,18,22,7,8,3,8,19,21,53,0.396,6,22,0.273,15,31,0.484,0.453,13,15,0.867,9,28,37,12,5,5,14,18,99.9,93.8,65.1,0.412,0.314,0.533,37.3,33.3,12.3,9.7,0.471,11.6,12.5,0.333,0.453,18.9,33.3,0.245
6,6,2023-11-26,N,Butler,REG (Non-Conf),L,56,70,,21,65,0.323,5,30,0.167,16,35,0.457,0.362,9,11,0.818,9,26,35,10,6,4,7,13,29,56,0.518,4,14,0.286,25,42,0.595,0.554,8,10,0.8,3,35,38,13,3,4,9,9,83.0,103.7,67.5,0.169,0.462,0.399,47.9,47.6,8.9,9.5,0.362,9.1,20.5,0.138,0.554,12.9,10.3,0.143
7,7,2023-12-01,N,St. Mary's (CA),REG (Non-Conf),W,63,60,,21,44,0.477,5,13,0.385,16,31,0.516,0.534,16,24,0.667,3,21,24,13,6,3,9,20,23,49,0.469,2,14,0.143,21,35,0.6,0.49,12,24,0.5,7,22,29,8,7,4,13,20,98.6,93.9,63.9,0.545,0.295,0.569,45.3,61.9,9.4,8.6,0.534,14.0,12.0,0.364,0.49,17.7,25.0,0.245
8,8,2023-12-05,,North Texas,REG (Non-Conf),W,69,64,,20,45,0.444,9,22,0.409,11,23,0.478,0.544,20,26,0.769,4,19,23,12,11,3,17,17,23,57,0.404,4,17,0.235,19,40,0.475,0.439,14,19,0.737,11,19,30,6,10,2,18,19,96.3,89.3,71.7,0.578,0.489,0.602,43.4,60.0,15.3,7.5,0.544,22.9,17.4,0.444,0.439,21.4,36.7,0.246
9,9,2023-12-09,,Western Ore.,REG (Non-Conf),W,109,70,,38,63,0.603,15,32,0.469,23,31,0.742,0.722,18,29,0.621,15,27,42,26,7,2,11,16,25,53,0.472,12,26,0.462,13,27,0.481,0.585,8,10,0.8,1,11,12,18,5,0,11,20,155.1,99.6,70.3,0.46,0.508,0.71,77.8,68.4,10.0,7.4,0.722,12.5,57.7,0.286,0.585,16.0,3.6,0.151
10,10,2023-12-12,,Northwestern State,REG (Non-Conf),W,95,54,,37,62,0.597,13,32,0.406,24,30,0.8,0.702,8,14,0.571,13,29,42,19,2,2,8,11,21,56,0.375,10,25,0.4,11,31,0.355,0.464,2,10,0.2,7,13,20,11,4,1,10,12,149.1,84.8,63.7,0.226,0.516,0.692,67.7,51.4,3.1,6.5,0.702,10.4,50.0,0.129,0.464,14.1,19.4,0.036
11,11,2023-12-17,,Cal State Fullerton,REG (Non-Conf),W,88,65,,33,67,0.493,12,27,0.444,21,40,0.525,0.582,10,17,0.588,17,23,40,19,4,4,11,14,22,54,0.407,6,18,0.333,16,36,0.444,0.463,15,20,0.75,5,16,21,8,5,4,9,16,128.9,95.2,68.3,0.254,0.403,0.586,65.6,57.6,5.9,11.1,0.582,12.8,51.5,0.149,0.463,12.4,17.9,0.278
12,12,2023-12-21,N,Washington State,REG (Non-Conf),L,61,66,,23,64,0.359,5,20,0.25,18,44,0.409,0.398,10,13,0.769,6,29,35,8,5,3,7,18,24,56,0.429,4,14,0.286,20,42,0.476,0.464,14,18,0.778,4,33,37,9,6,2,9,14,86.7,93.8,70.4,0.203,0.313,0.435,48.6,34.8,7.1,7.1,0.398,9.1,15.4,0.156,0.464,12.2,12.1,0.25
13,13,2023-12-29,,Utah Valley,REG (Non-Conf),W,85,63,,31,56,0.554,5,12,0.417,26,44,0.591,0.598,18,24,0.75,12,24,36,13,8,2,15,24,19,50,0.38,2,15,0.133,17,35,0.486,0.4,23,34,0.676,8,13,21,8,6,3,12,22,121.0,89.6,70.3,0.429,0.214,0.631,63.2,41.9,11.4,5.7,0.598,18.2,48.0,0.321,0.4,15.4,25.0,0.46
14,14,2024-01-05,@,San Jose State,REG (Conf),W,78,69,,28,57,0.491,8,18,0.444,20,39,0.513,0.561,14,18,0.778,12,31,43,14,2,1,14,15,25,59,0.424,7,27,0.259,18,32,0.563,0.483,12,19,0.632,5,16,21,14,8,5,6,14,114.2,101.0,68.3,0.316,0.316,0.595,67.2,50.0,2.9,3.1,0.561,17.6,42.9,0.246,0.483,8.1,13.9,0.203
15,15,2024-01-09,,Colorado State,REG (Conf),W,65,58,,21,54,0.389,6,18,0.333,15,36,0.417,0.444,17,23,0.739,9,19,28,10,10,1,8,12,24,51,0.471,4,16,0.25,20,35,0.571,0.51,6,10,0.6,7,24,31,10,5,3,15,17,101.8,90.9,63.8,0.426,0.333,0.501,47.5,47.6,15.7,2.9,0.444,11.0,27.3,0.315,0.51,21.2,26.9,0.118
16,16,2024-01-12,@,Nevada,REG (Conf),W,64,56,,21,51,0.412,5,22,0.227,16,29,0.552,0.461,17,20,0.85,10,31,41,12,4,0,17,21,18,50,0.36,3,12,0.25,15,38,0.395,0.39,17,22,0.773,2,22,24,12,10,5,11,18,93.5,81.8,68.5,0.392,0.431,0.529,63.1,57.1,5.8,0.0,0.461,21.9,31.3,0.333,0.39,15.4,6.1,0.34
17,17,2024-01-16,,UNLV,REG (Conf),L,64,68,,23,58,0.397,6,21,0.286,17,37,0.459,0.448,12,18,0.667,10,19,29,8,4,3,9,12,26,58,0.448,6,18,0.333,20,40,0.5,0.5,10,17,0.588,13,22,35,9,4,4,8,18,101.1,107.4,63.3,0.31,0.362,0.481,45.3,34.8,6.3,7.5,0.448,11.9,31.3,0.207,0.5,10.8,40.6,0.172
18,18,2024-01-20,,San Diego State,REG (Conf),W,67,66,,22,56,0.393,9,24,0.375,13,32,0.406,0.473,14,20,0.7,7,20,27,11,6,1,11,17,22,51,0.431,6,24,0.25,16,27,0.593,0.49,16,19,0.842,8,26,34,6,4,4,13,19,99.6,98.1,67.3,0.357,0.429,0.511,44.3,50.0,8.9,3.7,0.473,14.4,21.2,0.25,0.49,17.8,28.6,0.314
19,19,2024-01-23,@,Fresno State,REG (Conf),W,72,68,,25,54,0.463,8,23,0.348,17,31,0.548,0.537,14,20,0.7,9,16,25,11,6,3,10,10,28,53,0.528,6,19,0.316,22,34,0.647,0.585,6,7,0.857,4,16,20,12,8,6,8,16,115.4,109.0,62.4,0.37,0.426,0.567,55.6,44.0,9.6,8.8,0.537,13.6,36.0,0.259,0.585,12.4,20.0,0.113
20,20,2024-01-27,,Utah State,REG (Conf),L,84,90,OT,26,65,0.4,9,28,0.321,17,37,0.459,0.469,23,31,0.742,12,23,35,11,5,1,12,20,29,60,0.483,6,23,0.261,23,37,0.622,0.533,26,31,0.839,6,27,33,17,6,3,12,22,104.7,112.2,71.3,0.477,0.431,0.527,51.5,42.3,6.2,2.7,0.469,13.1,30.8,0.354,0.533,13.8,20.7,0.433
21,21,2024-01-31,@,New Mexico,REG (Conf),W,86,78,,32,66,0.485,9,27,0.333,23,39,0.59,0.553,13,17,0.765,13,27,40,14,7,6,10,16,27,66,0.409,7,25,0.28,20,41,0.488,0.462,17,19,0.895,10,21,31,9,4,6,7,17,120.2,109.0,71.6,0.258,0.409,0.58,56.3,43.8,9.8,14.6,0.553,11.9,38.2,0.197,0.462,8.5,27.0,0.258
22,22,2024-02-03,,Air Force,REG (Conf),W,94,56,,30,50,0.6,15,27,0.556,15,23,0.652,0.75,19,22,0.864,9,18,27,17,4,3,8,12,18,52,0.346,10,31,0.323,8,21,0.381,0.442,10,11,0.909,8,10,18,9,4,1,10,17,158.4,94.4,59.3,0.44,0.54,0.778,60.0,56.7,6.7,14.3,0.75,11.7,47.4,0.38,0.442,14.9,30.8,0.192
23,23,2024-02-06,@,Colorado State,REG (Conf),L,62,75,,23,56,0.411,5,20,0.25,18,36,0.5,0.455,11,17,0.647,8,18,26,7,5,1,7,19,27,48,0.563,4,15,0.267,23,33,0.697,0.604,17,19,0.895,3,23,26,22,5,4,11,17,96.8,117.1,64.1,0.304,0.357,0.484,50.0,30.4,7.8,3.0,0.455,9.8,25.8,0.196,0.604,16.2,14.3,0.354
24,24,2024-02-10,@,Utah State,REG (Conf),L,61,80,,21,59,0.356,7,29,0.241,14,30,0.467,0.415,12,17,0.706,11,20,31,9,1,1,9,19,29,56,0.518,9,21,0.429,20,35,0.571,0.598,13,20,0.65,5,28,33,20,5,5,8,15,91.3,119.8,66.8,0.288,0.492,0.455,48.4,42.9,1.5,2.9,0.415,11.8,28.2,0.203,0.598,10.9,20.0,0.232
25,25,2024-02-17,,Fresno State,REG (Conf),W,90,66,,30,51,0.588,10,24,0.417,20,27,0.741,0.686,20,28,0.714,7,25,32,15,4,3,7,15,25,59,0.424,11,30,0.367,14,29,0.483,0.517,5,12,0.417,5,15,20,12,3,1,5,16,139.5,102.3,64.5,0.549,0.471,0.7,61.5,50.0,6.2,10.3,0.686,9.8,31.8,0.392,0.517,7.2,16.7,0.085
26,26,2024-02-20,,San Jose State,REG (Conf),W,82,50,,29,54,0.537,10,25,0.4,19,29,0.655,0.63,14,17,0.824,8,29,37,16,7,2,10,11,18,55,0.327,10,28,0.357,8,27,0.296,0.418,4,5,0.8,5,18,23,9,5,3,13,15,126.7,77.2,64.7,0.315,0.463,0.66,61.7,55.2,10.8,7.4,0.63,13.9,30.8,0.259,0.418,18.5,14.7,0.073
27,27,2024-02-24,@,Wyoming,REG (Conf),W,92,72,,34,63,0.54,10,26,0.385,24,37,0.649,0.619,14,18,0.778,16,23,39,15,9,1,14,22,24,48,0.5,6,18,0.333,18,30,0.6,0.563,18,28,0.643,3,14,17,8,7,2,10,18,133.5,104.5,68.9,0.286,0.413,0.643,69.6,44.1,13.1,3.3,0.619,16.4,53.3,0.222,0.563,14.0,11.5,0.375
28,28,2024-02-27,@,Air Force,REG (Conf),W,79,48,,24,50,0.48,7,18,0.389,17,32,0.531,0.55,24,27,0.889,6,24,30,11,6,1,6,19,17,39,0.436,5,18,0.278,12,21,0.571,0.5,9,15,0.6,2,17,19,10,4,4,12,19,132.8,80.7,59.5,0.54,0.36,0.629,61.2,45.8,10.1,4.8,0.55,8.7,26.1,0.48,0.5,20.6,7.7,0.231
29,29,2024-03-02,,New Mexico,REG (Conf),W,89,79,,30,69,0.435,7,20,0.35,23,49,0.469,0.486,22,26,0.846,15,25,40,12,8,4,7,16,28,64,0.438,6,23,0.261,22,41,0.537,0.484,17,19,0.895,11,24,35,14,4,6,11,21,121.6,107.9,73.2,0.377,0.29,0.547,53.3,40.0,10.9,9.8,0.486,7.9,38.5,0.319,0.484,13.1,30.6,0.266
30,30,2024-03-05,,Nevada,REG (Conf),L,66,76,,20,48,0.417,6,23,0.261,14,25,0.56,0.479,20,29,0.69,8,28,36,11,3,3,14,23,23,49,0.469,12,24,0.5,11,25,0.44,0.592,18,27,0.667,0,21,21,12,12,3,7,21,96.6,111.3,68.3,0.604,0.479,0.534,63.2,55.0,4.4,12.0,0.479,18.5,27.6,0.417,0.592,10.2,0.0,0.367
