Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,,Fairfield,REG (Non-Conf),W,89,70,,33,67,0.493,11,27,0.407,22,40,0.55,0.575,12,15,0.8,10,29,39,15,6,7,13,17,26,68,0.382,10,27,0.37,16,41,0.39,0.456,8,13,0.615,11,21,32,9,8,2,14,16,115.4,90.7,77.2,0.224,0.403,0.6,54.9,45.5,7.8,17.1,0.575,14.9,32.3,0.179,0.456,15.9,27.5,0.118
2,2,2023-11-10,@,The Citadel,REG (Non-Conf),W,75,71,,32,60,0.533,4,15,0.267,28,45,0.622,0.567,7,10,0.7,6,17,23,12,11,5,8,12,27,56,0.482,10,25,0.4,17,31,0.548,0.571,7,10,0.7,8,20,28,11,3,6,14,13,112.4,106.4,66.8,0.167,0.25,0.579,45.1,37.5,16.5,16.1,0.567,11.0,23.1,0.117,0.571,18.7,32.0,0.125
3,3,2023-11-15,,Richmond,REG (Non-Conf),W,68,61,,22,59,0.373,7,18,0.389,15,41,0.366,0.432,17,19,0.895,12,29,41,13,3,3,11,13,24,60,0.4,5,19,0.263,19,41,0.463,0.442,8,12,0.667,6,23,29,10,6,6,5,15,103.2,92.6,65.9,0.322,0.305,0.5,58.6,59.1,4.6,7.3,0.432,13.9,34.3,0.288,0.442,7.1,17.1,0.133
4,4,2023-11-18,,Harvard,REG (Non-Conf),W,73,64,,28,73,0.384,6,24,0.25,22,49,0.449,0.425,11,15,0.733,16,28,44,12,9,8,8,13,24,61,0.393,8,22,0.364,16,39,0.41,0.459,8,9,0.889,7,26,33,13,4,9,14,15,101.1,88.6,72.2,0.205,0.329,0.456,57.1,42.9,12.5,20.5,0.425,9.1,38.1,0.151,0.459,17.7,20.0,0.131
5,5,2023-11-22,N,Colorado State,REG (Non-Conf),L,74,86,,24,51,0.471,6,16,0.375,18,35,0.514,0.529,20,20,1.0,6,18,24,13,7,2,16,13,35,63,0.556,9,21,0.429,26,42,0.619,0.627,7,9,0.778,8,19,27,21,11,1,13,18,103.7,120.5,71.4,0.392,0.314,0.612,47.1,54.2,9.8,4.8,0.529,20.9,24.0,0.392,0.627,16.2,30.8,0.111
6,6,2023-11-23,N,Loyola Chicago,REG (Non-Conf),L,68,71,,27,64,0.422,4,23,0.174,23,41,0.561,0.453,10,11,0.909,5,24,29,11,9,3,8,15,22,53,0.415,13,29,0.448,9,24,0.375,0.538,14,18,0.778,6,29,35,16,4,4,16,13,94.6,98.8,71.9,0.172,0.359,0.491,45.3,40.7,12.5,12.5,0.453,10.4,14.7,0.156,0.538,20.6,20.0,0.264
7,7,2023-11-29,@,Vanderbilt,REG (Non-Conf),W,80,62,,29,56,0.518,10,20,0.5,19,36,0.528,0.607,12,17,0.706,7,24,31,15,3,5,8,17,20,55,0.364,6,20,0.3,14,35,0.4,0.418,16,21,0.762,9,20,29,8,2,2,8,15,124.0,96.1,64.5,0.304,0.357,0.624,51.7,51.7,4.6,14.3,0.607,11.1,25.9,0.214,0.418,11.0,27.3,0.291
8,8,2023-12-02,,NC State,REG (Conf),L,78,84,OT,29,67,0.433,6,21,0.286,23,46,0.5,0.478,14,26,0.538,9,27,36,12,7,4,10,17,29,65,0.446,8,18,0.444,21,47,0.447,0.508,18,21,0.857,8,32,40,13,7,3,13,21,97.3,104.8,71.3,0.388,0.313,0.491,47.4,41.4,8.7,8.5,0.478,11.2,22.0,0.209,0.508,14.8,22.9,0.277
9,9,2023-12-05,,Central Connecticut State,REG (Non-Conf),W,82,68,,30,60,0.5,9,25,0.36,21,35,0.6,0.575,13,16,0.813,3,26,29,18,11,2,9,18,24,57,0.421,7,20,0.35,17,37,0.459,0.482,13,19,0.684,6,28,34,14,5,3,17,13,108.9,90.3,75.3,0.267,0.417,0.607,46.0,60.0,14.6,5.4,0.575,11.7,9.7,0.217,0.482,20.5,18.8,0.228
10,10,2023-12-08,,Holy Cross,REG (Non-Conf),W,95,64,,35,74,0.473,11,29,0.379,24,45,0.533,0.547,14,15,0.933,14,25,39,18,8,3,5,16,19,48,0.396,9,26,0.346,10,22,0.455,0.49,17,22,0.773,4,24,28,12,1,0,18,18,131.4,88.5,72.3,0.203,0.392,0.586,58.2,51.4,11.1,13.6,0.547,5.8,36.8,0.189,0.49,23.5,13.8,0.354
11,11,2023-12-10,N,St. John's (NY),REG (Non-Conf),W,86,80,,31,55,0.564,5,13,0.385,26,42,0.619,0.609,19,28,0.679,9,27,36,22,5,6,13,18,31,77,0.403,4,19,0.211,27,58,0.466,0.429,14,16,0.875,17,16,33,16,10,3,8,22,116.3,108.2,74.0,0.509,0.236,0.63,52.2,71.0,6.8,10.3,0.609,16.0,36.0,0.345,0.429,8.6,38.6,0.182
12,12,2023-12-21,,Lehigh,REG (Non-Conf),W,85,69,,30,59,0.508,12,26,0.462,18,33,0.545,0.61,13,20,0.65,6,30,36,14,6,4,9,17,24,59,0.407,5,24,0.208,19,35,0.543,0.449,16,19,0.842,5,22,27,8,4,1,10,17,117.6,95.5,72.3,0.339,0.441,0.62,57.1,46.7,8.3,11.4,0.61,11.6,21.4,0.22,0.449,12.8,14.3,0.271
13,13,2024-01-02,,Wake Forest,REG (Conf),L,78,84,,27,65,0.415,9,24,0.375,18,41,0.439,0.485,15,22,0.682,12,19,31,12,4,3,7,16,31,58,0.534,10,21,0.476,21,37,0.568,0.621,12,13,0.923,6,28,34,17,6,4,10,18,112.5,121.2,69.3,0.338,0.369,0.517,47.7,44.4,5.8,8.1,0.485,8.5,30.0,0.231,0.621,13.5,24.0,0.207
14,14,2024-01-06,@,Georgia Tech,REG (Conf),W,95,87,,35,63,0.556,12,23,0.522,23,40,0.575,0.651,13,18,0.722,4,17,21,21,4,3,5,18,32,59,0.542,10,23,0.435,22,36,0.611,0.627,13,19,0.684,6,24,30,16,3,2,10,15,131.4,120.4,72.3,0.286,0.365,0.664,41.2,60.0,5.5,8.3,0.651,6.5,14.3,0.206,0.627,12.8,26.1,0.22
15,15,2024-01-10,@,Syracuse,REG (Conf),L,59,69,,24,62,0.387,8,29,0.276,16,33,0.485,0.452,3,4,0.75,11,28,39,11,4,7,22,18,23,61,0.377,6,21,0.286,17,40,0.425,0.426,17,23,0.739,7,25,32,14,17,7,7,7,80.4,94.0,73.4,0.065,0.468,0.462,54.9,45.8,5.4,17.5,0.452,25.6,30.6,0.048,0.426,8.9,20.0,0.279
16,16,2024-01-13,@,Clemson,REG (Conf),L,78,89,,30,59,0.508,10,25,0.4,20,34,0.588,0.593,8,12,0.667,4,18,22,11,7,0,8,16,32,59,0.542,7,20,0.35,25,39,0.641,0.602,18,22,0.818,9,28,37,10,4,4,9,14,112.9,128.8,69.1,0.203,0.424,0.603,37.3,36.7,10.1,0.0,0.593,11.0,12.5,0.136,0.602,11.5,33.3,0.305
17,17,2024-01-15,,Notre Dame,REG (Conf),W,63,59,,21,56,0.375,7,18,0.389,14,38,0.368,0.438,14,18,0.778,4,21,25,10,7,4,3,16,21,51,0.412,8,20,0.4,13,31,0.419,0.49,9,15,0.6,10,34,44,8,1,2,14,16,100.3,93.9,62.8,0.321,0.321,0.488,36.2,47.6,11.1,12.9,0.438,4.4,10.5,0.25,0.49,19.4,32.3,0.176
18,18,2024-01-20,,North Carolina,REG (Conf),L,66,76,,19,55,0.345,3,17,0.176,16,38,0.421,0.373,25,29,0.862,5,22,27,9,4,1,4,20,25,56,0.446,5,17,0.294,20,39,0.513,0.491,21,26,0.808,10,33,43,15,3,5,11,26,96.3,110.8,68.6,0.527,0.309,0.48,38.6,47.4,5.8,2.6,0.373,5.5,13.2,0.455,0.491,13.9,31.3,0.375
19,19,2024-01-23,@,Virginia Tech,REG (Conf),L,71,76,,30,60,0.5,6,18,0.333,24,42,0.571,0.55,5,9,0.556,10,22,32,14,7,2,15,13,26,53,0.491,8,22,0.364,18,31,0.581,0.566,16,16,1.0,4,17,21,16,8,4,11,14,103.7,111.1,68.4,0.15,0.3,0.552,60.4,46.7,10.2,6.5,0.55,18.9,37.0,0.083,0.566,15.4,15.4,0.302
20,20,2024-01-27,@,Notre Dame,REG (Conf),W,61,58,,22,50,0.44,8,20,0.4,14,30,0.467,0.52,9,14,0.643,7,20,27,12,8,3,12,14,19,52,0.365,8,26,0.308,11,26,0.423,0.442,12,14,0.857,8,22,30,10,7,4,12,15,98.1,93.3,62.2,0.28,0.4,0.538,47.4,54.5,12.9,11.5,0.52,17.5,24.1,0.18,0.442,17.0,28.6,0.231
21,21,2024-01-30,,Syracuse,REG (Conf),W,80,75,,30,50,0.6,10,20,0.5,20,30,0.667,0.7,10,17,0.588,6,28,34,16,2,3,21,15,30,64,0.469,8,23,0.348,22,41,0.537,0.531,7,14,0.5,9,18,27,17,12,2,11,19,109.8,102.9,72.9,0.34,0.4,0.689,55.7,53.3,2.7,7.3,0.7,26.6,25.0,0.2,0.531,13.5,24.3,0.109
22,22,2024-02-06,,Florida State,REG (Conf),L,62,63,,24,59,0.407,8,27,0.296,16,32,0.5,0.475,6,6,1.0,9,27,36,13,6,3,15,11,28,64,0.438,5,19,0.263,23,45,0.511,0.477,2,4,0.5,7,21,28,13,13,5,11,12,90.0,91.5,68.9,0.102,0.458,0.501,56.3,54.2,8.7,6.7,0.475,19.5,30.0,0.102,0.477,14.3,20.6,0.031
23,23,2024-02-10,@,Duke,REG (Conf),L,65,80,,24,59,0.407,5,26,0.192,19,33,0.576,0.449,12,16,0.75,7,23,30,15,6,5,8,16,30,63,0.476,10,30,0.333,20,33,0.606,0.556,10,13,0.769,7,28,35,19,4,1,7,12,95.0,117.0,68.4,0.271,0.441,0.488,46.2,62.5,8.8,15.2,0.449,10.7,20.0,0.203,0.556,9.2,23.3,0.159
24,24,2024-02-13,,Louisville,REG (Conf),W,89,77,,34,60,0.567,11,23,0.478,23,37,0.622,0.658,10,13,0.769,3,20,23,21,5,8,9,18,30,64,0.469,5,15,0.333,25,49,0.51,0.508,12,19,0.632,9,21,30,14,6,1,12,16,120.1,103.9,74.1,0.217,0.383,0.672,43.4,61.8,6.7,16.3,0.658,12.0,12.5,0.167,0.508,14.1,31.0,0.188
25,25,2024-02-17,,Miami (FL),REG (Conf),W,85,77,,28,59,0.475,15,30,0.5,13,29,0.448,0.602,14,19,0.737,9,23,32,15,9,3,9,15,27,51,0.529,13,26,0.5,14,25,0.56,0.657,10,17,0.588,5,22,27,14,7,4,13,19,125.8,114.0,67.6,0.322,0.508,0.625,54.2,53.6,13.3,12.0,0.602,11.7,29.0,0.237,0.657,18.0,17.9,0.196
26,26,2024-02-20,@,Florida State,REG (Conf),L,76,84,,28,54,0.519,9,22,0.409,19,32,0.594,0.602,11,16,0.688,5,22,27,19,3,2,16,25,28,51,0.549,7,18,0.389,21,33,0.636,0.618,21,29,0.724,5,20,25,13,10,2,11,16,106.0,117.2,71.7,0.296,0.407,0.617,51.9,67.9,4.2,6.1,0.602,20.6,20.0,0.204,0.618,14.5,18.5,0.412
27,27,2024-02-24,@,NC State,REG (Conf),L,70,81,,25,55,0.455,9,20,0.45,16,35,0.457,0.536,11,13,0.846,6,21,27,18,8,3,16,18,27,62,0.435,6,20,0.3,21,42,0.5,0.484,21,24,0.875,14,23,37,11,5,4,10,14,99.6,115.2,70.3,0.236,0.364,0.572,42.2,72.0,11.4,7.1,0.536,20.7,20.7,0.2,0.484,12.0,40.0,0.339
28,28,2024-02-28,,Virginia,REG (Conf),L,68,72,,24,58,0.414,5,22,0.227,19,36,0.528,0.457,15,18,0.833,6,23,29,12,5,4,4,15,24,54,0.444,8,21,0.381,16,33,0.485,0.519,16,22,0.727,7,29,36,12,3,4,5,13,107.1,113.4,63.5,0.31,0.379,0.511,44.6,50.0,7.9,12.1,0.457,5.7,17.1,0.259,0.519,7.2,23.3,0.296
29,29,2024-03-02,,Pittsburgh,REG (Conf),L,65,90,,27,62,0.435,9,20,0.45,18,42,0.429,0.508,2,4,0.5,7,25,32,13,4,1,9,13,33,61,0.541,16,30,0.533,17,31,0.548,0.672,8,10,0.8,5,22,27,20,7,4,5,12,98.7,136.7,65.8,0.065,0.323,0.509,54.2,48.1,6.1,3.2,0.508,12.3,24.1,0.032,0.672,7.1,16.7,0.131
