Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-06,@,Northeastern,REG (Non-Conf),L,58,67,,23,57,0.404,9,24,0.375,14,33,0.424,0.482,3,6,0.5,6,22,28,10,9,3,13,18,23,53,0.434,6,19,0.316,17,34,0.5,0.491,15,18,0.833,6,27,33,13,8,2,12,8,86.3,99.7,67.2,0.105,0.421,0.485,45.9,43.5,13.4,8.8,0.482,17.8,18.2,0.053,0.491,16.3,21.4,0.283
2,2,2023-11-10,@,Rutgers,REG (Non-Conf),L,45,69,,14,52,0.269,5,25,0.2,9,27,0.333,0.317,12,18,0.667,6,20,26,6,14,1,12,20,23,52,0.442,7,25,0.28,16,27,0.593,0.51,16,30,0.533,12,29,41,12,5,3,17,15,65.3,100.1,68.9,0.346,0.481,0.372,38.8,42.9,20.3,3.7,0.317,16.5,17.1,0.231,0.51,20.4,37.5,0.308
3,3,2023-11-14,@,Howard,REG (Non-Conf),L,53,64,,20,59,0.339,6,23,0.261,14,36,0.389,0.39,7,11,0.636,5,27,32,12,4,1,13,23,19,54,0.352,6,22,0.273,13,32,0.406,0.407,20,26,0.769,6,32,38,8,7,3,10,14,74.3,89.8,71.3,0.186,0.39,0.413,45.7,60.0,5.6,3.1,0.39,16.8,13.5,0.119,0.407,13.1,18.2,0.37
4,4,2023-11-16,,Bryant,REG (Non-Conf),W,95,79,,31,64,0.484,14,28,0.5,17,36,0.472,0.594,19,25,0.76,8,28,36,16,7,2,9,19,26,57,0.456,9,21,0.429,17,36,0.472,0.535,18,21,0.857,2,22,24,11,6,7,9,18,126.0,104.7,75.4,0.391,0.438,0.626,60.0,51.6,9.3,5.6,0.594,10.6,26.7,0.297,0.535,11.8,6.7,0.316
5,5,2023-11-21,@,Davidson,REG (Non-Conf),L,45,69,,19,56,0.339,5,23,0.217,14,33,0.424,0.384,2,4,0.5,6,21,27,10,5,0,10,13,29,61,0.475,7,27,0.259,22,34,0.647,0.533,4,6,0.667,9,29,38,15,6,0,9,8,71.6,109.7,62.9,0.071,0.411,0.389,41.5,52.6,8.0,0.0,0.384,14.7,17.1,0.036,0.533,12.4,30.0,0.066
6,6,2023-11-26,,Vermont St.–Johnson,REG (Non-Conf),W,90,49,,32,64,0.5,14,32,0.438,18,32,0.563,0.609,12,21,0.571,9,29,38,23,7,3,7,11,21,59,0.356,3,13,0.231,18,46,0.391,0.381,4,8,0.5,6,24,30,10,4,1,16,15,124.3,67.7,72.4,0.328,0.5,0.608,55.9,71.9,9.7,6.5,0.609,8.6,27.3,0.188,0.381,20.3,17.1,0.068
7,7,2023-11-29,@,Albany (NY),REG (Non-Conf),L,72,86,,25,65,0.385,4,14,0.286,21,51,0.412,0.415,18,26,0.692,10,28,38,9,6,4,13,25,25,55,0.455,14,32,0.438,11,23,0.478,0.582,22,37,0.595,6,26,32,15,9,4,10,22,91.8,109.6,78.5,0.4,0.215,0.465,54.3,36.0,7.6,17.4,0.415,14.4,27.8,0.277,0.582,12.1,17.6,0.4
8,8,2023-12-02,@,Sacred Heart,REG (Non-Conf),W,70,49,,22,55,0.4,11,29,0.379,11,26,0.423,0.5,15,17,0.882,7,29,36,18,6,3,14,14,18,51,0.353,6,26,0.231,12,25,0.48,0.412,7,13,0.538,2,23,25,8,10,6,11,17,102.8,71.9,68.1,0.309,0.527,0.555,59.0,81.8,8.8,12.0,0.5,18.2,23.3,0.273,0.412,16.1,6.5,0.137
9,9,2023-12-06,,Maine,REG (Non-Conf),L,65,74,,24,52,0.462,7,18,0.389,17,34,0.5,0.529,10,19,0.526,9,23,32,16,8,4,16,15,26,51,0.51,7,20,0.35,19,31,0.613,0.578,15,20,0.75,4,22,26,14,9,1,10,13,96.6,110.0,67.3,0.365,0.346,0.533,55.2,66.7,11.9,12.9,0.529,20.8,29.0,0.192,0.578,14.2,14.8,0.294
10,10,2023-12-10,@,Wagner,REG (Non-Conf),W,73,59,,24,49,0.49,6,21,0.286,18,28,0.643,0.551,19,26,0.731,9,29,38,13,2,2,9,13,20,58,0.345,7,26,0.269,13,32,0.406,0.405,12,14,0.857,7,16,23,12,6,0,5,18,117.7,95.2,62.0,0.531,0.429,0.595,62.3,54.2,3.2,6.3,0.551,12.8,36.0,0.388,0.405,7.2,19.4,0.207
