Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Chicago State,REG (Non-Conf),W,70.0,41.0,,26.0,59.0,0.441,7.0,28.0,0.25,19.0,31.0,0.613,0.5,11.0,20.0,0.55,9.0,35.0,44.0,13.0,4.0,6.0,13.0,17.0,14.0,56.0,0.25,4.0,16.0,0.25,10.0,40.0,0.25,0.286,9.0,15.0,0.6,7.0,22.0,29.0,6.0,8.0,1.0,15.0,19.0,97.5,57.1,71.8,0.339,0.475,0.511,60.3,50.0,5.6,15.0,0.5,16.0,29.0,0.186,0.286,19.2,16.7,0.161
2.0,2.0,2023-11-11,,Arkansas State,REG (Non-Conf),W,81.0,75.0,,30.0,60.0,0.5,6.0,18.0,0.333,24.0,42.0,0.571,0.55,15.0,20.0,0.75,6.0,27.0,33.0,9.0,8.0,4.0,6.0,13.0,32.0,65.0,0.492,7.0,22.0,0.318,25.0,43.0,0.581,0.546,4.0,9.0,0.444,6.0,25.0,31.0,15.0,3.0,6.0,10.0,17.0,113.5,105.1,71.4,0.333,0.3,0.583,51.6,30.0,11.2,9.3,0.55,7.9,19.4,0.25,0.546,12.6,18.2,0.062
3.0,3.0,2023-11-14,@,Oakland,REG (Non-Conf),L,62.0,81.0,,25.0,58.0,0.431,5.0,20.0,0.25,20.0,38.0,0.526,0.474,7.0,14.0,0.5,8.0,24.0,32.0,10.0,4.0,3.0,17.0,20.0,28.0,57.0,0.491,7.0,18.0,0.389,21.0,39.0,0.538,0.553,18.0,27.0,0.667,7.0,22.0,29.0,10.0,14.0,3.0,11.0,16.0,84.1,109.8,73.7,0.241,0.345,0.48,52.5,40.0,5.4,7.7,0.474,20.8,26.7,0.121,0.553,13.6,22.6,0.316
4.0,4.0,2023-11-17,,Bellarmine,REG (Non-Conf),L,67.0,85.0,,23.0,61.0,0.377,9.0,32.0,0.281,14.0,29.0,0.483,0.451,12.0,24.0,0.5,14.0,14.0,28.0,14.0,4.0,1.0,8.0,21.0,28.0,48.0,0.583,11.0,17.0,0.647,17.0,31.0,0.548,0.698,18.0,23.0,0.783,3.0,26.0,29.0,12.0,3.0,1.0,11.0,22.0,100.5,127.5,66.7,0.393,0.525,0.463,49.1,60.9,6.0,3.2,0.451,10.0,35.0,0.197,0.698,15.7,17.6,0.375
5.0,5.0,2023-11-24,N,Western Kentucky,REG (Non-Conf),L,65.0,72.0,,23.0,58.0,0.397,5.0,26.0,0.192,18.0,32.0,0.563,0.44,14.0,22.0,0.636,7.0,30.0,37.0,7.0,4.0,5.0,20.0,20.0,24.0,69.0,0.348,4.0,17.0,0.235,20.0,52.0,0.385,0.377,20.0,29.0,0.69,11.0,27.0,38.0,11.0,15.0,5.0,11.0,20.0,79.2,87.7,82.1,0.379,0.448,0.475,49.3,30.4,4.9,9.6,0.44,22.6,20.6,0.241,0.377,11.7,26.8,0.29
6.0,6.0,2023-11-25,N,Lipscomb,REG (Non-Conf),W,82.0,61.0,,35.0,58.0,0.603,10.0,18.0,0.556,25.0,40.0,0.625,0.69,2.0,5.0,0.4,2.0,32.0,34.0,14.0,6.0,2.0,10.0,14.0,25.0,63.0,0.397,6.0,25.0,0.24,19.0,38.0,0.5,0.444,5.0,11.0,0.455,8.0,18.0,26.0,11.0,5.0,4.0,10.0,11.0,118.3,88.0,69.3,0.086,0.31,0.679,56.7,40.0,8.7,5.3,0.69,14.2,10.0,0.034,0.444,12.8,20.0,0.079
7.0,7.0,2023-11-26,N,Canisius,REG (Non-Conf),W,77.0,73.0,,29.0,58.0,0.5,7.0,15.0,0.467,22.0,43.0,0.512,0.56,12.0,19.0,0.632,9.0,24.0,33.0,13.0,2.0,4.0,6.0,8.0,31.0,66.0,0.47,10.0,24.0,0.417,21.0,42.0,0.5,0.545,1.0,3.0,0.333,6.0,22.0,28.0,16.0,2.0,5.0,6.0,13.0,117.2,111.1,65.7,0.328,0.259,0.574,54.1,44.8,3.0,9.5,0.56,8.2,29.0,0.207,0.545,8.2,20.0,0.015
8.0,8.0,2023-12-02,@,Southern Indiana,REG (Non-Conf),W,54.0,52.0,,18.0,63.0,0.286,5.0,21.0,0.238,13.0,42.0,0.31,0.325,13.0,19.0,0.684,11.0,24.0,35.0,7.0,8.0,3.0,12.0,19.0,17.0,54.0,0.315,5.0,16.0,0.313,12.0,38.0,0.316,0.361,13.0,20.0,0.65,11.0,32.0,43.0,8.0,7.0,6.0,17.0,20.0,75.8,73.0,71.3,0.302,0.333,0.375,44.9,38.9,11.2,7.9,0.325,14.3,25.6,0.206,0.361,21.1,31.4,0.241
9.0,9.0,2023-12-10,,Ohio Dominican,REG (Non-Conf),W,97.0,49.0,,28.0,61.0,0.459,9.0,31.0,0.29,19.0,30.0,0.633,0.533,32.0,40.0,0.8,13.0,36.0,49.0,15.0,11.0,7.0,12.0,11.0,19.0,65.0,0.292,5.0,24.0,0.208,14.0,41.0,0.341,0.331,6.0,8.0,0.75,7.0,24.0,31.0,7.0,5.0,1.0,17.0,26.0,122.9,62.1,78.9,0.656,0.508,0.606,61.3,53.6,13.9,17.1,0.533,13.0,35.1,0.525,0.331,19.8,16.3,0.092
10.0,10.0,2023-12-16,,Kansas City,REG (Non-Conf),W,79.0,69.0,,27.0,62.0,0.435,7.0,26.0,0.269,20.0,36.0,0.556,0.492,18.0,21.0,0.857,7.0,28.0,35.0,11.0,8.0,1.0,6.0,14.0,28.0,71.0,0.394,8.0,28.0,0.286,20.0,43.0,0.465,0.451,5.0,7.0,0.714,12.0,24.0,36.0,13.0,2.0,6.0,9.0,18.0,111.0,97.0,71.2,0.339,0.419,0.549,49.3,40.7,11.2,2.3,0.492,7.7,22.6,0.29,0.451,10.8,30.0,0.07
