Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,UAB,REG (Non-Conf),W,73.0,71.0,OT,25.0,58.0,0.431,10.0,30.0,0.333,15.0,28.0,0.536,0.517,13.0,16.0,0.813,5.0,33.0,38.0,16.0,9.0,6.0,14.0,20.0,25.0,74.0,0.338,3.0,19.0,0.158,22.0,55.0,0.4,0.358,18.0,29.0,0.621,18.0,26.0,44.0,8.0,11.0,1.0,11.0,14.0,94.0,91.4,69.1,0.276,0.517,0.556,46.3,64.0,11.6,10.9,0.517,17.6,16.1,0.224,0.358,11.1,35.3,0.243
2.0,2.0,2023-11-11,,Utah State,REG (Non-Conf),W,72.0,66.0,OT,27.0,63.0,0.429,5.0,24.0,0.208,22.0,39.0,0.564,0.468,13.0,25.0,0.52,7.0,34.0,41.0,12.0,6.0,6.0,11.0,17.0,24.0,71.0,0.338,8.0,31.0,0.258,16.0,40.0,0.4,0.394,10.0,14.0,0.714,11.0,34.0,45.0,18.0,5.0,5.0,10.0,22.0,92.6,84.9,69.1,0.397,0.381,0.481,47.7,44.4,7.7,15.0,0.468,12.8,17.1,0.206,0.394,11.4,24.4,0.141
3.0,3.0,2023-11-14,,Tarleton State,REG (Non-Conf),W,86.0,63.0,,32.0,52.0,0.615,17.0,28.0,0.607,15.0,24.0,0.625,0.779,5.0,11.0,0.455,3.0,23.0,26.0,22.0,5.0,3.0,15.0,16.0,21.0,55.0,0.382,3.0,14.0,0.214,18.0,41.0,0.439,0.409,18.0,20.0,0.9,10.0,17.0,27.0,6.0,11.0,1.0,13.0,12.0,125.8,92.2,68.4,0.212,0.538,0.751,49.1,68.8,7.3,7.3,0.779,20.8,15.0,0.096,0.409,16.8,30.3,0.327
4.0,4.0,2023-11-20,N,Tulane,REG (Non-Conf),W,80.0,77.0,,27.0,59.0,0.458,8.0,24.0,0.333,19.0,35.0,0.543,0.525,18.0,25.0,0.72,10.0,21.0,31.0,12.0,6.0,1.0,14.0,24.0,23.0,52.0,0.442,3.0,16.0,0.188,20.0,36.0,0.556,0.471,28.0,37.0,0.757,7.0,21.0,28.0,10.0,12.0,1.0,6.0,21.0,111.5,107.4,71.7,0.424,0.407,0.564,52.5,44.4,8.4,2.8,0.525,16.5,32.3,0.305,0.471,7.9,25.0,0.538
6.0,5.0,2023-11-22,N,UTEP,REG (Non-Conf),W,63.0,59.0,,23.0,56.0,0.411,3.0,15.0,0.2,20.0,41.0,0.488,0.438,14.0,17.0,0.824,6.0,22.0,28.0,7.0,7.0,5.0,13.0,15.0,21.0,57.0,0.368,4.0,17.0,0.235,17.0,40.0,0.425,0.404,13.0,18.0,0.722,11.0,22.0,33.0,11.0,8.0,3.0,17.0,18.0,88.3,82.7,71.3,0.304,0.268,0.492,45.9,30.4,9.8,12.5,0.438,16.9,21.4,0.25,0.404,20.6,33.3,0.228
7.0,7.0,2023-11-25,,Vermont,REG (Non-Conf),W,79.0,70.0,,24.0,53.0,0.453,9.0,23.0,0.391,15.0,30.0,0.5,0.538,22.0,25.0,0.88,6.0,26.0,32.0,14.0,6.0,4.0,8.0,14.0,26.0,62.0,0.419,11.0,29.0,0.379,15.0,33.0,0.455,0.508,7.0,15.0,0.467,11.0,21.0,32.0,15.0,5.0,1.0,12.0,17.0,115.3,102.2,68.5,0.472,0.434,0.609,50.0,58.3,8.8,12.1,0.538,11.0,22.2,0.415,0.508,14.8,29.7,0.113
8.0,8.0,2023-11-29,@,Murray State,REG (Conf),L,72.0,79.0,,28.0,61.0,0.459,7.0,21.0,0.333,21.0,40.0,0.525,0.516,9.0,17.0,0.529,12.0,19.0,31.0,12.0,7.0,1.0,8.0,19.0,27.0,51.0,0.529,5.0,20.0,0.25,22.0,31.0,0.71,0.578,20.0,26.0,0.769,6.0,23.0,29.0,11.0,4.0,3.0,8.0,17.0,110.4,121.1,65.2,0.279,0.344,0.521,51.7,42.9,10.7,3.2,0.516,10.4,34.3,0.148,0.578,11.2,24.0,0.392
9.0,9.0,2023-12-02,,Indiana State,REG (Conf),L,77.0,85.0,,29.0,65.0,0.446,6.0,20.0,0.3,23.0,45.0,0.511,0.492,13.0,17.0,0.765,11.0,19.0,30.0,11.0,11.0,2.0,12.0,16.0,31.0,59.0,0.525,14.0,29.0,0.483,17.0,30.0,0.567,0.644,9.0,13.0,0.692,7.0,25.0,32.0,16.0,6.0,2.0,16.0,17.0,103.9,114.7,74.1,0.262,0.308,0.527,48.4,37.9,14.8,6.7,0.492,14.1,30.6,0.2,0.644,19.7,26.9,0.153
10.0,10.0,2023-12-05,@,Akron,REG (Non-Conf),L,52.0,67.0,,21.0,52.0,0.404,5.0,18.0,0.278,16.0,34.0,0.471,0.452,5.0,12.0,0.417,7.0,21.0,28.0,10.0,6.0,1.0,12.0,19.0,25.0,59.0,0.424,9.0,24.0,0.375,16.0,35.0,0.457,0.5,8.0,17.0,0.471,14.0,24.0,38.0,12.0,7.0,5.0,14.0,13.0,80.1,103.3,64.9,0.231,0.346,0.451,42.4,47.6,9.2,2.9,0.452,17.2,22.6,0.096,0.5,17.3,40.0,0.136
11.0,11.0,2023-12-15,,Cleveland State,REG (Non-Conf),L,69.0,76.0,,23.0,51.0,0.451,9.0,28.0,0.321,14.0,23.0,0.609,0.539,14.0,17.0,0.824,7.0,19.0,26.0,11.0,8.0,2.0,16.0,17.0,25.0,58.0,0.431,10.0,19.0,0.526,15.0,39.0,0.385,0.517,16.0,20.0,0.8,13.0,19.0,32.0,9.0,9.0,3.0,12.0,17.0,102.5,112.9,67.3,0.333,0.549,0.584,44.8,47.8,11.9,5.1,0.539,21.3,26.9,0.275,0.517,15.1,40.6,0.276
12.0,12.0,2023-12-18,N,Duquesne,REG (Non-Conf),L,67.0,69.0,,26.0,54.0,0.481,8.0,18.0,0.444,18.0,36.0,0.5,0.556,7.0,12.0,0.583,13.0,21.0,34.0,10.0,6.0,8.0,16.0,16.0,25.0,59.0,0.424,5.0,19.0,0.263,20.0,40.0,0.5,0.466,14.0,20.0,0.7,12.0,14.0,26.0,8.0,12.0,1.0,9.0,12.0,104.5,107.6,64.1,0.222,0.333,0.561,56.7,38.5,9.4,20.0,0.556,21.1,48.1,0.13,0.466,11.6,36.4,0.237
13.0,13.0,2023-12-21,,SIU Edwardsville,REG (Non-Conf),W,75.0,64.0,,26.0,55.0,0.473,12.0,31.0,0.387,14.0,24.0,0.583,0.582,11.0,19.0,0.579,10.0,26.0,36.0,13.0,7.0,6.0,13.0,18.0,18.0,58.0,0.31,6.0,20.0,0.3,12.0,38.0,0.316,0.362,22.0,30.0,0.733,11.0,23.0,34.0,5.0,9.0,1.0,8.0,19.0,110.1,93.9,68.1,0.345,0.564,0.586,51.4,50.0,10.3,15.8,0.582,16.9,30.3,0.2,0.362,10.0,29.7,0.379
14.0,14.0,2023-12-28,,Truman St,REG (Non-Conf),W,69.0,47.0,,26.0,66.0,0.394,8.0,30.0,0.267,18.0,36.0,0.5,0.455,9.0,18.0,0.5,16.0,26.0,42.0,14.0,8.0,6.0,7.0,13.0,16.0,48.0,0.333,4.0,19.0,0.211,12.0,29.0,0.414,0.375,11.0,18.0,0.611,4.0,24.0,28.0,8.0,3.0,4.0,14.0,16.0,104.5,71.2,66.1,0.273,0.455,0.463,60.0,53.8,12.1,20.7,0.455,8.6,40.0,0.136,0.375,19.8,13.3,0.229
