Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Colgate,REG (Non-Conf),L,70.0,72.0,,25.0,65.0,0.385,10.0,32.0,0.313,15.0,33.0,0.455,0.462,10.0,22.0,0.455,13.0,25.0,38.0,13.0,7.0,6.0,14.0,17.0,25.0,54.0,0.463,6.0,19.0,0.316,19.0,35.0,0.543,0.519,16.0,22.0,0.727,5.0,30.0,35.0,12.0,8.0,3.0,11.0,21.0,95.3,98.0,73.5,0.338,0.492,0.464,52.1,52.0,9.5,17.1,0.462,15.7,30.2,0.154,0.519,14.6,16.7,0.296
2.0,2.0,2023-11-11,,Loyola (MD),REG (Non-Conf),L,75.0,77.0,OT,26.0,67.0,0.388,5.0,21.0,0.238,21.0,46.0,0.457,0.425,18.0,26.0,0.692,15.0,26.0,41.0,14.0,6.0,10.0,15.0,17.0,29.0,67.0,0.433,9.0,22.0,0.409,20.0,45.0,0.444,0.5,10.0,14.0,0.714,5.0,26.0,31.0,16.0,10.0,6.0,13.0,20.0,93.2,95.7,71.6,0.388,0.313,0.473,56.9,53.8,7.5,22.2,0.425,15.9,36.6,0.269,0.5,15.0,16.1,0.149
3.0,3.0,2023-11-14,@,New Hampshire,REG (Non-Conf),L,64.0,82.0,,23.0,61.0,0.377,3.0,15.0,0.2,20.0,46.0,0.435,0.402,15.0,23.0,0.652,12.0,25.0,37.0,9.0,9.0,3.0,14.0,23.0,25.0,58.0,0.431,10.0,25.0,0.4,15.0,33.0,0.455,0.517,22.0,27.0,0.815,6.0,26.0,32.0,14.0,11.0,5.0,12.0,20.0,84.9,108.8,75.4,0.377,0.246,0.445,53.6,39.1,11.9,9.1,0.402,16.3,31.6,0.246,0.517,14.5,19.4,0.379
4.0,4.0,2023-11-16,,Rhode Island Col.,REG (Non-Conf),W,92.0,51.0,,31.0,67.0,0.463,14.0,33.0,0.424,17.0,34.0,0.5,0.567,16.0,26.0,0.615,12.0,29.0,41.0,19.0,16.0,6.0,7.0,9.0,18.0,53.0,0.34,5.0,20.0,0.25,13.0,33.0,0.394,0.387,10.0,14.0,0.714,3.0,25.0,28.0,9.0,3.0,2.0,21.0,20.0,121.1,67.1,73.4,0.388,0.493,0.58,59.4,61.3,21.1,18.2,0.567,8.1,32.4,0.239,0.387,26.0,9.4,0.189
5.0,5.0,2023-11-19,@,Southern California,REG (Non-Conf),L,70.0,81.0,,25.0,61.0,0.41,9.0,33.0,0.273,16.0,28.0,0.571,0.484,11.0,18.0,0.611,10.0,28.0,38.0,14.0,5.0,3.0,9.0,26.0,24.0,56.0,0.429,12.0,24.0,0.5,12.0,32.0,0.375,0.536,21.0,32.0,0.656,12.0,27.0,39.0,12.0,1.0,1.0,12.0,17.0,100.2,115.9,69.9,0.295,0.541,0.503,49.4,56.0,7.2,9.4,0.484,11.5,27.0,0.18,0.536,14.4,30.0,0.375
6.0,6.0,2023-11-24,N,Delaware,REG (Non-Conf),L,59.0,67.0,,22.0,63.0,0.349,8.0,29.0,0.276,14.0,34.0,0.412,0.413,7.0,16.0,0.438,11.0,32.0,43.0,9.0,3.0,4.0,15.0,14.0,25.0,62.0,0.403,4.0,18.0,0.222,21.0,44.0,0.477,0.435,13.0,21.0,0.619,7.0,31.0,38.0,10.0,8.0,2.0,9.0,13.0,79.4,90.2,74.3,0.254,0.46,0.418,53.1,40.9,4.0,9.1,0.413,17.5,26.2,0.111,0.435,11.1,17.9,0.21
7.0,7.0,2023-11-25,N,Kansas City,REG (Non-Conf),W,93.0,83.0,OT,31.0,53.0,0.585,7.0,15.0,0.467,24.0,38.0,0.632,0.651,24.0,34.0,0.706,7.0,20.0,27.0,16.0,8.0,4.0,14.0,15.0,31.0,70.0,0.443,14.0,37.0,0.378,17.0,33.0,0.515,0.543,7.0,14.0,0.5,15.0,14.0,29.0,17.0,6.0,3.0,17.0,27.0,120.2,107.2,68.8,0.642,0.283,0.672,48.2,51.6,10.3,12.1,0.651,16.8,33.3,0.453,0.543,18.2,42.9,0.1
8.0,8.0,2023-11-26,N,Ohio,REG (Non-Conf),L,77.0,82.0,,25.0,53.0,0.472,7.0,23.0,0.304,18.0,30.0,0.6,0.538,20.0,28.0,0.714,13.0,19.0,32.0,13.0,5.0,4.0,16.0,20.0,29.0,56.0,0.518,7.0,13.0,0.538,22.0,43.0,0.512,0.58,17.0,25.0,0.68,6.0,17.0,23.0,12.0,10.0,1.0,9.0,23.0,109.9,117.0,70.1,0.528,0.434,0.581,58.2,52.0,7.1,9.3,0.538,19.4,43.3,0.377,0.58,11.7,24.0,0.304
9.0,9.0,2023-12-01,,Bryant,REG (Non-Conf),L,66.0,69.0,,25.0,62.0,0.403,6.0,23.0,0.261,19.0,39.0,0.487,0.452,10.0,16.0,0.625,10.0,28.0,38.0,11.0,7.0,3.0,14.0,16.0,26.0,61.0,0.426,4.0,20.0,0.2,22.0,41.0,0.537,0.459,13.0,18.0,0.722,8.0,22.0,30.0,7.0,6.0,8.0,12.0,17.0,89.7,93.8,73.6,0.258,0.371,0.474,55.9,44.0,9.5,7.3,0.452,16.7,31.3,0.161,0.459,14.7,22.2,0.213
10.0,10.0,2023-12-03,@,Maine,REG (Non-Conf),L,49.0,60.0,,17.0,51.0,0.333,3.0,16.0,0.188,14.0,35.0,0.4,0.363,12.0,17.0,0.706,12.0,20.0,32.0,8.0,3.0,4.0,14.0,15.0,25.0,52.0,0.481,5.0,14.0,0.357,20.0,38.0,0.526,0.529,5.0,8.0,0.625,3.0,21.0,24.0,15.0,8.0,5.0,9.0,19.0,79.8,97.7,61.4,0.333,0.314,0.415,57.1,47.1,4.9,10.5,0.363,19.2,36.4,0.235,0.529,13.9,13.0,0.096
