Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Manhattan,REG (Non-Conf),L,59.0,61.0,,21.0,61.0,0.344,9.0,23.0,0.391,12.0,38.0,0.316,0.418,8.0,20.0,0.4,13.0,26.0,39.0,12.0,5.0,7.0,13.0,14.0,24.0,63.0,0.381,1.0,16.0,0.063,23.0,47.0,0.489,0.389,12.0,15.0,0.8,9.0,32.0,41.0,7.0,8.0,4.0,12.0,20.0,82.2,84.9,71.8,0.328,0.377,0.418,48.8,57.1,7.0,14.9,0.418,15.6,28.9,0.131,0.389,14.6,25.7,0.19
2.0,2.0,2023-11-08,,Fisher College,REG (Non-Conf),W,140.0,79.0,,52.0,82.0,0.634,17.0,34.0,0.5,35.0,48.0,0.729,0.738,19.0,27.0,0.704,13.0,40.0,53.0,23.0,5.0,9.0,9.0,15.0,30.0,87.0,0.345,12.0,27.0,0.444,18.0,60.0,0.3,0.414,7.0,12.0,0.583,14.0,20.0,34.0,9.0,5.0,2.0,10.0,20.0,156.0,88.0,89.8,0.329,0.415,0.738,60.9,44.2,5.6,15.0,0.738,8.7,39.4,0.232,0.414,9.7,25.9,0.08
3.0,3.0,2023-11-12,@,Rutgers,REG (Non-Conf),L,57.0,66.0,,22.0,59.0,0.373,6.0,23.0,0.261,16.0,36.0,0.444,0.424,7.0,11.0,0.636,5.0,28.0,33.0,9.0,12.0,7.0,11.0,25.0,19.0,61.0,0.311,4.0,22.0,0.182,15.0,39.0,0.385,0.344,24.0,34.0,0.706,17.0,28.0,45.0,11.0,7.0,4.0,13.0,15.0,79.5,92.1,71.7,0.186,0.39,0.444,42.3,40.9,16.7,17.9,0.424,14.6,15.2,0.119,0.344,14.4,37.8,0.393
4.0,4.0,2023-11-16,@,Boston University,REG (Non-Conf),L,79.0,95.0,,26.0,57.0,0.456,9.0,21.0,0.429,17.0,36.0,0.472,0.535,18.0,21.0,0.857,2.0,22.0,24.0,11.0,6.0,7.0,9.0,18.0,31.0,64.0,0.484,14.0,28.0,0.5,17.0,36.0,0.472,0.594,19.0,25.0,0.76,8.0,28.0,36.0,16.0,7.0,2.0,9.0,19.0,104.7,126.0,75.4,0.368,0.368,0.59,40.0,42.3,8.0,19.4,0.535,11.8,6.7,0.316,0.594,10.6,26.7,0.297
5.0,5.0,2023-11-18,@,Florida Atlantic,REG (Non-Conf),W,61.0,52.0,,22.0,63.0,0.349,8.0,29.0,0.276,14.0,34.0,0.412,0.413,9.0,13.0,0.692,11.0,33.0,44.0,8.0,5.0,6.0,13.0,17.0,17.0,65.0,0.262,5.0,30.0,0.167,12.0,35.0,0.343,0.3,13.0,20.0,0.65,9.0,31.0,40.0,7.0,7.0,3.0,12.0,17.0,82.1,70.0,74.3,0.206,0.46,0.441,52.4,36.4,6.7,17.1,0.413,15.8,26.2,0.143,0.3,13.9,21.4,0.2
6.0,6.0,2023-11-20,,Howard,REG (Non-Conf),W,67.0,61.0,,25.0,56.0,0.446,8.0,23.0,0.348,17.0,33.0,0.515,0.518,9.0,16.0,0.563,2.0,33.0,35.0,15.0,6.0,6.0,7.0,16.0,21.0,66.0,0.318,7.0,27.0,0.259,14.0,39.0,0.359,0.371,12.0,20.0,0.6,12.0,27.0,39.0,13.0,2.0,3.0,9.0,16.0,95.0,86.5,70.6,0.286,0.411,0.527,47.3,60.0,8.5,15.4,0.518,9.9,6.9,0.161,0.371,10.7,26.7,0.182
7.0,7.0,2023-11-24,@,Xavier,REG (Non-Conf),L,75.0,100.0,,29.0,69.0,0.42,11.0,34.0,0.324,18.0,35.0,0.514,0.5,6.0,8.0,0.75,6.0,21.0,27.0,24.0,8.0,2.0,18.0,16.0,38.0,68.0,0.559,9.0,23.0,0.391,29.0,45.0,0.644,0.625,15.0,21.0,0.714,7.0,33.0,40.0,27.0,12.0,2.0,11.0,14.0,89.9,119.9,83.4,0.116,0.493,0.515,40.3,82.8,9.6,4.4,0.5,19.8,15.4,0.087,0.625,12.4,25.0,0.221
8.0,8.0,2023-11-27,,Springfield,REG (Non-Conf),W,108.0,74.0,,39.0,68.0,0.574,17.0,40.0,0.425,22.0,28.0,0.786,0.699,13.0,17.0,0.765,5.0,34.0,39.0,26.0,9.0,6.0,11.0,8.0,28.0,74.0,0.378,9.0,27.0,0.333,19.0,47.0,0.404,0.439,9.0,12.0,0.75,12.0,23.0,35.0,16.0,9.0,2.0,13.0,15.0,132.7,90.9,81.4,0.25,0.588,0.71,52.7,66.7,11.1,12.8,0.699,12.6,17.9,0.191,0.439,14.0,26.1,0.122
9.0,9.0,2023-12-01,@,Brown,REG (Non-Conf),W,69.0,66.0,,26.0,61.0,0.426,4.0,20.0,0.2,22.0,41.0,0.537,0.459,13.0,18.0,0.722,8.0,22.0,30.0,7.0,6.0,8.0,12.0,17.0,25.0,62.0,0.403,6.0,23.0,0.261,19.0,39.0,0.487,0.452,10.0,16.0,0.625,10.0,28.0,38.0,11.0,7.0,3.0,14.0,16.0,93.8,89.7,73.6,0.295,0.328,0.496,44.1,26.9,8.2,20.5,0.459,14.7,22.2,0.213,0.452,16.7,31.3,0.161
10.0,10.0,2023-12-06,@,Siena,REG (Non-Conf),W,67.0,51.0,,27.0,60.0,0.45,5.0,25.0,0.2,22.0,35.0,0.629,0.492,8.0,20.0,0.4,6.0,30.0,36.0,12.0,7.0,13.0,12.0,17.0,19.0,70.0,0.271,1.0,17.0,0.059,18.0,53.0,0.34,0.279,12.0,22.0,0.545,15.0,32.0,47.0,9.0,9.0,1.0,14.0,16.0,86.5,65.8,77.5,0.333,0.417,0.482,43.4,44.4,9.0,24.5,0.492,14.7,15.8,0.133,0.279,14.8,33.3,0.171
