Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Delaware,REG (Non-Conf),L,57.0,78.0,,21.0,54.0,0.389,10.0,28.0,0.357,11.0,26.0,0.423,0.481,5.0,13.0,0.385,6.0,24.0,30.0,12.0,11.0,2.0,15.0,24.0,27.0,53.0,0.509,10.0,23.0,0.435,17.0,30.0,0.567,0.604,14.0,28.0,0.5,7.0,30.0,37.0,15.0,6.0,5.0,14.0,15.0,80.0,109.5,71.2,0.241,0.519,0.474,44.8,57.1,15.4,6.7,0.481,20.0,16.7,0.093,0.604,17.4,22.6,0.264
2.0,2.0,2023-11-08,@,Pennsylvania,REG (Non-Conf),L,61.0,80.0,,21.0,56.0,0.375,7.0,24.0,0.292,14.0,32.0,0.438,0.438,12.0,19.0,0.632,6.0,13.0,19.0,10.0,8.0,10.0,9.0,18.0,31.0,63.0,0.492,6.0,20.0,0.3,25.0,43.0,0.581,0.54,12.0,17.0,0.706,15.0,28.0,43.0,17.0,5.0,2.0,16.0,19.0,87.1,114.2,70.1,0.339,0.429,0.469,30.6,47.6,11.4,23.3,0.438,12.2,17.6,0.214,0.54,18.4,53.6,0.19
3.0,3.0,2023-11-11,@,Niagara,REG (Non-Conf),W,73.0,64.0,,28.0,53.0,0.528,4.0,15.0,0.267,24.0,38.0,0.632,0.566,13.0,15.0,0.867,10.0,26.0,36.0,12.0,6.0,3.0,11.0,15.0,24.0,54.0,0.444,8.0,23.0,0.348,16.0,31.0,0.516,0.519,8.0,12.0,0.667,6.0,10.0,16.0,12.0,5.0,1.0,9.0,15.0,117.9,103.4,61.9,0.283,0.283,0.607,69.2,42.9,9.7,9.7,0.566,15.5,50.0,0.245,0.519,13.1,18.8,0.148
4.0,4.0,2023-11-14,@,La Salle,REG (Non-Conf),L,57.0,69.0,,18.0,48.0,0.375,6.0,21.0,0.286,12.0,27.0,0.444,0.438,15.0,24.0,0.625,6.0,23.0,29.0,10.0,3.0,1.0,16.0,25.0,23.0,54.0,0.426,8.0,26.0,0.308,15.0,28.0,0.536,0.5,15.0,26.0,0.577,6.0,25.0,31.0,17.0,8.0,1.0,11.0,25.0,81.0,98.0,70.4,0.5,0.438,0.48,48.3,55.6,4.3,3.6,0.438,21.2,19.4,0.313,0.5,14.2,20.7,0.278
5.0,5.0,2023-11-17,@,Duke,REG (Non-Conf),L,60.0,90.0,,20.0,54.0,0.37,9.0,29.0,0.31,11.0,25.0,0.44,0.454,11.0,15.0,0.733,4.0,20.0,24.0,13.0,3.0,3.0,12.0,14.0,32.0,65.0,0.492,13.0,34.0,0.382,19.0,31.0,0.613,0.592,13.0,16.0,0.813,12.0,33.0,45.0,23.0,9.0,2.0,7.0,15.0,87.8,131.7,68.4,0.278,0.537,0.491,34.8,65.0,4.4,9.7,0.454,16.4,10.8,0.204,0.592,8.8,37.5,0.2
6.0,6.0,2023-11-20,,Southern Indiana,REG (Non-Conf),W,67.0,56.0,,18.0,47.0,0.383,9.0,24.0,0.375,9.0,23.0,0.391,0.479,22.0,27.0,0.815,4.0,28.0,32.0,9.0,10.0,3.0,14.0,17.0,19.0,57.0,0.333,8.0,28.0,0.286,11.0,29.0,0.379,0.404,10.0,15.0,0.667,4.0,25.0,29.0,11.0,7.0,6.0,13.0,23.0,93.7,78.3,71.5,0.574,0.511,0.56,52.5,50.0,14.0,10.3,0.479,19.0,13.8,0.468,0.404,16.9,12.5,0.175
7.0,7.0,2023-11-22,@,St. Bonaventure,REG (Non-Conf),L,61.0,67.0,,20.0,46.0,0.435,9.0,24.0,0.375,11.0,22.0,0.5,0.533,12.0,15.0,0.8,3.0,21.0,24.0,13.0,4.0,2.0,13.0,16.0,23.0,56.0,0.411,10.0,28.0,0.357,13.0,28.0,0.464,0.5,11.0,13.0,0.846,10.0,19.0,29.0,19.0,8.0,5.0,12.0,14.0,95.8,105.3,63.7,0.326,0.522,0.574,45.3,65.0,6.3,7.1,0.533,19.7,13.6,0.261,0.5,16.2,32.3,0.196
8.0,8.0,2023-11-25,@,Marist,REG (Non-Conf),L,49.0,73.0,,17.0,59.0,0.288,7.0,35.0,0.2,10.0,24.0,0.417,0.347,8.0,9.0,0.889,8.0,15.0,23.0,11.0,7.0,2.0,10.0,10.0,28.0,50.0,0.56,12.0,23.0,0.522,16.0,27.0,0.593,0.68,5.0,6.0,0.833,5.0,28.0,33.0,14.0,7.0,5.0,13.0,14.0,77.7,115.8,63.1,0.153,0.593,0.387,41.1,64.7,11.1,7.4,0.347,13.6,22.2,0.136,0.68,19.7,25.0,0.1
9.0,9.0,2023-11-29,,Princeton,REG (Non-Conf),L,71.0,85.0,,25.0,49.0,0.51,9.0,18.0,0.5,16.0,31.0,0.516,0.602,12.0,15.0,0.8,4.0,17.0,21.0,12.0,2.0,4.0,10.0,13.0,33.0,56.0,0.589,10.0,23.0,0.435,23.0,33.0,0.697,0.679,9.0,11.0,0.818,2.0,18.0,20.0,20.0,6.0,4.0,4.0,13.0,113.3,135.6,62.7,0.306,0.367,0.633,51.2,48.0,3.2,12.1,0.602,15.1,18.2,0.245,0.679,6.1,10.5,0.161
10.0,10.0,2023-12-02,@,Penn State,REG (Non-Conf),W,76.0,67.0,,29.0,50.0,0.58,10.0,21.0,0.476,19.0,29.0,0.655,0.68,8.0,11.0,0.727,3.0,19.0,22.0,15.0,10.0,2.0,14.0,18.0,23.0,49.0,0.469,4.0,19.0,0.211,19.0,30.0,0.633,0.51,17.0,22.0,0.773,6.0,18.0,24.0,15.0,6.0,1.0,12.0,14.0,115.4,101.8,65.8,0.22,0.42,0.688,47.8,51.7,15.2,6.7,0.68,20.2,14.3,0.16,0.51,16.8,24.0,0.347
