Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,FDU,REG (Non-Conf),L,86.0,92.0,,30.0,72.0,0.417,11.0,31.0,0.355,19.0,41.0,0.463,0.493,15.0,20.0,0.75,13.0,30.0,43.0,15.0,2.0,4.0,13.0,25.0,30.0,63.0,0.476,9.0,23.0,0.391,21.0,40.0,0.525,0.548,23.0,36.0,0.639,8.0,30.0,38.0,18.0,7.0,2.0,6.0,20.0,107.8,115.3,79.8,0.278,0.431,0.528,53.1,50.0,2.5,10.0,0.493,13.8,30.2,0.208,0.548,7.0,21.1,0.365
2.0,2.0,2023-11-11,,South Alabama,REG (Non-Conf),L,56.0,70.0,,20.0,55.0,0.364,4.0,21.0,0.19,16.0,34.0,0.471,0.4,12.0,20.0,0.6,7.0,19.0,26.0,15.0,11.0,2.0,13.0,17.0,28.0,49.0,0.571,4.0,14.0,0.286,24.0,35.0,0.686,0.612,10.0,16.0,0.625,4.0,29.0,33.0,9.0,6.0,2.0,14.0,22.0,81.7,102.1,68.6,0.364,0.382,0.434,44.1,75.0,16.0,5.7,0.4,16.8,19.4,0.218,0.612,19.8,17.4,0.204
3.0,3.0,2023-11-15,,Roberts Wesleyan,REG (Non-Conf),W,89.0,83.0,,27.0,44.0,0.614,4.0,9.0,0.444,23.0,35.0,0.657,0.659,31.0,40.0,0.775,8.0,36.0,44.0,13.0,5.0,5.0,25.0,15.0,31.0,68.0,0.456,12.0,34.0,0.353,19.0,34.0,0.559,0.544,9.0,20.0,0.45,4.0,11.0,15.0,15.0,12.0,4.0,11.0,25.0,108.2,100.9,82.3,0.909,0.205,0.706,74.6,48.1,6.1,14.7,0.659,28.4,42.1,0.705,0.544,12.4,10.0,0.132
4.0,4.0,2023-11-20,N,Hofstra,REG (Non-Conf),L,68.0,102.0,,21.0,58.0,0.362,6.0,25.0,0.24,15.0,33.0,0.455,0.414,20.0,28.0,0.714,12.0,7.0,19.0,10.0,10.0,0.0,19.0,17.0,39.0,62.0,0.629,14.0,29.0,0.483,25.0,33.0,0.758,0.742,10.0,12.0,0.833,8.0,23.0,31.0,20.0,11.0,2.0,14.0,19.0,89.5,134.2,76.0,0.483,0.431,0.477,38.0,47.6,13.2,0.0,0.414,21.0,34.3,0.345,0.742,17.1,53.3,0.161
5.0,5.0,2023-11-21,N,Louisiana,REG (Non-Conf),L,60.0,68.0,,22.0,54.0,0.407,9.0,28.0,0.321,13.0,26.0,0.5,0.491,7.0,12.0,0.583,13.0,19.0,32.0,12.0,5.0,4.0,15.0,14.0,25.0,59.0,0.424,6.0,17.0,0.353,19.0,42.0,0.452,0.475,12.0,17.0,0.706,11.0,21.0,32.0,10.0,10.0,6.0,10.0,12.0,93.9,106.4,63.9,0.222,0.519,0.503,50.0,54.5,7.8,9.5,0.491,20.1,38.2,0.13,0.475,13.0,36.7,0.203
6.0,6.0,2023-11-22,N,Iona,REG (Non-Conf),L,64.0,89.0,,21.0,50.0,0.42,6.0,23.0,0.261,15.0,27.0,0.556,0.48,16.0,20.0,0.8,11.0,20.0,31.0,8.0,3.0,8.0,20.0,8.0,34.0,65.0,0.523,13.0,23.0,0.565,21.0,42.0,0.5,0.623,8.0,11.0,0.727,5.0,15.0,20.0,23.0,13.0,1.0,6.0,15.0,91.6,127.4,69.9,0.4,0.46,0.538,60.8,38.1,4.3,19.0,0.48,25.2,42.3,0.32,0.623,7.9,20.0,0.123
7.0,7.0,2023-11-29,@,James Madison,REG (Non-Conf),L,66.0,81.0,,24.0,53.0,0.453,9.0,26.0,0.346,15.0,27.0,0.556,0.538,9.0,14.0,0.643,7.0,19.0,26.0,8.0,5.0,5.0,18.0,13.0,31.0,64.0,0.484,10.0,27.0,0.37,21.0,37.0,0.568,0.563,9.0,15.0,0.6,11.0,22.0,33.0,19.0,10.0,3.0,8.0,13.0,95.1,116.7,69.4,0.264,0.491,0.553,44.1,33.3,7.2,13.5,0.538,23.2,24.1,0.17,0.563,10.1,36.7,0.141
8.0,8.0,2023-12-02,,St. Bonaventure,REG (Non-Conf),L,65.0,80.0,,22.0,58.0,0.379,2.0,17.0,0.118,20.0,41.0,0.488,0.397,19.0,27.0,0.704,13.0,21.0,34.0,11.0,8.0,5.0,11.0,17.0,28.0,58.0,0.483,10.0,24.0,0.417,18.0,34.0,0.529,0.569,14.0,19.0,0.737,10.0,24.0,34.0,20.0,7.0,7.0,12.0,16.0,94.3,116.1,68.9,0.466,0.293,0.459,50.0,50.0,11.6,14.7,0.397,13.4,35.1,0.328,0.569,15.2,32.3,0.241
9.0,9.0,2023-12-05,@,Butler,REG (Non-Conf),L,59.0,72.0,,24.0,62.0,0.387,6.0,26.0,0.231,18.0,36.0,0.5,0.435,5.0,8.0,0.625,7.0,24.0,31.0,11.0,8.0,10.0,14.0,11.0,30.0,67.0,0.448,5.0,24.0,0.208,25.0,43.0,0.581,0.485,7.0,10.0,0.7,11.0,25.0,36.0,18.0,10.0,4.0,11.0,9.0,81.6,99.6,72.3,0.129,0.419,0.448,46.3,45.8,11.1,23.3,0.435,17.5,21.9,0.081,0.485,13.3,31.4,0.104
10.0,10.0,2023-12-09,,Western Kentucky,REG (Non-Conf),L,65.0,82.0,,26.0,71.0,0.366,5.0,34.0,0.147,21.0,37.0,0.568,0.401,8.0,10.0,0.8,11.0,26.0,37.0,15.0,11.0,4.0,15.0,17.0,29.0,66.0,0.439,6.0,25.0,0.24,23.0,41.0,0.561,0.485,18.0,29.0,0.621,14.0,28.0,42.0,20.0,13.0,4.0,15.0,14.0,81.0,102.2,80.3,0.141,0.479,0.429,46.8,57.7,13.7,9.8,0.401,16.5,28.2,0.113,0.485,15.8,35.0,0.273
