Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Eastern Michigan,REG (Non-Conf),W,94.0,55.0,,36.0,63.0,0.571,6.0,22.0,0.273,30.0,41.0,0.732,0.619,16.0,19.0,0.842,6.0,29.0,35.0,20.0,9.0,2.0,10.0,14.0,19.0,59.0,0.322,8.0,24.0,0.333,11.0,35.0,0.314,0.39,9.0,15.0,0.6,11.0,20.0,31.0,11.0,4.0,0.0,18.0,20.0,126.0,73.8,74.6,0.302,0.349,0.653,53.0,55.6,12.1,5.7,0.619,12.2,23.1,0.254,0.39,21.4,27.5,0.153
2.0,2.0,2023-11-10,,Southeast Missouri State,REG (Non-Conf),W,91.0,56.0,,28.0,58.0,0.483,9.0,25.0,0.36,19.0,33.0,0.576,0.56,26.0,34.0,0.765,7.0,38.0,45.0,15.0,9.0,7.0,13.0,16.0,20.0,69.0,0.29,5.0,21.0,0.238,15.0,48.0,0.313,0.326,11.0,17.0,0.647,13.0,22.0,35.0,11.0,9.0,4.0,15.0,20.0,114.3,70.3,79.6,0.586,0.431,0.614,56.3,53.6,11.3,14.6,0.56,14.9,24.1,0.448,0.326,16.3,25.5,0.159
3.0,3.0,2023-11-13,,East Tennessee State,REG (Non-Conf),W,81.0,47.0,,31.0,69.0,0.449,11.0,31.0,0.355,20.0,38.0,0.526,0.529,8.0,11.0,0.727,8.0,27.0,35.0,15.0,7.0,6.0,8.0,12.0,18.0,58.0,0.31,4.0,24.0,0.167,14.0,34.0,0.412,0.345,7.0,14.0,0.5,8.0,25.0,33.0,8.0,6.0,5.0,18.0,17.0,108.8,63.1,74.4,0.159,0.449,0.546,51.5,48.4,9.4,17.6,0.529,9.7,24.2,0.116,0.345,21.8,22.9,0.121
4.0,4.0,2023-11-17,@,Michigan State,REG (Non-Conf),L,54.0,74.0,,15.0,52.0,0.288,7.0,25.0,0.28,8.0,27.0,0.296,0.356,17.0,24.0,0.708,8.0,21.0,29.0,8.0,4.0,3.0,12.0,17.0,28.0,59.0,0.475,7.0,20.0,0.35,21.0,39.0,0.538,0.534,11.0,15.0,0.733,10.0,29.0,39.0,15.0,9.0,3.0,10.0,19.0,80.9,110.8,66.8,0.462,0.481,0.426,42.6,53.3,6.0,7.7,0.356,15.9,21.6,0.327,0.534,13.1,32.3,0.186
5.0,5.0,2023-11-23,N,Florida Atlantic,REG (Non-Conf),L,86.0,91.0,,30.0,60.0,0.5,9.0,19.0,0.474,21.0,41.0,0.512,0.575,17.0,22.0,0.773,8.0,19.0,27.0,12.0,5.0,2.0,10.0,20.0,33.0,63.0,0.524,7.0,22.0,0.318,26.0,41.0,0.634,0.579,18.0,27.0,0.667,14.0,22.0,36.0,10.0,10.0,2.0,9.0,19.0,120.0,127.0,71.6,0.367,0.317,0.61,42.9,40.0,7.0,4.9,0.575,12.4,26.7,0.283,0.579,10.6,42.4,0.286
6.0,6.0,2023-11-24,N,Penn State,REG (Non-Conf),W,88.0,78.0,,31.0,62.0,0.5,9.0,28.0,0.321,22.0,34.0,0.647,0.573,17.0,19.0,0.895,7.0,26.0,33.0,13.0,4.0,3.0,9.0,10.0,31.0,71.0,0.437,10.0,31.0,0.323,21.0,40.0,0.525,0.507,6.0,8.0,0.75,13.0,20.0,33.0,9.0,5.0,1.0,10.0,15.0,121.5,107.7,72.4,0.306,0.452,0.62,50.0,41.9,5.5,7.5,0.573,11.2,25.9,0.274,0.507,11.8,33.3,0.085
7.0,7.0,2023-11-26,N,Boise State,REG (Non-Conf),W,70.0,56.0,,29.0,56.0,0.518,4.0,14.0,0.286,25.0,42.0,0.595,0.554,8.0,10.0,0.8,3.0,35.0,38.0,13.0,3.0,4.0,9.0,9.0,21.0,65.0,0.323,5.0,30.0,0.167,16.0,35.0,0.457,0.362,9.0,11.0,0.818,9.0,26.0,35.0,10.0,6.0,4.0,7.0,13.0,103.7,83.0,67.5,0.179,0.25,0.576,52.1,44.8,4.4,11.4,0.554,12.9,10.3,0.143,0.362,9.1,20.5,0.138
8.0,8.0,2023-11-30,,Texas Tech,REG (Non-Conf),W,103.0,95.0,OT,36.0,66.0,0.545,12.0,27.0,0.444,24.0,39.0,0.615,0.636,19.0,25.0,0.76,11.0,25.0,36.0,23.0,4.0,2.0,12.0,13.0,36.0,68.0,0.529,13.0,26.0,0.5,23.0,42.0,0.548,0.625,10.0,15.0,0.667,6.0,16.0,22.0,23.0,8.0,4.0,7.0,20.0,132.9,122.6,68.9,0.379,0.409,0.661,62.1,63.9,5.2,4.8,0.636,13.4,40.7,0.288,0.625,8.5,19.4,0.147
9.0,9.0,2023-12-05,,Buffalo,REG (Non-Conf),W,72.0,59.0,,30.0,67.0,0.448,5.0,24.0,0.208,25.0,43.0,0.581,0.485,7.0,10.0,0.7,11.0,25.0,36.0,18.0,10.0,4.0,11.0,9.0,24.0,62.0,0.387,6.0,26.0,0.231,18.0,36.0,0.5,0.435,5.0,8.0,0.625,7.0,24.0,31.0,11.0,8.0,10.0,14.0,11.0,99.6,81.6,72.3,0.149,0.358,0.502,53.7,60.0,13.8,11.1,0.485,13.3,31.4,0.104,0.435,17.5,21.9,0.081
10.0,10.0,2023-12-09,,California,REG (Non-Conf),W,97.0,90.0,2OT,39.0,75.0,0.52,8.0,19.0,0.421,31.0,56.0,0.554,0.573,11.0,14.0,0.786,7.0,26.0,33.0,18.0,7.0,6.0,14.0,11.0,35.0,76.0,0.461,14.0,34.0,0.412,21.0,42.0,0.5,0.553,6.0,7.0,0.857,9.0,24.0,33.0,18.0,7.0,3.0,16.0,18.0,110.9,102.9,70.0,0.187,0.253,0.594,50.0,46.2,8.0,14.3,0.573,14.6,22.6,0.147,0.553,16.8,25.7,0.079
