Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Piedmont,REG (Non-Conf),W,88.0,86.0,,30.0,68.0,0.441,9.0,30.0,0.3,21.0,38.0,0.553,0.507,19.0,36.0,0.528,21.0,28.0,49.0,18.0,4.0,4.0,16.0,18.0,29.0,67.0,0.433,11.0,25.0,0.44,18.0,42.0,0.429,0.515,17.0,23.0,0.739,11.0,24.0,35.0,16.0,13.0,4.0,10.0,24.0,112.1,109.5,78.5,0.529,0.441,0.517,58.3,60.0,5.1,9.5,0.507,15.8,46.7,0.279,0.515,11.4,28.2,0.254
2.0,2.0,2023-11-16,,Wichita State,REG (Non-Conf),L,77.0,86.0,,28.0,65.0,0.431,10.0,26.0,0.385,18.0,39.0,0.462,0.508,11.0,20.0,0.55,9.0,26.0,35.0,16.0,5.0,4.0,11.0,13.0,32.0,71.0,0.451,12.0,33.0,0.364,20.0,38.0,0.526,0.535,10.0,14.0,0.714,8.0,26.0,34.0,16.0,6.0,7.0,7.0,13.0,100.6,112.3,76.6,0.308,0.4,0.517,50.7,57.1,6.5,10.5,0.508,12.9,25.7,0.169,0.535,8.3,23.5,0.141
3.0,3.0,2023-11-17,,Furman,REG (Non-Conf),L,80.0,89.0,,33.0,69.0,0.478,10.0,23.0,0.435,23.0,46.0,0.5,0.551,4.0,7.0,0.571,13.0,23.0,36.0,15.0,6.0,2.0,17.0,16.0,32.0,63.0,0.508,12.0,36.0,0.333,20.0,27.0,0.741,0.603,13.0,17.0,0.765,7.0,22.0,29.0,27.0,12.0,4.0,13.0,10.0,104.3,116.0,76.7,0.101,0.333,0.553,55.4,45.5,7.8,7.4,0.551,19.0,37.1,0.058,0.603,15.5,23.3,0.206
4.0,4.0,2023-11-19,,College of Charleston,REG (Non-Conf),L,72.0,80.0,,27.0,66.0,0.409,7.0,19.0,0.368,20.0,47.0,0.426,0.462,11.0,14.0,0.786,11.0,25.0,36.0,14.0,10.0,2.0,12.0,21.0,24.0,64.0,0.375,17.0,43.0,0.395,7.0,21.0,0.333,0.508,15.0,20.0,0.75,10.0,22.0,32.0,20.0,4.0,2.0,12.0,14.0,96.5,107.3,74.6,0.212,0.288,0.496,52.9,51.9,13.4,9.5,0.462,14.2,33.3,0.167,0.508,14.0,28.6,0.234
5.0,5.0,2023-11-26,,North Carolina Central,REG (Non-Conf),L,58.0,70.0,,21.0,53.0,0.396,3.0,23.0,0.13,18.0,30.0,0.6,0.425,13.0,23.0,0.565,13.0,21.0,34.0,9.0,8.0,5.0,15.0,19.0,23.0,61.0,0.377,5.0,27.0,0.185,18.0,34.0,0.529,0.418,19.0,21.0,0.905,12.0,23.0,35.0,7.0,10.0,1.0,13.0,18.0,84.1,101.5,69.0,0.434,0.434,0.454,49.3,42.9,11.6,14.7,0.425,19.0,36.1,0.245,0.418,15.5,36.4,0.311
6.0,6.0,2023-11-29,,USC Upstate,REG (Non-Conf),W,72.0,70.0,OT,23.0,53.0,0.434,5.0,18.0,0.278,18.0,35.0,0.514,0.481,21.0,31.0,0.677,11.0,34.0,45.0,9.0,7.0,4.0,17.0,16.0,23.0,72.0,0.319,13.0,41.0,0.317,10.0,31.0,0.323,0.41,11.0,20.0,0.55,12.0,19.0,31.0,11.0,10.0,3.0,9.0,22.0,94.6,92.0,67.7,0.585,0.34,0.532,59.2,39.1,9.2,12.9,0.481,20.1,36.7,0.396,0.41,9.9,26.1,0.153
7.0,7.0,2023-12-02,,Winthrop,REG (Non-Conf),L,87.0,90.0,,33.0,64.0,0.516,12.0,26.0,0.462,21.0,38.0,0.553,0.609,9.0,16.0,0.563,11.0,23.0,34.0,15.0,6.0,10.0,9.0,21.0,32.0,79.0,0.405,13.0,37.0,0.351,19.0,42.0,0.452,0.487,13.0,22.0,0.591,25.0,19.0,44.0,11.0,3.0,2.0,6.0,12.0,124.2,128.5,70.0,0.25,0.406,0.608,43.6,45.5,8.6,23.8,0.609,11.2,36.7,0.141,0.487,6.3,52.1,0.165
8.0,8.0,2023-12-04,,St. Andrews,REG (Non-Conf),W,110.0,46.0,,44.0,86.0,0.512,10.0,29.0,0.345,34.0,57.0,0.596,0.57,12.0,19.0,0.632,21.0,36.0,57.0,28.0,13.0,6.0,9.0,14.0,18.0,60.0,0.3,3.0,20.0,0.15,15.0,40.0,0.375,0.325,7.0,17.0,0.412,5.0,21.0,26.0,5.0,4.0,0.0,20.0,13.0,132.5,55.4,83.1,0.221,0.337,0.579,68.7,63.6,15.7,15.0,0.57,8.7,50.0,0.14,0.325,22.7,12.2,0.117
9.0,9.0,2023-12-09,,Wofford,REG (Non-Conf),L,80.0,88.0,,29.0,63.0,0.46,9.0,24.0,0.375,20.0,39.0,0.513,0.532,13.0,16.0,0.813,10.0,23.0,33.0,11.0,3.0,4.0,8.0,17.0,31.0,69.0,0.449,17.0,44.0,0.386,14.0,25.0,0.56,0.572,9.0,14.0,0.643,17.0,21.0,38.0,28.0,4.0,2.0,6.0,12.0,120.1,132.1,66.6,0.254,0.381,0.567,46.5,37.9,4.5,16.0,0.532,10.2,32.3,0.206,0.572,7.3,42.5,0.13
10.0,10.0,2023-12-18,@,College of Charleston,REG (Non-Conf),L,81.0,84.0,,29.0,69.0,0.42,5.0,15.0,0.333,24.0,54.0,0.444,0.457,18.0,28.0,0.643,13.0,28.0,41.0,12.0,5.0,4.0,14.0,21.0,25.0,69.0,0.362,9.0,37.0,0.243,16.0,32.0,0.5,0.428,25.0,34.0,0.735,17.0,27.0,44.0,15.0,11.0,7.0,10.0,23.0,100.3,104.1,80.7,0.406,0.217,0.492,48.2,41.4,6.2,12.5,0.457,14.5,32.5,0.261,0.428,10.5,37.8,0.362
