Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Oklahoma,REG (Non-Conf),L,59.0,89.0,,23.0,64.0,0.359,4.0,21.0,0.19,19.0,43.0,0.442,0.391,9.0,13.0,0.692,10.0,17.0,27.0,6.0,7.0,4.0,16.0,24.0,28.0,50.0,0.56,9.0,20.0,0.45,19.0,30.0,0.633,0.65,24.0,30.0,0.8,5.0,27.0,32.0,8.0,7.0,7.0,12.0,14.0,80.0,120.7,73.7,0.203,0.328,0.42,45.8,26.1,9.5,13.3,0.391,18.6,27.0,0.141,0.65,15.7,22.7,0.48
2.0,2.0,2023-11-11,,Louisiana–Monroe,REG (Non-Conf),L,64.0,74.0,,22.0,54.0,0.407,10.0,28.0,0.357,12.0,26.0,0.462,0.5,10.0,14.0,0.714,12.0,18.0,30.0,11.0,5.0,3.0,18.0,14.0,29.0,60.0,0.483,10.0,24.0,0.417,19.0,36.0,0.528,0.567,6.0,9.0,0.667,12.0,19.0,31.0,17.0,12.0,4.0,13.0,17.0,97.0,112.2,66.0,0.259,0.519,0.528,49.2,50.0,7.6,8.3,0.5,22.9,38.7,0.185,0.567,16.8,40.0,0.1
3.0,3.0,2023-11-13,@,Florida State,REG (Non-Conf),L,67.0,94.0,,23.0,44.0,0.523,4.0,19.0,0.211,19.0,25.0,0.76,0.568,17.0,31.0,0.548,8.0,17.0,25.0,11.0,6.0,0.0,21.0,15.0,35.0,63.0,0.556,12.0,28.0,0.429,23.0,35.0,0.657,0.651,12.0,15.0,0.8,9.0,19.0,28.0,23.0,13.0,1.0,14.0,21.0,91.2,128.0,73.4,0.705,0.432,0.57,47.2,47.8,8.2,0.0,0.568,26.3,29.6,0.386,0.651,16.6,34.6,0.19
4.0,4.0,2023-11-15,@,South Florida,REG (Non-Conf),W,68.0,63.0,,26.0,53.0,0.491,8.0,15.0,0.533,18.0,38.0,0.474,0.566,8.0,13.0,0.615,5.0,27.0,32.0,13.0,7.0,6.0,16.0,21.0,18.0,57.0,0.316,1.0,17.0,0.059,17.0,40.0,0.425,0.325,26.0,31.0,0.839,10.0,23.0,33.0,7.0,10.0,2.0,11.0,14.0,95.2,88.2,71.5,0.245,0.283,0.575,49.2,50.0,9.8,15.0,0.566,21.3,17.9,0.151,0.325,13.3,27.0,0.456
5.0,5.0,2023-11-20,N,Siena,REG (Non-Conf),W,70.0,56.0,,26.0,54.0,0.481,6.0,14.0,0.429,20.0,40.0,0.5,0.537,12.0,15.0,0.8,7.0,14.0,21.0,11.0,14.0,4.0,9.0,14.0,23.0,50.0,0.46,5.0,18.0,0.278,18.0,32.0,0.563,0.51,5.0,6.0,0.833,8.0,20.0,28.0,16.0,2.0,3.0,19.0,12.0,110.3,88.2,63.5,0.278,0.259,0.573,42.9,42.3,22.1,12.5,0.537,12.8,25.9,0.222,0.51,26.4,36.4,0.1
6.0,6.0,2023-11-21,N,Stetson,REG (Non-Conf),L,61.0,71.0,,24.0,64.0,0.375,6.0,28.0,0.214,18.0,36.0,0.5,0.422,7.0,7.0,1.0,12.0,20.0,32.0,12.0,3.0,2.0,5.0,15.0,27.0,53.0,0.509,9.0,24.0,0.375,18.0,29.0,0.621,0.594,8.0,12.0,0.667,8.0,24.0,32.0,15.0,3.0,2.0,8.0,10.0,102.5,119.3,59.5,0.109,0.438,0.453,50.0,50.0,5.0,6.9,0.422,6.9,33.3,0.109,0.594,12.0,28.6,0.151
7.0,7.0,2023-11-29,@,Ohio State,REG (Non-Conf),L,61.0,88.0,,22.0,55.0,0.4,6.0,16.0,0.375,16.0,39.0,0.41,0.455,11.0,20.0,0.55,7.0,16.0,23.0,7.0,6.0,5.0,14.0,18.0,31.0,66.0,0.47,7.0,24.0,0.292,24.0,42.0,0.571,0.523,19.0,23.0,0.826,15.0,27.0,42.0,20.0,4.0,3.0,7.0,18.0,86.9,125.3,70.2,0.364,0.291,0.473,35.4,31.8,8.5,11.9,0.455,17.8,20.6,0.2,0.523,8.3,48.4,0.288
8.0,8.0,2023-12-06,,Valparaiso,REG (Non-Conf),W,71.0,67.0,,27.0,64.0,0.422,9.0,21.0,0.429,18.0,43.0,0.419,0.492,8.0,17.0,0.471,13.0,23.0,36.0,14.0,7.0,3.0,13.0,11.0,24.0,61.0,0.393,9.0,24.0,0.375,15.0,37.0,0.405,0.467,10.0,12.0,0.833,11.0,24.0,35.0,14.0,7.0,4.0,14.0,18.0,100.2,94.5,70.9,0.266,0.328,0.493,50.7,51.9,9.9,8.1,0.492,15.3,35.1,0.125,0.467,17.3,32.4,0.164
9.0,9.0,2023-12-09,@,Creighton,REG (Non-Conf),L,64.0,109.0,,29.0,73.0,0.397,2.0,19.0,0.105,27.0,54.0,0.5,0.411,4.0,4.0,1.0,7.0,15.0,22.0,6.0,6.0,2.0,5.0,14.0,41.0,63.0,0.651,15.0,31.0,0.484,26.0,32.0,0.813,0.77,12.0,14.0,0.857,6.0,30.0,36.0,28.0,2.0,2.0,9.0,5.0,87.9,149.8,72.8,0.055,0.26,0.427,37.9,20.7,8.2,6.3,0.411,6.3,18.9,0.055,0.77,11.4,28.6,0.19
10.0,10.0,2023-12-19,,Davenport,REG (Non-Conf),W,90.0,66.0,,33.0,57.0,0.579,7.0,19.0,0.368,26.0,38.0,0.684,0.64,17.0,27.0,0.63,10.0,25.0,35.0,16.0,9.0,5.0,15.0,17.0,25.0,63.0,0.397,8.0,24.0,0.333,17.0,39.0,0.436,0.46,8.0,15.0,0.533,10.0,17.0,27.0,17.0,8.0,4.0,16.0,18.0,119.2,87.4,75.5,0.474,0.333,0.644,56.5,48.5,11.9,12.8,0.64,17.7,37.0,0.298,0.46,18.6,28.6,0.127
