Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Rhode Island,REG (Non-Conf),L,70.0,81.0,,28.0,67.0,0.418,5.0,21.0,0.238,23.0,46.0,0.5,0.455,9.0,13.0,0.692,12.0,17.0,29.0,13.0,5.0,7.0,11.0,20.0,32.0,57.0,0.561,5.0,12.0,0.417,27.0,45.0,0.6,0.605,12.0,23.0,0.522,9.0,23.0,32.0,18.0,9.0,3.0,13.0,15.0,97.2,112.4,72.1,0.194,0.313,0.478,47.5,46.4,6.9,15.6,0.455,13.1,34.3,0.134,0.605,16.1,34.6,0.211
2.0,2.0,2023-11-10,@,Quinnipiac,REG (Non-Conf),L,70.0,74.0,,29.0,59.0,0.492,5.0,17.0,0.294,24.0,42.0,0.571,0.534,7.0,14.0,0.5,3.0,25.0,28.0,16.0,9.0,2.0,9.0,11.0,29.0,60.0,0.483,10.0,23.0,0.435,19.0,37.0,0.514,0.567,6.0,10.0,0.6,10.0,30.0,40.0,21.0,5.0,2.0,18.0,16.0,97.0,102.5,72.2,0.237,0.288,0.533,41.2,55.2,12.5,5.4,0.534,12.1,9.1,0.119,0.567,21.8,28.6,0.1
3.0,3.0,2023-11-13,,Framingham St.,REG (Non-Conf),W,99.0,42.0,,38.0,73.0,0.521,5.0,26.0,0.192,33.0,47.0,0.702,0.555,18.0,27.0,0.667,12.0,37.0,49.0,20.0,13.0,8.0,6.0,14.0,15.0,64.0,0.234,4.0,26.0,0.154,11.0,38.0,0.289,0.266,8.0,18.0,0.444,10.0,22.0,32.0,4.0,3.0,2.0,19.0,19.0,122.7,52.1,80.7,0.37,0.356,0.577,60.5,52.6,16.1,21.1,0.555,6.5,35.3,0.247,0.266,20.8,21.3,0.125
4.0,4.0,2023-11-19,,Manhattan,REG (Non-Conf),L,63.0,67.0,,24.0,56.0,0.429,6.0,18.0,0.333,18.0,38.0,0.474,0.482,9.0,10.0,0.9,6.0,20.0,26.0,15.0,8.0,5.0,14.0,17.0,23.0,46.0,0.5,6.0,15.0,0.4,17.0,31.0,0.548,0.565,15.0,21.0,0.714,3.0,24.0,27.0,11.0,9.0,1.0,15.0,13.0,92.2,98.0,68.4,0.179,0.321,0.519,49.1,62.5,11.7,16.1,0.482,18.7,20.0,0.161,0.565,21.1,13.0,0.326
5.0,5.0,2023-11-22,@,Massachusetts,REG (Non-Conf),L,60.0,89.0,,18.0,53.0,0.34,7.0,22.0,0.318,11.0,31.0,0.355,0.406,17.0,22.0,0.773,9.0,13.0,22.0,14.0,4.0,3.0,14.0,14.0,35.0,58.0,0.603,8.0,21.0,0.381,27.0,37.0,0.73,0.672,11.0,15.0,0.733,8.0,24.0,32.0,29.0,9.0,5.0,10.0,16.0,88.5,131.3,67.8,0.415,0.415,0.473,40.7,77.8,5.9,8.1,0.406,18.1,27.3,0.321,0.672,13.3,38.1,0.19
6.0,6.0,2023-11-29,@,Army,REG (Non-Conf),W,79.0,51.0,,30.0,59.0,0.508,10.0,24.0,0.417,20.0,35.0,0.571,0.593,9.0,12.0,0.75,10.0,23.0,33.0,17.0,7.0,8.0,6.0,12.0,21.0,54.0,0.389,5.0,20.0,0.25,16.0,34.0,0.471,0.435,4.0,11.0,0.364,10.0,18.0,28.0,13.0,5.0,1.0,14.0,10.0,127.5,82.3,62.0,0.203,0.407,0.611,54.1,56.7,11.3,23.5,0.593,8.5,35.7,0.153,0.435,19.1,30.3,0.074
7.0,7.0,2023-12-02,,Holy Cross,REG (Non-Conf),W,78.0,67.0,,28.0,58.0,0.483,10.0,20.0,0.5,18.0,38.0,0.474,0.569,12.0,19.0,0.632,7.0,28.0,35.0,16.0,6.0,8.0,8.0,12.0,24.0,64.0,0.375,8.0,23.0,0.348,16.0,41.0,0.39,0.438,11.0,15.0,0.733,11.0,24.0,35.0,9.0,3.0,3.0,9.0,20.0,113.7,97.7,68.6,0.328,0.345,0.582,50.0,57.1,8.7,19.5,0.569,10.7,22.6,0.207,0.438,11.2,28.2,0.172
8.0,8.0,2023-12-05,@,Boston College,REG (Non-Conf),L,68.0,82.0,,24.0,57.0,0.421,7.0,20.0,0.35,17.0,37.0,0.459,0.482,13.0,19.0,0.684,6.0,28.0,34.0,14.0,5.0,3.0,17.0,13.0,30.0,60.0,0.5,9.0,25.0,0.36,21.0,35.0,0.6,0.575,13.0,16.0,0.813,3.0,26.0,29.0,18.0,11.0,2.0,9.0,18.0,90.3,108.9,75.3,0.333,0.351,0.515,54.0,58.3,6.6,8.6,0.482,20.5,18.8,0.228,0.575,11.7,9.7,0.217
9.0,9.0,2023-12-09,@,Maine,REG (Non-Conf),L,56.0,69.0,,20.0,55.0,0.364,3.0,14.0,0.214,17.0,41.0,0.415,0.391,13.0,20.0,0.65,6.0,24.0,30.0,11.0,6.0,1.0,10.0,18.0,23.0,51.0,0.451,5.0,14.0,0.357,18.0,37.0,0.486,0.5,18.0,26.0,0.692,6.0,30.0,36.0,13.0,8.0,4.0,10.0,19.0,82.4,101.6,67.9,0.364,0.255,0.434,45.5,55.0,8.8,2.7,0.391,13.4,16.7,0.236,0.5,13.6,20.0,0.353
10.0,10.0,2023-12-16,@,UMass Lowell,REG (Non-Conf),W,57.0,54.0,,23.0,61.0,0.377,5.0,18.0,0.278,18.0,43.0,0.419,0.418,6.0,11.0,0.545,8.0,25.0,33.0,12.0,12.0,4.0,12.0,12.0,20.0,58.0,0.345,4.0,19.0,0.211,16.0,39.0,0.41,0.379,10.0,15.0,0.667,9.0,25.0,34.0,7.0,9.0,7.0,14.0,12.0,81.2,77.0,70.2,0.18,0.295,0.43,49.3,52.2,17.1,10.3,0.418,15.3,24.2,0.098,0.379,17.7,26.5,0.172
11.0,11.0,2023-12-19,,Northeastern,REG (Non-Conf),L,74.0,79.0,,28.0,57.0,0.491,6.0,15.0,0.4,22.0,42.0,0.524,0.544,12.0,15.0,0.8,5.0,16.0,21.0,12.0,6.0,3.0,8.0,15.0,28.0,57.0,0.491,4.0,15.0,0.267,24.0,42.0,0.571,0.526,19.0,25.0,0.76,13.0,25.0,38.0,18.0,5.0,1.0,9.0,13.0,112.1,119.7,66.0,0.263,0.263,0.577,35.6,42.9,9.1,7.1,0.544,11.1,16.7,0.211,0.526,11.6,44.8,0.333
