Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,San Diego State,REG (Non-Conf),L,57.0,83.0,,20.0,61.0,0.328,5.0,24.0,0.208,15.0,37.0,0.405,0.369,12.0,18.0,0.667,12.0,27.0,39.0,9.0,7.0,2.0,18.0,22.0,28.0,62.0,0.452,9.0,31.0,0.29,19.0,31.0,0.613,0.524,18.0,28.0,0.643,9.0,30.0,39.0,19.0,12.0,5.0,14.0,21.0,73.1,106.5,77.9,0.295,0.393,0.41,50.0,45.0,9.0,6.5,0.369,20.6,28.6,0.197,0.524,15.7,25.0,0.29
2.0,2.0,2023-11-11,,La Sierra,REG (Non-Conf),W,78.0,48.0,,27.0,51.0,0.529,7.0,23.0,0.304,20.0,28.0,0.714,0.598,17.0,32.0,0.531,9.0,29.0,38.0,15.0,4.0,3.0,13.0,19.0,16.0,54.0,0.296,7.0,22.0,0.318,9.0,32.0,0.281,0.361,9.0,14.0,0.643,6.0,21.0,27.0,10.0,4.0,1.0,11.0,28.0,114.8,70.7,67.9,0.627,0.451,0.589,58.5,55.6,5.9,9.4,0.598,16.4,30.0,0.333,0.361,15.4,17.1,0.167
3.0,3.0,2023-11-16,@,UCF,REG (Non-Conf),L,44.0,72.0,,12.0,51.0,0.235,3.0,19.0,0.158,9.0,32.0,0.281,0.265,17.0,21.0,0.81,8.0,26.0,34.0,6.0,6.0,1.0,15.0,18.0,27.0,58.0,0.466,9.0,21.0,0.429,18.0,37.0,0.486,0.543,9.0,18.0,0.5,8.0,31.0,39.0,15.0,7.0,8.0,9.0,15.0,64.9,106.3,67.8,0.412,0.373,0.361,46.6,50.0,8.9,2.7,0.265,19.7,20.5,0.333,0.543,11.9,23.5,0.155
4.0,4.0,2023-11-19,N,Cornell,REG (Non-Conf),L,70.0,88.0,,26.0,52.0,0.5,6.0,24.0,0.25,20.0,28.0,0.714,0.558,12.0,18.0,0.667,4.0,23.0,27.0,9.0,8.0,2.0,21.0,17.0,33.0,64.0,0.516,8.0,31.0,0.258,25.0,33.0,0.758,0.578,14.0,18.0,0.778,6.0,24.0,30.0,20.0,10.0,0.0,13.0,16.0,89.1,112.0,78.6,0.346,0.462,0.578,47.4,34.6,10.2,6.1,0.558,25.8,14.3,0.231,0.578,15.2,20.7,0.219
5.0,5.0,2023-11-20,N,Southern Mississippi,REG (Non-Conf),W,74.0,67.0,,23.0,44.0,0.523,6.0,14.0,0.429,17.0,30.0,0.567,0.591,22.0,28.0,0.786,6.0,23.0,29.0,13.0,5.0,5.0,13.0,16.0,22.0,55.0,0.4,6.0,17.0,0.353,16.0,38.0,0.421,0.455,17.0,22.0,0.773,10.0,17.0,27.0,9.0,10.0,4.0,8.0,24.0,115.9,104.9,63.9,0.636,0.318,0.646,51.8,56.5,7.8,13.2,0.591,18.5,26.1,0.5,0.455,10.9,30.3,0.309
6.0,6.0,2023-11-26,@,Nebraska,REG (Non-Conf),L,72.0,85.0,,28.0,67.0,0.418,9.0,22.0,0.409,19.0,45.0,0.422,0.485,7.0,9.0,0.778,12.0,19.0,31.0,9.0,8.0,5.0,12.0,17.0,27.0,58.0,0.466,12.0,30.0,0.4,15.0,28.0,0.536,0.569,19.0,20.0,0.95,10.0,24.0,34.0,18.0,3.0,3.0,9.0,9.0,104.5,123.4,68.9,0.134,0.328,0.505,47.7,32.1,11.6,17.9,0.485,14.4,33.3,0.104,0.569,11.8,34.5,0.328
7.0,7.0,2023-12-01,,North Dakota,REG (Non-Conf),W,64.0,54.0,,22.0,53.0,0.415,2.0,13.0,0.154,20.0,40.0,0.5,0.434,18.0,22.0,0.818,14.0,29.0,43.0,3.0,3.0,5.0,13.0,14.0,22.0,61.0,0.361,6.0,23.0,0.261,16.0,38.0,0.421,0.41,4.0,9.0,0.444,11.0,17.0,28.0,9.0,7.0,3.0,8.0,16.0,102.6,86.6,62.4,0.415,0.245,0.504,60.6,13.6,4.8,13.2,0.434,17.0,45.2,0.34,0.41,10.9,27.5,0.066
8.0,8.0,2023-12-03,,Stanton,REG (Non-Conf),W,102.0,52.0,,34.0,54.0,0.63,12.0,21.0,0.571,22.0,33.0,0.667,0.741,22.0,31.0,0.71,9.0,15.0,24.0,19.0,13.0,2.0,12.0,12.0,20.0,51.0,0.392,4.0,17.0,0.235,16.0,34.0,0.471,0.431,8.0,11.0,0.727,10.0,14.0,24.0,7.0,10.0,0.0,24.0,24.0,143.7,73.3,71.0,0.574,0.389,0.742,50.0,55.9,18.3,5.9,0.741,14.9,39.1,0.407,0.431,29.9,40.0,0.157
9.0,9.0,2023-12-06,@,Pepperdine,REG (Non-Conf),W,60.0,55.0,,24.0,54.0,0.444,2.0,14.0,0.143,22.0,40.0,0.55,0.463,10.0,16.0,0.625,5.0,23.0,28.0,7.0,7.0,3.0,9.0,14.0,23.0,57.0,0.404,3.0,17.0,0.176,20.0,40.0,0.5,0.43,6.0,12.0,0.5,10.0,26.0,36.0,15.0,3.0,4.0,13.0,16.0,91.4,83.8,65.7,0.296,0.259,0.487,43.8,29.2,10.7,7.5,0.463,12.7,16.1,0.185,0.43,17.2,30.3,0.105
10.0,10.0,2023-12-09,@,Sacramento State,REG (Non-Conf),W,62.0,60.0,,20.0,43.0,0.465,3.0,10.0,0.3,17.0,33.0,0.515,0.5,19.0,28.0,0.679,4.0,17.0,21.0,6.0,7.0,5.0,15.0,19.0,20.0,51.0,0.392,6.0,23.0,0.261,14.0,28.0,0.5,0.451,14.0,19.0,0.737,12.0,22.0,34.0,9.0,8.0,3.0,17.0,23.0,93.7,90.7,66.2,0.651,0.233,0.551,38.2,30.0,10.6,17.9,0.5,21.0,15.4,0.442,0.451,22.1,41.4,0.275
