Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Stanford,REG (Non-Conf),L,79.0,88.0,,34.0,71.0,0.479,5.0,15.0,0.333,29.0,56.0,0.518,0.514,6.0,10.0,0.6,8.0,26.0,34.0,10.0,5.0,5.0,13.0,26.0,30.0,69.0,0.435,9.0,28.0,0.321,21.0,41.0,0.512,0.5,19.0,25.0,0.76,11.0,26.0,37.0,18.0,7.0,7.0,9.0,14.0,99.0,110.3,79.8,0.141,0.211,0.521,47.9,29.4,6.3,12.2,0.514,14.6,23.5,0.085,0.5,10.0,29.7,0.275
2.0,2.0,2023-11-09,@,Idaho,REG (Non-Conf),W,76.0,73.0,,28.0,66.0,0.424,4.0,13.0,0.308,24.0,53.0,0.453,0.455,16.0,20.0,0.8,16.0,24.0,40.0,11.0,12.0,5.0,14.0,11.0,28.0,60.0,0.467,11.0,26.0,0.423,17.0,34.0,0.5,0.558,6.0,6.0,1.0,5.0,24.0,29.0,17.0,12.0,6.0,16.0,16.0,103.2,99.1,73.7,0.303,0.197,0.503,58.0,39.3,16.3,14.7,0.455,15.6,40.0,0.242,0.558,20.3,17.2,0.1
3.0,3.0,2023-11-14,@,Chicago State,REG (Non-Conf),W,74.0,64.0,,30.0,55.0,0.545,2.0,10.0,0.2,28.0,45.0,0.622,0.564,12.0,20.0,0.6,9.0,31.0,40.0,15.0,3.0,3.0,12.0,20.0,23.0,63.0,0.365,5.0,26.0,0.192,18.0,37.0,0.486,0.405,13.0,20.0,0.65,9.0,19.0,28.0,8.0,5.0,3.0,6.0,18.0,108.0,93.4,68.5,0.364,0.182,0.574,58.8,50.0,4.4,8.1,0.564,15.7,32.1,0.218,0.405,7.6,22.5,0.206
4.0,4.0,2023-11-17,,Life Pacific,REG (Non-Conf),W,98.0,67.0,,40.0,77.0,0.519,7.0,16.0,0.438,33.0,61.0,0.541,0.565,11.0,16.0,0.688,19.0,33.0,52.0,19.0,10.0,3.0,16.0,11.0,27.0,67.0,0.403,10.0,36.0,0.278,17.0,31.0,0.548,0.478,3.0,4.0,0.75,5.0,19.0,24.0,12.0,11.0,3.0,17.0,14.0,120.6,82.5,81.3,0.208,0.208,0.579,68.4,47.5,12.3,9.7,0.565,15.9,50.0,0.143,0.478,19.8,13.2,0.045
5.0,5.0,2023-11-21,,Le Moyne,REG (Non-Conf),L,70.0,80.0,,32.0,69.0,0.464,3.0,17.0,0.176,29.0,52.0,0.558,0.486,3.0,5.0,0.6,14.0,22.0,36.0,13.0,8.0,2.0,16.0,20.0,19.0,50.0,0.38,11.0,32.0,0.344,8.0,18.0,0.444,0.49,31.0,34.0,0.912,6.0,21.0,27.0,18.0,11.0,5.0,12.0,13.0,96.2,109.9,72.8,0.072,0.246,0.49,57.1,40.6,11.0,11.1,0.486,18.3,40.0,0.043,0.49,15.4,21.4,0.62
6.0,6.0,2023-11-24,,Mississippi Valley State,REG (Non-Conf),W,84.0,48.0,,26.0,58.0,0.448,3.0,16.0,0.188,23.0,42.0,0.548,0.474,29.0,37.0,0.784,14.0,26.0,40.0,17.0,12.0,1.0,13.0,23.0,15.0,42.0,0.357,7.0,18.0,0.389,8.0,24.0,0.333,0.44,11.0,18.0,0.611,1.0,15.0,16.0,11.0,4.0,1.0,20.0,27.0,116.6,66.6,72.1,0.638,0.276,0.556,71.4,65.4,16.7,4.2,0.474,14.7,48.3,0.5,0.44,28.3,3.7,0.262
7.0,7.0,2023-11-29,@,Pacific,REG (Non-Conf),W,80.0,69.0,,26.0,54.0,0.481,7.0,19.0,0.368,19.0,35.0,0.543,0.546,21.0,29.0,0.724,9.0,29.0,38.0,10.0,6.0,4.0,16.0,30.0,21.0,56.0,0.375,8.0,25.0,0.32,13.0,31.0,0.419,0.446,19.0,37.0,0.514,6.0,16.0,22.0,16.0,11.0,0.0,8.0,21.0,106.4,91.8,75.2,0.537,0.352,0.59,63.3,38.5,8.0,12.9,0.546,19.1,36.0,0.389,0.446,9.8,17.1,0.339
8.0,8.0,2023-12-02,@,Northern Colorado,REG (Non-Conf),L,71.0,75.0,,27.0,65.0,0.415,7.0,21.0,0.333,20.0,44.0,0.455,0.469,10.0,14.0,0.714,7.0,33.0,40.0,8.0,9.0,5.0,19.0,23.0,26.0,66.0,0.394,9.0,31.0,0.29,17.0,35.0,0.486,0.462,14.0,23.0,0.609,7.0,29.0,36.0,16.0,13.0,3.0,13.0,15.0,85.2,90.0,83.3,0.215,0.323,0.495,52.6,29.6,10.8,14.3,0.469,21.0,19.4,0.154,0.462,14.5,17.5,0.212
9.0,9.0,2023-12-07,,Bethesda CA,REG (Non-Conf),W,92.0,54.0,,39.0,72.0,0.542,6.0,15.0,0.4,33.0,57.0,0.579,0.583,8.0,20.0,0.4,17.0,38.0,55.0,22.0,10.0,5.0,20.0,13.0,21.0,73.0,0.288,4.0,28.0,0.143,17.0,45.0,0.378,0.315,8.0,10.0,0.8,8.0,15.0,23.0,12.0,8.0,4.0,15.0,16.0,108.7,63.8,84.6,0.278,0.208,0.564,70.5,56.4,11.8,11.1,0.583,19.7,53.1,0.111,0.315,16.2,17.4,0.11
10.0,10.0,2023-12-11,,Utah Tech,REG (Non-Conf),W,80.0,75.0,,28.0,60.0,0.467,4.0,14.0,0.286,24.0,46.0,0.522,0.5,20.0,29.0,0.69,12.0,23.0,35.0,18.0,7.0,6.0,15.0,21.0,26.0,62.0,0.419,10.0,30.0,0.333,16.0,32.0,0.5,0.5,13.0,20.0,0.65,9.0,17.0,26.0,17.0,6.0,8.0,11.0,23.0,106.5,99.8,75.1,0.483,0.233,0.542,57.4,64.3,9.3,18.8,0.5,16.9,41.4,0.333,0.5,13.3,28.1,0.21
