Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,San Fran. St.,REG (Non-Conf),W,74.0,57.0,,23.0,58.0,0.397,10.0,26.0,0.385,13.0,32.0,0.406,0.483,18.0,32.0,0.563,16.0,29.0,45.0,15.0,7.0,2.0,10.0,12.0,19.0,50.0,0.38,7.0,23.0,0.304,12.0,27.0,0.444,0.45,12.0,15.0,0.8,2.0,25.0,27.0,10.0,2.0,1.0,14.0,25.0,108.6,83.6,68.2,0.552,0.448,0.505,62.5,65.2,10.3,7.4,0.483,12.0,39.0,0.31,0.45,19.7,6.5,0.24
2.0,2.0,2023-11-10,,Jackson State,REG (Non-Conf),W,80.0,66.0,,26.0,54.0,0.481,9.0,26.0,0.346,17.0,28.0,0.607,0.565,19.0,26.0,0.731,8.0,22.0,30.0,13.0,6.0,5.0,11.0,16.0,23.0,57.0,0.404,5.0,11.0,0.455,18.0,46.0,0.391,0.447,15.0,18.0,0.833,8.0,19.0,27.0,10.0,6.0,1.0,8.0,20.0,118.6,97.9,67.5,0.481,0.481,0.603,52.6,50.0,8.9,10.9,0.565,14.2,29.6,0.352,0.447,10.9,26.7,0.263
3.0,3.0,2023-11-17,,Portland State,REG (Non-Conf),L,63.0,66.0,,22.0,57.0,0.386,7.0,20.0,0.35,15.0,37.0,0.405,0.447,12.0,17.0,0.706,10.0,22.0,32.0,10.0,3.0,2.0,13.0,18.0,23.0,52.0,0.442,6.0,17.0,0.353,17.0,35.0,0.486,0.5,14.0,22.0,0.636,8.0,27.0,35.0,7.0,7.0,3.0,13.0,19.0,93.0,97.4,67.8,0.298,0.351,0.484,47.8,45.5,4.4,5.7,0.447,16.7,27.0,0.211,0.5,17.2,26.7,0.269
4.0,4.0,2023-11-18,,St. Thomas,REG (Non-Conf),W,66.0,62.0,,23.0,53.0,0.434,7.0,15.0,0.467,16.0,38.0,0.421,0.5,13.0,22.0,0.591,10.0,26.0,36.0,16.0,4.0,2.0,7.0,15.0,23.0,57.0,0.404,7.0,23.0,0.304,16.0,34.0,0.471,0.465,9.0,13.0,0.692,7.0,22.0,29.0,12.0,2.0,4.0,8.0,18.0,105.9,99.5,62.3,0.415,0.283,0.52,55.4,69.6,6.4,5.9,0.5,9.9,31.3,0.245,0.465,11.2,21.2,0.158
5.0,5.0,2023-11-19,,Cal Poly,REG (Non-Conf),W,67.0,58.0,,20.0,55.0,0.364,5.0,18.0,0.278,15.0,37.0,0.405,0.409,22.0,31.0,0.71,14.0,27.0,41.0,8.0,3.0,1.0,9.0,16.0,24.0,62.0,0.387,4.0,19.0,0.211,20.0,43.0,0.465,0.419,6.0,11.0,0.545,10.0,21.0,31.0,9.0,6.0,5.0,5.0,21.0,105.6,91.4,63.5,0.564,0.327,0.48,56.9,40.0,4.7,2.3,0.409,11.4,40.0,0.4,0.419,6.9,27.0,0.097
6.0,6.0,2023-11-25,,Vanguard,REG (Non-Conf),W,69.0,59.0,,23.0,54.0,0.426,4.0,21.0,0.19,19.0,33.0,0.576,0.463,19.0,26.0,0.731,9.0,39.0,48.0,12.0,3.0,4.0,22.0,10.0,25.0,75.0,0.333,5.0,20.0,0.25,20.0,55.0,0.364,0.367,4.0,7.0,0.571,8.0,19.0,27.0,14.0,14.0,3.0,8.0,21.0,87.5,74.8,78.8,0.481,0.389,0.52,64.0,52.2,3.8,7.3,0.463,24.9,32.1,0.352,0.367,9.3,17.0,0.053
7.0,7.0,2023-11-29,@,Southern Utah,REG (Conf),W,91.0,66.0,,35.0,68.0,0.515,11.0,23.0,0.478,24.0,45.0,0.533,0.596,10.0,18.0,0.556,11.0,19.0,30.0,12.0,5.0,2.0,9.0,18.0,25.0,50.0,0.5,2.0,9.0,0.222,23.0,41.0,0.561,0.52,14.0,19.0,0.737,6.0,19.0,25.0,4.0,2.0,3.0,17.0,17.0,125.9,91.3,72.3,0.265,0.338,0.594,54.5,34.3,6.9,4.9,0.596,10.5,36.7,0.147,0.52,22.4,24.0,0.28
8.0,8.0,2023-12-06,,Utah Tech,REG (Conf),L,69.0,72.0,,22.0,56.0,0.393,7.0,26.0,0.269,15.0,30.0,0.5,0.455,18.0,27.0,0.667,13.0,17.0,30.0,14.0,10.0,2.0,15.0,15.0,30.0,51.0,0.588,6.0,10.0,0.6,24.0,41.0,0.585,0.647,6.0,10.0,0.6,2.0,24.0,26.0,14.0,5.0,6.0,19.0,22.0,96.1,100.3,71.8,0.482,0.464,0.501,53.6,63.6,13.9,4.9,0.455,17.9,35.1,0.321,0.647,25.4,10.5,0.118
9.0,9.0,2023-12-12,@,Oregon,REG (Non-Conf),L,55.0,76.0,,19.0,54.0,0.352,3.0,15.0,0.2,16.0,39.0,0.41,0.38,14.0,21.0,0.667,9.0,19.0,28.0,4.0,4.0,2.0,11.0,18.0,27.0,52.0,0.519,9.0,18.0,0.5,18.0,34.0,0.529,0.606,13.0,15.0,0.867,6.0,28.0,34.0,16.0,6.0,3.0,13.0,20.0,83.3,115.1,66.1,0.389,0.278,0.43,45.2,21.1,6.1,5.9,0.38,14.7,24.3,0.259,0.606,18.0,24.0,0.25
10.0,10.0,2023-12-16,@,UC Riverside,REG (Non-Conf),W,70.0,69.0,,25.0,50.0,0.5,10.0,18.0,0.556,15.0,32.0,0.469,0.6,10.0,18.0,0.556,7.0,25.0,32.0,11.0,4.0,0.0,10.0,14.0,26.0,60.0,0.433,4.0,13.0,0.308,22.0,47.0,0.468,0.467,13.0,14.0,0.929,8.0,21.0,29.0,10.0,4.0,1.0,4.0,14.0,112.7,111.1,62.1,0.36,0.36,0.598,52.5,44.0,6.4,0.0,0.6,14.6,25.0,0.2,0.467,5.7,24.2,0.217
