Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,La Verne,REG (Non-Conf),W,80.0,62.0,,26.0,56.0,0.464,5.0,14.0,0.357,21.0,42.0,0.5,0.509,23.0,32.0,0.719,11.0,28.0,39.0,10.0,4.0,6.0,16.0,22.0,24.0,59.0,0.407,6.0,23.0,0.261,18.0,36.0,0.5,0.458,8.0,24.0,0.333,9.0,23.0,32.0,9.0,5.0,1.0,16.0,28.0,104.2,80.7,76.8,0.571,0.25,0.562,54.9,38.5,5.2,16.7,0.509,18.3,32.4,0.411,0.458,18.5,24.3,0.136
2.0,2.0,2023-11-09,@,Denver,REG (Non-Conf),L,76.0,97.0,,32.0,74.0,0.432,5.0,21.0,0.238,27.0,53.0,0.509,0.466,7.0,12.0,0.583,11.0,15.0,26.0,11.0,10.0,1.0,6.0,24.0,27.0,49.0,0.551,10.0,21.0,0.476,17.0,28.0,0.607,0.653,33.0,39.0,0.846,7.0,28.0,35.0,19.0,4.0,3.0,14.0,16.0,101.9,130.0,74.6,0.162,0.284,0.477,42.6,34.4,13.4,3.6,0.466,7.0,28.2,0.095,0.653,17.2,31.8,0.673
3.0,3.0,2023-11-11,@,Wyoming,REG (Non-Conf),L,66.0,80.0,,24.0,59.0,0.407,4.0,12.0,0.333,20.0,47.0,0.426,0.441,14.0,18.0,0.778,6.0,20.0,26.0,3.0,8.0,1.0,12.0,27.0,25.0,48.0,0.521,7.0,18.0,0.389,18.0,30.0,0.6,0.594,23.0,35.0,0.657,5.0,28.0,33.0,15.0,3.0,7.0,15.0,17.0,89.1,108.0,74.1,0.305,0.203,0.489,44.1,12.5,10.8,3.3,0.441,15.1,17.6,0.237,0.594,18.8,20.0,0.479
4.0,4.0,2023-11-17,N,St. Thomas,REG (Non-Conf),W,61.0,60.0,,23.0,50.0,0.46,5.0,13.0,0.385,18.0,37.0,0.486,0.51,10.0,11.0,0.909,5.0,19.0,24.0,8.0,5.0,2.0,8.0,17.0,22.0,44.0,0.5,4.0,10.0,0.4,18.0,34.0,0.529,0.545,12.0,17.0,0.706,2.0,15.0,17.0,7.0,2.0,1.0,9.0,14.0,104.0,102.3,58.7,0.22,0.26,0.552,58.5,34.8,8.5,5.9,0.51,12.7,25.0,0.2,0.545,14.7,9.5,0.273
5.0,5.0,2023-11-18,N,Portland State,REG (Non-Conf),L,57.0,73.0,,22.0,59.0,0.373,7.0,17.0,0.412,15.0,42.0,0.357,0.432,6.0,11.0,0.545,4.0,21.0,25.0,13.0,2.0,4.0,9.0,16.0,26.0,58.0,0.448,10.0,24.0,0.417,16.0,34.0,0.471,0.534,11.0,16.0,0.688,9.0,31.0,40.0,14.0,5.0,6.0,10.0,15.0,83.9,107.5,67.9,0.186,0.288,0.444,38.5,59.1,2.9,11.8,0.432,12.3,11.4,0.102,0.534,13.2,30.0,0.19
6.0,6.0,2023-11-19,@,California Baptist,REG (Non-Conf),L,58.0,67.0,,24.0,62.0,0.387,4.0,19.0,0.211,20.0,43.0,0.465,0.419,6.0,11.0,0.545,10.0,21.0,31.0,9.0,6.0,5.0,5.0,21.0,20.0,55.0,0.364,5.0,18.0,0.278,15.0,37.0,0.405,0.409,22.0,31.0,0.71,14.0,27.0,41.0,8.0,3.0,1.0,9.0,16.0,91.4,105.6,63.5,0.177,0.306,0.431,43.1,37.5,9.5,13.5,0.419,6.9,27.0,0.097,0.409,11.4,40.0,0.4
7.0,7.0,2023-11-29,,San Jose State,REG (Non-Conf),W,81.0,77.0,OT,27.0,54.0,0.5,7.0,15.0,0.467,20.0,39.0,0.513,0.565,20.0,30.0,0.667,9.0,24.0,33.0,12.0,5.0,7.0,11.0,14.0,28.0,65.0,0.431,9.0,25.0,0.36,19.0,40.0,0.475,0.5,12.0,18.0,0.667,10.0,22.0,32.0,11.0,6.0,3.0,10.0,22.0,112.7,107.1,63.9,0.556,0.278,0.593,50.8,44.4,7.0,17.5,0.565,13.9,29.0,0.37,0.5,12.0,29.4,0.185
8.0,8.0,2023-12-02,@,Idaho,REG (Non-Conf),L,70.0,85.0,,20.0,49.0,0.408,6.0,21.0,0.286,14.0,28.0,0.5,0.469,24.0,30.0,0.8,10.0,17.0,27.0,10.0,3.0,5.0,15.0,21.0,26.0,53.0,0.491,9.0,22.0,0.409,17.0,31.0,0.548,0.575,24.0,33.0,0.727,9.0,21.0,30.0,11.0,8.0,5.0,10.0,26.0,101.5,123.3,69.0,0.612,0.429,0.553,47.4,50.0,4.4,16.1,0.469,19.2,32.3,0.49,0.575,12.7,34.6,0.453
9.0,9.0,2023-12-04,@,Oregon State,REG (Non-Conf),L,63.0,70.0,2OT,22.0,64.0,0.344,6.0,23.0,0.261,16.0,41.0,0.39,0.391,13.0,19.0,0.684,7.0,22.0,29.0,6.0,9.0,3.0,15.0,22.0,28.0,65.0,0.431,0.0,10.0,0.0,28.0,55.0,0.509,0.431,14.0,18.0,0.778,15.0,32.0,47.0,11.0,8.0,8.0,17.0,18.0,80.5,89.4,62.6,0.297,0.359,0.431,38.2,27.3,11.5,5.5,0.391,17.0,17.9,0.203,0.431,18.8,40.5,0.215
10.0,10.0,2023-12-09,@,Weber State,REG (Non-Conf),L,50.0,78.0,,18.0,41.0,0.439,5.0,12.0,0.417,13.0,29.0,0.448,0.5,9.0,11.0,0.818,2.0,26.0,28.0,6.0,5.0,2.0,22.0,17.0,26.0,61.0,0.426,10.0,26.0,0.385,16.0,35.0,0.457,0.508,16.0,19.0,0.842,10.0,21.0,31.0,15.0,12.0,1.0,7.0,13.0,75.0,117.1,66.6,0.268,0.293,0.541,47.5,33.3,7.5,5.7,0.5,32.2,8.7,0.22,0.508,9.1,27.8,0.262
