Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Southern Utah,REG (Non-Conf),W,73.0,72.0,,28.0,63.0,0.444,5.0,17.0,0.294,23.0,46.0,0.5,0.484,12.0,13.0,0.923,16.0,24.0,40.0,12.0,5.0,7.0,12.0,20.0,24.0,70.0,0.343,9.0,26.0,0.346,15.0,44.0,0.341,0.407,15.0,23.0,0.652,17.0,16.0,33.0,12.0,6.0,1.0,8.0,16.0,106.5,105.0,68.6,0.206,0.27,0.528,54.8,42.9,7.3,15.9,0.484,14.8,50.0,0.19,0.407,9.0,41.5,0.214
2.0,2.0,2023-11-09,@,Southern California,REG (Non-Conf),L,59.0,85.0,,24.0,57.0,0.421,4.0,16.0,0.25,20.0,41.0,0.488,0.456,7.0,11.0,0.636,7.0,19.0,26.0,11.0,7.0,2.0,14.0,20.0,30.0,55.0,0.545,8.0,21.0,0.381,22.0,34.0,0.647,0.618,17.0,22.0,0.773,6.0,22.0,28.0,18.0,11.0,2.0,11.0,10.0,84.5,121.7,69.8,0.193,0.281,0.474,48.1,45.8,10.0,5.9,0.456,18.4,24.1,0.123,0.618,14.4,24.0,0.309
3.0,3.0,2023-11-13,@,California,REG (Non-Conf),L,63.0,83.0,,19.0,48.0,0.396,5.0,12.0,0.417,14.0,36.0,0.389,0.448,20.0,33.0,0.606,2.0,20.0,22.0,4.0,3.0,3.0,11.0,21.0,27.0,67.0,0.403,15.0,36.0,0.417,12.0,31.0,0.387,0.515,14.0,20.0,0.7,15.0,26.0,41.0,18.0,3.0,2.0,8.0,21.0,88.6,116.8,71.1,0.688,0.25,0.495,34.9,21.1,4.2,9.7,0.448,14.7,7.1,0.417,0.515,9.5,42.9,0.209
4.0,4.0,2023-11-16,,St. Katherine,REG (Non-Conf),W,77.0,44.0,,28.0,63.0,0.444,1.0,15.0,0.067,27.0,48.0,0.563,0.452,20.0,28.0,0.714,12.0,26.0,38.0,10.0,9.0,6.0,9.0,19.0,13.0,47.0,0.277,2.0,10.0,0.2,11.0,37.0,0.297,0.298,16.0,23.0,0.696,9.0,21.0,30.0,4.0,2.0,5.0,20.0,20.0,108.3,61.9,71.1,0.444,0.238,0.505,55.9,35.7,12.7,16.2,0.452,10.6,36.4,0.317,0.298,25.7,25.7,0.34
5.0,5.0,2023-11-20,N,Sacramento State,REG (Non-Conf),W,75.0,71.0,,30.0,61.0,0.492,6.0,16.0,0.375,24.0,45.0,0.533,0.541,9.0,14.0,0.643,12.0,17.0,29.0,15.0,8.0,1.0,10.0,17.0,20.0,50.0,0.4,10.0,30.0,0.333,10.0,20.0,0.5,0.5,21.0,23.0,0.913,9.0,20.0,29.0,11.0,3.0,3.0,16.0,13.0,112.3,106.3,66.8,0.23,0.262,0.554,50.0,50.0,12.0,5.0,0.541,12.9,37.5,0.148,0.5,20.8,34.6,0.42
6.0,6.0,2023-11-22,N,Tarleton State,REG (Non-Conf),L,40.0,59.0,,15.0,45.0,0.333,1.0,17.0,0.059,14.0,28.0,0.5,0.344,9.0,13.0,0.692,7.0,18.0,25.0,8.0,3.0,4.0,10.0,13.0,22.0,57.0,0.386,8.0,21.0,0.381,14.0,36.0,0.389,0.456,7.0,9.0,0.778,16.0,21.0,37.0,8.0,6.0,0.0,9.0,14.0,73.8,108.8,54.2,0.289,0.378,0.391,40.3,53.3,5.5,11.1,0.344,16.3,25.0,0.2,0.456,12.8,47.1,0.123
7.0,7.0,2023-11-28,@,Gonzaga,REG (Non-Conf),L,65.0,81.0,,25.0,62.0,0.403,6.0,19.0,0.316,19.0,43.0,0.442,0.452,9.0,9.0,1.0,5.0,18.0,23.0,8.0,4.0,4.0,10.0,18.0,30.0,57.0,0.526,5.0,14.0,0.357,25.0,43.0,0.581,0.57,16.0,20.0,0.8,8.0,24.0,32.0,10.0,4.0,3.0,9.0,10.0,93.7,116.7,69.4,0.145,0.306,0.49,41.8,32.0,5.8,9.3,0.452,13.1,17.2,0.145,0.57,11.9,30.8,0.281
8.0,8.0,2023-12-05,,Whittier,REG (Non-Conf),W,106.0,58.0,,41.0,77.0,0.532,7.0,18.0,0.389,34.0,59.0,0.576,0.578,17.0,24.0,0.708,16.0,26.0,42.0,18.0,18.0,3.0,12.0,19.0,20.0,51.0,0.392,8.0,24.0,0.333,12.0,27.0,0.444,0.471,10.0,18.0,0.556,6.0,17.0,23.0,12.0,2.0,5.0,30.0,21.0,126.2,69.1,84.0,0.312,0.234,0.6,64.6,43.9,21.4,11.1,0.578,12.0,48.5,0.221,0.471,33.5,18.8,0.196
9.0,9.0,2023-12-09,@,South Dakota,REG (Non-Conf),L,73.0,78.0,,30.0,68.0,0.441,3.0,17.0,0.176,27.0,51.0,0.529,0.463,10.0,16.0,0.625,16.0,18.0,34.0,14.0,3.0,0.0,8.0,24.0,26.0,49.0,0.531,7.0,20.0,0.35,19.0,29.0,0.655,0.602,19.0,30.0,0.633,5.0,19.0,24.0,16.0,1.0,1.0,7.0,15.0,109.9,117.4,66.4,0.235,0.25,0.483,58.6,46.7,4.5,0.0,0.463,9.6,45.7,0.147,0.602,10.0,21.7,0.388
10.0,10.0,2023-12-15,@,Fresno State,REG (Non-Conf),L,58.0,61.0,,23.0,56.0,0.411,2.0,9.0,0.222,21.0,47.0,0.447,0.429,10.0,19.0,0.526,15.0,22.0,37.0,8.0,5.0,2.0,12.0,17.0,24.0,49.0,0.49,5.0,21.0,0.238,19.0,28.0,0.679,0.541,8.0,15.0,0.533,4.0,19.0,23.0,15.0,5.0,2.0,10.0,15.0,93.4,98.3,62.1,0.339,0.161,0.446,61.7,34.8,8.1,7.1,0.429,15.6,44.1,0.179,0.541,15.1,15.4,0.163
