Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,St. Thomas,REG (Non-Conf),W,71.0,66.0,,24.0,49.0,0.49,7.0,15.0,0.467,17.0,34.0,0.5,0.561,16.0,22.0,0.727,8.0,19.0,27.0,6.0,6.0,2.0,8.0,13.0,26.0,53.0,0.491,12.0,28.0,0.429,14.0,25.0,0.56,0.604,2.0,3.0,0.667,2.0,16.0,18.0,14.0,1.0,3.0,11.0,17.0,115.6,107.4,61.4,0.449,0.306,0.597,60.0,25.0,9.8,8.0,0.561,11.9,33.3,0.327,0.604,16.8,9.5,0.038
2.0,2.0,2023-11-10,,Pacific,REG (Non-Conf),L,79.0,87.0,,26.0,56.0,0.464,6.0,23.0,0.261,20.0,33.0,0.606,0.518,21.0,31.0,0.677,10.0,22.0,32.0,12.0,5.0,5.0,13.0,18.0,29.0,59.0,0.492,13.0,26.0,0.5,16.0,33.0,0.485,0.602,16.0,19.0,0.842,6.0,20.0,26.0,14.0,6.0,2.0,12.0,21.0,106.9,117.8,73.9,0.554,0.411,0.559,55.2,46.2,6.8,15.2,0.518,15.5,33.3,0.375,0.602,15.0,21.4,0.271
3.0,3.0,2023-11-13,,Cal State Bakersfield,REG (Non-Conf),W,83.0,63.0,,27.0,67.0,0.403,15.0,36.0,0.417,12.0,31.0,0.387,0.515,14.0,20.0,0.7,15.0,26.0,41.0,18.0,3.0,2.0,8.0,21.0,19.0,48.0,0.396,5.0,12.0,0.417,14.0,36.0,0.389,0.448,20.0,33.0,0.606,2.0,20.0,22.0,4.0,3.0,3.0,11.0,21.0,116.8,88.6,71.1,0.299,0.537,0.542,65.1,66.7,4.2,5.6,0.515,9.5,42.9,0.209,0.448,14.7,7.1,0.417
4.0,4.0,2023-11-16,,Montana State,REG (Non-Conf),L,60.0,63.0,,20.0,48.0,0.417,3.0,18.0,0.167,17.0,30.0,0.567,0.448,17.0,21.0,0.81,7.0,26.0,33.0,5.0,5.0,4.0,14.0,14.0,25.0,58.0,0.431,4.0,24.0,0.167,21.0,34.0,0.618,0.466,9.0,11.0,0.818,5.0,17.0,22.0,8.0,9.0,4.0,8.0,19.0,91.5,96.0,65.6,0.438,0.375,0.517,60.0,25.0,7.6,11.8,0.448,19.5,29.2,0.354,0.466,11.2,16.1,0.155
5.0,5.0,2023-11-21,N,UTEP,REG (Non-Conf),L,72.0,75.0,,23.0,47.0,0.489,6.0,17.0,0.353,17.0,30.0,0.567,0.553,20.0,26.0,0.769,10.0,19.0,29.0,6.0,5.0,6.0,19.0,28.0,20.0,53.0,0.377,5.0,17.0,0.294,15.0,36.0,0.417,0.425,30.0,37.0,0.811,13.0,12.0,25.0,9.0,11.0,2.0,11.0,26.0,105.2,109.5,68.5,0.553,0.362,0.607,53.7,26.1,7.3,16.7,0.553,24.3,45.5,0.426,0.425,13.5,40.6,0.566
7.0,7.0,2023-11-23,N,Tulane,REG (Non-Conf),L,81.0,84.0,,28.0,61.0,0.459,10.0,27.0,0.37,18.0,34.0,0.529,0.541,15.0,19.0,0.789,9.0,26.0,35.0,10.0,6.0,1.0,19.0,19.0,32.0,62.0,0.516,6.0,19.0,0.316,26.0,43.0,0.605,0.565,14.0,19.0,0.737,5.0,20.0,25.0,7.0,10.0,4.0,11.0,17.0,103.2,107.0,78.5,0.311,0.443,0.578,58.3,35.7,7.6,2.3,0.541,21.3,31.0,0.246,0.565,13.4,16.1,0.226
8.0,8.0,2023-11-25,N,San Diego State,REG (Non-Conf),L,67.0,76.0,OT,23.0,72.0,0.319,9.0,38.0,0.237,14.0,34.0,0.412,0.382,12.0,18.0,0.667,20.0,31.0,51.0,7.0,3.0,1.0,12.0,25.0,20.0,57.0,0.351,5.0,19.0,0.263,15.0,38.0,0.395,0.395,31.0,37.0,0.838,7.0,28.0,35.0,7.0,8.0,1.0,5.0,15.0,92.3,104.7,64.5,0.25,0.528,0.416,59.3,30.4,4.1,2.6,0.382,13.0,41.7,0.167,0.395,6.3,18.4,0.544
9.0,9.0,2023-12-02,,Santa Clara,REG (Non-Conf),W,84.0,69.0,,31.0,64.0,0.484,9.0,25.0,0.36,22.0,39.0,0.564,0.555,13.0,14.0,0.929,10.0,25.0,35.0,12.0,7.0,2.0,6.0,8.0,27.0,71.0,0.38,10.0,29.0,0.345,17.0,42.0,0.405,0.451,5.0,10.0,0.5,17.0,22.0,39.0,10.0,3.0,1.0,9.0,15.0,125.0,102.7,67.2,0.219,0.391,0.594,47.3,38.7,10.4,4.8,0.555,7.8,31.3,0.203,0.451,10.6,40.5,0.07
10.0,10.0,2023-12-09,@,Butler,REG (Non-Conf),L,90.0,97.0,2OT,35.0,76.0,0.461,14.0,34.0,0.412,21.0,42.0,0.5,0.553,6.0,7.0,0.857,9.0,24.0,33.0,18.0,7.0,3.0,16.0,18.0,39.0,75.0,0.52,8.0,19.0,0.421,31.0,56.0,0.554,0.573,11.0,14.0,0.786,7.0,26.0,33.0,18.0,7.0,6.0,14.0,11.0,102.9,110.9,70.0,0.092,0.447,0.567,50.0,51.4,8.0,5.4,0.553,16.8,25.7,0.079,0.573,14.6,22.6,0.147
11.0,11.0,2023-12-16,N,Ole Miss,REG (Non-Conf),L,78.0,88.0,,30.0,72.0,0.417,10.0,30.0,0.333,20.0,42.0,0.476,0.486,8.0,10.0,0.8,13.0,22.0,35.0,15.0,3.0,1.0,11.0,16.0,31.0,59.0,0.525,12.0,21.0,0.571,19.0,38.0,0.5,0.627,14.0,16.0,0.875,6.0,24.0,30.0,21.0,9.0,6.0,8.0,13.0,108.8,122.8,71.7,0.139,0.417,0.508,53.8,50.0,4.2,2.6,0.486,12.5,35.1,0.111,0.627,10.7,21.4,0.237
