Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Navy,REG (Non-Conf),W,59.0,48.0,,21.0,40.0,0.525,2.0,9.0,0.222,19.0,31.0,0.613,0.55,15.0,22.0,0.682,6.0,21.0,27.0,10.0,6.0,2.0,12.0,13.0,19.0,56.0,0.339,4.0,22.0,0.182,15.0,34.0,0.441,0.375,6.0,9.0,0.667,10.0,15.0,25.0,6.0,6.0,3.0,10.0,20.0,101.1,82.2,58.4,0.55,0.225,0.585,51.9,47.6,10.3,5.9,0.55,19.2,28.6,0.375,0.375,14.2,32.3,0.107
2.0,2.0,2023-11-11,@,East Carolina,REG (Non-Conf),L,63.0,77.0,,19.0,41.0,0.463,4.0,14.0,0.286,15.0,27.0,0.556,0.512,21.0,28.0,0.75,2.0,21.0,23.0,7.0,4.0,1.0,16.0,14.0,30.0,63.0,0.476,9.0,29.0,0.31,21.0,34.0,0.618,0.548,8.0,11.0,0.727,12.0,22.0,34.0,17.0,14.0,2.0,11.0,25.0,93.0,113.6,67.8,0.683,0.341,0.58,40.4,36.8,5.9,2.9,0.512,22.8,8.3,0.512,0.548,13.9,36.4,0.127
3.0,3.0,2023-11-15,@,Virginia Tech,REG (Non-Conf),L,44.0,60.0,,14.0,51.0,0.275,5.0,19.0,0.263,9.0,32.0,0.281,0.324,11.0,16.0,0.688,11.0,24.0,35.0,10.0,4.0,3.0,14.0,13.0,22.0,58.0,0.379,4.0,19.0,0.211,18.0,39.0,0.462,0.414,12.0,15.0,0.8,8.0,24.0,32.0,14.0,6.0,3.0,6.0,11.0,70.6,96.2,62.4,0.314,0.373,0.375,52.2,71.4,6.4,7.7,0.324,19.3,31.4,0.216,0.414,8.4,25.0,0.207
4.0,4.0,2023-11-20,,North Carolina Central,REG (Non-Conf),L,75.0,78.0,OT,26.0,53.0,0.491,5.0,15.0,0.333,21.0,38.0,0.553,0.538,18.0,29.0,0.621,8.0,24.0,32.0,10.0,7.0,8.0,15.0,17.0,30.0,69.0,0.435,9.0,29.0,0.31,21.0,40.0,0.525,0.5,9.0,15.0,0.6,13.0,21.0,34.0,12.0,10.0,2.0,15.0,23.0,98.7,102.7,67.5,0.547,0.283,0.562,48.5,38.5,9.2,20.0,0.538,18.3,27.6,0.34,0.5,16.5,35.1,0.13
5.0,5.0,2023-11-21,,Idaho State,REG (Non-Conf),L,55.0,69.0,,20.0,45.0,0.444,6.0,15.0,0.4,14.0,30.0,0.467,0.511,9.0,11.0,0.818,8.0,16.0,24.0,13.0,9.0,3.0,19.0,16.0,25.0,59.0,0.424,7.0,29.0,0.241,18.0,30.0,0.6,0.483,12.0,15.0,0.8,16.0,16.0,32.0,17.0,9.0,5.0,11.0,12.0,89.9,112.8,61.2,0.244,0.333,0.548,42.9,65.0,14.7,10.0,0.511,27.4,33.3,0.2,0.483,14.3,50.0,0.203
6.0,6.0,2023-11-22,,The Citadel,REG (Non-Conf),W,65.0,58.0,,23.0,51.0,0.451,9.0,21.0,0.429,14.0,30.0,0.467,0.539,10.0,14.0,0.714,7.0,21.0,28.0,16.0,4.0,2.0,5.0,14.0,21.0,48.0,0.438,8.0,25.0,0.32,13.0,23.0,0.565,0.521,8.0,10.0,0.8,7.0,24.0,31.0,10.0,2.0,1.0,7.0,15.0,119.9,107.0,54.2,0.275,0.412,0.564,47.5,69.6,7.4,8.7,0.539,8.0,22.6,0.196,0.521,11.7,25.0,0.167
7.0,7.0,2023-11-29,@,Jacksonville,REG (Non-Conf),L,48.0,62.0,,15.0,44.0,0.341,5.0,22.0,0.227,10.0,22.0,0.455,0.398,13.0,20.0,0.65,4.0,16.0,20.0,5.0,7.0,1.0,14.0,15.0,21.0,48.0,0.438,5.0,20.0,0.25,16.0,28.0,0.571,0.49,15.0,17.0,0.882,8.0,25.0,33.0,11.0,10.0,3.0,17.0,21.0,74.7,96.4,64.3,0.455,0.5,0.449,37.7,33.3,10.9,3.6,0.398,20.7,13.8,0.295,0.49,23.3,33.3,0.313
8.0,8.0,2023-12-02,,Southern Virginia,REG (Non-Conf),W,87.0,56.0,,31.0,58.0,0.534,9.0,28.0,0.321,22.0,30.0,0.733,0.612,16.0,20.0,0.8,11.0,24.0,35.0,19.0,10.0,2.0,11.0,15.0,17.0,49.0,0.347,6.0,22.0,0.273,11.0,27.0,0.407,0.408,16.0,18.0,0.889,7.0,18.0,25.0,13.0,8.0,1.0,17.0,13.0,128.8,82.9,67.5,0.345,0.483,0.644,58.3,61.3,14.8,7.4,0.612,14.0,37.9,0.276,0.408,22.8,22.6,0.327
9.0,9.0,2023-12-06,@,Davidson,REG (Non-Conf),L,50.0,62.0,,21.0,54.0,0.389,4.0,25.0,0.16,17.0,29.0,0.586,0.426,4.0,12.0,0.333,4.0,26.0,30.0,9.0,4.0,2.0,10.0,14.0,21.0,56.0,0.375,6.0,25.0,0.24,15.0,31.0,0.484,0.429,14.0,19.0,0.737,7.0,29.0,36.0,10.0,6.0,2.0,8.0,13.0,75.9,94.1,65.9,0.222,0.463,0.419,45.5,42.9,6.1,6.5,0.426,14.3,12.1,0.074,0.429,11.0,21.2,0.25
10.0,10.0,2023-12-12,,Pfeiffer,REG (Non-Conf),W,88.0,59.0,,32.0,66.0,0.485,2.0,18.0,0.111,30.0,48.0,0.625,0.5,22.0,26.0,0.846,10.0,26.0,36.0,11.0,12.0,6.0,8.0,20.0,21.0,58.0,0.362,5.0,18.0,0.278,16.0,40.0,0.4,0.405,12.0,24.0,0.5,10.0,24.0,34.0,12.0,2.0,6.0,18.0,20.0,114.5,76.7,76.9,0.394,0.273,0.562,51.4,34.4,15.6,15.0,0.5,9.3,29.4,0.333,0.405,20.6,27.8,0.207
