Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-08,@,Syracuse,REG (Non-Conf),L,77.0,89.0,,31.0,64.0,0.484,10.0,22.0,0.455,21.0,42.0,0.5,0.563,5.0,17.0,0.294,14.0,19.0,33.0,10.0,5.0,1.0,12.0,19.0,35.0,65.0,0.538,7.0,19.0,0.368,28.0,46.0,0.609,0.592,12.0,19.0,0.632,12.0,24.0,36.0,16.0,7.0,7.0,9.0,11.0,109.1,126.2,70.6,0.266,0.344,0.534,47.8,32.3,7.1,2.2,0.563,14.3,36.8,0.078,0.592,10.8,38.7,0.185
2.0,2.0,2023-11-11,@,St. Bonaventure,REG (Non-Conf),W,70.0,67.0,,27.0,54.0,0.5,12.0,24.0,0.5,15.0,30.0,0.5,0.611,4.0,7.0,0.571,3.0,23.0,26.0,16.0,5.0,3.0,17.0,19.0,23.0,57.0,0.404,4.0,20.0,0.2,19.0,37.0,0.514,0.439,17.0,26.0,0.654,11.0,21.0,32.0,7.0,9.0,5.0,11.0,13.0,99.5,95.3,70.3,0.13,0.444,0.611,44.8,59.3,7.1,8.1,0.611,22.9,12.5,0.074,0.439,13.7,32.4,0.298
3.0,3.0,2023-11-15,@,Cleveland State,REG (Non-Conf),L,61.0,71.0,,24.0,67.0,0.358,4.0,23.0,0.174,20.0,44.0,0.455,0.388,9.0,16.0,0.563,16.0,27.0,43.0,8.0,11.0,3.0,13.0,17.0,26.0,58.0,0.448,6.0,19.0,0.316,20.0,39.0,0.513,0.5,13.0,23.0,0.565,10.0,27.0,37.0,12.0,11.0,7.0,13.0,15.0,85.0,98.9,71.8,0.239,0.343,0.409,53.8,33.3,15.3,7.7,0.388,14.8,37.2,0.134,0.5,15.9,27.0,0.224
4.0,4.0,2023-11-20,,D'Youville,REG (Non-Conf),W,109.0,69.0,,36.0,66.0,0.545,13.0,25.0,0.52,23.0,41.0,0.561,0.644,24.0,34.0,0.706,15.0,38.0,53.0,16.0,6.0,8.0,20.0,20.0,26.0,81.0,0.321,4.0,19.0,0.211,22.0,62.0,0.355,0.346,13.0,17.0,0.765,15.0,15.0,30.0,12.0,10.0,2.0,11.0,27.0,126.6,80.1,86.1,0.515,0.379,0.663,63.9,44.4,7.0,12.9,0.644,19.6,50.0,0.364,0.346,11.0,28.3,0.16
5.0,5.0,2023-11-24,N,Wofford,REG (Non-Conf),W,76.0,67.0,,21.0,55.0,0.382,7.0,25.0,0.28,14.0,30.0,0.467,0.445,27.0,36.0,0.75,6.0,31.0,37.0,15.0,11.0,4.0,11.0,23.0,22.0,62.0,0.355,7.0,26.0,0.269,15.0,36.0,0.417,0.411,16.0,26.0,0.615,7.0,30.0,37.0,8.0,6.0,5.0,15.0,27.0,95.3,84.0,79.7,0.655,0.455,0.527,50.0,71.4,13.8,11.1,0.445,13.2,16.7,0.491,0.411,16.8,18.4,0.258
6.0,6.0,2023-11-25,N,Western Kentucky,REG (Non-Conf),W,85.0,77.0,,27.0,62.0,0.435,9.0,23.0,0.391,18.0,39.0,0.462,0.508,22.0,31.0,0.71,11.0,23.0,34.0,17.0,9.0,3.0,13.0,19.0,31.0,64.0,0.484,2.0,10.0,0.2,29.0,54.0,0.537,0.5,13.0,22.0,0.591,10.0,23.0,33.0,9.0,5.0,2.0,14.0,24.0,108.2,98.0,78.6,0.5,0.371,0.554,50.7,63.0,11.5,5.6,0.508,14.5,32.4,0.355,0.5,15.8,30.3,0.203
7.0,7.0,2023-11-26,N,Bowling Green,REG (Non-Conf),L,73.0,77.0,,31.0,66.0,0.47,10.0,24.0,0.417,21.0,42.0,0.5,0.545,1.0,3.0,0.333,6.0,22.0,28.0,16.0,2.0,5.0,6.0,13.0,29.0,58.0,0.5,7.0,15.0,0.467,22.0,43.0,0.512,0.56,12.0,19.0,0.632,9.0,24.0,33.0,13.0,2.0,4.0,6.0,8.0,111.1,117.2,65.7,0.045,0.364,0.541,45.9,51.6,3.0,11.6,0.545,8.2,20.0,0.015,0.56,8.2,29.0,0.207
8.0,8.0,2023-12-01,,Quinnipiac,REG (Conf),W,93.0,73.0,,33.0,72.0,0.458,13.0,24.0,0.542,20.0,48.0,0.417,0.549,14.0,17.0,0.824,14.0,25.0,39.0,21.0,7.0,2.0,9.0,19.0,23.0,60.0,0.383,3.0,20.0,0.15,20.0,40.0,0.5,0.408,24.0,30.0,0.8,10.0,24.0,34.0,13.0,8.0,3.0,13.0,17.0,122.1,95.8,76.2,0.236,0.333,0.581,53.4,63.6,9.2,5.0,0.549,10.1,36.8,0.194,0.408,14.9,28.6,0.4
9.0,9.0,2023-12-03,,Saint Peter's,REG (Conf),L,52.0,54.0,,18.0,51.0,0.353,7.0,21.0,0.333,11.0,30.0,0.367,0.422,9.0,20.0,0.45,12.0,15.0,27.0,8.0,6.0,5.0,10.0,17.0,19.0,49.0,0.388,2.0,12.0,0.167,17.0,37.0,0.459,0.408,14.0,19.0,0.737,10.0,18.0,28.0,9.0,3.0,6.0,12.0,19.0,87.7,91.1,59.3,0.392,0.412,0.43,49.1,44.4,10.1,13.5,0.422,14.2,40.0,0.176,0.408,17.1,40.0,0.286
10.0,10.0,2023-12-06,,Robert Morris,REG (Non-Conf),W,87.0,80.0,,30.0,61.0,0.492,7.0,23.0,0.304,23.0,38.0,0.605,0.549,20.0,27.0,0.741,11.0,32.0,43.0,15.0,3.0,5.0,16.0,16.0,33.0,74.0,0.446,4.0,31.0,0.129,29.0,43.0,0.674,0.473,10.0,17.0,0.588,12.0,19.0,31.0,16.0,5.0,4.0,9.0,19.0,110.2,101.3,79.0,0.443,0.377,0.589,58.1,50.0,3.8,11.6,0.549,17.8,36.7,0.328,0.473,9.9,27.3,0.135
11.0,11.0,2023-12-09,@,Pittsburgh,REG (Non-Conf),L,71.0,82.0,,26.0,49.0,0.531,9.0,24.0,0.375,17.0,25.0,0.68,0.622,10.0,10.0,1.0,3.0,21.0,24.0,14.0,3.0,1.0,14.0,15.0,31.0,58.0,0.534,12.0,24.0,0.5,19.0,34.0,0.559,0.638,8.0,12.0,0.667,6.0,18.0,24.0,16.0,8.0,1.0,8.0,8.0,108.9,125.7,65.2,0.204,0.49,0.66,50.0,53.8,4.6,2.9,0.622,20.7,14.3,0.204,0.638,11.2,22.2,0.138
12.0,12.0,2023-12-22,@,High Point,REG (Non-Conf),L,70.0,78.0,,27.0,59.0,0.458,10.0,21.0,0.476,17.0,38.0,0.447,0.542,6.0,8.0,0.75,5.0,17.0,22.0,15.0,8.0,2.0,11.0,21.0,28.0,58.0,0.483,7.0,19.0,0.368,21.0,39.0,0.538,0.543,15.0,20.0,0.75,12.0,23.0,35.0,14.0,7.0,3.0,13.0,11.0,102.0,113.6,68.7,0.136,0.356,0.557,38.6,55.6,11.7,5.1,0.542,14.9,17.9,0.102,0.543,16.1,41.4,0.259
13.0,13.0,2024-01-05,@,Mount St. Mary's,REG (Conf),L,69.0,74.0,,26.0,68.0,0.382,6.0,23.0,0.261,20.0,45.0,0.444,0.426,11.0,16.0,0.688,17.0,21.0,38.0,8.0,8.0,2.0,12.0,14.0,30.0,59.0,0.508,8.0,25.0,0.32,22.0,34.0,0.647,0.576,6.0,8.0,0.75,10.0,21.0,31.0,17.0,5.0,1.0,15.0,14.0,99.7,106.9,69.2,0.235,0.338,0.456,55.1,30.8,11.6,5.9,0.426,13.7,44.7,0.162,0.576,19.3,32.3,0.102
14.0,14.0,2024-01-07,@,Rider,REG (Conf),L,76.0,79.0,OT,28.0,66.0,0.424,11.0,34.0,0.324,17.0,32.0,0.531,0.508,9.0,25.0,0.36,12.0,24.0,36.0,12.0,6.0,2.0,8.0,19.0,28.0,65.0,0.431,8.0,21.0,0.381,20.0,44.0,0.455,0.492,15.0,20.0,0.75,9.0,30.0,39.0,18.0,4.0,0.0,10.0,20.0,101.8,105.8,66.4,0.379,0.515,0.488,48.0,42.9,8.0,4.5,0.508,9.3,28.6,0.136,0.492,11.8,27.3,0.231
15.0,15.0,2024-01-12,,Siena,REG (Conf),W,67.0,63.0,,23.0,57.0,0.404,4.0,14.0,0.286,19.0,43.0,0.442,0.439,17.0,22.0,0.773,12.0,23.0,35.0,10.0,4.0,2.0,13.0,19.0,22.0,60.0,0.367,4.0,20.0,0.2,18.0,40.0,0.45,0.4,15.0,21.0,0.714,13.0,22.0,35.0,11.0,7.0,1.0,12.0,17.0,97.5,91.7,68.7,0.386,0.246,0.497,50.0,43.5,5.8,5.0,0.439,16.2,35.3,0.298,0.4,14.6,36.1,0.25
