Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Tulsa,REG (Non-Conf),L,53.0,70.0,,20.0,60.0,0.333,6.0,20.0,0.3,14.0,40.0,0.35,0.383,7.0,12.0,0.583,9.0,18.0,27.0,9.0,8.0,5.0,12.0,18.0,24.0,60.0,0.4,8.0,29.0,0.276,16.0,31.0,0.516,0.467,14.0,20.0,0.7,16.0,28.0,44.0,13.0,8.0,3.0,18.0,15.0,75.6,99.9,70.1,0.2,0.333,0.403,38.0,45.0,11.4,16.1,0.383,15.4,24.3,0.117,0.467,20.6,47.1,0.233
2.0,2.0,2023-11-10,,Hendrix,REG (Non-Conf),W,82.0,39.0,,28.0,62.0,0.452,8.0,28.0,0.286,20.0,34.0,0.588,0.516,18.0,31.0,0.581,16.0,33.0,49.0,16.0,11.0,5.0,12.0,13.0,13.0,50.0,0.26,5.0,19.0,0.263,8.0,31.0,0.258,0.31,8.0,12.0,0.667,5.0,26.0,31.0,7.0,6.0,3.0,20.0,21.0,114.3,54.4,71.7,0.5,0.452,0.534,61.3,57.1,15.3,16.1,0.516,13.5,38.1,0.29,0.31,26.4,13.2,0.16
3.0,3.0,2023-11-13,,Arkansas–Pine Bluff,REG (Non-Conf),L,83.0,85.0,,29.0,67.0,0.433,8.0,31.0,0.258,21.0,36.0,0.583,0.493,17.0,21.0,0.81,12.0,25.0,37.0,19.0,7.0,4.0,18.0,22.0,25.0,56.0,0.446,12.0,25.0,0.48,13.0,31.0,0.419,0.554,23.0,28.0,0.821,5.0,19.0,24.0,10.0,9.0,0.0,14.0,19.0,102.9,105.4,80.6,0.313,0.463,0.539,60.7,65.5,8.7,12.9,0.493,19.0,38.7,0.254,0.554,16.8,16.7,0.411
4.0,4.0,2023-11-17,@,Vanderbilt,REG (Non-Conf),L,71.0,75.0,,28.0,57.0,0.491,7.0,13.0,0.538,21.0,44.0,0.477,0.553,8.0,13.0,0.615,9.0,25.0,34.0,11.0,4.0,1.0,14.0,19.0,27.0,61.0,0.443,9.0,30.0,0.3,18.0,31.0,0.581,0.516,12.0,21.0,0.571,7.0,22.0,29.0,9.0,7.0,0.0,9.0,12.0,100.6,106.3,70.6,0.228,0.228,0.562,54.0,39.3,5.7,3.2,0.553,18.1,29.0,0.14,0.516,11.3,21.9,0.197
5.0,5.0,2023-11-20,@,Southeast Missouri State,REG (Non-Conf),L,68.0,70.0,,24.0,60.0,0.4,6.0,17.0,0.353,18.0,43.0,0.419,0.45,14.0,22.0,0.636,8.0,25.0,33.0,14.0,10.0,0.0,8.0,21.0,25.0,56.0,0.446,6.0,29.0,0.207,19.0,27.0,0.704,0.5,14.0,21.0,0.667,8.0,29.0,37.0,16.0,3.0,3.0,14.0,20.0,95.5,98.3,71.2,0.367,0.283,0.483,47.1,58.3,14.0,0.0,0.45,10.2,21.6,0.233,0.5,17.5,24.2,0.25
6.0,6.0,2023-11-22,@,Kansas State,REG (Non-Conf),L,56.0,100.0,,19.0,68.0,0.279,8.0,33.0,0.242,11.0,35.0,0.314,0.338,10.0,13.0,0.769,11.0,12.0,23.0,9.0,9.0,6.0,9.0,20.0,38.0,75.0,0.507,10.0,29.0,0.345,28.0,46.0,0.609,0.573,14.0,23.0,0.609,21.0,31.0,52.0,21.0,5.0,4.0,10.0,10.0,76.1,136.0,73.6,0.191,0.485,0.377,30.7,47.4,12.2,13.0,0.338,10.8,26.2,0.147,0.573,10.4,63.6,0.187
7.0,7.0,2023-11-25,,Eastern Michigan,REG (Non-Conf),L,71.0,74.0,,24.0,57.0,0.421,8.0,20.0,0.4,16.0,37.0,0.432,0.491,15.0,22.0,0.682,7.0,25.0,32.0,18.0,7.0,2.0,11.0,16.0,24.0,53.0,0.453,11.0,23.0,0.478,13.0,30.0,0.433,0.557,15.0,23.0,0.652,8.0,24.0,32.0,12.0,8.0,3.0,7.0,16.0,105.7,110.1,67.2,0.386,0.351,0.526,50.0,75.0,10.4,6.7,0.491,14.0,22.6,0.263,0.557,9.9,24.2,0.283
8.0,8.0,2023-11-26,,New Orleans,REG (Non-Conf),L,74.0,79.0,,23.0,55.0,0.418,13.0,28.0,0.464,10.0,27.0,0.37,0.536,15.0,20.0,0.75,12.0,24.0,36.0,18.0,6.0,4.0,23.0,21.0,27.0,59.0,0.458,10.0,21.0,0.476,17.0,38.0,0.447,0.542,15.0,24.0,0.625,8.0,22.0,30.0,10.0,16.0,4.0,12.0,20.0,98.7,105.4,75.0,0.364,0.509,0.574,54.5,78.3,8.0,10.5,0.536,26.3,35.3,0.273,0.542,14.6,25.0,0.254
9.0,9.0,2023-11-29,@,Loyola Marymount,REG (Non-Conf),L,63.0,90.0,,24.0,70.0,0.343,7.0,27.0,0.259,17.0,43.0,0.395,0.393,8.0,9.0,0.889,13.0,19.0,32.0,11.0,9.0,2.0,13.0,17.0,29.0,65.0,0.446,13.0,26.0,0.5,16.0,39.0,0.41,0.546,19.0,22.0,0.864,14.0,27.0,41.0,19.0,8.0,2.0,11.0,12.0,85.9,122.7,73.4,0.129,0.386,0.424,43.8,45.8,12.3,5.1,0.393,14.9,32.5,0.114,0.546,12.7,42.4,0.292
10.0,10.0,2023-12-03,@,Hawaii,REG (Non-Conf),L,76.0,95.0,,27.0,59.0,0.458,9.0,23.0,0.391,18.0,36.0,0.5,0.534,13.0,16.0,0.813,9.0,15.0,24.0,11.0,7.0,1.0,9.0,18.0,33.0,58.0,0.569,14.0,27.0,0.519,19.0,31.0,0.613,0.69,15.0,18.0,0.833,7.0,20.0,27.0,18.0,3.0,4.0,8.0,17.0,113.3,141.6,67.1,0.271,0.39,0.571,47.1,40.7,10.4,3.2,0.534,11.9,31.0,0.22,0.69,10.7,31.8,0.259
11.0,11.0,2023-12-07,,Little Rock,REG (Non-Conf),W,75.0,71.0,,24.0,57.0,0.421,7.0,19.0,0.368,17.0,38.0,0.447,0.482,20.0,22.0,0.909,7.0,20.0,27.0,14.0,8.0,6.0,8.0,18.0,25.0,65.0,0.385,7.0,24.0,0.292,18.0,41.0,0.439,0.438,14.0,23.0,0.609,17.0,21.0,38.0,12.0,3.0,4.0,12.0,17.0,107.6,101.9,69.7,0.386,0.333,0.556,41.5,58.3,11.5,14.6,0.482,10.6,25.0,0.351,0.438,13.6,45.9,0.215
12.0,12.0,2023-12-10,@,Eastern Illinois,REG (Non-Conf),W,73.0,70.0,,24.0,57.0,0.421,13.0,29.0,0.448,11.0,28.0,0.393,0.535,12.0,12.0,1.0,8.0,23.0,31.0,17.0,6.0,3.0,16.0,17.0,24.0,59.0,0.407,7.0,20.0,0.35,17.0,39.0,0.436,0.466,15.0,22.0,0.682,11.0,22.0,33.0,12.0,13.0,3.0,10.0,15.0,104.9,100.6,69.6,0.211,0.509,0.582,48.4,70.8,8.6,7.7,0.535,20.3,26.7,0.211,0.466,12.6,32.4,0.254
