Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Toccoa Falls,REG (Non-Conf),W,94.0,59.0,,37.0,71.0,0.521,11.0,29.0,0.379,26.0,42.0,0.619,0.599,9.0,15.0,0.6,14.0,32.0,46.0,19.0,7.0,5.0,13.0,18.0,22.0,65.0,0.338,3.0,22.0,0.136,19.0,43.0,0.442,0.362,12.0,17.0,0.706,12.0,21.0,33.0,4.0,8.0,1.0,14.0,16.0,123.5,77.5,76.1,0.211,0.408,0.602,58.2,51.4,9.2,11.6,0.599,14.3,40.0,0.127,0.362,16.1,27.3,0.185
2.0,2.0,2023-11-09,,North Florida,REG (Non-Conf),L,70.0,81.0,,23.0,47.0,0.489,3.0,10.0,0.3,20.0,37.0,0.541,0.521,21.0,30.0,0.7,7.0,23.0,30.0,6.0,3.0,2.0,12.0,21.0,24.0,54.0,0.444,11.0,24.0,0.458,13.0,30.0,0.433,0.546,22.0,26.0,0.846,5.0,19.0,24.0,9.0,8.0,0.0,8.0,21.0,103.2,119.5,67.8,0.638,0.213,0.571,55.6,26.1,4.4,6.7,0.521,16.4,26.9,0.447,0.546,10.8,17.9,0.407
3.0,3.0,2023-11-13,,Johnson/Wales-NC,REG (Non-Conf),W,102.0,61.0,,38.0,63.0,0.603,13.0,29.0,0.448,25.0,34.0,0.735,0.706,13.0,17.0,0.765,8.0,29.0,37.0,22.0,4.0,2.0,9.0,19.0,22.0,61.0,0.361,1.0,10.0,0.1,21.0,51.0,0.412,0.369,16.0,22.0,0.727,11.0,17.0,28.0,2.0,4.0,0.0,13.0,10.0,140.2,83.8,72.8,0.27,0.46,0.718,56.9,57.9,5.5,3.9,0.706,11.2,32.0,0.206,0.369,15.4,27.5,0.262
4.0,4.0,2023-11-17,@,NC State,REG (Non-Conf),L,53.0,87.0,,19.0,48.0,0.396,6.0,18.0,0.333,13.0,30.0,0.433,0.458,9.0,11.0,0.818,5.0,19.0,24.0,10.0,2.0,5.0,18.0,16.0,32.0,63.0,0.508,5.0,17.0,0.294,27.0,46.0,0.587,0.548,18.0,23.0,0.783,9.0,24.0,33.0,14.0,11.0,3.0,6.0,14.0,77.3,126.9,68.6,0.229,0.375,0.498,42.1,52.6,2.9,10.9,0.458,25.3,17.2,0.188,0.548,7.5,32.1,0.286
5.0,5.0,2023-11-20,@,Bethune-Cookman,REG (Non-Conf),L,73.0,79.0,,25.0,50.0,0.5,10.0,22.0,0.455,15.0,28.0,0.536,0.6,13.0,19.0,0.684,9.0,17.0,26.0,16.0,3.0,1.0,17.0,17.0,30.0,61.0,0.492,4.0,14.0,0.286,26.0,47.0,0.553,0.525,15.0,21.0,0.714,13.0,19.0,32.0,14.0,10.0,2.0,9.0,18.0,109.0,117.9,67.0,0.38,0.44,0.618,44.8,64.0,4.5,2.1,0.6,22.4,32.1,0.26,0.525,11.3,43.3,0.246
6.0,6.0,2023-11-24,@,Wake Forest,REG (Non-Conf),L,56.0,71.0,,19.0,51.0,0.373,6.0,22.0,0.273,13.0,29.0,0.448,0.431,12.0,16.0,0.75,6.0,21.0,27.0,9.0,5.0,0.0,15.0,22.0,21.0,48.0,0.438,5.0,14.0,0.357,16.0,34.0,0.471,0.49,24.0,27.0,0.889,5.0,25.0,30.0,9.0,9.0,3.0,9.0,15.0,84.6,107.2,66.2,0.314,0.431,0.478,47.4,47.4,7.6,0.0,0.431,20.4,19.4,0.235,0.49,12.9,19.2,0.5
7.0,7.0,2023-11-28,@,The Citadel,REG (Non-Conf),L,52.0,81.0,,18.0,60.0,0.3,2.0,18.0,0.111,16.0,42.0,0.381,0.317,14.0,16.0,0.875,7.0,19.0,26.0,5.0,1.0,4.0,11.0,20.0,28.0,56.0,0.5,8.0,16.0,0.5,20.0,40.0,0.5,0.571,17.0,28.0,0.607,10.0,31.0,41.0,13.0,4.0,4.0,11.0,18.0,73.3,114.2,71.0,0.267,0.3,0.385,38.8,27.8,1.4,10.0,0.317,14.0,18.4,0.233,0.571,13.7,34.5,0.304
8.0,8.0,2023-12-02,,South Carolina State,REG (Non-Conf),W,66.0,64.0,,23.0,45.0,0.511,5.0,13.0,0.385,18.0,32.0,0.563,0.567,15.0,26.0,0.577,5.0,25.0,30.0,11.0,4.0,4.0,16.0,18.0,24.0,63.0,0.381,4.0,15.0,0.267,20.0,48.0,0.417,0.413,12.0,25.0,0.48,15.0,20.0,35.0,7.0,7.0,0.0,12.0,21.0,94.1,91.3,70.1,0.578,0.289,0.575,46.2,47.8,5.7,8.3,0.567,21.8,20.0,0.333,0.413,13.8,37.5,0.19
9.0,9.0,2023-12-13,,North Alabama,REG (Non-Conf),L,64.0,76.0,,20.0,62.0,0.323,9.0,29.0,0.31,11.0,33.0,0.333,0.395,15.0,20.0,0.75,8.0,20.0,28.0,8.0,5.0,3.0,9.0,18.0,30.0,58.0,0.517,3.0,10.0,0.3,27.0,48.0,0.563,0.543,13.0,19.0,0.684,7.0,30.0,37.0,9.0,7.0,2.0,10.0,18.0,89.8,106.6,71.3,0.323,0.468,0.448,43.1,40.0,7.0,6.3,0.395,11.2,21.1,0.242,0.543,13.0,25.9,0.224
10.0,10.0,2023-12-16,@,South Carolina,REG (Non-Conf),L,69.0,73.0,,28.0,58.0,0.483,7.0,18.0,0.389,21.0,40.0,0.525,0.543,6.0,8.0,0.75,6.0,17.0,23.0,11.0,4.0,7.0,5.0,11.0,29.0,63.0,0.46,6.0,25.0,0.24,23.0,38.0,0.605,0.508,9.0,11.0,0.818,12.0,23.0,35.0,18.0,3.0,0.0,6.0,7.0,112.2,118.7,61.5,0.138,0.31,0.558,39.7,39.3,6.5,18.4,0.543,7.5,20.7,0.103,0.508,8.1,41.4,0.143
