Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Iona,REG (Non-Conf),W,71.0,69.0,,25.0,59.0,0.424,5.0,28.0,0.179,20.0,31.0,0.645,0.466,16.0,20.0,0.8,8.0,29.0,37.0,11.0,7.0,6.0,13.0,12.0,29.0,70.0,0.414,5.0,20.0,0.25,24.0,50.0,0.48,0.45,6.0,8.0,0.75,11.0,25.0,36.0,7.0,10.0,6.0,11.0,19.0,96.4,93.7,73.7,0.339,0.475,0.518,50.7,44.0,9.5,12.0,0.466,16.0,24.2,0.271,0.45,13.0,27.5,0.086
2.0,2.0,2023-11-10,N,Duquesne,REG (Non-Conf),L,72.0,90.0,,23.0,58.0,0.397,7.0,27.0,0.259,16.0,31.0,0.516,0.457,19.0,30.0,0.633,10.0,24.0,34.0,15.0,8.0,1.0,16.0,17.0,33.0,67.0,0.493,11.0,34.0,0.324,22.0,33.0,0.667,0.575,13.0,13.0,1.0,5.0,25.0,30.0,17.0,10.0,6.0,13.0,23.0,90.3,112.9,79.7,0.517,0.466,0.498,53.1,65.2,10.0,3.0,0.457,18.1,28.6,0.328,0.575,15.1,17.2,0.194
3.0,3.0,2023-11-16,N,Vermont,REG (Non-Conf),L,64.0,73.0,,23.0,62.0,0.371,3.0,25.0,0.12,20.0,37.0,0.541,0.395,15.0,19.0,0.789,11.0,28.0,39.0,7.0,8.0,4.0,8.0,23.0,21.0,57.0,0.368,11.0,28.0,0.393,10.0,29.0,0.345,0.465,20.0,28.0,0.714,10.0,24.0,34.0,9.0,7.0,4.0,8.0,17.0,93.9,107.1,68.2,0.306,0.403,0.451,53.4,30.4,11.7,13.8,0.395,10.1,31.4,0.242,0.465,10.2,26.3,0.351
4.0,4.0,2023-11-17,N,Wyoming,REG (Non-Conf),L,60.0,67.0,,23.0,73.0,0.315,7.0,37.0,0.189,16.0,36.0,0.444,0.363,7.0,10.0,0.7,21.0,12.0,33.0,11.0,7.0,2.0,14.0,21.0,21.0,39.0,0.538,6.0,15.0,0.4,15.0,24.0,0.625,0.615,19.0,25.0,0.76,3.0,25.0,28.0,8.0,11.0,6.0,20.0,14.0,86.6,96.7,69.3,0.137,0.507,0.386,54.1,47.8,10.1,8.3,0.363,15.3,45.7,0.096,0.615,28.2,20.0,0.487
5.0,5.0,2023-11-19,@,Coastal Carolina,REG (Non-Conf),W,80.0,72.0,,24.0,64.0,0.375,17.0,43.0,0.395,7.0,21.0,0.333,0.508,15.0,20.0,0.75,10.0,22.0,32.0,20.0,4.0,2.0,12.0,14.0,27.0,66.0,0.409,7.0,19.0,0.368,20.0,47.0,0.426,0.462,11.0,14.0,0.786,11.0,25.0,36.0,14.0,10.0,2.0,12.0,21.0,107.3,96.5,74.6,0.313,0.672,0.544,47.1,83.3,5.4,4.3,0.508,14.0,28.6,0.234,0.462,14.2,33.3,0.167
6.0,6.0,2023-11-26,@,Kent State,REG (Non-Conf),W,84.0,78.0,,29.0,65.0,0.446,13.0,32.0,0.406,16.0,33.0,0.485,0.546,13.0,15.0,0.867,12.0,17.0,29.0,17.0,7.0,2.0,11.0,15.0,28.0,56.0,0.5,6.0,21.0,0.286,22.0,35.0,0.629,0.554,16.0,20.0,0.8,8.0,23.0,31.0,10.0,7.0,3.0,12.0,15.0,119.5,110.9,70.3,0.231,0.492,0.582,48.3,58.6,10.0,5.7,0.546,13.2,34.3,0.2,0.554,15.5,32.0,0.286
7.0,7.0,2023-12-01,N,Liberty,REG (Non-Conf),W,76.0,67.0,,27.0,55.0,0.491,8.0,23.0,0.348,19.0,32.0,0.594,0.564,14.0,20.0,0.7,7.0,28.0,35.0,8.0,4.0,2.0,9.0,15.0,23.0,60.0,0.383,10.0,31.0,0.323,13.0,29.0,0.448,0.467,11.0,18.0,0.611,9.0,24.0,33.0,11.0,6.0,1.0,10.0,20.0,111.7,98.5,68.0,0.364,0.418,0.589,51.5,29.6,5.9,6.9,0.564,12.2,22.6,0.255,0.467,12.7,24.3,0.183
8.0,8.0,2023-12-02,@,Florida Atlantic,REG (Non-Conf),L,74.0,90.0,,24.0,67.0,0.358,11.0,31.0,0.355,13.0,36.0,0.361,0.44,15.0,21.0,0.714,11.0,19.0,30.0,10.0,2.0,0.0,7.0,23.0,33.0,60.0,0.55,6.0,19.0,0.316,27.0,41.0,0.659,0.6,18.0,29.0,0.621,10.0,34.0,44.0,14.0,4.0,2.0,9.0,19.0,101.5,123.5,72.9,0.313,0.463,0.481,40.5,41.7,2.7,0.0,0.44,8.3,24.4,0.224,0.6,10.9,34.5,0.3
9.0,9.0,2023-12-10,,Rhode Island,REG (Non-Conf),W,85.0,70.0,,34.0,67.0,0.507,10.0,23.0,0.435,24.0,44.0,0.545,0.582,7.0,13.0,0.538,10.0,26.0,36.0,16.0,10.0,3.0,11.0,10.0,29.0,61.0,0.475,9.0,23.0,0.391,20.0,38.0,0.526,0.549,3.0,4.0,0.75,4.0,22.0,26.0,11.0,5.0,3.0,17.0,14.0,113.3,93.3,75.0,0.194,0.343,0.581,58.1,47.1,13.3,7.9,0.582,13.1,31.3,0.104,0.549,21.3,13.3,0.049
10.0,10.0,2023-12-14,,The Citadel,REG (Non-Conf),W,86.0,71.0,,32.0,69.0,0.464,13.0,31.0,0.419,19.0,38.0,0.5,0.558,9.0,11.0,0.818,13.0,23.0,36.0,18.0,6.0,6.0,8.0,15.0,27.0,59.0,0.458,5.0,12.0,0.417,22.0,47.0,0.468,0.5,12.0,18.0,0.667,7.0,23.0,30.0,12.0,4.0,8.0,12.0,14.0,121.3,100.2,70.9,0.159,0.449,0.579,54.5,56.3,8.5,12.8,0.558,9.7,36.1,0.13,0.5,15.1,23.3,0.203
