Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Maine,REG (Non-Conf),W,69.0,52.0,,23.0,43.0,0.535,6.0,17.0,0.353,17.0,26.0,0.654,0.605,17.0,21.0,0.81,2.0,32.0,34.0,14.0,5.0,3.0,14.0,16.0,18.0,54.0,0.333,6.0,24.0,0.25,12.0,30.0,0.4,0.389,10.0,19.0,0.526,6.0,19.0,25.0,11.0,8.0,1.0,5.0,18.0,108.7,81.9,63.5,0.488,0.395,0.651,57.6,60.9,7.9,10.0,0.605,20.9,9.5,0.395,0.389,7.4,15.8,0.185
2.0,2.0,2023-11-10,N,Liberty,REG (Non-Conf),L,59.0,71.0,,25.0,52.0,0.481,5.0,13.0,0.385,20.0,39.0,0.513,0.529,4.0,5.0,0.8,6.0,18.0,24.0,13.0,4.0,3.0,9.0,11.0,29.0,55.0,0.527,10.0,25.0,0.4,19.0,30.0,0.633,0.618,3.0,7.0,0.429,8.0,18.0,26.0,12.0,1.0,3.0,8.0,12.0,102.0,122.7,57.9,0.096,0.25,0.543,48.0,52.0,6.9,10.0,0.529,14.2,25.0,0.077,0.618,12.1,30.8,0.055
3.0,3.0,2023-11-15,,Utah Valley,REG (Non-Conf),W,62.0,45.0,,23.0,57.0,0.404,5.0,21.0,0.238,18.0,36.0,0.5,0.447,11.0,15.0,0.733,9.0,30.0,39.0,15.0,9.0,2.0,12.0,15.0,18.0,53.0,0.34,3.0,16.0,0.188,15.0,37.0,0.405,0.368,6.0,11.0,0.545,8.0,23.0,31.0,6.0,6.0,1.0,13.0,16.0,95.1,69.0,65.2,0.263,0.368,0.483,55.7,65.2,13.8,5.4,0.447,15.8,28.1,0.193,0.368,18.3,21.1,0.113
4.0,4.0,2023-11-19,N,George Mason,REG (Non-Conf),W,54.0,49.0,,17.0,46.0,0.37,4.0,14.0,0.286,13.0,32.0,0.406,0.413,16.0,20.0,0.8,5.0,26.0,31.0,8.0,6.0,6.0,9.0,15.0,16.0,48.0,0.333,5.0,18.0,0.278,11.0,30.0,0.367,0.385,12.0,15.0,0.8,4.0,20.0,24.0,8.0,6.0,0.0,12.0,19.0,88.1,79.9,61.3,0.435,0.304,0.486,56.4,47.1,9.8,20.0,0.413,14.0,20.0,0.348,0.385,17.9,13.3,0.25
5.0,5.0,2023-11-20,N,UCF,REG (Non-Conf),L,71.0,74.0,OT,28.0,66.0,0.424,4.0,14.0,0.286,24.0,52.0,0.462,0.455,11.0,16.0,0.688,6.0,26.0,32.0,13.0,6.0,4.0,10.0,21.0,25.0,67.0,0.373,5.0,20.0,0.25,20.0,47.0,0.426,0.41,19.0,24.0,0.792,16.0,33.0,49.0,7.0,8.0,10.0,14.0,16.0,92.2,96.1,68.4,0.242,0.212,0.482,39.5,46.4,7.8,8.5,0.455,12.0,15.4,0.167,0.41,15.2,38.1,0.284
6.0,6.0,2023-11-25,,Georgia State,REG (Non-Conf),W,65.0,57.0,,21.0,45.0,0.467,2.0,11.0,0.182,19.0,34.0,0.559,0.489,21.0,28.0,0.75,2.0,21.0,23.0,6.0,7.0,2.0,7.0,15.0,21.0,56.0,0.375,5.0,20.0,0.25,16.0,36.0,0.444,0.42,10.0,10.0,1.0,11.0,21.0,32.0,12.0,4.0,2.0,14.0,24.0,102.3,89.7,63.5,0.622,0.244,0.557,41.8,28.6,11.0,5.6,0.489,10.7,8.7,0.467,0.42,18.7,34.4,0.179
7.0,7.0,2023-11-29,,Davidson,REG (Non-Conf),L,81.0,85.0,,31.0,57.0,0.544,9.0,26.0,0.346,22.0,31.0,0.71,0.623,10.0,12.0,0.833,5.0,20.0,25.0,18.0,6.0,4.0,7.0,16.0,30.0,56.0,0.536,12.0,23.0,0.522,18.0,33.0,0.545,0.643,13.0,16.0,0.813,5.0,20.0,25.0,19.0,5.0,0.0,8.0,11.0,123.4,129.5,65.7,0.211,0.456,0.646,50.0,58.1,9.1,12.1,0.623,10.0,20.0,0.175,0.643,11.2,20.0,0.232
8.0,8.0,2023-12-05,,Stetson,REG (Non-Conf),W,85.0,62.0,,32.0,59.0,0.542,11.0,25.0,0.44,21.0,34.0,0.618,0.636,10.0,11.0,0.909,8.0,25.0,33.0,25.0,7.0,3.0,7.0,19.0,20.0,51.0,0.392,6.0,19.0,0.316,14.0,32.0,0.438,0.451,16.0,17.0,0.941,4.0,16.0,20.0,8.0,2.0,2.0,10.0,13.0,132.5,96.6,64.2,0.186,0.424,0.662,62.3,78.1,10.9,9.4,0.636,9.8,33.3,0.169,0.451,14.5,13.8,0.314
9.0,9.0,2023-12-09,@,Duke,REG (Non-Conf),L,56.0,80.0,,21.0,52.0,0.404,4.0,20.0,0.2,17.0,32.0,0.531,0.442,10.0,16.0,0.625,7.0,17.0,24.0,9.0,4.0,6.0,11.0,19.0,24.0,48.0,0.5,10.0,18.0,0.556,14.0,30.0,0.467,0.604,22.0,28.0,0.786,8.0,26.0,34.0,15.0,7.0,2.0,9.0,14.0,89.0,127.1,63.0,0.308,0.385,0.47,41.4,42.9,6.4,20.0,0.442,15.6,21.2,0.192,0.604,12.8,32.0,0.458
10.0,10.0,2023-12-16,@,Richmond,REG (Non-Conf),L,56.0,64.0,,19.0,55.0,0.345,10.0,35.0,0.286,9.0,20.0,0.45,0.436,8.0,12.0,0.667,8.0,30.0,38.0,13.0,3.0,3.0,12.0,18.0,24.0,58.0,0.414,3.0,17.0,0.176,21.0,41.0,0.512,0.44,13.0,20.0,0.65,7.0,26.0,33.0,9.0,10.0,3.0,5.0,12.0,86.0,98.3,65.1,0.218,0.636,0.461,53.5,68.4,4.6,7.3,0.436,16.5,23.5,0.145,0.44,6.9,18.9,0.224
11.0,11.0,2023-12-22,,Greensboro,REG (Non-Conf),W,91.0,44.0,,34.0,62.0,0.548,11.0,27.0,0.407,23.0,35.0,0.657,0.637,12.0,15.0,0.8,11.0,19.0,30.0,21.0,13.0,4.0,3.0,5.0,17.0,46.0,0.37,8.0,18.0,0.444,9.0,28.0,0.321,0.457,2.0,4.0,0.5,7.0,15.0,22.0,8.0,1.0,4.0,16.0,14.0,154.2,74.6,59.0,0.242,0.435,0.658,57.7,61.8,22.0,14.3,0.637,4.2,42.3,0.194,0.457,25.0,26.9,0.043
12.0,12.0,2023-12-29,@,Stetson,REG (Non-Conf),L,75.0,79.0,,29.0,61.0,0.475,6.0,20.0,0.3,23.0,41.0,0.561,0.525,11.0,14.0,0.786,9.0,21.0,30.0,13.0,7.0,1.0,9.0,11.0,29.0,57.0,0.509,10.0,27.0,0.37,19.0,30.0,0.633,0.596,11.0,11.0,1.0,6.0,23.0,29.0,13.0,6.0,2.0,10.0,13.0,112.0,118.0,66.9,0.23,0.328,0.554,50.8,44.8,10.5,3.3,0.525,11.7,28.1,0.18,0.596,13.8,22.2,0.193
13.0,13.0,2024-01-02,@,SMU,REG (Conf),L,54.0,66.0,,18.0,53.0,0.34,6.0,20.0,0.3,12.0,33.0,0.364,0.396,12.0,19.0,0.632,8.0,22.0,30.0,12.0,5.0,3.0,11.0,13.0,27.0,62.0,0.435,2.0,14.0,0.143,25.0,48.0,0.521,0.452,10.0,14.0,0.714,13.0,27.0,40.0,14.0,6.0,7.0,7.0,18.0,84.6,103.4,63.8,0.358,0.377,0.435,42.9,66.7,7.8,6.3,0.396,15.1,22.9,0.226,0.452,9.3,37.1,0.161
14.0,14.0,2024-01-06,,Florida Atlantic,REG (Conf),W,70.0,68.0,,26.0,58.0,0.448,6.0,23.0,0.261,20.0,35.0,0.571,0.5,12.0,13.0,0.923,11.0,19.0,30.0,12.0,5.0,4.0,9.0,19.0,23.0,53.0,0.434,5.0,19.0,0.263,18.0,34.0,0.529,0.481,17.0,20.0,0.85,7.0,18.0,25.0,5.0,6.0,0.0,9.0,15.0,110.5,107.4,63.3,0.224,0.397,0.545,54.5,46.2,7.9,11.8,0.5,12.3,37.9,0.207,0.481,12.6,26.9,0.321
15.0,15.0,2024-01-10,,Tulsa,REG (Conf),W,84.0,76.0,,27.0,60.0,0.45,9.0,27.0,0.333,18.0,33.0,0.545,0.525,21.0,26.0,0.808,10.0,24.0,34.0,14.0,1.0,3.0,8.0,21.0,24.0,59.0,0.407,9.0,25.0,0.36,15.0,34.0,0.441,0.483,19.0,26.0,0.731,8.0,22.0,30.0,11.0,6.0,0.0,8.0,22.0,118.6,107.3,70.9,0.433,0.45,0.581,53.1,51.9,1.4,8.8,0.525,10.0,31.3,0.35,0.483,10.1,25.0,0.322
16.0,16.0,2024-01-13,@,UTSA,REG (Conf),W,66.0,58.0,,24.0,51.0,0.471,4.0,17.0,0.235,20.0,34.0,0.588,0.51,14.0,22.0,0.636,3.0,21.0,24.0,12.0,11.0,5.0,7.0,16.0,21.0,60.0,0.35,5.0,25.0,0.2,16.0,35.0,0.457,0.392,11.0,16.0,0.688,14.0,28.0,42.0,7.0,4.0,2.0,17.0,18.0,97.0,85.3,68.0,0.431,0.333,0.537,36.4,50.0,16.2,14.3,0.51,10.2,9.7,0.275,0.392,20.1,40.0,0.183
17.0,17.0,2024-01-16,@,Rice,REG (Conf),W,81.0,79.0,OT,29.0,63.0,0.46,10.0,22.0,0.455,19.0,41.0,0.463,0.54,13.0,20.0,0.65,17.0,14.0,31.0,17.0,11.0,5.0,10.0,17.0,29.0,55.0,0.527,10.0,22.0,0.455,19.0,33.0,0.576,0.618,11.0,17.0,0.647,10.0,20.0,30.0,18.0,6.0,4.0,12.0,18.0,124.1,121.0,58.0,0.317,0.349,0.559,50.8,58.6,16.8,15.2,0.54,12.1,45.9,0.206,0.618,16.0,41.7,0.2
18.0,18.0,2024-01-20,,North Texas,REG (Conf),W,56.0,44.0,,20.0,47.0,0.426,6.0,16.0,0.375,14.0,31.0,0.452,0.489,10.0,13.0,0.769,7.0,25.0,32.0,11.0,4.0,4.0,10.0,12.0,17.0,53.0,0.321,1.0,17.0,0.059,16.0,36.0,0.444,0.33,9.0,11.0,0.818,11.0,19.0,30.0,4.0,6.0,2.0,6.0,11.0,102.4,80.4,54.7,0.277,0.34,0.527,51.6,55.0,7.3,11.1,0.489,15.8,26.9,0.213,0.33,9.3,30.6,0.17
19.0,19.0,2024-01-23,,UAB,REG (Conf),W,76.0,70.0,,25.0,48.0,0.521,6.0,17.0,0.353,19.0,31.0,0.613,0.583,20.0,28.0,0.714,7.0,13.0,20.0,16.0,7.0,2.0,7.0,15.0,25.0,47.0,0.532,5.0,13.0,0.385,20.0,34.0,0.588,0.585,15.0,22.0,0.682,6.0,17.0,23.0,12.0,5.0,4.0,12.0,18.0,121.8,112.2,62.4,0.583,0.354,0.62,46.5,64.0,11.2,5.9,0.583,10.2,29.2,0.417,0.585,17.3,31.6,0.319
20.0,20.0,2024-01-27,@,Tulane,REG (Conf),W,75.0,71.0,,23.0,54.0,0.426,6.0,23.0,0.261,17.0,31.0,0.548,0.481,23.0,28.0,0.821,9.0,30.0,39.0,11.0,1.0,6.0,7.0,17.0,28.0,68.0,0.412,6.0,23.0,0.261,22.0,45.0,0.489,0.456,9.0,14.0,0.643,8.0,22.0,30.0,13.0,5.0,4.0,3.0,20.0,111.2,105.2,67.5,0.519,0.426,0.557,56.5,47.8,1.5,13.3,0.481,9.4,29.0,0.426,0.456,3.9,21.1,0.132
21.0,21.0,2024-02-03,,East Carolina,REG (Conf),W,67.0,52.0,,24.0,53.0,0.453,4.0,17.0,0.235,20.0,36.0,0.556,0.491,15.0,18.0,0.833,11.0,29.0,40.0,14.0,5.0,5.0,11.0,13.0,17.0,52.0,0.327,4.0,21.0,0.19,13.0,31.0,0.419,0.365,14.0,18.0,0.778,6.0,16.0,22.0,6.0,7.0,2.0,8.0,15.0,108.0,83.8,62.1,0.34,0.321,0.544,64.5,58.3,8.1,16.1,0.491,15.2,40.7,0.283,0.365,11.7,17.1,0.269
22.0,22.0,2024-02-06,@,South Florida,REG (Conf),L,69.0,72.0,,23.0,50.0,0.46,6.0,19.0,0.316,17.0,31.0,0.548,0.52,17.0,21.0,0.81,5.0,24.0,29.0,12.0,1.0,4.0,11.0,21.0,24.0,59.0,0.407,7.0,21.0,0.333,17.0,38.0,0.447,0.466,17.0,24.0,0.708,11.0,18.0,29.0,14.0,5.0,4.0,5.0,18.0,105.8,110.5,65.2,0.42,0.38,0.575,50.0,52.2,1.5,10.5,0.52,15.5,21.7,0.34,0.466,6.6,31.4,0.288
23.0,23.0,2024-02-11,@,Temple,REG (Conf),W,73.0,70.0,,22.0,45.0,0.489,8.0,19.0,0.421,14.0,26.0,0.538,0.578,21.0,29.0,0.724,5.0,25.0,30.0,14.0,1.0,4.0,12.0,10.0,27.0,60.0,0.45,7.0,21.0,0.333,20.0,39.0,0.513,0.508,9.0,12.0,0.75,6.0,20.0,26.0,15.0,7.0,1.0,4.0,20.0,112.8,108.1,64.7,0.644,0.422,0.621,53.6,63.6,1.5,10.3,0.578,17.0,20.0,0.467,0.508,5.7,19.4,0.15
24.0,24.0,2024-02-15,,UTSA,REG (Conf),W,79.0,70.0,,26.0,54.0,0.481,6.0,21.0,0.286,20.0,33.0,0.606,0.537,21.0,28.0,0.75,4.0,26.0,30.0,11.0,4.0,3.0,8.0,16.0,24.0,67.0,0.358,10.0,33.0,0.303,14.0,34.0,0.412,0.433,12.0,20.0,0.6,14.0,24.0,38.0,11.0,6.0,3.0,8.0,21.0,111.4,98.7,70.9,0.519,0.389,0.587,44.1,42.3,5.6,8.8,0.537,10.6,14.3,0.389,0.433,9.5,35.0,0.179
25.0,25.0,2024-02-18,,Wichita State,REG (Conf),W,72.0,61.0,,25.0,52.0,0.481,5.0,13.0,0.385,20.0,39.0,0.513,0.529,17.0,23.0,0.739,4.0,25.0,29.0,9.0,7.0,5.0,5.0,12.0,25.0,58.0,0.431,4.0,14.0,0.286,21.0,44.0,0.477,0.466,7.0,16.0,0.438,10.0,22.0,32.0,7.0,3.0,2.0,9.0,14.0,112.0,94.9,64.3,0.442,0.25,0.572,47.5,36.0,10.9,11.4,0.529,7.4,15.4,0.327,0.466,12.1,28.6,0.121
26.0,26.0,2024-02-21,@,Memphis,REG (Conf),L,52.0,76.0,,20.0,46.0,0.435,6.0,21.0,0.286,14.0,25.0,0.56,0.5,6.0,11.0,0.545,4.0,15.0,19.0,12.0,4.0,0.0,11.0,20.0,26.0,52.0,0.5,8.0,23.0,0.348,18.0,29.0,0.621,0.577,16.0,25.0,0.64,13.0,24.0,37.0,13.0,8.0,3.0,14.0,19.0,84.5,123.5,61.6,0.239,0.457,0.508,33.9,60.0,6.5,0.0,0.5,17.7,14.3,0.13,0.577,18.0,46.4,0.308
27.0,27.0,2024-02-24,@,Tulsa,REG (Conf),L,67.0,69.0,,25.0,49.0,0.51,9.0,21.0,0.429,16.0,28.0,0.571,0.602,8.0,12.0,0.667,4.0,20.0,24.0,18.0,4.0,2.0,9.0,12.0,27.0,53.0,0.509,7.0,19.0,0.368,20.0,34.0,0.588,0.575,8.0,12.0,0.667,6.0,19.0,25.0,12.0,7.0,2.0,8.0,13.0,111.3,114.6,60.2,0.245,0.429,0.612,49.0,72.0,6.6,5.9,0.602,14.1,17.4,0.163,0.575,12.0,23.1,0.151
28.0,28.0,2024-03-02,,South Florida,REG (Conf),L,61.0,76.0,,21.0,52.0,0.404,5.0,18.0,0.278,16.0,34.0,0.471,0.452,14.0,20.0,0.7,6.0,18.0,24.0,9.0,2.0,2.0,10.0,18.0,27.0,56.0,0.482,8.0,20.0,0.4,19.0,36.0,0.528,0.554,14.0,21.0,0.667,12.0,26.0,38.0,14.0,9.0,2.0,6.0,18.0,97.2,121.1,62.7,0.385,0.346,0.496,38.7,42.9,3.2,5.6,0.452,14.0,18.8,0.269,0.554,8.3,40.0,0.25
29.0,29.0,2024-03-06,,Rice,REG (Conf),W,69.0,64.0,,22.0,61.0,0.361,6.0,27.0,0.222,16.0,34.0,0.471,0.41,19.0,23.0,0.826,13.0,25.0,38.0,11.0,3.0,2.0,7.0,16.0,25.0,50.0,0.5,4.0,14.0,0.286,21.0,36.0,0.583,0.54,10.0,17.0,0.588,2.0,29.0,31.0,12.0,4.0,6.0,9.0,15.0,105.3,97.7,65.5,0.377,0.443,0.48,55.1,50.0,4.6,5.6,0.41,8.9,31.0,0.311,0.54,13.4,7.4,0.2
30.0,30.0,2024-03-09,@,East Carolina,REG (Conf),W,82.0,72.0,,27.0,49.0,0.551,11.0,21.0,0.524,16.0,28.0,0.571,0.663,17.0,21.0,0.81,5.0,13.0,18.0,17.0,11.0,0.0,10.0,12.0,24.0,45.0,0.533,8.0,18.0,0.444,16.0,27.0,0.593,0.622,16.0,17.0,0.941,2.0,16.0,18.0,15.0,8.0,2.0,14.0,16.0,127.1,111.6,64.5,0.429,0.429,0.695,50.0,63.0,17.0,0.0,0.663,14.5,23.8,0.347,0.622,20.9,13.3,0.356
31.0,31.0,2024-03-15,N,Temple,CTOURN,L,54.0,58.0,,18.0,55.0,0.327,5.0,30.0,0.167,13.0,25.0,0.52,0.373,13.0,16.0,0.813,9.0,28.0,37.0,7.0,4.0,5.0,11.0,18.0,20.0,56.0,0.357,5.0,21.0,0.238,15.0,35.0,0.429,0.402,13.0,25.0,0.52,12.0,27.0,39.0,6.0,6.0,3.0,6.0,14.0,85.4,91.7,63.2,0.291,0.545,0.431,48.7,38.9,6.3,14.3,0.373,14.9,25.0,0.236,0.402,8.1,30.0,0.232
1.0,1.0,2024-11-04,,Presbyterian,REG (Non-Conf),W,88.0,79.0,,31.0,54.0,0.574,11.0,22.0,0.5,20.0,32.0,0.625,0.676,15.0,19.0,0.789,3.0,13.0,16.0,20.0,6.0,0.0,4.0,9.0,32.0,57.0,0.561,9.0,21.0,0.429,23.0,36.0,0.639,0.64,6.0,10.0,0.6,9.0,19.0,28.0,18.0,3.0,4.0,9.0,16.0,139.9,125.6,62.9,0.352,0.407,0.698,36.4,64.5,9.5,0.0,0.676,6.0,13.6,0.278,0.64,12.7,40.9,0.105
2.0,2.0,2024-11-09,@,Utah State,REG (Non-Conf),L,74.0,103.0,,25.0,52.0,0.481,8.0,22.0,0.364,17.0,30.0,0.567,0.558,16.0,22.0,0.727,8.0,14.0,22.0,12.0,2.0,0.0,17.0,23.0,38.0,66.0,0.576,7.0,22.0,0.318,31.0,44.0,0.705,0.629,20.0,27.0,0.741,15.0,20.0,35.0,24.0,12.0,3.0,7.0,21.0,104.0,144.8,71.1,0.423,0.423,0.592,38.6,48.0,2.8,0.0,0.558,21.4,28.6,0.308,0.629,8.2,51.7,0.303
3.0,3.0,2024-11-13,,Richmond,REG (Non-Conf),W,65.0,48.0,,18.0,51.0,0.353,5.0,24.0,0.208,13.0,27.0,0.481,0.402,24.0,30.0,0.8,7.0,29.0,36.0,12.0,8.0,1.0,7.0,13.0,20.0,50.0,0.4,3.0,21.0,0.143,17.0,29.0,0.586,0.43,5.0,13.0,0.385,1.0,28.0,29.0,10.0,5.0,3.0,10.0,22.0,99.7,73.6,65.2,0.588,0.471,0.498,55.4,66.7,12.3,3.4,0.402,9.7,20.0,0.471,0.43,15.1,3.3,0.1
4.0,4.0,2024-11-19,,Gardner-Webb,REG (Non-Conf),W,60.0,54.0,,21.0,57.0,0.368,6.0,20.0,0.3,15.0,37.0,0.405,0.421,12.0,20.0,0.6,10.0,22.0,32.0,15.0,6.0,4.0,8.0,14.0,19.0,51.0,0.373,3.0,13.0,0.231,16.0,38.0,0.421,0.402,13.0,18.0,0.722,6.0,26.0,32.0,8.0,4.0,6.0,13.0,20.0,91.6,82.4,65.5,0.351,0.351,0.451,50.0,71.4,9.2,10.5,0.421,10.7,27.8,0.211,0.402,17.9,21.4,0.255
5.0,5.0,2024-11-23,,LIU,REG (Non-Conf),L,76.0,79.0,,18.0,53.0,0.34,3.0,16.0,0.188,15.0,37.0,0.405,0.368,37.0,53.0,0.698,14.0,21.0,35.0,10.0,4.0,2.0,5.0,22.0,26.0,53.0,0.491,7.0,19.0,0.368,19.0,34.0,0.559,0.557,20.0,31.0,0.645,7.0,23.0,30.0,10.0,4.0,5.0,8.0,30.0,110.2,114.6,69.0,1.0,0.302,0.486,53.8,55.6,5.8,5.9,0.368,6.0,37.8,0.698,0.557,10.6,25.0,0.377
6.0,6.0,2024-11-27,,East Tennessee State,REG (Non-Conf),L,55.0,75.0,,21.0,53.0,0.396,4.0,17.0,0.235,17.0,36.0,0.472,0.434,9.0,18.0,0.5,5.0,23.0,28.0,16.0,3.0,5.0,11.0,14.0,27.0,64.0,0.422,9.0,24.0,0.375,18.0,40.0,0.45,0.492,12.0,18.0,0.667,10.0,27.0,37.0,13.0,5.0,2.0,8.0,18.0,79.7,108.6,69.1,0.34,0.321,0.447,43.1,76.2,4.3,12.5,0.434,15.2,15.6,0.17,0.492,9.9,30.3,0.188
7.0,7.0,2024-12-04,,Livingstone,REG (Non-Conf),W,83.0,61.0,,29.0,65.0,0.446,10.0,32.0,0.313,19.0,33.0,0.576,0.523,15.0,23.0,0.652,14.0,28.0,42.0,23.0,4.0,1.0,6.0,19.0,22.0,57.0,0.386,5.0,19.0,0.263,17.0,38.0,0.447,0.43,12.0,23.0,0.522,4.0,27.0,31.0,7.0,4.0,4.0,6.0,21.0,120.4,88.5,68.9,0.354,0.492,0.547,57.5,79.3,5.8,2.6,0.523,7.3,34.1,0.231,0.43,8.1,12.5,0.211
8.0,8.0,2024-12-10,@,Davidson,REG (Non-Conf),L,71.0,75.0,,25.0,54.0,0.463,7.0,23.0,0.304,18.0,31.0,0.581,0.528,14.0,19.0,0.737,11.0,19.0,30.0,10.0,4.0,3.0,5.0,15.0,27.0,55.0,0.491,10.0,29.0,0.345,17.0,26.0,0.654,0.582,11.0,19.0,0.579,11.0,18.0,29.0,17.0,4.0,4.0,6.0,14.0,122.4,129.3,58.0,0.352,0.426,0.563,50.8,40.0,6.9,11.5,0.528,7.4,37.9,0.259,0.582,8.6,36.7,0.2
