Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Covenant,REG (Non-Conf),W,89.0,44.0,,32.0,59.0,0.542,8.0,28.0,0.286,24.0,31.0,0.774,0.61,17.0,25.0,0.68,15.0,34.0,49.0,18.0,8.0,10.0,17.0,15.0,16.0,62.0,0.258,5.0,31.0,0.161,11.0,31.0,0.355,0.298,7.0,13.0,0.538,12.0,11.0,23.0,8.0,13.0,0.0,14.0,21.0,124.4,61.5,71.5,0.424,0.475,0.628,68.1,56.3,11.2,32.3,0.61,19.3,57.7,0.288,0.298,17.0,26.1,0.113
2.0,2.0,2023-11-10,@,Louisville,REG (Non-Conf),W,81.0,71.0,,27.0,61.0,0.443,14.0,34.0,0.412,13.0,27.0,0.481,0.557,13.0,19.0,0.684,12.0,29.0,41.0,14.0,5.0,4.0,14.0,19.0,26.0,68.0,0.382,6.0,18.0,0.333,20.0,50.0,0.4,0.426,13.0,20.0,0.65,16.0,24.0,40.0,11.0,7.0,2.0,15.0,21.0,109.1,95.6,74.3,0.311,0.557,0.578,50.6,51.9,6.7,8.0,0.557,16.7,33.3,0.213,0.426,16.2,35.6,0.191
3.0,3.0,2023-11-14,,Bellarmine,REG (Non-Conf),W,72.0,64.0,,26.0,55.0,0.473,6.0,28.0,0.214,20.0,27.0,0.741,0.527,14.0,15.0,0.933,7.0,31.0,38.0,11.0,3.0,0.0,12.0,12.0,25.0,60.0,0.417,8.0,26.0,0.308,17.0,34.0,0.5,0.483,6.0,8.0,0.75,1.0,19.0,20.0,10.0,9.0,0.0,5.0,18.0,106.7,94.9,67.5,0.273,0.509,0.579,65.5,42.3,4.4,0.0,0.527,16.2,26.9,0.255,0.483,7.3,3.1,0.1
4.0,4.0,2023-11-19,,Tennessee Tech,REG (Non-Conf),W,68.0,63.0,,21.0,50.0,0.42,8.0,30.0,0.267,13.0,20.0,0.65,0.5,18.0,24.0,0.75,9.0,27.0,36.0,10.0,4.0,4.0,11.0,11.0,25.0,58.0,0.431,7.0,22.0,0.318,18.0,36.0,0.5,0.491,6.0,11.0,0.545,5.0,21.0,26.0,5.0,2.0,1.0,7.0,20.0,105.7,98.0,64.3,0.48,0.6,0.554,58.1,47.6,6.2,11.1,0.5,15.2,30.0,0.36,0.491,10.0,15.6,0.103
5.0,5.0,2023-11-24,,Evansville,REG (Non-Conf),L,77.0,85.0,OT,28.0,69.0,0.406,14.0,41.0,0.341,14.0,28.0,0.5,0.507,7.0,11.0,0.636,8.0,27.0,35.0,12.0,10.0,3.0,14.0,18.0,29.0,68.0,0.426,12.0,33.0,0.364,17.0,35.0,0.486,0.515,15.0,18.0,0.833,10.0,28.0,38.0,16.0,5.0,3.0,12.0,11.0,97.0,107.1,70.6,0.159,0.594,0.519,47.9,42.9,12.6,8.6,0.507,15.9,22.2,0.101,0.515,13.6,27.0,0.221
6.0,6.0,2023-11-26,,Southeast Missouri State,REG (Non-Conf),W,72.0,56.0,,23.0,44.0,0.523,6.0,16.0,0.375,17.0,28.0,0.607,0.591,20.0,30.0,0.667,7.0,33.0,40.0,12.0,4.0,4.0,15.0,20.0,19.0,58.0,0.328,7.0,24.0,0.292,12.0,34.0,0.353,0.388,11.0,19.0,0.579,10.0,18.0,28.0,7.0,6.0,2.0,12.0,22.0,106.4,82.8,67.6,0.682,0.364,0.618,58.8,52.2,5.9,11.8,0.591,20.5,28.0,0.455,0.388,15.2,23.3,0.19
7.0,7.0,2023-11-29,@,Lipscomb,REG (Non-Conf),L,68.0,82.0,,22.0,63.0,0.349,12.0,35.0,0.343,10.0,28.0,0.357,0.444,12.0,16.0,0.75,9.0,22.0,31.0,13.0,5.0,7.0,8.0,19.0,30.0,61.0,0.492,9.0,22.0,0.409,21.0,39.0,0.538,0.566,13.0,17.0,0.765,9.0,31.0,40.0,12.0,5.0,2.0,10.0,13.0,97.4,117.4,69.8,0.254,0.556,0.482,43.7,59.1,7.2,17.9,0.444,10.2,22.5,0.19,0.566,12.6,29.0,0.213
8.0,8.0,2023-12-03,@,Morehead State,REG (Non-Conf),L,80.0,87.0,,27.0,59.0,0.458,11.0,32.0,0.344,16.0,27.0,0.593,0.551,15.0,16.0,0.938,5.0,18.0,23.0,14.0,4.0,0.0,10.0,19.0,34.0,59.0,0.576,10.0,23.0,0.435,24.0,36.0,0.667,0.661,9.0,16.0,0.563,9.0,22.0,31.0,22.0,4.0,6.0,8.0,17.0,116.6,126.8,68.6,0.271,0.542,0.601,42.6,51.9,5.8,0.0,0.551,13.1,18.5,0.254,0.661,10.7,33.3,0.153
9.0,9.0,2023-12-10,,Tennessee Wesleyan,REG (Non-Conf),W,112.0,51.0,,39.0,63.0,0.619,18.0,38.0,0.474,21.0,25.0,0.84,0.762,16.0,22.0,0.727,8.0,33.0,41.0,22.0,8.0,4.0,10.0,11.0,20.0,61.0,0.328,5.0,25.0,0.2,15.0,36.0,0.417,0.369,6.0,10.0,0.6,4.0,14.0,18.0,8.0,5.0,1.0,13.0,13.0,149.1,67.9,75.1,0.349,0.603,0.762,69.5,56.4,10.7,11.1,0.762,12.0,36.4,0.254,0.369,16.5,10.8,0.098
10.0,10.0,2023-12-16,@,Alabama A&M,REG (Non-Conf),W,88.0,72.0,,29.0,54.0,0.537,10.0,26.0,0.385,19.0,28.0,0.679,0.63,20.0,28.0,0.714,7.0,27.0,34.0,16.0,9.0,1.0,12.0,21.0,28.0,58.0,0.483,4.0,19.0,0.211,24.0,39.0,0.615,0.517,12.0,21.0,0.571,9.0,18.0,27.0,13.0,5.0,4.0,14.0,21.0,121.1,99.1,72.6,0.519,0.481,0.654,55.7,55.2,12.4,2.6,0.63,15.1,28.0,0.37,0.517,17.1,25.0,0.207
11.0,11.0,2023-12-19,,Gardner-Webb,REG (Non-Conf),W,69.0,66.0,,22.0,57.0,0.386,11.0,29.0,0.379,11.0,28.0,0.393,0.482,14.0,18.0,0.778,7.0,28.0,35.0,16.0,9.0,5.0,9.0,15.0,26.0,63.0,0.413,12.0,29.0,0.414,14.0,34.0,0.412,0.508,2.0,9.0,0.222,9.0,28.0,37.0,14.0,6.0,5.0,9.0,19.0,102.4,97.9,67.4,0.316,0.509,0.526,48.6,72.7,13.4,14.7,0.482,12.1,20.0,0.246,0.508,11.8,24.3,0.032
12.0,12.0,2023-12-22,@,Milwaukee,REG (Non-Conf),L,83.0,85.0,OT,31.0,75.0,0.413,11.0,36.0,0.306,20.0,39.0,0.513,0.487,10.0,13.0,0.769,10.0,31.0,41.0,16.0,7.0,7.0,6.0,25.0,24.0,67.0,0.358,11.0,34.0,0.324,13.0,33.0,0.394,0.44,26.0,37.0,0.703,14.0,30.0,44.0,14.0,3.0,6.0,11.0,13.0,104.6,107.1,70.6,0.173,0.48,0.511,48.2,51.6,8.8,21.2,0.487,6.9,25.0,0.133,0.44,11.5,31.1,0.388
13.0,13.0,2023-12-30,@,Auburn,REG (Non-Conf),L,66.0,101.0,,22.0,61.0,0.361,11.0,33.0,0.333,11.0,28.0,0.393,0.451,11.0,16.0,0.688,5.0,15.0,20.0,16.0,5.0,3.0,9.0,18.0,37.0,66.0,0.561,11.0,25.0,0.44,26.0,41.0,0.634,0.644,16.0,21.0,0.762,14.0,30.0,44.0,23.0,7.0,8.0,9.0,14.0,91.9,140.7,71.8,0.262,0.541,0.481,31.3,72.7,7.0,7.3,0.451,11.6,14.3,0.18,0.644,10.6,48.3,0.242
14.0,14.0,2024-01-03,@,Samford,REG (Conf),L,74.0,89.0,,25.0,56.0,0.446,11.0,31.0,0.355,14.0,25.0,0.56,0.545,13.0,17.0,0.765,10.0,23.0,33.0,12.0,5.0,1.0,18.0,14.0,29.0,58.0,0.5,17.0,34.0,0.5,12.0,24.0,0.5,0.647,14.0,18.0,0.778,3.0,20.0,23.0,20.0,12.0,2.0,10.0,17.0,101.6,122.2,72.8,0.304,0.554,0.577,58.9,48.0,6.9,4.2,0.545,21.9,33.3,0.232,0.647,13.1,11.5,0.241
15.0,15.0,2024-01-06,,Furman,REG (Conf),W,73.0,58.0,,29.0,60.0,0.483,7.0,24.0,0.292,22.0,36.0,0.611,0.542,8.0,11.0,0.727,5.0,33.0,38.0,17.0,5.0,5.0,16.0,18.0,19.0,69.0,0.275,4.0,33.0,0.121,15.0,36.0,0.417,0.304,16.0,21.0,0.762,12.0,24.0,36.0,6.0,11.0,1.0,9.0,13.0,95.9,76.2,76.1,0.183,0.4,0.56,51.4,58.6,6.6,13.9,0.542,19.7,17.2,0.133,0.304,10.2,26.7,0.232
16.0,16.0,2024-01-11,,VMI,REG (Conf),W,109.0,61.0,,42.0,72.0,0.583,17.0,36.0,0.472,25.0,36.0,0.694,0.701,8.0,17.0,0.471,10.0,31.0,41.0,22.0,13.0,5.0,5.0,20.0,20.0,61.0,0.328,7.0,28.0,0.25,13.0,33.0,0.394,0.385,14.0,25.0,0.56,13.0,24.0,37.0,8.0,3.0,1.0,16.0,17.0,144.4,80.8,75.5,0.236,0.5,0.681,52.6,52.4,17.2,15.2,0.701,5.9,29.4,0.111,0.385,18.0,29.5,0.23
17.0,17.0,2024-01-13,,UNC Greensboro,REG (Conf),L,54.0,70.0,,17.0,55.0,0.309,7.0,34.0,0.206,10.0,21.0,0.476,0.373,13.0,15.0,0.867,10.0,20.0,30.0,5.0,7.0,5.0,11.0,11.0,26.0,53.0,0.491,14.0,26.0,0.538,12.0,27.0,0.444,0.623,4.0,6.0,0.667,3.0,24.0,27.0,18.0,8.0,4.0,12.0,15.0,84.4,109.4,64.0,0.273,0.618,0.435,52.6,29.4,10.9,18.5,0.373,15.0,29.4,0.236,0.623,17.7,13.0,0.075
18.0,18.0,2024-01-17,@,Mercer,REG (Conf),W,74.0,60.0,,26.0,55.0,0.473,5.0,20.0,0.25,21.0,35.0,0.6,0.518,17.0,21.0,0.81,9.0,25.0,34.0,6.0,7.0,7.0,8.0,12.0,22.0,65.0,0.338,4.0,22.0,0.182,18.0,43.0,0.419,0.369,12.0,17.0,0.706,14.0,23.0,37.0,9.0,6.0,1.0,9.0,16.0,112.1,90.9,66.0,0.382,0.364,0.569,47.9,23.1,10.6,16.3,0.518,11.0,28.1,0.309,0.369,11.0,35.9,0.185
