Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Bowling Green,REG (Non-Conf),L,41.0,70.0,,14.0,56.0,0.25,4.0,16.0,0.25,10.0,40.0,0.25,0.286,9.0,15.0,0.6,7.0,22.0,29.0,6.0,8.0,1.0,15.0,19.0,26.0,59.0,0.441,7.0,28.0,0.25,19.0,31.0,0.613,0.5,11.0,20.0,0.55,9.0,35.0,44.0,13.0,4.0,6.0,13.0,17.0,57.1,97.5,71.8,0.268,0.286,0.325,39.7,42.9,11.1,3.2,0.286,19.2,16.7,0.161,0.5,16.0,29.0,0.186
2.0,2.0,2023-11-09,,Mercer,REG (Non-Conf),L,61.0,66.0,,18.0,48.0,0.375,5.0,23.0,0.217,13.0,25.0,0.52,0.427,20.0,30.0,0.667,10.0,23.0,33.0,8.0,6.0,3.0,16.0,19.0,22.0,48.0,0.458,6.0,20.0,0.3,16.0,28.0,0.571,0.521,16.0,24.0,0.667,6.0,25.0,31.0,11.0,9.0,3.0,11.0,25.0,92.0,99.5,66.3,0.625,0.479,0.49,51.6,44.4,9.0,10.7,0.427,20.4,28.6,0.417,0.521,15.6,20.7,0.333
3.0,3.0,2023-11-12,@,Southern Indiana,REG (Non-Conf),W,78.0,67.0,,27.0,64.0,0.422,7.0,21.0,0.333,20.0,43.0,0.465,0.477,17.0,22.0,0.773,10.0,19.0,29.0,15.0,12.0,3.0,10.0,18.0,24.0,57.0,0.421,4.0,18.0,0.222,20.0,39.0,0.513,0.456,15.0,22.0,0.682,13.0,26.0,39.0,12.0,7.0,1.0,20.0,19.0,104.8,90.0,74.5,0.344,0.328,0.524,42.6,55.6,16.1,7.7,0.477,11.8,27.8,0.266,0.456,22.9,40.6,0.263
4.0,4.0,2023-11-14,,Cal State Northridge,REG (Non-Conf),L,64.0,74.0,,23.0,63.0,0.365,5.0,26.0,0.192,18.0,37.0,0.486,0.405,13.0,20.0,0.65,9.0,19.0,28.0,8.0,5.0,3.0,6.0,18.0,30.0,55.0,0.545,2.0,10.0,0.2,28.0,45.0,0.622,0.564,12.0,20.0,0.6,9.0,31.0,40.0,15.0,3.0,3.0,12.0,20.0,93.4,108.0,68.5,0.317,0.413,0.441,41.2,34.8,7.3,6.7,0.405,7.6,22.5,0.206,0.564,15.7,32.1,0.218
5.0,5.0,2023-11-16,@,Southern Illinois,REG (Non-Conf),L,55.0,71.0,,20.0,48.0,0.417,2.0,9.0,0.222,18.0,39.0,0.462,0.438,13.0,17.0,0.765,8.0,16.0,24.0,3.0,11.0,2.0,13.0,23.0,22.0,50.0,0.44,7.0,23.0,0.304,15.0,27.0,0.556,0.51,20.0,26.0,0.769,11.0,21.0,32.0,13.0,9.0,4.0,14.0,17.0,87.0,112.3,63.2,0.354,0.188,0.49,42.9,15.0,17.4,7.4,0.438,18.8,27.6,0.271,0.51,18.3,40.7,0.4
6.0,6.0,2023-11-21,N,Northern Colorado,REG (Non-Conf),L,77.0,78.0,OT,29.0,57.0,0.509,7.0,18.0,0.389,22.0,39.0,0.564,0.57,12.0,19.0,0.632,8.0,20.0,28.0,8.0,12.0,5.0,16.0,15.0,31.0,66.0,0.47,8.0,27.0,0.296,23.0,39.0,0.59,0.53,8.0,10.0,0.8,14.0,19.0,33.0,10.0,6.0,5.0,20.0,18.0,102.1,103.5,67.0,0.333,0.316,0.583,45.9,27.6,15.9,12.8,0.57,19.5,29.6,0.211,0.53,22.0,41.2,0.121
7.0,7.0,2023-11-22,N,Morgan State,REG (Non-Conf),W,84.0,83.0,,27.0,53.0,0.509,3.0,13.0,0.231,24.0,40.0,0.6,0.538,27.0,39.0,0.692,7.0,21.0,28.0,10.0,13.0,1.0,18.0,11.0,35.0,65.0,0.538,6.0,17.0,0.353,29.0,48.0,0.604,0.585,7.0,13.0,0.538,10.0,19.0,29.0,11.0,9.0,1.0,19.0,25.0,103.3,102.0,81.4,0.736,0.245,0.587,49.1,37.0,16.0,2.1,0.538,20.1,26.9,0.509,0.585,21.1,32.3,0.108
8.0,8.0,2023-11-25,,UT Martin,REG (Non-Conf),L,71.0,94.0,,26.0,69.0,0.377,11.0,38.0,0.289,15.0,31.0,0.484,0.457,8.0,15.0,0.533,8.0,18.0,26.0,11.0,10.0,4.0,10.0,23.0,31.0,58.0,0.534,11.0,22.0,0.5,20.0,36.0,0.556,0.629,21.0,27.0,0.778,9.0,34.0,43.0,15.0,7.0,0.0,16.0,16.0,91.1,120.6,78.0,0.217,0.551,0.466,37.7,42.3,12.8,11.1,0.457,11.6,19.0,0.116,0.629,18.4,33.3,0.362
9.0,9.0,2023-11-28,@,Loyola Chicago,REG (Non-Conf),L,53.0,62.0,,17.0,52.0,0.327,5.0,13.0,0.385,12.0,39.0,0.308,0.375,14.0,16.0,0.875,8.0,16.0,24.0,8.0,8.0,2.0,14.0,21.0,19.0,43.0,0.442,7.0,23.0,0.304,12.0,20.0,0.6,0.523,17.0,24.0,0.708,7.0,20.0,27.0,15.0,7.0,5.0,12.0,16.0,84.8,99.2,62.5,0.308,0.25,0.445,47.1,47.1,12.8,10.0,0.375,19.0,28.6,0.269,0.523,18.1,30.4,0.395
10.0,10.0,2023-11-30,,Delaware State,REG (Non-Conf),L,69.0,76.0,,17.0,48.0,0.354,8.0,28.0,0.286,9.0,20.0,0.45,0.438,27.0,36.0,0.75,8.0,12.0,20.0,11.0,13.0,4.0,17.0,21.0,27.0,48.0,0.563,4.0,8.0,0.5,23.0,40.0,0.575,0.604,18.0,25.0,0.72,10.0,22.0,32.0,12.0,9.0,4.0,21.0,21.0,95.2,104.8,72.5,0.75,0.583,0.53,38.5,64.7,17.9,10.0,0.438,20.7,26.7,0.563,0.604,26.0,45.5,0.375
