Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Illinois–Chicago,REG (Non-Conf),W,69.0,58.0,,28.0,67.0,0.418,5.0,25.0,0.2,23.0,42.0,0.548,0.455,8.0,13.0,0.615,9.0,29.0,38.0,12.0,11.0,2.0,8.0,9.0,26.0,60.0,0.433,2.0,16.0,0.125,24.0,44.0,0.545,0.45,4.0,7.0,0.571,6.0,25.0,31.0,7.0,4.0,7.0,15.0,14.0,95.5,80.3,72.3,0.194,0.373,0.471,55.1,42.9,15.2,4.5,0.455,9.9,26.5,0.119,0.45,19.2,17.1,0.067
2.0,2.0,2023-11-10,,Detroit Mercy,REG (Non-Conf),W,93.0,61.0,,35.0,71.0,0.493,16.0,34.0,0.471,19.0,37.0,0.514,0.606,7.0,15.0,0.467,17.0,32.0,49.0,23.0,5.0,2.0,13.0,13.0,21.0,56.0,0.375,9.0,23.0,0.391,12.0,33.0,0.364,0.455,10.0,17.0,0.588,4.0,21.0,25.0,10.0,8.0,3.0,14.0,18.0,125.5,82.3,74.1,0.211,0.479,0.595,66.2,65.7,6.7,6.1,0.606,14.3,44.7,0.099,0.455,17.9,11.1,0.179
3.0,3.0,2023-11-12,,Eastern Washington,REG (Non-Conf),W,85.0,73.0,,28.0,60.0,0.467,8.0,21.0,0.381,20.0,39.0,0.513,0.533,21.0,31.0,0.677,7.0,29.0,36.0,14.0,6.0,2.0,7.0,19.0,26.0,58.0,0.448,5.0,23.0,0.217,21.0,35.0,0.6,0.491,16.0,23.0,0.696,2.0,25.0,27.0,16.0,4.0,2.0,10.0,24.0,112.1,96.3,75.8,0.517,0.35,0.569,57.1,50.0,7.9,5.7,0.533,8.6,21.9,0.35,0.491,12.7,6.5,0.276
4.0,4.0,2023-11-19,,Northern Kentucky,REG (Non-Conf),W,90.0,66.0,,35.0,70.0,0.5,10.0,27.0,0.37,25.0,43.0,0.581,0.571,10.0,13.0,0.769,17.0,23.0,40.0,21.0,6.0,4.0,6.0,10.0,26.0,64.0,0.406,4.0,20.0,0.2,22.0,44.0,0.5,0.438,10.0,13.0,0.769,9.0,17.0,26.0,10.0,4.0,1.0,8.0,13.0,134.0,98.3,67.2,0.186,0.386,0.591,60.6,60.0,8.9,9.1,0.571,7.3,50.0,0.143,0.438,10.2,28.1,0.156
5.0,5.0,2023-11-22,,Georgia Tech,REG (Non-Conf),W,89.0,54.0,,29.0,62.0,0.468,14.0,35.0,0.4,15.0,27.0,0.556,0.581,17.0,24.0,0.708,7.0,25.0,32.0,17.0,7.0,4.0,6.0,15.0,17.0,49.0,0.347,5.0,17.0,0.294,12.0,32.0,0.375,0.398,15.0,19.0,0.789,5.0,25.0,30.0,8.0,4.0,10.0,16.0,16.0,125.9,76.4,70.7,0.387,0.565,0.606,51.6,58.6,9.9,12.5,0.581,7.6,21.9,0.274,0.398,21.6,16.7,0.306
6.0,6.0,2023-11-28,@,Howard,REG (Non-Conf),W,86.0,81.0,OT,33.0,69.0,0.478,3.0,19.0,0.158,30.0,50.0,0.6,0.5,17.0,21.0,0.81,15.0,21.0,36.0,16.0,7.0,4.0,10.0,14.0,30.0,60.0,0.5,9.0,21.0,0.429,21.0,39.0,0.538,0.575,12.0,14.0,0.857,7.0,17.0,24.0,15.0,5.0,2.0,9.0,20.0,120.6,113.6,63.4,0.304,0.275,0.544,60.0,48.5,9.8,10.3,0.5,11.2,46.9,0.246,0.575,11.9,25.0,0.2
7.0,7.0,2023-12-03,,Florida Gulf Coast,REG (Non-Conf),W,99.0,62.0,,39.0,69.0,0.565,11.0,19.0,0.579,28.0,50.0,0.56,0.645,10.0,13.0,0.769,14.0,29.0,43.0,23.0,8.0,4.0,10.0,11.0,28.0,68.0,0.412,5.0,17.0,0.294,23.0,51.0,0.451,0.449,1.0,3.0,0.333,8.0,14.0,22.0,14.0,6.0,4.0,9.0,10.0,139.8,87.6,70.8,0.188,0.275,0.658,66.2,59.0,11.3,7.8,0.645,11.7,50.0,0.145,0.449,11.5,21.6,0.015
8.0,8.0,2023-12-09,@,Xavier,REG (Non-Conf),L,79.0,84.0,,32.0,74.0,0.432,5.0,23.0,0.217,27.0,51.0,0.529,0.466,10.0,16.0,0.625,13.0,25.0,38.0,15.0,4.0,7.0,11.0,21.0,27.0,65.0,0.415,8.0,17.0,0.471,19.0,48.0,0.396,0.477,22.0,26.0,0.846,9.0,28.0,37.0,20.0,7.0,3.0,8.0,19.0,101.3,107.7,78.0,0.216,0.311,0.484,50.7,46.9,5.1,14.6,0.466,11.9,31.7,0.135,0.477,9.4,26.5,0.338
9.0,9.0,2023-12-12,,Bryant,REG (Non-Conf),W,85.0,53.0,,25.0,62.0,0.403,6.0,17.0,0.353,19.0,45.0,0.422,0.452,29.0,37.0,0.784,14.0,42.0,56.0,15.0,5.0,10.0,15.0,17.0,21.0,66.0,0.318,7.0,27.0,0.259,14.0,39.0,0.359,0.371,4.0,9.0,0.444,5.0,27.0,32.0,12.0,8.0,7.0,12.0,22.0,107.7,67.2,78.9,0.597,0.274,0.534,63.6,60.0,6.3,25.6,0.452,15.9,34.1,0.468,0.371,14.6,10.6,0.061
10.0,10.0,2023-12-16,N,Dayton,REG (Non-Conf),L,68.0,82.0,,27.0,73.0,0.37,6.0,25.0,0.24,21.0,48.0,0.438,0.411,8.0,16.0,0.5,18.0,19.0,37.0,11.0,3.0,3.0,6.0,19.0,23.0,49.0,0.469,8.0,21.0,0.381,15.0,28.0,0.536,0.551,28.0,30.0,0.933,5.0,27.0,32.0,9.0,3.0,7.0,6.0,13.0,102.4,123.4,66.4,0.219,0.342,0.422,53.6,40.7,4.5,10.7,0.411,6.9,40.0,0.11,0.551,8.7,20.8,0.571
