Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Winthrop,REG (Non-Conf),W,78.0,56.0,,27.0,62.0,0.435,13.0,32.0,0.406,14.0,30.0,0.467,0.54,11.0,12.0,0.917,9.0,29.0,38.0,21.0,7.0,6.0,10.0,17.0,18.0,52.0,0.346,5.0,18.0,0.278,13.0,34.0,0.382,0.394,15.0,18.0,0.833,4.0,23.0,27.0,6.0,5.0,0.0,14.0,13.0,112.0,80.4,69.6,0.194,0.516,0.576,58.5,77.8,10.1,17.6,0.54,12.9,28.1,0.177,0.394,18.8,12.1,0.288
2.0,2.0,2023-11-10,N,UAB,REG (Non-Conf),W,77.0,76.0,,27.0,55.0,0.491,6.0,19.0,0.316,21.0,36.0,0.583,0.545,17.0,27.0,0.63,5.0,19.0,24.0,16.0,4.0,7.0,9.0,16.0,28.0,60.0,0.467,9.0,22.0,0.409,19.0,38.0,0.5,0.542,11.0,16.0,0.688,8.0,24.0,32.0,14.0,5.0,2.0,14.0,23.0,105.9,104.5,72.7,0.491,0.345,0.568,42.9,59.3,5.5,18.4,0.545,11.7,17.2,0.309,0.542,17.2,29.6,0.183
3.0,3.0,2023-11-12,N,Davidson,REG (Non-Conf),W,68.0,65.0,,26.0,57.0,0.456,12.0,31.0,0.387,14.0,26.0,0.538,0.561,4.0,8.0,0.5,7.0,22.0,29.0,17.0,3.0,6.0,9.0,16.0,22.0,56.0,0.393,9.0,25.0,0.36,13.0,31.0,0.419,0.473,12.0,17.0,0.706,9.0,24.0,33.0,12.0,5.0,2.0,9.0,15.0,107.2,102.5,63.4,0.14,0.544,0.559,46.8,65.4,4.7,19.4,0.561,12.9,22.6,0.07,0.473,12.3,29.0,0.214
4.0,4.0,2023-11-19,,Boise State,REG (Non-Conf),W,85.0,68.0,,31.0,61.0,0.508,8.0,15.0,0.533,23.0,46.0,0.5,0.574,15.0,16.0,0.938,10.0,27.0,37.0,15.0,3.0,6.0,12.0,18.0,22.0,56.0,0.393,7.0,23.0,0.304,15.0,33.0,0.455,0.455,17.0,22.0,0.773,5.0,18.0,23.0,9.0,9.0,1.0,10.0,18.0,119.7,95.7,71.0,0.262,0.246,0.62,61.7,48.4,4.2,18.2,0.574,14.9,35.7,0.246,0.455,13.1,15.6,0.304
5.0,5.0,2023-11-24,,Alcorn State,REG (Non-Conf),W,90.0,69.0,,34.0,70.0,0.486,11.0,29.0,0.379,23.0,41.0,0.561,0.564,11.0,18.0,0.611,10.0,28.0,38.0,26.0,5.0,2.0,6.0,15.0,26.0,52.0,0.5,5.0,14.0,0.357,21.0,38.0,0.553,0.548,12.0,21.0,0.571,2.0,26.0,28.0,8.0,4.0,3.0,7.0,16.0,127.2,97.5,70.8,0.257,0.414,0.573,57.6,76.5,7.1,5.3,0.564,7.1,27.8,0.157,0.548,10.1,6.7,0.231
6.0,6.0,2023-11-28,@,Alabama,REG (Non-Conf),W,85.0,77.0,,32.0,60.0,0.533,11.0,21.0,0.524,21.0,39.0,0.538,0.625,10.0,15.0,0.667,8.0,33.0,41.0,12.0,4.0,7.0,11.0,22.0,23.0,67.0,0.343,11.0,35.0,0.314,12.0,32.0,0.375,0.425,20.0,26.0,0.769,12.0,23.0,35.0,12.0,7.0,3.0,7.0,15.0,117.7,106.6,72.2,0.25,0.35,0.633,53.9,37.5,5.5,21.9,0.625,14.1,25.8,0.167,0.425,8.1,26.7,0.299
7.0,7.0,2023-12-03,@,Pittsburgh,REG (Conf),W,79.0,70.0,,28.0,60.0,0.467,11.0,30.0,0.367,17.0,30.0,0.567,0.558,12.0,15.0,0.8,10.0,29.0,39.0,15.0,5.0,1.0,9.0,19.0,25.0,58.0,0.431,8.0,23.0,0.348,17.0,35.0,0.486,0.5,12.0,22.0,0.545,7.0,19.0,26.0,13.0,6.0,4.0,7.0,16.0,117.4,104.0,67.3,0.25,0.5,0.588,60.0,53.6,7.4,2.9,0.558,11.8,34.5,0.2,0.5,9.3,19.4,0.207
8.0,8.0,2023-12-06,,South Carolina,REG (Non-Conf),W,72.0,67.0,,25.0,56.0,0.446,8.0,18.0,0.444,17.0,38.0,0.447,0.518,14.0,20.0,0.7,7.0,32.0,39.0,13.0,5.0,7.0,9.0,16.0,22.0,61.0,0.361,10.0,30.0,0.333,12.0,31.0,0.387,0.443,13.0,19.0,0.684,6.0,28.0,34.0,13.0,5.0,3.0,8.0,15.0,103.2,96.0,69.8,0.357,0.321,0.55,53.4,52.0,7.2,22.6,0.518,12.1,20.0,0.25,0.443,10.3,15.8,0.213
9.0,9.0,2023-12-09,N,TCU,REG (Non-Conf),W,74.0,66.0,,24.0,58.0,0.414,7.0,27.0,0.259,17.0,31.0,0.548,0.474,19.0,24.0,0.792,13.0,26.0,39.0,18.0,5.0,5.0,13.0,24.0,19.0,59.0,0.322,3.0,16.0,0.188,16.0,43.0,0.372,0.347,25.0,33.0,0.758,15.0,23.0,38.0,10.0,10.0,2.0,9.0,20.0,107.2,95.6,69.0,0.414,0.466,0.533,50.6,75.0,7.2,11.6,0.474,15.8,36.1,0.328,0.347,10.8,36.6,0.424
10.0,10.0,2023-12-16,@,Memphis,REG (Non-Conf),L,77.0,79.0,,30.0,61.0,0.492,7.0,23.0,0.304,23.0,38.0,0.605,0.549,10.0,15.0,0.667,7.0,29.0,36.0,20.0,3.0,4.0,14.0,20.0,29.0,67.0,0.433,4.0,26.0,0.154,25.0,41.0,0.61,0.463,17.0,23.0,0.739,10.0,23.0,33.0,12.0,9.0,2.0,6.0,14.0,103.3,106.0,74.5,0.246,0.377,0.565,52.2,66.7,4.0,9.8,0.549,17.0,23.3,0.164,0.463,7.1,25.6,0.254
