Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Duquesne,REG (Non-Conf),L,77.0,79.0,,28.0,64.0,0.438,9.0,20.0,0.45,19.0,44.0,0.432,0.508,12.0,19.0,0.632,14.0,25.0,39.0,10.0,7.0,6.0,12.0,25.0,26.0,62.0,0.419,9.0,27.0,0.333,17.0,35.0,0.486,0.492,18.0,33.0,0.545,15.0,26.0,41.0,17.0,5.0,2.0,11.0,20.0,106.4,109.2,72.4,0.297,0.313,0.527,48.8,35.7,9.7,17.1,0.508,14.1,35.0,0.188,0.492,12.4,37.5,0.29
2.0,2.0,2023-11-08,,Defiance,REG (Non-Conf),W,102.0,41.0,,37.0,59.0,0.627,6.0,15.0,0.4,31.0,44.0,0.705,0.678,22.0,33.0,0.667,12.0,20.0,32.0,20.0,22.0,4.0,10.0,10.0,16.0,47.0,0.34,6.0,24.0,0.25,10.0,23.0,0.435,0.404,3.0,3.0,1.0,6.0,11.0,17.0,11.0,3.0,4.0,32.0,17.0,138.7,55.7,73.6,0.559,0.254,0.683,65.3,54.1,29.9,17.4,0.678,11.8,52.2,0.373,0.404,39.8,23.1,0.064
3.0,3.0,2023-11-11,,Ohio,REG (Non-Conf),W,82.0,78.0,,25.0,60.0,0.417,7.0,18.0,0.389,18.0,42.0,0.429,0.475,25.0,31.0,0.806,16.0,19.0,35.0,11.0,4.0,5.0,9.0,23.0,28.0,56.0,0.5,8.0,18.0,0.444,20.0,38.0,0.526,0.571,14.0,24.0,0.583,14.0,20.0,34.0,12.0,6.0,3.0,9.0,23.0,126.0,119.9,65.1,0.517,0.3,0.549,50.7,44.0,6.1,13.2,0.475,10.7,44.4,0.417,0.571,11.8,42.4,0.25
4.0,4.0,2023-11-15,,Canisius,REG (Non-Conf),W,71.0,61.0,,26.0,58.0,0.448,6.0,19.0,0.316,20.0,39.0,0.513,0.5,13.0,23.0,0.565,10.0,27.0,37.0,12.0,11.0,7.0,13.0,15.0,24.0,67.0,0.358,4.0,23.0,0.174,20.0,44.0,0.455,0.388,9.0,16.0,0.563,16.0,27.0,43.0,8.0,11.0,3.0,13.0,17.0,98.9,85.0,71.8,0.397,0.328,0.515,46.3,46.2,15.3,15.9,0.5,15.9,27.0,0.224,0.388,14.8,37.2,0.134
5.0,5.0,2023-11-18,@,Eastern Michigan,REG (Non-Conf),L,62.0,69.0,,23.0,67.0,0.343,5.0,21.0,0.238,18.0,46.0,0.391,0.381,11.0,18.0,0.611,15.0,22.0,37.0,7.0,8.0,8.0,11.0,21.0,25.0,53.0,0.472,5.0,15.0,0.333,20.0,38.0,0.526,0.519,14.0,25.0,0.56,8.0,29.0,37.0,8.0,3.0,3.0,12.0,13.0,88.3,98.3,70.2,0.269,0.313,0.41,50.0,30.4,11.4,21.1,0.381,12.7,34.1,0.164,0.519,15.6,26.7,0.264
6.0,6.0,2023-11-22,,East Tennessee State,REG (Non-Conf),W,72.0,70.0,,29.0,66.0,0.439,5.0,14.0,0.357,24.0,52.0,0.462,0.477,9.0,20.0,0.45,17.0,20.0,37.0,11.0,14.0,4.0,10.0,14.0,26.0,56.0,0.464,9.0,23.0,0.391,17.0,33.0,0.515,0.545,9.0,12.0,0.75,12.0,20.0,32.0,15.0,8.0,4.0,18.0,19.0,105.7,102.8,68.1,0.303,0.212,0.477,53.6,37.9,20.6,12.1,0.477,11.7,45.9,0.136,0.545,22.6,37.5,0.161
7.0,7.0,2023-11-25,,Alabama A&M,REG (Non-Conf),W,86.0,59.0,,28.0,50.0,0.56,8.0,19.0,0.421,20.0,31.0,0.645,0.64,22.0,26.0,0.846,10.0,21.0,31.0,16.0,14.0,6.0,16.0,21.0,20.0,55.0,0.364,1.0,14.0,0.071,19.0,41.0,0.463,0.373,18.0,31.0,0.581,14.0,12.0,26.0,14.0,10.0,1.0,20.0,20.0,119.4,81.9,72.0,0.52,0.38,0.69,54.4,57.1,19.4,14.6,0.64,20.4,45.5,0.44,0.373,22.3,40.0,0.327
8.0,8.0,2023-11-29,@,Youngstown State,REG (Conf),L,69.0,94.0,,24.0,61.0,0.393,8.0,21.0,0.381,16.0,40.0,0.4,0.459,13.0,24.0,0.542,11.0,17.0,28.0,14.0,4.0,4.0,12.0,21.0,33.0,64.0,0.516,8.0,21.0,0.381,25.0,43.0,0.581,0.578,20.0,28.0,0.714,15.0,26.0,41.0,16.0,8.0,7.0,8.0,18.0,96.0,130.8,71.9,0.393,0.344,0.477,40.6,58.3,5.6,9.3,0.459,14.2,29.7,0.213,0.578,9.4,46.9,0.313
9.0,9.0,2023-12-02,,Detroit Mercy,REG (Conf),W,69.0,58.0,,20.0,57.0,0.351,5.0,15.0,0.333,15.0,42.0,0.357,0.395,24.0,32.0,0.75,13.0,26.0,39.0,8.0,7.0,5.0,7.0,18.0,22.0,52.0,0.423,8.0,20.0,0.4,14.0,32.0,0.438,0.5,6.0,14.0,0.429,9.0,25.0,34.0,10.0,2.0,2.0,13.0,20.0,107.1,90.0,64.4,0.561,0.263,0.478,53.4,40.0,10.9,15.6,0.395,8.8,34.2,0.421,0.5,18.1,25.7,0.115
10.0,10.0,2023-12-05,@,St. Mary's (CA),REG (Non-Conf),L,57.0,70.0,,21.0,60.0,0.35,5.0,16.0,0.313,16.0,44.0,0.364,0.392,10.0,20.0,0.5,8.0,23.0,31.0,7.0,4.0,4.0,15.0,19.0,28.0,57.0,0.491,4.0,19.0,0.211,24.0,38.0,0.632,0.526,10.0,19.0,0.526,8.0,26.0,34.0,17.0,11.0,7.0,9.0,18.0,79.4,97.5,71.8,0.333,0.267,0.41,47.7,33.3,5.6,10.5,0.392,17.8,23.5,0.167,0.526,12.0,25.8,0.175
11.0,11.0,2023-12-09,@,Kent State,REG (Non-Conf),L,77.0,83.0,,31.0,66.0,0.47,8.0,23.0,0.348,23.0,43.0,0.535,0.53,7.0,18.0,0.389,11.0,14.0,25.0,10.0,12.0,2.0,10.0,24.0,31.0,56.0,0.554,5.0,14.0,0.357,26.0,42.0,0.619,0.598,16.0,27.0,0.593,15.0,27.0,42.0,16.0,6.0,2.0,19.0,18.0,105.2,113.4,73.2,0.273,0.348,0.516,37.3,32.3,16.4,4.8,0.53,11.8,28.9,0.106,0.598,21.6,51.7,0.286
12.0,12.0,2023-12-15,@,Bradley,REG (Non-Conf),W,76.0,69.0,,25.0,58.0,0.431,10.0,19.0,0.526,15.0,39.0,0.385,0.517,16.0,20.0,0.8,13.0,19.0,32.0,9.0,9.0,3.0,12.0,17.0,23.0,51.0,0.451,9.0,28.0,0.321,14.0,23.0,0.609,0.539,14.0,17.0,0.824,7.0,19.0,26.0,11.0,8.0,2.0,16.0,17.0,112.9,102.5,67.3,0.345,0.328,0.563,55.2,36.0,13.4,13.0,0.517,15.1,40.6,0.276,0.539,21.3,26.9,0.275
13.0,13.0,2023-12-21,,Western Michigan,REG (Non-Conf),W,90.0,77.0,,33.0,76.0,0.434,9.0,27.0,0.333,24.0,49.0,0.49,0.493,15.0,19.0,0.789,16.0,21.0,37.0,15.0,10.0,1.0,7.0,24.0,26.0,59.0,0.441,8.0,28.0,0.286,18.0,31.0,0.581,0.508,17.0,25.0,0.68,14.0,24.0,38.0,16.0,3.0,3.0,19.0,16.0,118.5,101.4,76.0,0.25,0.355,0.529,49.3,45.5,13.2,3.2,0.493,7.6,40.0,0.197,0.508,21.1,40.0,0.288
14.0,14.0,2023-12-28,,Oakland,REG (Conf),W,75.0,67.0,,25.0,57.0,0.439,12.0,24.0,0.5,13.0,33.0,0.394,0.544,13.0,22.0,0.591,10.0,28.0,38.0,16.0,8.0,4.0,20.0,22.0,24.0,65.0,0.369,5.0,25.0,0.2,19.0,40.0,0.475,0.408,14.0,24.0,0.583,16.0,22.0,38.0,16.0,12.0,6.0,16.0,17.0,97.5,87.1,76.9,0.386,0.421,0.556,50.0,64.0,10.4,10.0,0.544,22.9,31.3,0.228,0.408,17.3,36.4,0.215
15.0,15.0,2023-12-31,@,IUPUI,REG (Conf),W,86.0,77.0,,32.0,60.0,0.533,7.0,21.0,0.333,25.0,39.0,0.641,0.592,15.0,18.0,0.833,6.0,23.0,29.0,19.0,7.0,3.0,5.0,18.0,30.0,62.0,0.484,6.0,20.0,0.3,24.0,42.0,0.571,0.532,11.0,16.0,0.688,12.0,21.0,33.0,13.0,3.0,0.0,10.0,17.0,127.3,113.9,67.6,0.3,0.35,0.627,46.8,59.4,10.4,7.1,0.592,6.8,22.2,0.25,0.532,12.6,34.3,0.177
16.0,16.0,2024-01-04,@,Wright State,REG (Conf),L,70.0,82.0,,28.0,72.0,0.389,9.0,27.0,0.333,19.0,45.0,0.422,0.451,5.0,13.0,0.385,15.0,13.0,28.0,8.0,12.0,2.0,9.0,12.0,33.0,55.0,0.6,8.0,16.0,0.5,25.0,39.0,0.641,0.673,8.0,10.0,0.8,5.0,26.0,31.0,22.0,2.0,4.0,17.0,8.0,97.3,113.9,72.0,0.181,0.375,0.448,47.5,28.6,16.7,5.1,0.451,10.3,36.6,0.069,0.673,22.1,27.8,0.145
17.0,17.0,2024-01-07,,Northern Kentucky,REG (Conf),W,88.0,85.0,OT,29.0,74.0,0.392,7.0,23.0,0.304,22.0,51.0,0.431,0.439,23.0,31.0,0.742,25.0,19.0,44.0,15.0,9.0,6.0,11.0,22.0,27.0,58.0,0.466,8.0,22.0,0.364,19.0,36.0,0.528,0.534,23.0,30.0,0.767,11.0,23.0,34.0,11.0,6.0,3.0,16.0,23.0,115.8,111.9,67.5,0.419,0.311,0.496,56.4,51.7,11.8,16.7,0.439,11.0,52.1,0.311,0.534,18.1,36.7,0.397
18.0,18.0,2024-01-12,@,Milwaukee,REG (Conf),L,80.0,88.0,,28.0,69.0,0.406,10.0,27.0,0.37,18.0,42.0,0.429,0.478,14.0,17.0,0.824,8.0,20.0,28.0,16.0,5.0,7.0,5.0,19.0,31.0,63.0,0.492,6.0,20.0,0.3,25.0,43.0,0.581,0.54,20.0,27.0,0.741,12.0,31.0,43.0,16.0,1.0,6.0,10.0,17.0,108.2,119.0,74.0,0.246,0.391,0.519,39.4,57.1,6.8,16.3,0.478,6.1,20.5,0.203,0.54,11.7,37.5,0.317
19.0,19.0,2024-01-14,@,Green Bay,REG (Conf),L,71.0,79.0,,29.0,63.0,0.46,4.0,20.0,0.2,25.0,43.0,0.581,0.492,9.0,17.0,0.529,9.0,15.0,24.0,17.0,3.0,8.0,7.0,18.0,22.0,50.0,0.44,12.0,34.0,0.353,10.0,16.0,0.625,0.56,23.0,26.0,0.885,7.0,25.0,32.0,14.0,4.0,1.0,11.0,18.0,104.9,116.7,67.7,0.27,0.317,0.499,42.9,58.6,4.4,50.0,0.492,9.0,26.5,0.143,0.56,15.0,31.8,0.46
20.0,20.0,2024-01-20,,Purdue Fort Wayne,REG (Conf),W,75.0,68.0,,29.0,56.0,0.518,11.0,22.0,0.5,18.0,34.0,0.529,0.616,6.0,13.0,0.462,4.0,29.0,33.0,23.0,9.0,4.0,13.0,12.0,22.0,55.0,0.4,8.0,23.0,0.348,14.0,32.0,0.438,0.473,16.0,18.0,0.889,3.0,21.0,24.0,12.0,8.0,2.0,10.0,12.0,105.8,96.0,70.9,0.232,0.393,0.603,57.9,79.3,12.7,12.5,0.616,17.3,16.0,0.107,0.473,13.6,9.4,0.291
21.0,21.0,2024-01-25,,Wright State,REG (Conf),L,99.0,107.0,OT,37.0,76.0,0.487,5.0,17.0,0.294,32.0,59.0,0.542,0.52,20.0,30.0,0.667,18.0,19.0,37.0,12.0,9.0,1.0,15.0,28.0,34.0,58.0,0.586,7.0,14.0,0.5,27.0,44.0,0.614,0.647,32.0,38.0,0.842,7.0,21.0,28.0,15.0,4.0,5.0,14.0,23.0,116.3,125.7,75.7,0.395,0.224,0.548,56.9,32.4,10.6,2.3,0.52,14.3,46.2,0.263,0.647,15.5,26.9,0.552
22.0,22.0,2024-01-28,,Robert Morris,REG (Conf),W,66.0,64.0,,25.0,51.0,0.49,7.0,17.0,0.412,18.0,34.0,0.529,0.559,9.0,12.0,0.75,6.0,20.0,26.0,17.0,5.0,5.0,8.0,14.0,25.0,59.0,0.424,7.0,22.0,0.318,18.0,37.0,0.486,0.483,7.0,15.0,0.467,13.0,21.0,34.0,12.0,3.0,3.0,9.0,16.0,109.2,105.9,60.4,0.235,0.333,0.582,43.3,68.0,8.3,13.5,0.559,12.4,22.2,0.176,0.483,12.0,39.4,0.119
23.0,23.0,2024-02-01,@,Detroit Mercy,REG (Conf),W,77.0,65.0,,31.0,63.0,0.492,5.0,16.0,0.313,26.0,47.0,0.553,0.532,10.0,11.0,0.909,10.0,20.0,30.0,8.0,4.0,7.0,9.0,19.0,24.0,52.0,0.462,5.0,20.0,0.25,19.0,32.0,0.594,0.51,12.0,18.0,0.667,8.0,18.0,26.0,9.0,6.0,5.0,16.0,15.0,113.4,95.7,67.9,0.175,0.254,0.564,53.6,25.8,5.9,21.9,0.532,11.7,35.7,0.159,0.51,20.9,28.6,0.231
24.0,24.0,2024-02-03,@,Oakland,REG (Conf),L,71.0,83.0,,28.0,66.0,0.424,7.0,25.0,0.28,21.0,41.0,0.512,0.477,8.0,13.0,0.615,13.0,17.0,30.0,17.0,5.0,4.0,6.0,20.0,27.0,62.0,0.435,6.0,18.0,0.333,21.0,44.0,0.477,0.484,23.0,23.0,1.0,13.0,25.0,38.0,14.0,4.0,4.0,6.0,15.0,108.3,126.6,65.6,0.197,0.379,0.492,44.1,60.7,7.6,9.1,0.477,7.7,34.2,0.121,0.484,7.6,43.3,0.371
25.0,25.0,2024-02-07,@,Purdue Fort Wayne,REG (Conf),W,75.0,72.0,,28.0,55.0,0.509,7.0,18.0,0.389,21.0,37.0,0.568,0.573,12.0,14.0,0.857,5.0,24.0,29.0,11.0,9.0,1.0,13.0,16.0,26.0,52.0,0.5,7.0,22.0,0.318,19.0,30.0,0.633,0.567,13.0,18.0,0.722,3.0,21.0,24.0,9.0,7.0,3.0,11.0,12.0,108.5,104.2,69.1,0.255,0.327,0.608,54.7,39.3,13.0,3.3,0.573,17.4,19.2,0.218,0.567,15.4,11.1,0.25
26.0,26.0,2024-02-14,,Milwaukee,REG (Conf),L,68.0,71.0,,26.0,70.0,0.371,7.0,23.0,0.304,19.0,47.0,0.404,0.421,9.0,14.0,0.643,16.0,17.0,33.0,11.0,12.0,3.0,8.0,18.0,26.0,52.0,0.5,7.0,23.0,0.304,19.0,29.0,0.655,0.567,12.0,20.0,0.6,11.0,31.0,42.0,13.0,3.0,4.0,18.0,16.0,99.2,103.5,68.6,0.2,0.329,0.444,44.0,42.3,17.5,10.3,0.421,9.5,34.0,0.129,0.567,22.6,39.3,0.231
27.0,27.0,2024-02-17,,Youngstown State,REG (Conf),W,81.0,73.0,,32.0,60.0,0.533,2.0,15.0,0.133,30.0,45.0,0.667,0.55,15.0,20.0,0.75,7.0,21.0,28.0,16.0,9.0,1.0,9.0,22.0,25.0,58.0,0.431,6.0,26.0,0.231,19.0,32.0,0.594,0.483,17.0,23.0,0.739,12.0,21.0,33.0,11.0,2.0,0.0,18.0,19.0,110.6,99.7,73.2,0.333,0.25,0.583,45.9,50.0,12.3,3.1,0.55,11.5,25.0,0.25,0.483,20.7,36.4,0.293
28.0,28.0,2024-02-22,@,Northern Kentucky,REG (Conf),L,73.0,75.0,,31.0,66.0,0.47,3.0,17.0,0.176,28.0,49.0,0.571,0.492,8.0,11.0,0.727,7.0,23.0,30.0,14.0,7.0,1.0,5.0,18.0,24.0,53.0,0.453,5.0,18.0,0.278,19.0,35.0,0.543,0.5,22.0,25.0,0.88,6.0,29.0,35.0,11.0,2.0,2.0,10.0,11.0,105.7,108.6,69.1,0.167,0.258,0.512,46.2,45.2,10.1,2.9,0.492,6.6,19.4,0.121,0.5,13.4,20.7,0.415
29.0,29.0,2024-02-25,@,Robert Morris,REG (Conf),W,73.0,71.0,,30.0,66.0,0.455,3.0,11.0,0.273,27.0,55.0,0.491,0.477,10.0,16.0,0.625,13.0,27.0,40.0,14.0,4.0,3.0,3.0,13.0,26.0,65.0,0.4,12.0,31.0,0.387,14.0,34.0,0.412,0.492,7.0,12.0,0.583,12.0,20.0,32.0,16.0,1.0,5.0,5.0,14.0,114.7,111.5,63.7,0.242,0.167,0.496,55.6,46.7,6.3,8.8,0.477,3.9,39.4,0.152,0.492,6.6,30.8,0.108
30.0,30.0,2024-02-28,,Green Bay,REG (Conf),L,61.0,69.0,,22.0,57.0,0.386,2.0,20.0,0.1,20.0,37.0,0.541,0.404,15.0,21.0,0.714,8.0,21.0,29.0,10.0,4.0,3.0,6.0,23.0,21.0,50.0,0.42,5.0,23.0,0.217,16.0,27.0,0.593,0.47,22.0,31.0,0.71,9.0,28.0,37.0,11.0,5.0,0.0,6.0,19.0,96.3,108.9,63.4,0.368,0.351,0.455,43.9,45.5,6.3,11.1,0.404,8.2,22.2,0.263,0.47,8.5,30.0,0.44
