Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Brown,REG (Non-Conf),W,72.0,70.0,,25.0,54.0,0.463,6.0,19.0,0.316,19.0,35.0,0.543,0.519,16.0,22.0,0.727,5.0,30.0,35.0,12.0,8.0,3.0,11.0,21.0,25.0,65.0,0.385,10.0,32.0,0.313,15.0,33.0,0.455,0.462,10.0,22.0,0.455,13.0,25.0,38.0,13.0,7.0,6.0,14.0,17.0,98.0,95.3,73.5,0.407,0.352,0.559,47.9,48.0,10.9,9.1,0.519,14.6,16.7,0.296,0.462,15.7,30.2,0.154
2.0,2.0,2023-11-14,@,Syracuse,REG (Non-Conf),L,75.0,79.0,,29.0,60.0,0.483,9.0,24.0,0.375,20.0,36.0,0.556,0.558,8.0,13.0,0.615,9.0,33.0,42.0,15.0,5.0,2.0,19.0,16.0,27.0,67.0,0.403,9.0,32.0,0.281,18.0,35.0,0.514,0.47,16.0,20.0,0.8,6.0,21.0,27.0,13.0,10.0,5.0,7.0,11.0,97.6,102.8,76.8,0.217,0.4,0.567,60.9,51.7,6.5,5.7,0.558,22.3,30.0,0.133,0.47,8.4,15.4,0.239
3.0,3.0,2023-11-17,N,Yale,REG (Non-Conf),L,50.0,68.0,,21.0,58.0,0.362,4.0,23.0,0.174,17.0,35.0,0.486,0.397,4.0,4.0,1.0,5.0,30.0,35.0,14.0,0.0,2.0,9.0,5.0,29.0,66.0,0.439,8.0,21.0,0.381,21.0,45.0,0.467,0.5,2.0,4.0,0.5,6.0,28.0,34.0,13.0,1.0,2.0,4.0,6.0,77.0,104.8,64.9,0.069,0.397,0.417,50.7,66.7,0.0,4.4,0.397,13.1,15.2,0.069,0.5,5.6,16.7,0.03
4.0,4.0,2023-11-18,N,Gardner-Webb,REG (Non-Conf),W,59.0,52.0,,21.0,53.0,0.396,7.0,20.0,0.35,14.0,33.0,0.424,0.462,10.0,12.0,0.833,5.0,26.0,31.0,11.0,6.0,1.0,13.0,10.0,18.0,54.0,0.333,6.0,22.0,0.273,12.0,32.0,0.375,0.389,10.0,12.0,0.833,9.0,24.0,33.0,7.0,4.0,2.0,12.0,15.0,91.2,80.4,64.7,0.226,0.377,0.503,48.4,52.4,9.3,3.1,0.462,18.1,17.2,0.189,0.389,16.7,25.7,0.185
5.0,5.0,2023-11-19,N,Weber State,REG (Non-Conf),W,57.0,55.0,,19.0,46.0,0.413,9.0,25.0,0.36,10.0,21.0,0.476,0.511,10.0,15.0,0.667,9.0,24.0,33.0,14.0,6.0,1.0,8.0,16.0,17.0,47.0,0.362,8.0,26.0,0.308,9.0,21.0,0.429,0.447,13.0,18.0,0.722,5.0,18.0,23.0,8.0,4.0,0.0,7.0,12.0,103.9,100.3,54.8,0.326,0.543,0.536,58.9,73.7,10.9,4.8,0.511,13.1,33.3,0.217,0.447,11.2,17.2,0.277
6.0,6.0,2023-11-22,,Harvard,REG (Non-Conf),L,70.0,76.0,,25.0,68.0,0.368,11.0,34.0,0.324,14.0,34.0,0.412,0.449,9.0,12.0,0.75,16.0,23.0,39.0,17.0,6.0,1.0,8.0,17.0,27.0,56.0,0.482,9.0,22.0,0.409,18.0,34.0,0.529,0.563,13.0,20.0,0.65,7.0,25.0,32.0,18.0,5.0,3.0,6.0,13.0,107.5,116.7,65.1,0.176,0.5,0.475,54.9,68.0,9.2,2.9,0.449,9.8,39.0,0.132,0.563,8.4,23.3,0.232
7.0,7.0,2023-11-29,,Binghamton,REG (Non-Conf),W,84.0,49.0,,32.0,62.0,0.516,12.0,25.0,0.48,20.0,37.0,0.541,0.613,8.0,11.0,0.727,7.0,32.0,39.0,20.0,10.0,4.0,13.0,13.0,20.0,54.0,0.37,3.0,17.0,0.176,17.0,37.0,0.459,0.398,6.0,13.0,0.462,1.0,21.0,22.0,13.0,6.0,3.0,16.0,13.0,113.2,66.0,74.2,0.177,0.403,0.625,63.9,62.5,13.5,10.8,0.613,16.2,25.0,0.129,0.398,21.0,3.0,0.111
8.0,8.0,2023-12-02,@,Arizona,REG (Non-Conf),L,55.0,82.0,,22.0,53.0,0.415,7.0,22.0,0.318,15.0,31.0,0.484,0.481,4.0,7.0,0.571,0.0,24.0,24.0,11.0,7.0,0.0,18.0,16.0,33.0,71.0,0.465,7.0,23.0,0.304,26.0,48.0,0.542,0.514,9.0,15.0,0.6,13.0,30.0,43.0,21.0,13.0,1.0,12.0,9.0,72.6,108.3,75.7,0.132,0.415,0.488,35.8,50.0,9.2,0.0,0.481,24.2,0.0,0.075,0.514,13.3,35.1,0.127
9.0,9.0,2023-12-06,,Vermont St.–Lyndon,REG (Non-Conf),W,115.0,37.0,,44.0,78.0,0.564,15.0,33.0,0.455,29.0,45.0,0.644,0.66,12.0,17.0,0.706,11.0,34.0,45.0,29.0,18.0,6.0,4.0,9.0,14.0,55.0,0.255,7.0,25.0,0.28,7.0,30.0,0.233,0.318,2.0,4.0,0.5,4.0,19.0,23.0,11.0,2.0,1.0,28.0,13.0,143.8,46.3,80.0,0.218,0.423,0.668,66.2,65.9,22.5,20.0,0.66,4.4,36.7,0.154,0.318,33.0,10.5,0.036
10.0,10.0,2023-12-09,@,Vermont,REG (Non-Conf),W,77.0,71.0,,30.0,56.0,0.536,8.0,15.0,0.533,22.0,41.0,0.537,0.607,9.0,12.0,0.75,7.0,21.0,28.0,8.0,4.0,2.0,8.0,12.0,27.0,54.0,0.5,8.0,25.0,0.32,19.0,29.0,0.655,0.574,9.0,11.0,0.818,5.0,20.0,25.0,13.0,5.0,3.0,9.0,13.0,122.3,112.8,63.0,0.214,0.268,0.624,52.8,26.7,6.4,6.9,0.607,11.5,25.9,0.161,0.574,13.2,19.2,0.167
