Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Louisiana Tech,REG (Non-Conf),W,81.0,73.0,,26.0,51.0,0.51,6.0,16.0,0.375,20.0,35.0,0.571,0.569,23.0,26.0,0.885,0.0,22.0,22.0,19.0,7.0,3.0,10.0,14.0,29.0,65.0,0.446,7.0,24.0,0.292,22.0,41.0,0.537,0.5,8.0,10.0,0.8,13.0,24.0,37.0,13.0,7.0,2.0,13.0,23.0,113.2,102.0,71.6,0.51,0.314,0.639,37.3,73.1,9.8,7.3,0.569,13.6,0.0,0.451,0.5,15.7,37.1,0.123
2.0,2.0,2023-11-10,,Wright State,REG (Non-Conf),W,105.0,77.0,,42.0,66.0,0.636,12.0,29.0,0.414,30.0,37.0,0.811,0.727,9.0,11.0,0.818,4.0,26.0,30.0,37.0,7.0,2.0,9.0,17.0,29.0,58.0,0.5,6.0,15.0,0.4,23.0,43.0,0.535,0.552,13.0,18.0,0.722,6.0,17.0,23.0,8.0,5.0,4.0,15.0,12.0,138.4,101.5,75.9,0.167,0.439,0.737,56.6,88.1,9.2,4.7,0.727,11.2,19.0,0.136,0.552,18.4,18.8,0.224
3.0,3.0,2023-11-14,@,Northern Colorado,REG (Non-Conf),W,83.0,64.0,,29.0,61.0,0.475,10.0,26.0,0.385,19.0,35.0,0.543,0.557,15.0,20.0,0.75,8.0,34.0,42.0,16.0,4.0,4.0,10.0,16.0,24.0,65.0,0.369,7.0,27.0,0.259,17.0,38.0,0.447,0.423,9.0,18.0,0.5,10.0,26.0,36.0,10.0,3.0,3.0,10.0,16.0,113.7,87.6,73.0,0.328,0.426,0.589,53.8,55.2,5.5,10.5,0.557,12.4,23.5,0.246,0.423,12.0,22.7,0.138
4.0,4.0,2023-11-17,,Kansas City,REG (Non-Conf),W,84.0,61.0,,26.0,45.0,0.578,10.0,22.0,0.455,16.0,23.0,0.696,0.689,22.0,31.0,0.71,1.0,24.0,25.0,21.0,8.0,2.0,11.0,22.0,21.0,52.0,0.404,4.0,15.0,0.267,17.0,37.0,0.459,0.442,15.0,19.0,0.789,7.0,21.0,28.0,10.0,2.0,1.0,17.0,26.0,119.4,86.7,70.4,0.689,0.489,0.703,47.2,80.8,11.4,5.4,0.689,15.6,4.5,0.489,0.442,21.8,22.6,0.288
5.0,5.0,2023-11-22,N,Boston College,REG (Non-Conf),W,86.0,74.0,,35.0,63.0,0.556,9.0,21.0,0.429,26.0,42.0,0.619,0.627,7.0,9.0,0.778,8.0,19.0,27.0,21.0,11.0,1.0,13.0,18.0,24.0,51.0,0.471,6.0,16.0,0.375,18.0,35.0,0.514,0.529,20.0,20.0,1.0,6.0,18.0,24.0,13.0,7.0,2.0,16.0,13.0,120.5,103.7,71.4,0.143,0.333,0.639,52.9,60.0,15.4,2.9,0.627,16.2,30.8,0.111,0.529,20.9,24.0,0.392
6.0,6.0,2023-11-23,N,Creighton,REG (Non-Conf),W,69.0,48.0,,30.0,63.0,0.476,5.0,19.0,0.263,25.0,44.0,0.568,0.516,4.0,5.0,0.8,7.0,35.0,42.0,14.0,5.0,3.0,8.0,16.0,17.0,61.0,0.279,6.0,29.0,0.207,11.0,32.0,0.344,0.328,8.0,13.0,0.615,8.0,24.0,32.0,10.0,2.0,3.0,9.0,7.0,102.6,71.3,67.3,0.079,0.302,0.528,56.8,46.7,7.4,9.4,0.516,10.9,22.6,0.063,0.328,11.8,18.6,0.131
7.0,7.0,2023-11-29,,Colorado,REG (Non-Conf),W,88.0,83.0,,27.0,53.0,0.509,9.0,22.0,0.409,18.0,31.0,0.581,0.594,25.0,31.0,0.806,5.0,15.0,20.0,16.0,10.0,3.0,7.0,19.0,30.0,55.0,0.545,4.0,14.0,0.286,26.0,41.0,0.634,0.582,19.0,21.0,0.905,9.0,23.0,32.0,6.0,4.0,0.0,13.0,20.0,126.9,119.7,69.4,0.585,0.415,0.65,38.5,59.3,14.4,7.3,0.594,9.4,17.9,0.472,0.582,16.7,37.5,0.345
8.0,8.0,2023-12-02,N,Washington,REG (Non-Conf),W,86.0,81.0,,30.0,63.0,0.476,9.0,29.0,0.31,21.0,34.0,0.618,0.548,17.0,23.0,0.739,14.0,22.0,36.0,17.0,5.0,0.0,8.0,16.0,31.0,67.0,0.463,10.0,25.0,0.4,21.0,42.0,0.5,0.537,9.0,14.0,0.643,13.0,21.0,34.0,21.0,6.0,6.0,10.0,20.0,124.1,116.9,69.3,0.365,0.46,0.582,51.4,56.7,7.2,0.0,0.548,9.8,40.0,0.27,0.537,12.0,37.1,0.134
9.0,9.0,2023-12-06,,Denver,REG (Non-Conf),W,90.0,80.0,,32.0,53.0,0.604,8.0,17.0,0.471,24.0,36.0,0.667,0.679,18.0,27.0,0.667,5.0,22.0,27.0,24.0,3.0,6.0,8.0,14.0,29.0,57.0,0.509,10.0,21.0,0.476,19.0,36.0,0.528,0.596,12.0,16.0,0.75,5.0,15.0,20.0,13.0,4.0,1.0,7.0,18.0,132.9,118.1,67.7,0.509,0.321,0.684,57.4,75.0,4.4,16.7,0.679,10.8,25.0,0.34,0.596,9.8,18.5,0.211
10.0,10.0,2023-12-09,,St. Mary's (CA),REG (Non-Conf),L,61.0,64.0,,18.0,49.0,0.367,5.0,18.0,0.278,13.0,31.0,0.419,0.418,20.0,23.0,0.87,8.0,17.0,25.0,12.0,6.0,3.0,11.0,16.0,25.0,51.0,0.49,7.0,24.0,0.292,18.0,27.0,0.667,0.559,7.0,12.0,0.583,9.0,23.0,32.0,11.0,7.0,4.0,11.0,20.0,100.3,105.2,60.8,0.469,0.367,0.509,43.9,66.7,9.9,11.1,0.418,15.5,25.8,0.408,0.559,16.2,34.6,0.137
