Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Towson,REG (Non-Conf),W,75.0,57.0,,26.0,50.0,0.52,8.0,17.0,0.471,18.0,33.0,0.545,0.6,15.0,21.0,0.714,9.0,26.0,35.0,21.0,6.0,6.0,15.0,17.0,19.0,54.0,0.352,6.0,14.0,0.429,13.0,40.0,0.325,0.407,13.0,20.0,0.65,8.0,16.0,24.0,5.0,9.0,4.0,11.0,20.0,113.2,86.1,66.2,0.42,0.34,0.625,59.3,80.8,9.1,15.0,0.6,20.0,36.0,0.3,0.407,14.8,23.5,0.241
2.0,2.0,2023-11-10,,Grambling State,REG (Non-Conf),W,95.0,63.0,,35.0,63.0,0.556,10.0,23.0,0.435,25.0,40.0,0.625,0.635,15.0,20.0,0.75,12.0,25.0,37.0,28.0,9.0,4.0,11.0,18.0,21.0,54.0,0.389,5.0,18.0,0.278,16.0,36.0,0.444,0.435,16.0,21.0,0.762,4.0,18.0,22.0,6.0,7.0,1.0,13.0,20.0,131.5,87.2,72.2,0.317,0.365,0.655,62.7,80.0,12.5,11.1,0.635,13.2,40.0,0.238,0.435,16.9,13.8,0.296
3.0,3.0,2023-11-14,,Milwaukee,REG (Non-Conf),W,106.0,79.0,,37.0,63.0,0.587,13.0,20.0,0.65,24.0,43.0,0.558,0.69,19.0,24.0,0.792,8.0,29.0,37.0,25.0,7.0,5.0,11.0,14.0,27.0,73.0,0.37,11.0,34.0,0.324,16.0,39.0,0.41,0.445,14.0,18.0,0.778,16.0,16.0,32.0,12.0,6.0,2.0,12.0,19.0,136.8,102.0,77.5,0.381,0.317,0.712,53.6,67.6,9.0,12.8,0.69,12.9,33.3,0.302,0.445,12.8,35.6,0.192
4.0,4.0,2023-11-20,N,Richmond,REG (Non-Conf),W,64.0,59.0,,20.0,47.0,0.426,3.0,10.0,0.3,17.0,37.0,0.459,0.457,21.0,25.0,0.84,7.0,21.0,28.0,9.0,7.0,2.0,12.0,11.0,23.0,51.0,0.451,5.0,20.0,0.25,18.0,31.0,0.581,0.5,8.0,11.0,0.727,6.0,18.0,24.0,6.0,7.0,2.0,12.0,21.0,101.5,93.6,63.1,0.532,0.213,0.544,53.8,45.0,11.1,6.5,0.457,16.9,28.0,0.447,0.5,17.6,22.2,0.157
5.0,5.0,2023-11-21,N,Florida State,REG (Non-Conf),L,71.0,77.0,OT,25.0,72.0,0.347,5.0,20.0,0.25,20.0,52.0,0.385,0.382,16.0,21.0,0.762,18.0,26.0,44.0,14.0,9.0,1.0,20.0,19.0,27.0,57.0,0.474,8.0,24.0,0.333,19.0,33.0,0.576,0.544,15.0,22.0,0.682,4.0,28.0,32.0,12.0,17.0,5.0,17.0,20.0,86.4,93.7,73.1,0.292,0.278,0.433,57.9,56.0,10.9,3.0,0.382,19.6,39.1,0.222,0.544,20.1,13.3,0.263
6.0,6.0,2023-11-26,,Iona,REG (Non-Conf),W,85.0,68.0,,31.0,51.0,0.608,6.0,17.0,0.353,25.0,34.0,0.735,0.667,17.0,23.0,0.739,5.0,28.0,33.0,17.0,5.0,0.0,13.0,15.0,24.0,57.0,0.421,8.0,24.0,0.333,16.0,33.0,0.485,0.491,12.0,17.0,0.706,5.0,16.0,21.0,6.0,7.0,0.0,14.0,22.0,118.1,94.4,72.0,0.451,0.333,0.686,61.1,54.8,6.9,0.0,0.667,17.4,23.8,0.333,0.491,17.7,15.2,0.211
7.0,7.0,2023-11-29,@,Colorado State,REG (Non-Conf),L,83.0,88.0,,30.0,55.0,0.545,4.0,14.0,0.286,26.0,41.0,0.634,0.582,19.0,21.0,0.905,9.0,23.0,32.0,6.0,4.0,0.0,13.0,20.0,27.0,53.0,0.509,9.0,22.0,0.409,18.0,31.0,0.581,0.594,25.0,31.0,0.806,5.0,15.0,20.0,16.0,10.0,3.0,7.0,19.0,119.7,126.9,69.4,0.382,0.255,0.639,61.5,20.0,5.8,0.0,0.582,16.7,37.5,0.345,0.594,9.4,17.9,0.472
8.0,8.0,2023-12-03,,Pepperdine,REG (Non-Conf),W,91.0,66.0,,31.0,54.0,0.574,7.0,13.0,0.538,24.0,41.0,0.585,0.639,22.0,28.0,0.786,6.0,29.0,35.0,22.0,7.0,3.0,11.0,18.0,24.0,64.0,0.375,7.0,19.0,0.368,17.0,45.0,0.378,0.43,11.0,17.0,0.647,10.0,17.0,27.0,9.0,6.0,5.0,13.0,20.0,123.5,89.6,73.7,0.519,0.241,0.676,56.5,71.0,9.5,6.7,0.639,14.0,26.1,0.407,0.43,15.3,25.6,0.172
9.0,9.0,2023-12-10,N,Miami (FL),REG (Non-Conf),W,90.0,63.0,,37.0,63.0,0.587,7.0,20.0,0.35,30.0,43.0,0.698,0.643,9.0,11.0,0.818,8.0,20.0,28.0,28.0,11.0,1.0,13.0,13.0,22.0,49.0,0.449,6.0,15.0,0.4,16.0,34.0,0.471,0.51,13.0,15.0,0.867,5.0,13.0,18.0,11.0,9.0,5.0,19.0,12.0,125.6,87.9,71.7,0.175,0.317,0.66,60.9,75.7,15.3,2.9,0.643,16.0,38.1,0.143,0.51,25.3,20.0,0.265
10.0,10.0,2023-12-15,,Northern Colorado,REG (Non-Conf),W,90.0,68.0,,35.0,71.0,0.493,9.0,27.0,0.333,26.0,44.0,0.591,0.556,11.0,13.0,0.846,11.0,30.0,41.0,23.0,9.0,0.0,12.0,14.0,25.0,60.0,0.417,3.0,21.0,0.143,22.0,39.0,0.564,0.442,15.0,20.0,0.75,7.0,24.0,31.0,10.0,9.0,0.0,15.0,14.0,115.6,87.4,77.8,0.183,0.38,0.583,56.9,65.7,11.6,0.0,0.556,13.5,31.4,0.155,0.442,17.8,18.9,0.25
