Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Providence,REG (Non-Conf),L,59.0,78.0,,21.0,71.0,0.296,6.0,26.0,0.231,15.0,45.0,0.333,0.338,11.0,13.0,0.846,12.0,21.0,33.0,10.0,12.0,3.0,14.0,20.0,29.0,59.0,0.492,6.0,23.0,0.261,23.0,36.0,0.639,0.542,14.0,19.0,0.737,7.0,31.0,38.0,14.0,11.0,7.0,18.0,14.0,74.6,98.6,79.1,0.183,0.366,0.382,46.5,47.6,15.2,8.3,0.338,15.4,27.9,0.155,0.542,20.9,25.0,0.237
2.0,2.0,2023-11-11,,Albany (NY),REG (Non-Conf),L,75.0,78.0,,23.0,57.0,0.404,7.0,22.0,0.318,16.0,35.0,0.457,0.465,22.0,24.0,0.917,2.0,21.0,23.0,11.0,7.0,3.0,10.0,19.0,27.0,59.0,0.458,6.0,17.0,0.353,21.0,42.0,0.5,0.508,18.0,27.0,0.667,12.0,27.0,39.0,14.0,4.0,3.0,14.0,18.0,99.9,103.8,75.1,0.421,0.386,0.548,37.1,47.8,9.3,7.1,0.465,12.8,6.9,0.386,0.508,16.3,36.4,0.305
3.0,3.0,2023-11-12,,Bard,REG (Non-Conf),W,86.0,36.0,,29.0,57.0,0.509,10.0,27.0,0.37,19.0,30.0,0.633,0.596,18.0,21.0,0.857,9.0,28.0,37.0,21.0,16.0,1.0,11.0,11.0,15.0,57.0,0.263,1.0,27.0,0.037,14.0,30.0,0.467,0.272,5.0,6.0,0.833,12.0,17.0,29.0,4.0,5.0,2.0,18.0,15.0,127.6,53.4,67.4,0.368,0.474,0.642,56.1,72.4,23.7,3.3,0.596,14.1,34.6,0.316,0.272,23.1,30.0,0.088
4.0,4.0,2023-11-15,,SUNY Delhi,REG (Non-Conf),W,105.0,60.0,,42.0,66.0,0.636,5.0,17.0,0.294,37.0,49.0,0.755,0.674,16.0,20.0,0.8,8.0,30.0,38.0,29.0,18.0,4.0,13.0,15.0,22.0,60.0,0.367,11.0,29.0,0.379,11.0,31.0,0.355,0.458,5.0,11.0,0.455,7.0,14.0,21.0,15.0,6.0,3.0,21.0,15.0,131.5,75.1,79.9,0.303,0.258,0.695,64.4,69.0,22.5,12.9,0.674,14.7,36.4,0.242,0.458,24.4,18.9,0.083
5.0,5.0,2023-11-18,@,Temple,REG (Non-Conf),W,78.0,73.0,,27.0,55.0,0.491,12.0,26.0,0.462,15.0,29.0,0.517,0.6,12.0,17.0,0.706,7.0,29.0,36.0,19.0,6.0,0.0,12.0,18.0,22.0,62.0,0.355,10.0,30.0,0.333,12.0,32.0,0.375,0.435,19.0,22.0,0.864,10.0,21.0,31.0,11.0,7.0,4.0,11.0,16.0,110.2,103.2,70.8,0.309,0.473,0.618,53.7,70.4,8.5,0.0,0.6,16.0,25.0,0.218,0.435,13.2,25.6,0.306
6.0,6.0,2023-11-21,,LIU,REG (Non-Conf),W,77.0,67.0,,22.0,50.0,0.44,5.0,17.0,0.294,17.0,33.0,0.515,0.49,28.0,39.0,0.718,8.0,29.0,37.0,14.0,7.0,3.0,14.0,15.0,26.0,63.0,0.413,6.0,23.0,0.261,20.0,40.0,0.5,0.46,9.0,13.0,0.692,6.0,23.0,29.0,11.0,3.0,4.0,16.0,27.0,100.2,87.2,76.9,0.78,0.34,0.562,56.1,63.6,9.1,7.5,0.49,17.0,25.8,0.56,0.46,18.8,17.1,0.143
7.0,7.0,2023-11-25,,Maine,REG (Non-Conf),W,75.0,56.0,,29.0,59.0,0.492,7.0,14.0,0.5,22.0,45.0,0.489,0.551,10.0,12.0,0.833,9.0,29.0,38.0,18.0,7.0,2.0,15.0,12.0,25.0,60.0,0.417,4.0,21.0,0.19,21.0,39.0,0.538,0.45,2.0,5.0,0.4,6.0,20.0,26.0,13.0,9.0,3.0,17.0,13.0,104.1,77.7,72.0,0.203,0.237,0.58,59.4,62.1,9.7,5.1,0.551,18.8,31.0,0.169,0.45,21.4,17.1,0.033
8.0,8.0,2023-11-29,,Loyola (MD),REG (Non-Conf),W,69.0,57.0,,25.0,54.0,0.463,9.0,22.0,0.409,16.0,32.0,0.5,0.546,10.0,13.0,0.769,9.0,22.0,31.0,19.0,11.0,2.0,12.0,15.0,21.0,50.0,0.42,7.0,25.0,0.28,14.0,25.0,0.56,0.49,8.0,12.0,0.667,6.0,19.0,25.0,14.0,8.0,4.0,15.0,15.0,107.9,89.1,63.9,0.241,0.407,0.573,55.4,76.0,17.2,8.0,0.546,16.6,32.1,0.185,0.49,21.2,21.4,0.16
9.0,9.0,2023-12-03,@,New Hampshire,REG (Non-Conf),L,71.0,80.0,,24.0,62.0,0.387,8.0,27.0,0.296,16.0,35.0,0.457,0.452,15.0,18.0,0.833,12.0,28.0,40.0,11.0,5.0,5.0,13.0,20.0,27.0,72.0,0.375,11.0,35.0,0.314,16.0,37.0,0.432,0.451,15.0,20.0,0.75,10.0,24.0,34.0,17.0,6.0,3.0,5.0,15.0,95.9,108.1,74.0,0.29,0.435,0.503,54.1,45.8,6.8,13.5,0.452,15.6,33.3,0.242,0.451,5.8,26.3,0.208
10.0,10.0,2023-12-05,,Lafayette,REG (Non-Conf),W,83.0,72.0,,32.0,60.0,0.533,7.0,16.0,0.438,25.0,44.0,0.568,0.592,12.0,14.0,0.857,7.0,20.0,27.0,20.0,6.0,0.0,9.0,15.0,26.0,61.0,0.426,10.0,30.0,0.333,16.0,31.0,0.516,0.508,10.0,13.0,0.769,11.0,18.0,29.0,17.0,3.0,6.0,11.0,13.0,122.2,106.0,67.9,0.233,0.267,0.623,48.2,62.5,8.8,0.0,0.592,11.9,28.0,0.2,0.508,14.1,35.5,0.164
11.0,11.0,2023-12-11,@,FDU,REG (Non-Conf),W,87.0,83.0,,30.0,56.0,0.536,13.0,29.0,0.448,17.0,27.0,0.63,0.652,14.0,20.0,0.7,6.0,19.0,25.0,18.0,6.0,1.0,10.0,16.0,29.0,61.0,0.475,13.0,35.0,0.371,16.0,26.0,0.615,0.582,12.0,15.0,0.8,9.0,17.0,26.0,17.0,8.0,3.0,11.0,18.0,124.6,118.9,69.8,0.357,0.518,0.664,49.0,60.0,8.6,3.8,0.652,13.2,26.1,0.25,0.582,13.9,32.1,0.197
12.0,12.0,2023-12-30,@,Fordham,REG (Non-Conf),L,78.0,87.0,,26.0,63.0,0.413,9.0,22.0,0.409,17.0,41.0,0.415,0.484,17.0,23.0,0.739,6.0,29.0,35.0,18.0,4.0,2.0,9.0,19.0,28.0,66.0,0.424,11.0,33.0,0.333,17.0,33.0,0.515,0.508,20.0,26.0,0.769,12.0,29.0,41.0,13.0,7.0,9.0,7.0,17.0,103.8,115.8,75.1,0.365,0.349,0.528,46.1,69.2,5.3,6.1,0.484,10.9,17.1,0.27,0.508,8.2,29.3,0.303
13.0,13.0,2024-01-04,,Mt. St. Vincent,REG (Non-Conf),W,120.0,52.0,,45.0,76.0,0.592,15.0,34.0,0.441,30.0,42.0,0.714,0.691,15.0,26.0,0.577,17.0,42.0,59.0,30.0,8.0,0.0,8.0,11.0,20.0,69.0,0.29,9.0,35.0,0.257,11.0,34.0,0.324,0.355,3.0,9.0,0.333,6.0,16.0,22.0,12.0,4.0,2.0,9.0,17.0,154.2,66.8,77.8,0.342,0.447,0.679,72.8,66.7,10.3,0.0,0.691,8.3,51.5,0.197,0.355,10.9,12.5,0.043
14.0,14.0,2024-01-09,@,Cornell,REG (Conf),L,79.0,91.0,,31.0,61.0,0.508,10.0,18.0,0.556,21.0,43.0,0.488,0.59,7.0,11.0,0.636,6.0,16.0,22.0,19.0,4.0,1.0,14.0,19.0,32.0,59.0,0.542,12.0,31.0,0.387,20.0,28.0,0.714,0.644,15.0,21.0,0.714,8.0,21.0,29.0,18.0,6.0,1.0,9.0,15.0,109.6,126.2,72.1,0.18,0.295,0.596,43.1,61.3,5.5,3.6,0.59,17.5,22.2,0.115,0.644,11.5,33.3,0.254
15.0,15.0,2024-01-15,@,Yale,REG (Conf),L,70.0,89.0,,24.0,63.0,0.381,7.0,22.0,0.318,17.0,41.0,0.415,0.437,15.0,16.0,0.938,6.0,26.0,32.0,18.0,4.0,3.0,8.0,12.0,34.0,66.0,0.515,12.0,28.0,0.429,22.0,38.0,0.579,0.606,9.0,11.0,0.818,6.0,31.0,37.0,23.0,4.0,7.0,6.0,14.0,97.3,123.8,71.9,0.254,0.349,0.496,46.4,75.0,5.6,7.9,0.437,10.2,16.2,0.238,0.606,7.8,18.8,0.136
16.0,16.0,2024-01-20,,Princeton,REG (Conf),L,62.0,70.0,,26.0,62.0,0.419,7.0,27.0,0.259,19.0,35.0,0.543,0.476,3.0,4.0,0.75,5.0,22.0,27.0,11.0,7.0,2.0,14.0,15.0,26.0,52.0,0.5,6.0,19.0,0.316,20.0,33.0,0.606,0.558,12.0,15.0,0.8,3.0,28.0,31.0,13.0,5.0,6.0,14.0,9.0,86.7,97.9,71.5,0.065,0.435,0.485,46.6,42.3,9.8,6.1,0.476,18.0,15.2,0.048,0.558,19.1,12.0,0.231
17.0,17.0,2024-01-27,,Pennsylvania,REG (Conf),W,84.0,81.0,,29.0,52.0,0.558,13.0,27.0,0.481,16.0,25.0,0.64,0.683,13.0,16.0,0.813,8.0,12.0,20.0,21.0,3.0,3.0,10.0,18.0,27.0,62.0,0.435,8.0,25.0,0.32,19.0,37.0,0.514,0.5,19.0,24.0,0.792,14.0,17.0,31.0,13.0,6.0,3.0,10.0,17.0,128.2,123.7,65.5,0.308,0.519,0.705,39.2,72.4,4.6,8.1,0.683,14.4,32.0,0.25,0.5,12.0,53.8,0.306
