Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Virginia Tech,REG (Non-Conf),L,55.0,100.0,,19.0,51.0,0.373,5.0,17.0,0.294,14.0,34.0,0.412,0.422,12.0,18.0,0.667,2.0,16.0,18.0,5.0,6.0,4.0,17.0,21.0,32.0,62.0,0.516,13.0,31.0,0.419,19.0,31.0,0.613,0.621,23.0,29.0,0.793,12.0,29.0,41.0,29.0,9.0,4.0,11.0,16.0,73.7,133.9,74.7,0.353,0.333,0.462,30.5,26.3,8.0,12.9,0.422,22.2,6.5,0.235,0.621,12.7,42.9,0.371
2.0,2.0,2023-11-09,,Towson,REG (Non-Conf),L,49.0,70.0,,16.0,46.0,0.348,5.0,21.0,0.238,11.0,25.0,0.44,0.402,12.0,19.0,0.632,4.0,13.0,17.0,8.0,6.0,5.0,11.0,14.0,24.0,54.0,0.444,6.0,16.0,0.375,18.0,38.0,0.474,0.5,16.0,22.0,0.727,18.0,29.0,47.0,11.0,5.0,2.0,14.0,20.0,80.0,114.3,61.2,0.413,0.457,0.445,26.6,50.0,9.8,13.2,0.402,16.7,12.1,0.261,0.5,17.8,58.1,0.296
3.0,3.0,2023-11-11,@,Mount St. Mary's,REG (Non-Conf),L,60.0,74.0,,20.0,59.0,0.339,4.0,21.0,0.19,16.0,38.0,0.421,0.373,16.0,21.0,0.762,7.0,13.0,20.0,6.0,15.0,1.0,9.0,18.0,25.0,53.0,0.472,8.0,24.0,0.333,17.0,29.0,0.586,0.547,16.0,18.0,0.889,12.0,31.0,43.0,16.0,4.0,3.0,21.0,18.0,84.8,104.6,70.8,0.356,0.356,0.435,31.7,30.0,21.2,3.4,0.373,11.5,18.4,0.271,0.547,25.4,48.0,0.302
4.0,4.0,2023-11-15,@,Louisville,REG (Non-Conf),L,41.0,61.0,,16.0,57.0,0.281,3.0,17.0,0.176,13.0,40.0,0.325,0.307,6.0,9.0,0.667,9.0,21.0,30.0,4.0,7.0,2.0,15.0,14.0,22.0,56.0,0.393,6.0,21.0,0.286,16.0,35.0,0.457,0.446,11.0,14.0,0.786,11.0,30.0,41.0,7.0,8.0,3.0,14.0,11.0,61.7,91.8,66.5,0.158,0.298,0.335,42.3,25.0,10.5,5.7,0.307,19.7,23.1,0.105,0.446,18.3,34.4,0.196
5.0,5.0,2023-11-17,@,Miami (OH),REG (Non-Conf),L,48.0,76.0,,19.0,52.0,0.365,2.0,16.0,0.125,17.0,36.0,0.472,0.385,8.0,16.0,0.5,8.0,19.0,27.0,4.0,9.0,1.0,18.0,20.0,27.0,51.0,0.529,12.0,29.0,0.414,15.0,22.0,0.682,0.647,10.0,16.0,0.625,7.0,26.0,33.0,21.0,8.0,3.0,14.0,14.0,71.0,112.4,67.6,0.308,0.308,0.403,45.0,21.1,13.3,4.5,0.385,23.2,23.5,0.154,0.647,19.3,26.9,0.196
6.0,6.0,2023-11-18,N,Eastern Illinois,REG (Non-Conf),L,46.0,48.0,,16.0,49.0,0.327,4.0,19.0,0.211,12.0,30.0,0.4,0.367,10.0,14.0,0.714,10.0,17.0,27.0,8.0,13.0,3.0,14.0,14.0,18.0,40.0,0.45,5.0,14.0,0.357,13.0,26.0,0.5,0.513,7.0,10.0,0.7,5.0,24.0,29.0,11.0,7.0,3.0,17.0,13.0,79.0,82.5,58.2,0.286,0.388,0.413,48.2,50.0,22.3,11.5,0.367,20.1,29.4,0.204,0.513,27.5,22.7,0.175
7.0,7.0,2023-11-26,@,La Salle,REG (Non-Conf),L,62.0,81.0,,21.0,45.0,0.467,5.0,11.0,0.455,16.0,34.0,0.471,0.522,15.0,18.0,0.833,4.0,12.0,16.0,12.0,8.0,2.0,13.0,18.0,29.0,60.0,0.483,11.0,25.0,0.44,18.0,35.0,0.514,0.575,12.0,20.0,0.6,14.0,20.0,34.0,17.0,10.0,1.0,11.0,15.0,96.1,125.5,64.5,0.4,0.244,0.579,32.0,57.1,12.4,5.7,0.522,19.5,16.7,0.333,0.575,13.7,53.8,0.2
8.0,8.0,2023-11-30,,UMBC,REG (Non-Conf),W,89.0,70.0,,32.0,59.0,0.542,6.0,16.0,0.375,26.0,43.0,0.605,0.593,19.0,24.0,0.792,12.0,23.0,35.0,12.0,10.0,1.0,10.0,16.0,26.0,62.0,0.419,8.0,31.0,0.258,18.0,31.0,0.581,0.484,10.0,12.0,0.833,8.0,16.0,24.0,15.0,3.0,3.0,17.0,21.0,122.7,96.5,72.6,0.407,0.271,0.632,59.3,37.5,13.8,3.2,0.593,12.4,42.9,0.322,0.484,20.1,25.8,0.161
9.0,9.0,2023-12-03,@,Navy,REG (Non-Conf),L,52.0,75.0,,15.0,49.0,0.306,6.0,23.0,0.261,9.0,26.0,0.346,0.367,16.0,23.0,0.696,7.0,19.0,26.0,5.0,5.0,2.0,19.0,23.0,24.0,51.0,0.471,7.0,18.0,0.389,17.0,33.0,0.515,0.539,20.0,31.0,0.645,7.0,28.0,35.0,15.0,14.0,1.0,11.0,20.0,73.4,105.9,70.8,0.469,0.469,0.434,42.6,33.3,7.1,6.1,0.367,24.1,20.0,0.327,0.539,14.3,26.9,0.392
10.0,10.0,2023-12-06,,Wagner,REG (Non-Conf),L,59.0,62.0,,21.0,50.0,0.42,5.0,14.0,0.357,16.0,36.0,0.444,0.47,12.0,12.0,1.0,5.0,22.0,27.0,12.0,10.0,3.0,16.0,14.0,21.0,57.0,0.368,6.0,24.0,0.25,15.0,33.0,0.455,0.421,14.0,19.0,0.737,11.0,20.0,31.0,9.0,9.0,3.0,13.0,12.0,87.6,92.0,67.4,0.24,0.28,0.53,46.6,57.1,14.8,9.1,0.47,22.3,20.0,0.24,0.421,16.5,33.3,0.246
11.0,11.0,2023-12-09,@,George Washington,REG (Non-Conf),L,45.0,76.0,,20.0,77.0,0.26,2.0,22.0,0.091,18.0,55.0,0.327,0.273,3.0,4.0,0.75,14.0,19.0,33.0,8.0,9.0,6.0,9.0,12.0,28.0,61.0,0.459,9.0,25.0,0.36,19.0,36.0,0.528,0.533,11.0,14.0,0.786,9.0,35.0,44.0,20.0,6.0,8.0,17.0,7.0,60.2,101.6,74.8,0.052,0.286,0.285,42.9,40.0,12.0,16.7,0.273,10.2,28.6,0.039,0.533,20.1,32.1,0.18
