Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Lehigh,REG (Non-Conf),W,84.0,78.0,,26.0,57.0,0.456,11.0,30.0,0.367,15.0,27.0,0.556,0.553,21.0,31.0,0.677,7.0,25.0,32.0,15.0,7.0,0.0,15.0,18.0,29.0,64.0,0.453,7.0,29.0,0.241,22.0,35.0,0.629,0.508,13.0,16.0,0.813,6.0,29.0,35.0,16.0,11.0,1.0,15.0,27.0,104.8,97.3,80.2,0.544,0.526,0.586,47.8,57.7,8.7,0.0,0.553,17.3,19.4,0.368,0.508,17.3,19.4,0.203
2.0,2.0,2023-11-08,,SUNY Morrisville,REG (Non-Conf),W,107.0,86.0,,43.0,70.0,0.614,14.0,34.0,0.412,29.0,36.0,0.806,0.714,7.0,15.0,0.467,9.0,32.0,41.0,31.0,12.0,5.0,17.0,17.0,32.0,72.0,0.444,12.0,30.0,0.4,20.0,42.0,0.476,0.528,10.0,20.0,0.5,8.0,16.0,24.0,18.0,12.0,0.0,13.0,14.0,124.7,100.2,85.8,0.214,0.486,0.694,63.1,72.1,14.0,11.9,0.714,18.1,36.0,0.1,0.528,13.8,20.0,0.139
3.0,3.0,2023-11-11,@,Fordham,REG (Non-Conf),W,78.0,73.0,,27.0,50.0,0.54,7.0,18.0,0.389,20.0,32.0,0.625,0.61,17.0,27.0,0.63,8.0,22.0,30.0,12.0,9.0,4.0,20.0,23.0,25.0,56.0,0.446,9.0,28.0,0.321,16.0,28.0,0.571,0.527,14.0,25.0,0.56,10.0,15.0,25.0,10.0,9.0,0.0,14.0,23.0,106.3,99.5,73.4,0.54,0.36,0.621,54.5,44.4,12.3,14.3,0.61,24.1,34.8,0.34,0.527,17.1,31.3,0.25
4.0,4.0,2023-11-15,@,George Mason,REG (Non-Conf),L,83.0,90.0,,28.0,60.0,0.467,14.0,29.0,0.483,14.0,31.0,0.452,0.583,13.0,17.0,0.765,10.0,19.0,29.0,16.0,8.0,2.0,13.0,22.0,31.0,62.0,0.5,9.0,22.0,0.409,22.0,40.0,0.55,0.573,19.0,25.0,0.76,13.0,21.0,34.0,13.0,8.0,5.0,11.0,18.0,116.1,125.9,71.5,0.283,0.483,0.61,46.0,57.1,11.2,5.0,0.583,16.0,32.3,0.217,0.573,13.0,40.6,0.306
5.0,5.0,2023-11-19,N,Cal State Fullerton,REG (Non-Conf),W,88.0,70.0,,33.0,64.0,0.516,8.0,31.0,0.258,25.0,33.0,0.758,0.578,14.0,18.0,0.778,6.0,24.0,30.0,20.0,10.0,0.0,13.0,16.0,26.0,52.0,0.5,6.0,24.0,0.25,20.0,28.0,0.714,0.558,12.0,18.0,0.667,4.0,23.0,27.0,9.0,8.0,2.0,21.0,17.0,112.0,89.1,78.6,0.281,0.484,0.606,52.6,60.6,12.7,0.0,0.578,15.2,20.7,0.219,0.558,25.8,14.3,0.231
6.0,6.0,2023-11-20,N,Utah Valley,REG (Non-Conf),W,74.0,61.0,,27.0,60.0,0.45,7.0,22.0,0.318,20.0,38.0,0.526,0.508,13.0,17.0,0.765,9.0,30.0,39.0,14.0,4.0,3.0,13.0,13.0,25.0,64.0,0.391,4.0,26.0,0.154,21.0,38.0,0.553,0.422,7.0,13.0,0.538,8.0,23.0,31.0,12.0,6.0,9.0,8.0,17.0,104.0,85.8,71.1,0.283,0.367,0.544,55.7,51.9,5.6,7.9,0.508,16.0,28.1,0.217,0.422,10.2,21.1,0.109
7.0,7.0,2023-11-29,,Monmouth,REG (Non-Conf),W,91.0,87.0,,34.0,59.0,0.576,11.0,31.0,0.355,23.0,28.0,0.821,0.669,12.0,19.0,0.632,7.0,22.0,29.0,25.0,9.0,1.0,12.0,19.0,32.0,61.0,0.525,9.0,26.0,0.346,23.0,35.0,0.657,0.598,14.0,22.0,0.636,7.0,19.0,26.0,16.0,10.0,1.0,9.0,19.0,124.3,118.8,73.2,0.322,0.525,0.669,52.7,73.5,12.3,2.9,0.669,15.0,26.9,0.203,0.598,11.2,24.1,0.23
8.0,8.0,2023-12-02,@,Lafayette,REG (Non-Conf),W,79.0,71.0,,26.0,55.0,0.473,8.0,32.0,0.25,18.0,23.0,0.783,0.545,19.0,22.0,0.864,8.0,28.0,36.0,12.0,5.0,2.0,19.0,17.0,28.0,66.0,0.424,9.0,31.0,0.29,19.0,35.0,0.543,0.492,6.0,9.0,0.667,9.0,21.0,30.0,17.0,12.0,1.0,13.0,18.0,104.8,94.2,75.4,0.4,0.582,0.604,54.5,46.2,6.6,5.7,0.545,22.5,27.6,0.345,0.492,15.6,24.3,0.091
9.0,9.0,2023-12-05,@,Syracuse,REG (Non-Conf),L,70.0,81.0,,26.0,65.0,0.4,9.0,33.0,0.273,17.0,32.0,0.531,0.469,9.0,17.0,0.529,9.0,27.0,36.0,18.0,7.0,1.0,15.0,16.0,29.0,68.0,0.426,13.0,32.0,0.406,16.0,36.0,0.444,0.522,10.0,14.0,0.714,12.0,29.0,41.0,16.0,9.0,9.0,11.0,17.0,91.7,106.1,76.4,0.262,0.508,0.479,46.8,69.2,9.2,2.8,0.469,17.0,23.7,0.138,0.522,12.8,30.8,0.147
10.0,10.0,2023-12-19,@,Siena,REG (Non-Conf),W,95.0,74.0,,34.0,71.0,0.479,12.0,32.0,0.375,22.0,39.0,0.564,0.563,15.0,17.0,0.882,5.0,27.0,32.0,20.0,12.0,3.0,8.0,26.0,23.0,67.0,0.343,7.0,23.0,0.304,16.0,44.0,0.364,0.396,21.0,36.0,0.583,20.0,27.0,47.0,12.0,3.0,3.0,15.0,13.0,117.9,91.8,80.6,0.239,0.451,0.601,40.5,58.8,14.9,6.8,0.563,9.2,15.6,0.211,0.396,15.1,42.6,0.313
11.0,11.0,2023-12-22,@,Robert Morris,REG (Non-Conf),W,90.0,85.0,,32.0,56.0,0.571,6.0,23.0,0.261,26.0,33.0,0.788,0.625,20.0,22.0,0.909,6.0,23.0,29.0,17.0,13.0,3.0,17.0,17.0,31.0,63.0,0.492,12.0,27.0,0.444,19.0,36.0,0.528,0.587,11.0,23.0,0.478,14.0,17.0,31.0,18.0,8.0,2.0,18.0,15.0,115.8,109.4,77.7,0.393,0.411,0.677,48.3,53.1,16.7,8.3,0.625,20.4,26.1,0.357,0.587,19.6,37.8,0.175
12.0,12.0,2023-12-30,,Colgate,REG (Non-Conf),W,77.0,64.0,,30.0,56.0,0.536,6.0,20.0,0.3,24.0,36.0,0.667,0.589,11.0,16.0,0.688,6.0,20.0,26.0,19.0,12.0,3.0,11.0,18.0,25.0,70.0,0.357,9.0,33.0,0.273,16.0,37.0,0.432,0.421,5.0,16.0,0.313,23.0,22.0,45.0,12.0,7.0,6.0,15.0,14.0,111.4,92.6,69.1,0.286,0.357,0.605,36.6,63.3,17.4,8.1,0.589,14.7,21.4,0.196,0.421,16.2,53.5,0.071
13.0,13.0,2024-01-02,@,Baylor,REG (Non-Conf),L,79.0,98.0,,30.0,61.0,0.492,8.0,24.0,0.333,22.0,37.0,0.595,0.557,11.0,17.0,0.647,9.0,20.0,29.0,15.0,6.0,0.0,11.0,18.0,36.0,65.0,0.554,14.0,31.0,0.452,22.0,34.0,0.647,0.662,12.0,18.0,0.667,9.0,23.0,32.0,21.0,4.0,2.0,8.0,21.0,110.0,136.5,71.8,0.279,0.393,0.572,47.5,50.0,8.4,0.0,0.557,13.7,28.1,0.18,0.662,9.8,31.0,0.185
14.0,14.0,2024-01-09,,Columbia,REG (Conf),W,91.0,79.0,,32.0,59.0,0.542,12.0,31.0,0.387,20.0,28.0,0.714,0.644,15.0,21.0,0.714,8.0,21.0,29.0,18.0,6.0,1.0,9.0,15.0,31.0,61.0,0.508,10.0,18.0,0.556,21.0,43.0,0.488,0.59,7.0,11.0,0.636,6.0,16.0,22.0,19.0,4.0,1.0,14.0,19.0,126.2,109.6,72.1,0.356,0.525,0.66,56.9,56.3,8.3,2.3,0.644,11.5,33.3,0.254,0.59,17.5,22.2,0.115
15.0,15.0,2024-01-15,,Pennsylvania,REG (Conf),W,77.0,60.0,,31.0,68.0,0.456,14.0,39.0,0.359,17.0,29.0,0.586,0.559,1.0,1.0,1.0,7.0,22.0,29.0,22.0,10.0,4.0,8.0,11.0,23.0,54.0,0.426,10.0,28.0,0.357,13.0,26.0,0.5,0.519,4.0,6.0,0.667,6.0,28.0,34.0,11.0,4.0,1.0,16.0,8.0,113.0,88.0,68.2,0.015,0.574,0.562,46.0,71.0,14.7,15.4,0.559,10.5,20.0,0.015,0.519,22.0,21.4,0.074
16.0,16.0,2024-01-20,@,Brown,REG (Conf),W,84.0,83.0,,28.0,57.0,0.491,12.0,31.0,0.387,16.0,26.0,0.615,0.596,16.0,22.0,0.727,8.0,23.0,31.0,16.0,9.0,0.0,13.0,28.0,26.0,53.0,0.491,6.0,21.0,0.286,20.0,32.0,0.625,0.547,25.0,38.0,0.658,9.0,20.0,29.0,10.0,10.0,4.0,11.0,17.0,115.5,114.1,72.8,0.386,0.544,0.623,51.7,57.1,12.4,0.0,0.596,16.2,28.6,0.281,0.547,13.4,28.1,0.472
17.0,17.0,2024-01-23,,Wells,REG (Non-Conf),W,105.0,49.0,,39.0,82.0,0.476,17.0,39.0,0.436,22.0,43.0,0.512,0.579,10.0,15.0,0.667,21.0,26.0,47.0,28.0,13.0,4.0,7.0,9.0,19.0,50.0,0.38,2.0,15.0,0.133,17.0,35.0,0.486,0.4,9.0,10.0,0.9,4.0,17.0,21.0,10.0,1.0,5.0,18.0,8.0,146.0,68.1,71.9,0.183,0.476,0.589,69.1,71.8,18.1,11.4,0.579,7.3,55.3,0.122,0.4,24.7,13.3,0.18
18.0,18.0,2024-01-27,,Princeton,REG (Conf),W,83.0,68.0,,34.0,59.0,0.576,9.0,25.0,0.36,25.0,34.0,0.735,0.653,6.0,9.0,0.667,6.0,29.0,35.0,18.0,5.0,3.0,9.0,25.0,19.0,59.0,0.322,5.0,27.0,0.185,14.0,32.0,0.438,0.364,25.0,33.0,0.758,8.0,21.0,29.0,9.0,5.0,3.0,6.0,12.0,119.5,97.9,69.5,0.153,0.424,0.656,54.7,52.9,7.2,9.4,0.653,12.5,22.2,0.102,0.364,7.4,21.6,0.424
