Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Florida A&M,REG (Non-Conf),W,105.0,54.0,,38.0,67.0,0.567,18.0,38.0,0.474,20.0,29.0,0.69,0.701,11.0,16.0,0.688,16.0,35.0,51.0,21.0,2.0,4.0,9.0,9.0,23.0,64.0,0.359,1.0,7.0,0.143,22.0,57.0,0.386,0.367,7.0,9.0,0.778,5.0,15.0,20.0,7.0,6.0,5.0,6.0,14.0,153.4,78.9,68.4,0.239,0.567,0.704,71.8,55.3,2.9,7.0,0.701,10.8,51.6,0.164,0.367,8.1,12.5,0.109
2.0,2.0,2023-11-11,,North Dakota State,REG (Non-Conf),W,89.0,60.0,,33.0,54.0,0.611,12.0,28.0,0.429,21.0,26.0,0.808,0.722,11.0,16.0,0.688,7.0,28.0,35.0,18.0,7.0,6.0,12.0,4.0,25.0,60.0,0.417,6.0,14.0,0.429,19.0,46.0,0.413,0.467,4.0,4.0,1.0,6.0,16.0,22.0,9.0,8.0,0.0,10.0,12.0,134.3,90.6,66.3,0.296,0.519,0.722,61.4,54.5,10.6,13.0,0.722,16.3,30.4,0.204,0.467,13.9,17.6,0.067
3.0,3.0,2023-11-14,,Iowa,REG (Non-Conf),W,92.0,84.0,,32.0,62.0,0.516,10.0,29.0,0.345,22.0,33.0,0.667,0.597,18.0,24.0,0.75,8.0,29.0,37.0,19.0,2.0,3.0,11.0,14.0,34.0,68.0,0.5,6.0,14.0,0.429,28.0,54.0,0.519,0.544,10.0,14.0,0.714,6.0,21.0,27.0,20.0,7.0,6.0,7.0,18.0,121.0,110.5,76.0,0.387,0.468,0.627,57.8,59.4,2.6,5.6,0.597,13.0,27.6,0.29,0.544,8.6,17.1,0.147
4.0,4.0,2023-11-18,,Texas Southern,REG (Non-Conf),W,82.0,50.0,,29.0,63.0,0.46,14.0,40.0,0.35,15.0,23.0,0.652,0.571,10.0,12.0,0.833,10.0,34.0,44.0,21.0,4.0,4.0,7.0,7.0,21.0,70.0,0.3,4.0,15.0,0.267,17.0,55.0,0.309,0.329,4.0,6.0,0.667,12.0,22.0,34.0,3.0,4.0,1.0,5.0,12.0,124.7,76.0,65.8,0.19,0.635,0.597,56.4,72.4,6.1,7.3,0.571,9.2,31.3,0.159,0.329,6.4,26.1,0.057
5.0,5.0,2023-11-22,N,Loyola Chicago,REG (Non-Conf),W,88.0,65.0,,32.0,58.0,0.552,14.0,27.0,0.519,18.0,31.0,0.581,0.672,10.0,13.0,0.769,7.0,29.0,36.0,16.0,2.0,5.0,10.0,10.0,27.0,61.0,0.443,6.0,15.0,0.4,21.0,46.0,0.457,0.492,5.0,9.0,0.556,5.0,19.0,24.0,11.0,6.0,4.0,10.0,18.0,128.0,94.6,68.7,0.224,0.466,0.686,60.0,50.0,2.9,10.9,0.672,13.5,26.9,0.172,0.492,13.3,14.7,0.082
6.0,6.0,2023-11-23,N,Colorado State,REG (Non-Conf),L,48.0,69.0,,17.0,61.0,0.279,6.0,29.0,0.207,11.0,32.0,0.344,0.328,8.0,13.0,0.615,8.0,24.0,32.0,10.0,2.0,3.0,9.0,7.0,30.0,63.0,0.476,5.0,19.0,0.263,25.0,44.0,0.568,0.516,4.0,5.0,0.8,7.0,35.0,42.0,14.0,5.0,3.0,8.0,16.0,71.3,102.6,67.3,0.213,0.475,0.357,43.2,58.8,3.0,6.8,0.328,11.8,18.6,0.131,0.516,10.9,22.6,0.063
7.0,7.0,2023-11-30,@,Oklahoma State,REG (Non-Conf),W,79.0,65.0,,29.0,55.0,0.527,10.0,19.0,0.526,19.0,36.0,0.528,0.618,11.0,15.0,0.733,6.0,30.0,36.0,13.0,5.0,2.0,9.0,13.0,25.0,62.0,0.403,7.0,16.0,0.438,18.0,46.0,0.391,0.46,8.0,11.0,0.727,7.0,21.0,28.0,9.0,4.0,2.0,9.0,15.0,117.6,96.8,67.2,0.273,0.345,0.636,56.3,44.8,7.4,4.3,0.618,12.7,22.2,0.2,0.46,11.8,18.9,0.129
8.0,8.0,2023-12-03,@,Nebraska,REG (Non-Conf),W,89.0,60.0,,32.0,69.0,0.464,14.0,40.0,0.35,18.0,29.0,0.621,0.565,11.0,13.0,0.846,12.0,34.0,46.0,17.0,5.0,4.0,10.0,14.0,24.0,71.0,0.338,2.0,22.0,0.091,22.0,49.0,0.449,0.352,10.0,14.0,0.714,13.0,22.0,35.0,6.0,7.0,1.0,8.0,10.0,122.1,82.3,72.9,0.188,0.58,0.592,56.8,53.1,6.9,8.2,0.565,11.7,35.3,0.159,0.352,9.3,27.7,0.141
9.0,9.0,2023-12-09,,Central Michigan,REG (Non-Conf),W,109.0,64.0,,41.0,63.0,0.651,15.0,31.0,0.484,26.0,32.0,0.813,0.77,12.0,14.0,0.857,6.0,30.0,36.0,28.0,2.0,2.0,9.0,5.0,29.0,73.0,0.397,2.0,19.0,0.105,27.0,54.0,0.5,0.411,4.0,4.0,1.0,7.0,15.0,22.0,6.0,6.0,2.0,5.0,14.0,149.8,87.9,72.8,0.222,0.492,0.782,62.1,68.3,2.7,3.7,0.77,11.4,28.6,0.19,0.411,6.3,18.9,0.055
10.0,10.0,2023-12-13,@,UNLV,REG (Non-Conf),L,64.0,79.0,,22.0,55.0,0.4,8.0,29.0,0.276,14.0,26.0,0.538,0.473,12.0,13.0,0.923,10.0,20.0,30.0,16.0,2.0,5.0,11.0,10.0,32.0,61.0,0.525,10.0,22.0,0.455,22.0,39.0,0.564,0.607,5.0,5.0,1.0,6.0,22.0,28.0,19.0,11.0,3.0,5.0,13.0,102.8,126.9,62.3,0.236,0.527,0.523,51.7,72.7,3.2,12.8,0.473,15.2,31.3,0.218,0.607,7.3,23.1,0.082
11.0,11.0,2023-12-16,,Alabama,REG (Non-Conf),W,85.0,82.0,,29.0,52.0,0.558,6.0,18.0,0.333,23.0,34.0,0.676,0.615,21.0,29.0,0.724,5.0,23.0,28.0,14.0,1.0,5.0,10.0,16.0,35.0,75.0,0.467,4.0,22.0,0.182,31.0,53.0,0.585,0.493,8.0,13.0,0.615,16.0,19.0,35.0,10.0,5.0,1.0,4.0,25.0,121.5,117.2,70.0,0.558,0.346,0.646,44.4,48.3,1.4,9.4,0.615,13.2,20.8,0.404,0.493,4.7,41.0,0.107
12.0,12.0,2023-12-20,,Villanova,REG (Conf),L,66.0,68.0,OT,23.0,58.0,0.397,5.0,24.0,0.208,18.0,34.0,0.529,0.44,15.0,21.0,0.714,9.0,37.0,46.0,10.0,5.0,6.0,16.0,13.0,27.0,66.0,0.409,7.0,22.0,0.318,20.0,44.0,0.455,0.462,7.0,10.0,0.7,4.0,26.0,30.0,7.0,10.0,2.0,8.0,15.0,88.2,90.8,66.5,0.362,0.414,0.485,60.5,43.5,6.7,13.6,0.44,19.1,25.7,0.259,0.462,10.2,9.8,0.106
