Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Duke,REG (Non-Conf),L,54.0,92.0,,19.0,56.0,0.339,4.0,18.0,0.222,15.0,38.0,0.395,0.375,12.0,17.0,0.706,8.0,18.0,26.0,11.0,5.0,1.0,12.0,16.0,38.0,59.0,0.644,7.0,17.0,0.412,31.0,42.0,0.738,0.703,9.0,12.0,0.75,5.0,26.0,31.0,18.0,6.0,6.0,9.0,18.0,79.0,134.5,68.4,0.304,0.321,0.421,45.6,57.9,7.3,2.4,0.375,15.8,23.5,0.214,0.703,12.2,21.7,0.153
2.0,2.0,2023-11-10,,UMass Lowell,REG (Non-Conf),L,48.0,81.0,,18.0,55.0,0.327,2.0,21.0,0.095,16.0,34.0,0.471,0.345,10.0,18.0,0.556,10.0,24.0,34.0,6.0,5.0,2.0,15.0,13.0,33.0,64.0,0.516,7.0,21.0,0.333,26.0,43.0,0.605,0.57,8.0,12.0,0.667,7.0,32.0,39.0,11.0,12.0,7.0,11.0,20.0,67.5,113.9,71.1,0.327,0.382,0.378,46.6,33.3,7.0,4.7,0.345,19.1,23.8,0.182,0.57,13.6,22.6,0.125
3.0,3.0,2023-11-15,,Westfield St.,REG (Non-Conf),W,79.0,61.0,,25.0,59.0,0.424,6.0,29.0,0.207,19.0,30.0,0.633,0.475,23.0,26.0,0.885,9.0,30.0,39.0,14.0,5.0,2.0,12.0,12.0,24.0,67.0,0.358,10.0,32.0,0.313,14.0,35.0,0.4,0.433,3.0,4.0,0.75,7.0,22.0,29.0,17.0,8.0,1.0,14.0,20.0,105.2,81.2,75.1,0.441,0.492,0.554,57.4,56.0,6.7,5.7,0.475,14.4,29.0,0.39,0.433,16.9,18.9,0.045
4.0,4.0,2023-11-25,@,Saint Louis,REG (Non-Conf),L,65.0,66.0,,23.0,53.0,0.434,6.0,26.0,0.231,17.0,27.0,0.63,0.491,13.0,17.0,0.765,7.0,28.0,35.0,11.0,4.0,3.0,10.0,19.0,23.0,60.0,0.383,4.0,15.0,0.267,19.0,45.0,0.422,0.417,16.0,21.0,0.762,8.0,23.0,31.0,9.0,6.0,1.0,6.0,17.0,98.4,100.0,66.0,0.321,0.491,0.532,53.0,47.8,6.1,6.7,0.491,14.1,23.3,0.245,0.417,7.9,22.2,0.267
5.0,5.0,2023-11-29,@,Vermont,REG (Non-Conf),L,53.0,64.0,,22.0,58.0,0.379,9.0,26.0,0.346,13.0,32.0,0.406,0.457,0.0,5.0,0.0,4.0,23.0,27.0,10.0,4.0,2.0,6.0,12.0,23.0,52.0,0.442,8.0,24.0,0.333,15.0,28.0,0.536,0.519,10.0,15.0,0.667,6.0,28.0,34.0,12.0,1.0,5.0,8.0,10.0,85.8,103.6,61.8,0.086,0.448,0.439,44.3,45.5,6.5,7.1,0.457,9.0,12.5,0.0,0.519,11.9,20.7,0.192
6.0,6.0,2023-12-02,@,Albany (NY),REG (Non-Conf),L,68.0,73.0,,25.0,56.0,0.446,6.0,26.0,0.231,19.0,30.0,0.633,0.5,12.0,16.0,0.75,3.0,31.0,34.0,10.0,5.0,9.0,17.0,23.0,27.0,63.0,0.429,5.0,20.0,0.25,22.0,43.0,0.512,0.468,14.0,24.0,0.583,9.0,29.0,38.0,14.0,11.0,1.0,14.0,20.0,86.6,93.0,78.5,0.286,0.464,0.535,47.2,40.0,6.4,20.9,0.5,21.1,9.4,0.214,0.468,15.8,22.5,0.222
7.0,7.0,2023-12-06,,New Hampshire,REG (Non-Conf),W,76.0,64.0,,27.0,60.0,0.45,14.0,33.0,0.424,13.0,27.0,0.481,0.567,8.0,11.0,0.727,3.0,29.0,32.0,19.0,3.0,5.0,5.0,15.0,23.0,66.0,0.348,5.0,20.0,0.25,18.0,46.0,0.391,0.386,13.0,15.0,0.867,9.0,32.0,41.0,7.0,4.0,0.0,7.0,13.0,109.9,92.5,69.2,0.183,0.55,0.583,43.8,70.4,4.3,10.9,0.567,7.1,8.6,0.133,0.386,8.7,23.7,0.197
8.0,8.0,2023-12-09,,Marist,REG (Non-Conf),L,53.0,63.0,,19.0,48.0,0.396,7.0,23.0,0.304,12.0,25.0,0.48,0.469,8.0,13.0,0.615,5.0,25.0,30.0,7.0,4.0,1.0,14.0,17.0,22.0,50.0,0.44,10.0,28.0,0.357,12.0,22.0,0.545,0.54,9.0,13.0,0.692,2.0,29.0,31.0,14.0,4.0,5.0,11.0,18.0,82.6,98.2,64.2,0.271,0.479,0.489,49.2,36.8,6.2,4.5,0.469,20.5,14.7,0.167,0.54,16.4,7.4,0.18
9.0,9.0,2023-12-13,,Boston University,REG (Non-Conf),W,63.0,54.0,,21.0,43.0,0.488,7.0,19.0,0.368,14.0,24.0,0.583,0.57,14.0,18.0,0.778,2.0,28.0,30.0,9.0,3.0,4.0,13.0,11.0,21.0,57.0,0.368,4.0,23.0,0.174,17.0,34.0,0.5,0.404,8.0,19.0,0.421,11.0,19.0,30.0,7.0,10.0,2.0,8.0,15.0,100.3,86.0,62.8,0.419,0.442,0.611,50.0,42.9,4.8,11.8,0.57,20.1,9.5,0.326,0.404,10.8,28.2,0.14
10.0,10.0,2023-12-16,@,Le Moyne,REG (Non-Conf),L,54.0,80.0,,20.0,56.0,0.357,5.0,28.0,0.179,15.0,28.0,0.536,0.402,9.0,12.0,0.75,11.0,20.0,31.0,10.0,8.0,2.0,17.0,7.0,31.0,58.0,0.534,15.0,33.0,0.455,16.0,25.0,0.64,0.664,3.0,4.0,0.75,6.0,25.0,31.0,17.0,13.0,2.0,14.0,17.0,79.6,118.0,67.8,0.214,0.5,0.438,50.0,50.0,11.8,8.0,0.402,21.6,30.6,0.161,0.664,18.9,23.1,0.052
