Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Wash. & Lee,REG (Non-Conf),W,86.0,63.0,,29.0,67.0,0.433,10.0,36.0,0.278,19.0,31.0,0.613,0.507,18.0,24.0,0.75,15.0,28.0,43.0,14.0,7.0,5.0,6.0,15.0,21.0,55.0,0.382,7.0,18.0,0.389,14.0,37.0,0.378,0.445,14.0,16.0,0.875,6.0,19.0,25.0,9.0,2.0,2.0,10.0,24.0,126.5,92.6,68.0,0.358,0.537,0.548,63.2,48.3,10.3,13.5,0.507,7.1,44.1,0.269,0.445,13.8,17.6,0.255
2.0,2.0,2023-11-10,N,Maryland,REG (Non-Conf),W,64.0,61.0,,21.0,49.0,0.429,8.0,15.0,0.533,13.0,34.0,0.382,0.51,14.0,21.0,0.667,8.0,23.0,31.0,15.0,11.0,3.0,14.0,21.0,20.0,57.0,0.351,5.0,23.0,0.217,15.0,34.0,0.441,0.395,16.0,21.0,0.762,14.0,18.0,32.0,13.0,8.0,5.0,13.0,18.0,97.7,93.2,65.5,0.429,0.306,0.543,49.2,71.4,16.8,8.8,0.51,19.2,30.8,0.286,0.395,16.3,37.8,0.281
3.0,3.0,2023-11-12,N,Clemson,REG (Non-Conf),L,65.0,68.0,,22.0,56.0,0.393,9.0,25.0,0.36,13.0,31.0,0.419,0.473,12.0,17.0,0.706,9.0,24.0,33.0,12.0,5.0,2.0,9.0,15.0,26.0,57.0,0.456,12.0,31.0,0.387,14.0,26.0,0.538,0.561,4.0,8.0,0.5,7.0,22.0,29.0,17.0,3.0,6.0,9.0,16.0,102.5,107.2,63.4,0.304,0.446,0.507,53.2,54.5,7.9,7.7,0.473,12.3,29.0,0.214,0.561,12.9,22.6,0.07
4.0,4.0,2023-11-17,@,East Tennessee State,REG (Non-Conf),L,68.0,70.0,,20.0,50.0,0.4,6.0,19.0,0.316,14.0,31.0,0.452,0.46,22.0,28.0,0.786,5.0,25.0,30.0,8.0,7.0,4.0,11.0,22.0,23.0,58.0,0.397,9.0,27.0,0.333,14.0,31.0,0.452,0.474,15.0,22.0,0.682,14.0,27.0,41.0,10.0,8.0,2.0,14.0,24.0,98.7,101.6,68.9,0.56,0.38,0.537,42.3,40.0,10.2,12.9,0.46,14.8,15.6,0.44,0.474,17.0,35.9,0.259
5.0,5.0,2023-11-21,,Boston University,REG (Non-Conf),W,69.0,45.0,,29.0,61.0,0.475,7.0,27.0,0.259,22.0,34.0,0.647,0.533,4.0,6.0,0.667,9.0,29.0,38.0,15.0,6.0,0.0,9.0,8.0,19.0,56.0,0.339,5.0,23.0,0.217,14.0,33.0,0.424,0.384,2.0,4.0,0.5,6.0,21.0,27.0,10.0,5.0,0.0,10.0,13.0,109.7,71.6,62.9,0.098,0.443,0.54,58.5,51.7,9.5,0.0,0.533,12.4,30.0,0.066,0.384,14.7,17.1,0.036
6.0,6.0,2023-11-24,@,St. Mary's (CA),REG (Non-Conf),L,55.0,89.0,,17.0,47.0,0.362,4.0,17.0,0.235,13.0,30.0,0.433,0.404,17.0,24.0,0.708,7.0,10.0,17.0,5.0,10.0,0.0,12.0,8.0,34.0,65.0,0.523,15.0,31.0,0.484,19.0,34.0,0.559,0.638,6.0,8.0,0.75,18.0,25.0,43.0,24.0,6.0,6.0,12.0,19.0,87.2,141.0,63.1,0.511,0.362,0.471,28.3,29.4,15.8,0.0,0.404,17.0,21.9,0.362,0.638,14.9,64.3,0.092
7.0,7.0,2023-11-29,@,Charlotte,REG (Non-Conf),W,85.0,81.0,,30.0,56.0,0.536,12.0,23.0,0.522,18.0,33.0,0.545,0.643,13.0,16.0,0.813,5.0,20.0,25.0,19.0,5.0,0.0,8.0,11.0,31.0,57.0,0.544,9.0,26.0,0.346,22.0,31.0,0.71,0.623,10.0,12.0,0.833,5.0,20.0,25.0,18.0,6.0,4.0,7.0,16.0,129.5,123.4,65.7,0.286,0.411,0.668,50.0,63.3,7.6,0.0,0.643,11.2,20.0,0.232,0.623,10.0,20.0,0.175
8.0,8.0,2023-12-02,,Wright State,REG (Non-Conf),W,82.0,73.0,,30.0,52.0,0.577,11.0,30.0,0.367,19.0,22.0,0.864,0.683,11.0,19.0,0.579,8.0,23.0,31.0,15.0,4.0,4.0,13.0,12.0,31.0,62.0,0.5,4.0,10.0,0.4,27.0,52.0,0.519,0.532,7.0,11.0,0.636,9.0,16.0,25.0,9.0,8.0,0.0,8.0,15.0,124.0,110.4,66.1,0.365,0.577,0.672,55.4,50.0,6.0,7.7,0.683,17.6,33.3,0.212,0.532,10.6,28.1,0.113
9.0,9.0,2023-12-06,,Campbell,REG (Non-Conf),W,62.0,50.0,,21.0,56.0,0.375,6.0,25.0,0.24,15.0,31.0,0.484,0.429,14.0,19.0,0.737,7.0,29.0,36.0,10.0,6.0,2.0,8.0,13.0,21.0,54.0,0.389,4.0,25.0,0.16,17.0,29.0,0.586,0.426,4.0,12.0,0.333,4.0,26.0,30.0,9.0,4.0,2.0,10.0,14.0,94.1,75.9,65.9,0.339,0.446,0.477,54.5,47.6,9.1,6.9,0.429,11.0,21.2,0.25,0.426,14.3,12.1,0.074
10.0,10.0,2023-12-09,,Miami (OH),REG (Non-Conf),W,79.0,61.0,,30.0,62.0,0.484,5.0,24.0,0.208,25.0,38.0,0.658,0.524,14.0,14.0,1.0,12.0,29.0,41.0,12.0,8.0,2.0,8.0,13.0,19.0,51.0,0.373,9.0,28.0,0.321,10.0,23.0,0.435,0.461,14.0,16.0,0.875,3.0,19.0,22.0,13.0,4.0,0.0,11.0,16.0,120.4,93.0,65.6,0.226,0.387,0.575,65.1,40.0,12.2,8.7,0.524,10.4,38.7,0.226,0.461,15.8,9.4,0.275
11.0,11.0,2023-12-16,,Lynchburg,REG (Non-Conf),W,98.0,63.0,,34.0,65.0,0.523,18.0,39.0,0.462,16.0,26.0,0.615,0.662,12.0,14.0,0.857,6.0,22.0,28.0,25.0,6.0,3.0,6.0,10.0,22.0,52.0,0.423,12.0,28.0,0.429,10.0,24.0,0.417,0.538,7.0,10.0,0.7,4.0,26.0,30.0,14.0,5.0,0.0,18.0,16.0,137.6,88.5,71.2,0.215,0.6,0.684,48.3,73.5,8.4,12.5,0.662,7.7,18.8,0.185,0.538,24.1,15.4,0.135
12.0,12.0,2023-12-21,,USC Upstate,REG (Non-Conf),W,62.0,59.0,,21.0,51.0,0.412,6.0,25.0,0.24,15.0,26.0,0.577,0.471,14.0,20.0,0.7,7.0,24.0,31.0,10.0,4.0,1.0,6.0,8.0,22.0,54.0,0.407,9.0,28.0,0.321,13.0,26.0,0.5,0.491,6.0,12.0,0.5,7.0,23.0,30.0,13.0,4.0,3.0,7.0,13.0,104.0,99.0,59.6,0.392,0.49,0.512,50.8,47.6,6.7,3.8,0.471,9.0,23.3,0.275,0.491,10.5,22.6,0.111
13.0,13.0,2023-12-30,N,Ohio,REG (Non-Conf),W,72.0,69.0,,22.0,55.0,0.4,6.0,25.0,0.24,16.0,30.0,0.533,0.455,22.0,36.0,0.611,12.0,29.0,41.0,11.0,10.0,5.0,14.0,23.0,23.0,59.0,0.39,7.0,20.0,0.35,16.0,39.0,0.41,0.449,16.0,27.0,0.593,10.0,29.0,39.0,14.0,6.0,6.0,15.0,26.0,95.4,91.4,75.5,0.655,0.455,0.499,51.3,50.0,13.3,12.8,0.455,16.3,29.3,0.4,0.449,17.3,25.6,0.271
14.0,14.0,2024-01-03,,Dayton,REG (Conf),L,59.0,72.0,,21.0,54.0,0.389,10.0,30.0,0.333,11.0,24.0,0.458,0.481,7.0,11.0,0.636,7.0,22.0,29.0,15.0,4.0,2.0,14.0,19.0,26.0,52.0,0.5,7.0,21.0,0.333,19.0,31.0,0.613,0.567,13.0,22.0,0.591,7.0,26.0,33.0,11.0,12.0,2.0,12.0,14.0,88.3,107.7,66.8,0.204,0.556,0.498,46.8,71.4,6.0,6.5,0.481,19.1,21.2,0.13,0.567,16.1,24.1,0.25
15.0,15.0,2024-01-09,,Rhode Island,REG (Conf),L,74.0,79.0,,25.0,55.0,0.455,9.0,23.0,0.391,16.0,32.0,0.5,0.536,15.0,23.0,0.652,7.0,19.0,26.0,14.0,5.0,2.0,8.0,22.0,25.0,49.0,0.51,7.0,20.0,0.35,18.0,29.0,0.621,0.582,22.0,33.0,0.667,5.0,26.0,31.0,12.0,3.0,4.0,12.0,21.0,106.8,114.0,69.3,0.418,0.418,0.561,45.6,56.0,7.2,6.9,0.536,10.8,21.2,0.273,0.582,15.7,20.8,0.449
16.0,16.0,2024-01-13,@,George Washington,REG (Conf),L,79.0,83.0,OT,31.0,65.0,0.477,8.0,25.0,0.32,23.0,40.0,0.575,0.538,9.0,19.0,0.474,12.0,28.0,40.0,11.0,6.0,3.0,13.0,22.0,31.0,66.0,0.47,13.0,29.0,0.448,18.0,37.0,0.486,0.568,8.0,20.0,0.4,11.0,23.0,34.0,15.0,7.0,4.0,13.0,17.0,103.6,108.8,67.8,0.292,0.385,0.534,54.1,35.5,7.9,8.1,0.538,14.9,34.3,0.138,0.568,14.7,28.2,0.121
17.0,17.0,2024-01-17,@,Fordham,REG (Conf),W,79.0,69.0,,23.0,57.0,0.404,6.0,12.0,0.5,17.0,45.0,0.378,0.456,27.0,34.0,0.794,8.0,26.0,34.0,11.0,9.0,5.0,11.0,14.0,23.0,66.0,0.348,7.0,27.0,0.259,16.0,39.0,0.41,0.402,16.0,19.0,0.842,15.0,28.0,43.0,14.0,10.0,8.0,13.0,24.0,105.9,92.5,74.6,0.596,0.211,0.54,44.2,47.8,12.1,12.8,0.456,13.1,22.2,0.474,0.402,14.8,36.6,0.242
18.0,18.0,2024-01-20,,Richmond,REG (Conf),L,64.0,69.0,OT,24.0,64.0,0.375,8.0,26.0,0.308,16.0,38.0,0.421,0.438,8.0,13.0,0.615,6.0,30.0,36.0,11.0,4.0,2.0,11.0,13.0,24.0,60.0,0.4,7.0,21.0,0.333,17.0,39.0,0.436,0.458,14.0,16.0,0.875,6.0,35.0,41.0,12.0,9.0,3.0,6.0,14.0,89.7,96.7,63.5,0.203,0.406,0.456,46.8,45.8,5.6,5.1,0.438,13.6,14.6,0.125,0.458,8.2,16.7,0.233
19.0,19.0,2024-01-24,@,Saint Louis,REG (Conf),W,84.0,61.0,,30.0,65.0,0.462,10.0,29.0,0.345,20.0,36.0,0.556,0.538,14.0,17.0,0.824,7.0,29.0,36.0,14.0,9.0,1.0,3.0,15.0,21.0,56.0,0.375,4.0,26.0,0.154,17.0,30.0,0.567,0.411,15.0,20.0,0.75,7.0,29.0,36.0,10.0,3.0,0.0,12.0,15.0,120.4,87.4,69.8,0.262,0.446,0.575,50.0,46.7,12.9,3.3,0.538,3.9,19.4,0.215,0.411,15.5,19.4,0.268
20.0,20.0,2024-01-27,,VCU,REG (Conf),L,58.0,63.0,,19.0,52.0,0.365,4.0,19.0,0.211,15.0,33.0,0.455,0.404,16.0,19.0,0.842,12.0,25.0,37.0,9.0,3.0,4.0,10.0,19.0,18.0,48.0,0.375,10.0,26.0,0.385,8.0,22.0,0.364,0.479,17.0,21.0,0.81,4.0,20.0,24.0,12.0,9.0,2.0,6.0,17.0,97.5,105.9,59.5,0.365,0.365,0.475,60.7,47.4,5.0,18.2,0.404,14.1,37.5,0.308,0.479,9.4,13.8,0.354
21.0,21.0,2024-02-04,@,Loyola Chicago,REG (Conf),L,63.0,76.0,,24.0,61.0,0.393,6.0,23.0,0.261,18.0,38.0,0.474,0.443,9.0,13.0,0.692,6.0,24.0,30.0,8.0,4.0,6.0,9.0,17.0,25.0,54.0,0.463,14.0,28.0,0.5,11.0,26.0,0.423,0.593,12.0,20.0,0.6,6.0,23.0,29.0,21.0,6.0,4.0,12.0,16.0,90.2,108.8,69.8,0.213,0.377,0.469,50.8,33.3,5.7,23.1,0.443,11.8,20.7,0.148,0.593,15.9,20.0,0.222
22.0,22.0,2024-02-07,@,Duquesne,REG (Conf),W,72.0,59.0,,23.0,53.0,0.434,8.0,26.0,0.308,15.0,27.0,0.556,0.509,18.0,20.0,0.9,7.0,27.0,34.0,16.0,6.0,5.0,8.0,22.0,21.0,52.0,0.404,5.0,19.0,0.263,16.0,33.0,0.485,0.452,12.0,20.0,0.6,8.0,21.0,29.0,7.0,6.0,4.0,9.0,19.0,114.3,93.7,63.0,0.377,0.491,0.576,54.0,69.6,9.5,15.2,0.509,11.3,25.0,0.34,0.452,12.8,22.9,0.231
23.0,23.0,2024-02-10,,George Mason,REG (Conf),L,55.0,57.0,,18.0,52.0,0.346,7.0,27.0,0.259,11.0,25.0,0.44,0.413,12.0,13.0,0.923,9.0,18.0,27.0,11.0,7.0,4.0,10.0,15.0,19.0,46.0,0.413,6.0,16.0,0.375,13.0,30.0,0.433,0.478,13.0,18.0,0.722,9.0,25.0,34.0,8.0,4.0,2.0,14.0,16.0,92.7,96.0,59.4,0.25,0.519,0.473,44.3,61.1,11.8,13.3,0.413,14.7,26.5,0.231,0.478,20.4,33.3,0.283
24.0,24.0,2024-02-13,,La Salle,REG (Conf),W,71.0,56.0,,27.0,65.0,0.415,4.0,19.0,0.211,23.0,46.0,0.5,0.446,13.0,18.0,0.722,11.0,30.0,41.0,11.0,10.0,8.0,7.0,15.0,22.0,59.0,0.373,4.0,19.0,0.211,18.0,40.0,0.45,0.407,8.0,12.0,0.667,6.0,27.0,33.0,7.0,3.0,2.0,12.0,17.0,101.2,79.9,70.1,0.277,0.292,0.483,55.4,40.7,14.3,20.0,0.446,8.7,28.9,0.2,0.407,15.6,16.7,0.136
25.0,25.0,2024-02-17,@,St. Bonaventure,REG (Conf),L,80.0,81.0,OT,29.0,59.0,0.492,9.0,24.0,0.375,20.0,35.0,0.571,0.568,13.0,18.0,0.722,9.0,19.0,28.0,14.0,6.0,1.0,13.0,21.0,26.0,46.0,0.565,6.0,15.0,0.4,20.0,31.0,0.645,0.63,23.0,30.0,0.767,4.0,21.0,25.0,14.0,9.0,3.0,12.0,18.0,114.4,115.9,62.1,0.305,0.407,0.592,52.8,48.3,8.6,3.2,0.568,16.1,30.0,0.22,0.63,16.6,17.4,0.5
26.0,26.0,2024-02-20,,Fordham,REG (Conf),W,68.0,53.0,,22.0,48.0,0.458,6.0,16.0,0.375,16.0,32.0,0.5,0.521,18.0,26.0,0.692,5.0,27.0,32.0,11.0,6.0,4.0,7.0,15.0,18.0,55.0,0.327,6.0,27.0,0.222,12.0,28.0,0.429,0.382,11.0,17.0,0.647,11.0,22.0,33.0,10.0,4.0,3.0,10.0,20.0,109.3,85.2,62.2,0.542,0.333,0.563,49.2,50.0,9.6,14.3,0.521,10.4,18.5,0.375,0.382,13.7,28.9,0.2
27.0,27.0,2024-02-24,@,Richmond,REG (Conf),L,63.0,66.0,,22.0,54.0,0.407,6.0,22.0,0.273,16.0,32.0,0.5,0.463,13.0,17.0,0.765,10.0,26.0,36.0,10.0,5.0,0.0,13.0,18.0,21.0,51.0,0.412,7.0,21.0,0.333,14.0,30.0,0.467,0.48,17.0,22.0,0.773,5.0,24.0,29.0,13.0,8.0,3.0,9.0,15.0,96.5,101.1,65.3,0.315,0.407,0.507,55.4,45.5,7.7,0.0,0.463,17.3,29.4,0.241,0.48,12.8,16.1,0.333
28.0,28.0,2024-02-27,@,Dayton,REG (Conf),L,66.0,80.0,,22.0,58.0,0.379,8.0,27.0,0.296,14.0,31.0,0.452,0.448,14.0,16.0,0.875,5.0,20.0,25.0,15.0,8.0,3.0,7.0,11.0,29.0,54.0,0.537,12.0,28.0,0.429,17.0,26.0,0.654,0.648,10.0,12.0,0.833,4.0,29.0,33.0,17.0,7.0,6.0,13.0,13.0,96.8,117.4,68.2,0.276,0.466,0.503,43.1,68.2,11.7,11.5,0.448,9.6,14.7,0.241,0.648,17.9,16.7,0.185
29.0,29.0,2024-03-02,,Massachusetts,REG (Conf),L,67.0,69.0,,27.0,56.0,0.482,2.0,14.0,0.143,25.0,42.0,0.595,0.5,11.0,17.0,0.647,5.0,24.0,29.0,15.0,4.0,13.0,10.0,18.0,24.0,67.0,0.358,5.0,24.0,0.208,19.0,43.0,0.442,0.396,16.0,23.0,0.696,18.0,24.0,42.0,8.0,4.0,4.0,9.0,16.0,97.1,100.0,69.0,0.304,0.25,0.523,40.8,55.6,5.8,30.2,0.5,13.5,17.2,0.196,0.396,10.4,42.9,0.239
30.0,30.0,2024-03-06,,Loyola Chicago,REG (Conf),L,59.0,69.0,,21.0,55.0,0.382,5.0,16.0,0.313,16.0,39.0,0.41,0.427,12.0,17.0,0.706,4.0,25.0,29.0,11.0,6.0,2.0,10.0,18.0,24.0,53.0,0.453,9.0,23.0,0.391,15.0,30.0,0.5,0.538,12.0,21.0,0.571,6.0,27.0,33.0,13.0,8.0,7.0,11.0,20.0,86.1,100.7,68.5,0.309,0.291,0.468,46.8,52.4,8.8,6.7,0.427,13.7,12.9,0.218,0.538,14.9,19.4,0.226
31.0,31.0,2024-03-09,@,Saint Joseph's,REG (Conf),L,71.0,89.0,,27.0,67.0,0.403,6.0,24.0,0.25,21.0,43.0,0.488,0.448,11.0,12.0,0.917,10.0,20.0,30.0,13.0,9.0,6.0,10.0,20.0,28.0,59.0,0.475,10.0,24.0,0.417,18.0,35.0,0.514,0.559,23.0,31.0,0.742,10.0,24.0,34.0,15.0,7.0,4.0,11.0,14.0,96.3,120.7,73.7,0.179,0.358,0.488,46.9,48.1,12.2,17.1,0.448,12.1,29.4,0.164,0.559,13.0,33.3,0.39
